acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.72,-0.56,-9.62,-158.28578665640208,-21.15904057291141,-2.7963115557322795
0.62,-0.52,-9.58,-158.28578665640208,-21.170698001897183,-2.7619239753850606
0.71,-0.69,-9.67,-158.28578665640208,-21.170698001897183,-2.7619239753850606
0.65,-0.6,-9.52,-158.28578665640208,-21.18235565251096,-2.830699387947472
0.78,-0.82,-9.79,-158.22503424547796,-21.18235565251096,-2.922401528803221
0.87,-0.68,-9.8,-158.22503424547796,-21.147383365420364,-2.9338644268256844
0.88,-0.62,-10.17,-158.28578665640208,-21.12406961438943,-2.968253297538604
0.7,-0.58,-9.57,-158.28578665640208,-21.112413070583106,-2.8421620551927376
0.78,-0.67,-9.78,-158.28578665640208,-21.112413070583106,-2.830699387947472
0.72,-0.56,-9.73,-158.28578665640208,-21.08910064572278,-2.8192367490322434
0.76,-0.63,-9.86,-158.28578665640208,-21.08910064572278,-2.8421620551927376
0.72,-0.67,-9.68,-158.3467074683401,-21.065789103644565,-2.7963115557322795
0.72,-0.62,-9.8,-158.3467074683401,-21.065789103644565,-2.8192367490322434
0.61,-0.61,-9.53,-158.3467074683401,-21.054133663315955,-2.7963115557322795
0.69,-0.6,-9.55,-158.3467074683401,-21.054133663315955,-2.830699387947472
0.91,-0.65,-10.1,-158.3467074683401,-21.04247844328356,-2.865087475133015
0.62,-0.67,-9.53,-158.3467074683401,-21.04247844328356,-2.7733864743736323
0.77,-0.61,-9.74,-158.3467074683401,-21.054133663315955,-2.8536247508829486
0.56,-0.72,-9.35,-158.3467074683401,-21.065789103644565,-2.8536247508829486
0.84,-0.67,-10.1,-158.3467074683401,-21.054133663315955,-3.0026424356334624
0.59,-0.76,-9.4,-158.3467074683401,-21.03082344341432,-2.865087475133015
0.86,-0.59,-9.84,-158.4077981068511,-20.984205642908503,-2.865087475133015
0.59,-0.57,-9.48,-158.4077981068511,-20.984205642908503,-2.87655022805785
0.72,-0.53,-9.56,-158.4690600176697,-20.972551741859924,-2.9911793597011727
0.66,-0.47,-9.51,-158.4690600176697,-20.94924459772563,-2.9911793597011727
0.68,-0.59,-9.67,-158.4690600176697,-20.94924459772563,-2.9911793597011727
0.75,-0.67,-9.84,-158.4690600176697,-20.94924459772563,-3.0026424356334624
0.71,-0.59,-9.52,-158.4690600176697,-20.90263293758787,-2.956790311078442
0.62,-0.6,-9.56,-158.5304946671076,-20.890980569305803,-2.9453273542124467
0.8,-0.55,-9.86,-158.5304946671076,-20.879328419459103,-3.0026424356334624
0.61,-0.54,-9.49,-158.5304946671076,-20.856024774540764,-2.9338644268256844
0.63,-0.55,-9.56,-158.5921035424659,-20.856024774540764,-2.922401528803221
0.75,-0.62,-9.79,-158.5921035424659,-20.84437327920369,-2.9911793597011727
0.69,-0.58,-9.58,-158.5921035424659,-20.84437327920369,-3.025568677774776
0.89,-0.5,-9.79,-158.5921035424659,-20.83272200177108,-3.094348134689141
0.67,-0.62,-9.47,-158.5304946671076,-20.856024774540764,-3.094348134689141
0.8,-0.56,-9.81,-158.5304946671076,-20.856024774540764,-3.174592245464794
0.76,-0.56,-9.54,-158.5304946671076,-20.867676487915,-3.2777655386010047
0.78,-0.59,-9.56,-158.4690600176697,-20.879328419459103,-3.4153340784378665
0.77,-0.57,-9.65,-158.4077981068511,-20.90263293758787,-3.6331610823402585
0.89,-0.52,-9.56,-158.4077981068511,-20.890980569305803,-3.77074274897392
0.92,-0.47,-9.8,-158.4077981068511,-20.890980569305803,-3.919795697049856
0.84,-0.51,-9.75,-158.3467074683401,-20.90263293758787,-3.977125506843028
0.92,-0.57,-9.59,-158.3467074683401,-20.914285524438075,-4.045922594423996
0.87,-0.54,-9.58,-158.28578665640208,-20.9608980601766,-4.160587661476331
0.91,-0.48,-9.69,-158.22503424547796,-20.984205642908503,-4.355527902560735
0.89,-0.57,-9.66,-158.1040290229696,-21.04247844328356,-4.596353909147252
1.12,-0.5,-9.66,-158.04377345766537,-21.07744476440248,-4.871608567013157
1.03,-0.5,-9.66,-157.98368078519854,-21.08910064572278,-5.0436569106979485
1.17,-0.49,-10.0,-157.98368078519854,-21.112413070583106,-5.1354206546912415
1.24,-0.59,-9.93,-157.92374967519896,-21.112413070583106,-5.169832905126534
1.24,-0.64,-9.8,-157.98368078519854,-21.07744476440248,-5.146891353190199
1.34,-0.7,-10.17,-158.04377345766537,-21.0191686635752,-5.1354206546912415
0.95,-0.55,-9.58,-158.16444882979192,-20.90263293758787,-5.0665975409818325
1.25,-0.51,-10.09,-158.28578665640208,-20.774468878532232,-5.009246344236124
1.13,-0.55,-9.8,-158.4077981068511,-20.669626923426364,-4.997776256010228
0.94,-0.13,-9.45,-158.5921035424659,-20.506574164810864,-4.940426564140192
0.89,-0.31,-9.37,-158.6538881524584,-20.436707276203283,-4.906017344265488
0.7,-0.26,-9.29,-158.71585002764485,-20.36684806544824,-4.917487034889402
0.95,-0.54,-9.7,-158.71585002764485,-20.29699650405997,-5.009246344236124
1.13,-0.28,-9.56,-158.840311807755,-20.192233442293944,-5.101008867683621
1.0,-0.49,-9.57,-158.77799072087697,-20.21551264575777,-5.215716631990905
1.01,-0.51,-9.88,-158.71585002764485,-20.20387293870638,-5.330429626451235
1.01,-0.44,-9.66,-158.77799072087697,-20.157316215575328,-5.3992599817249625
1.38,-0.22,-10.0,-158.840311807755,-20.11076285425295,-5.479564528582773
1.04,-0.48,-9.57,-158.9028148870971,-20.075850034388896,-5.307486603594608
1.06,-0.56,-9.63,-158.840311807755,-20.075850034388896,-5.307486603594608
1.26,-0.54,-9.82,-158.840311807755,-20.040939097265657,-5.410731896463338
1.25,-0.53,-9.93,-158.840311807755,-20.040939097265657,-5.536926565771378
1.18,-0.43,-9.78,-158.840311807755,-20.040939097265657,-5.536926565771378
0.87,-0.57,-9.53,-158.77799072087697,-20.09912503821932,-5.468092286497271
0.86,-0.48,-9.51,-158.840311807755,-20.09912503821932,-5.307486603594608
1.03,-0.6,-9.87,-158.77799072087697,-20.168955080859902,-5.307486603594608
0.96,-0.53,-9.39,-158.71585002764485,-20.21551264575777,-5.250129975900072
1.44,-0.61,-10.0,-158.71585002764485,-20.25043303206116,-5.273072468222583
1.12,-0.26,-9.51,-158.77799072087697,-20.21551264575777,-5.112479412053579
1.15,-0.51,-9.64,-158.77799072087697,-20.25043303206116,-5.020716482682318
0.94,-0.61,-9.33,-158.77799072087697,-20.285355318851703,-4.928956774809122
0.98,-0.55,-9.72,-158.77799072087697,-20.27371434520358,-4.9518964029981625
0.95,-0.44,-9.74,-158.9028148870971,-20.20387293870638,-4.802792327898413
0.93,-0.49,-9.73,-158.96550158142097,-20.157316215575328,-4.745446786894516
1.0,-0.46,-10.0,-159.0283735374385,-20.09912503821932,-4.63075925768904
0.84,-0.32,-9.79,-159.15467994543428,-20.05257586733213,-4.424333322525307
0.93,-0.52,-9.65,-159.15467994543428,-20.05257586733213,-4.11472114096103
0.82,-0.63,-9.84,-159.21811781644797,-20.05257586733213,-3.908329853329541
0.55,-0.06,-9.42,-159.3455716366145,-20.040939097265657,-3.40386984812725
0.63,-0.29,-9.35,-159.21811781644797,-20.14567756040377,-2.8536247508829486
0.4,-1.31,-8.97,-159.15467994543428,-20.29699650405997,-1.432431792389882
-0.1,-1.15,-8.65,-159.3455716366145,-20.18059415638896,-0.2979383891459227
-0.4,-0.49,-8.07,-159.79792218460952,-19.878046180611587,1.2490727279396536
-0.55,-0.31,-6.52,-160.12726585571855,-19.470990576087328,2.7160742546883188
-1.31,-0.31,-4.94,-160.52975543717122,-18.75052573300884,5.020716482682318
-0.61,-1.25,-5.26,-161.14943788464137,-17.972797887176398,5.640181741583799
-0.78,1.04,-5.19,-162.68057392822612,-16.51243337847321,4.986306217889054
-0.21,1.48,-5.77,-163.86220596785728,-15.760140597334962,3.380941489627292
1.18,0.85,-7.98,-164.44410289964102,-15.459416628401115,-1.1573944243672372
2.49,0.31,-11.18,-163.45901362866948,-15.22816347918777,-6.3631010384043885
3.48,-1.4,-12.5,-162.08197802585826,-15.008530771963963,-9.5450515760222
3.74,-0.27,-13.98,-159.73268910086296,-14.788953503219902,-13.714952301602876
4.49,-0.39,-16.15,-158.3467074683401,-14.315313760812993,-16.03782888845279
4.72,-0.94,-16.69,-157.1587733939545,-14.118999098561428,-17.717608294742977
4.16,-0.07,-14.49,-156.70033876277134,-14.292215737283833,-18.146842253651585
4.03,0.75,-13.76,-156.98580474112185,-14.25756979612918,-17.81039419409229
3.44,0.67,-12.21,-157.50864759230302,-14.373061379793723,-16.97573712493423
2.91,1.11,-11.04,-158.4690600176697,-14.800508833176536,-15.089441590206311
2.64,-0.06,-10.13,-158.77799072087697,-15.551935573755918,-13.530302549412
2.58,-1.37,-10.29,-158.840311807755,-16.5471716366683,-11.248026360967865
2.26,-1.28,-9.98,-159.3455716366145,-16.883054257264604,-9.23461264182475
2.11,-1.41,-9.86,-159.73268910086296,-17.277034050168414,-6.3975318623814825
1.63,-1.49,-8.97,-159.9290177639615,-17.439320584956548,-4.160587661476331
1.31,-1.96,-8.6,-159.99488438452408,-17.601642377536205,-1.3407518310456548
0.68,-1.77,-8.54,-160.06096636558732,-17.682816604505923,0.4927452222969898
0.4,-1.29,-8.34,-159.8633643903993,-17.82199325799314,2.922401528803221
0.38,-2.17,-8.63,-159.21811781644797,-17.996001378555594,4.561948975165956
0.41,-2.91,-9.03,-158.3467074683401,-18.12363390787068,6.856665996646211
-0.09,-3.26,-8.24,-157.863978815261,-17.787196618044018,8.92424161449454
-0.32,-2.51,-8.21,-157.6264722380801,-16.917809025605248,11.466824127666603
-0.71,-3.72,-7.5,-157.1587733939545,-16.10726571114575,13.611082444309169
-1.4,-2.51,-7.41,-156.814109146573,-14.32686299177392,16.616652750638245
-1.94,-2.05,-7.4,-156.5307030363511,-12.711338126294772,18.76214012304259
-2.59,-1.98,-7.04,-156.47442582901172,-11.31711591010567,20.01766618340029
-2.96,-0.02,-6.81,-156.70033876277134,-9.372576979838527,21.112413070583106
-3.24,0.43,-7.19,-156.0841409493743,-6.48935022815341,22.945282804181343
-3.45,0.51,-7.18,-154.73873772257048,-3.117274866889664,24.713732248446583
-4.03,1.54,-6.84,-153.71118144535646,-0.9052827329224428,25.38282633662164
-3.72,2.11,-7.32,-152.3835367338065,2.223215714892369,25.60605217391993
-3.59,2.11,-7.8,-151.48561418277666,4.6536963885673295,25.31235434951457
-3.13,3.68,-8.33,-150.2552755154301,7.35035834348681,24.33847679675364
-3.48,4.39,-6.53,-149.24516700325162,9.119652615329128,23.57704958135869
-3.0,3.61,-6.77,-148.85861645005238,11.063807546045703,21.473869337236096
-2.19,5.21,-9.46,-148.47668973247264,12.238714488577818,19.622153417094765
-2.44,5.22,-7.35,-147.43869005154224,13.911181889055529,18.704070115126303
-2.49,4.97,-7.04,-147.0728095954594,15.02008899858815,17.682816604505923
-1.56,5.39,-8.45,-146.71084020226166,16.63981448789728,15.968397992715149
-1.84,5.97,-7.64,-146.2735608004224,17.914792407087575,15.147239662385427
-1.9,5.82,-6.83,-145.91984007134727,18.738911537329376,13.703410648771609
-1.07,5.99,-8.99,-146.4319313048688,18.83183055191492,11.328631235557037
-0.87,6.33,-8.9,-146.59103083752737,18.855062255560348,9.74054901066208
-0.06,6.25,-8.84,-146.9114591288739,18.30932175034793,8.039461810968866
0.06,6.53,-9.22,-148.14094650942238,17.137959104392678,5.5598717686300585
0.44,6.11,-9.4,-150.0772121119661,15.274409087771584,3.40386984812725
0.69,5.0,-9.77,-151.6255402012684,13.657245433015795,1.7647797695524667
0.85,5.9,-10.09,-154.0662728728033,10.48830635783265,-0.7792286067117273
1.63,4.15,-10.28,-157.04331809093284,7.384806987935718,-2.6473004867786654
1.51,3.5,-9.54,-160.80272323312002,3.5987664920103746,-3.380941489627292
1.33,2.35,-9.49,-163.22171672296716,0.7792286067117273,-3.6904861286986015
1.4,0.36,-9.09,-165.4050127335264,-2.1773706400327653,-4.183521171347446
1.25,3.27,-9.66,-165.4050127335264,-3.4726557451993814,-4.275256896440698
1.32,1.85,-9.62,-166.33674754112943,-5.881128455236522,-4.1720543955147065
1.06,-0.36,-9.13,-166.82718037176227,-7.717845476549469,-4.137654318321577
1.03,1.49,-9.86,-166.43342218753332,-9.464560757916416,-3.908329853329541
1.06,-0.38,-9.83,-166.14541230093116,-10.879617409371033,-3.701951248377608
0.89,-0.54,-9.45,-165.6781993872616,-12.146519858742266,-3.77074274897392
0.94,0.87,-10.23,-165.2256794561049,-12.58451568698019,-4.045922594423996
0.78,0.59,-9.15,-165.04848521846108,-12.907367253850758,-4.103254614165427
0.82,1.6,-9.59,-164.87335484809628,-12.941964550756788,-4.298191253728037
0.88,0.91,-10.02,-164.70021747025422,-13.091899903813276,-4.63075925768904
0.87,0.87,-9.57,-164.70021747025422,-13.091899903813276,-4.699571210920838
0.84,1.7,-9.76,-164.70021747025422,-12.849707716341904,-4.745446786894516
0.9,1.09,-9.83,-164.70021747025422,-12.999629346780695,-4.745446786894516
0.67,1.6,-9.32,-164.78654130633294,-12.976563032466052,-4.71104003397371
0.8,1.04,-9.4,-164.87335484809628,-12.988096123558291,-4.71104003397371
0.91,1.42,-9.63,-164.70021747025422,-12.965030073382623,-4.883078110442899
0.95,1.52,-9.94,-164.70021747025422,-12.838176201349,-5.089538374458754
0.8,1.67,-9.56,-164.61437509688025,-12.976563032466052,-4.9518964029981625
0.81,1.28,-9.52,-164.61437509688025,-13.161108413553292,-4.906017344265488
0.81,1.26,-9.66,-164.35965769726891,-13.576461659580188,-4.997776256010228
1.01,0.51,-9.9,-164.19211217641143,-13.865006554805133,-5.15836210329675
0.71,0.97,-9.25,-164.27566318431926,-13.738036026791262,-5.0551272004985615
0.98,1.63,-9.51,-164.35965769726891,-13.507223821905177,-5.169832905126534
0.83,2.12,-9.18,-164.52900617164656,-13.034229810442689,-5.250129975900072
1.06,1.11,-9.93,-164.44410289964102,-13.091899903813276,-5.410731896463338
0.9,1.34,-9.7,-164.44410289964102,-13.114968872872083,-5.4336758888612415
1.16,1.34,-10.19,-164.44410289964102,-13.045763563399612,-5.594289991509483
0.86,1.37,-9.42,-164.70021747025422,-12.7228682118641,-5.4336758888612415
0.98,1.33,-9.67,-164.70021747025422,-12.688278342697654,-5.548399139371833
1.2,1.17,-10.34,-164.61437509688025,-12.58451568698019,-5.777862453568277
0.81,1.46,-8.96,-164.78654130633294,-12.353968967121856,-5.663127955663872
0.91,1.57,-8.96,-164.70021747025422,-12.353968967121856,-5.8467059276897535
1.22,2.0,-9.88,-164.35965769726891,-12.480763390340035,-6.48935022815341
1.17,1.02,-9.79,-164.27566318431926,-12.745928771149693,-6.4319632645356775
0.88,0.81,-9.05,-164.52900617164656,-12.941964550756788,-6.11062569758793
1.18,1.47,-9.9,-164.27566318431926,-12.768989848771891,-6.512305468988996
1.13,1.58,-9.84,-164.35965769726891,-12.58451568698019,-6.604129057804274
1.05,1.16,-9.23,-164.44410289964102,-12.423127669242316,-6.512305468988996
1.21,2.03,-9.74,-164.44410289964102,-12.273289521851868,-6.638563994932457
1.11,1.48,-9.58,-164.35965769726891,-12.330917071488786,-6.718914520918895
1.18,1.33,-9.48,-164.44410289964102,-12.330917071488786,-6.695956892035202
1.1,1.6,-9.44,-164.35965769726891,-12.284814782039538,-6.730393436549607
1.16,1.57,-9.56,-164.35965769726891,-12.273289521851868,-6.89110540785609
1.26,1.32,-9.62,-164.27566318431926,-12.330917071488786,-7.074792869515193
1.31,1.3,-9.81,-164.19211217641143,-12.296340166976414,-7.258498535026432
1.01,2.03,-9.11,-164.19211217641143,-12.204140573704526,-7.143680335170353
1.3,1.29,-9.82,-164.27566318431926,-12.307865676783145,-7.143680335170353
1.15,1.58,-9.28,-164.27566318431926,-12.330917071488786,-7.097755072388746
1.35,1.29,-9.93,-164.19211217641143,-12.330917071488786,-7.189606746883267
1.24,2.14,-9.76,-164.19211217641143,-12.261764386292771,-7.269980754447582
1.37,1.26,-9.82,-164.1089976777972,-12.411600904099071,-7.269980754447582
1.09,1.43,-9.24,-164.19211217641143,-12.457708722341447,-7.074792869515193
1.18,1.27,-9.43,-164.19211217641143,-12.492290914481536,-7.086273935339353
1.21,1.42,-9.26,-164.1089976777972,-12.480763390340035,-7.212570385921347
1.35,1.51,-9.69,-164.02631287450075,-12.480763390340035,-7.361841150905901
1.29,1.4,-9.67,-164.02631287450075,-12.480763390340035,-7.361841150905901
1.18,1.34,-9.32,-164.1089976777972,-12.469235993000286,-7.292945412680463
