acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-2.19,2.47,-9.3,-131.62233589525562,-43.49291375439449,7.844187348567063
-2.23,2.49,-9.36,-131.67829939723129,-43.4682404912652,7.763786880218299
-2.41,2.54,-8.99,-131.67829939723129,-43.44356934572808,7.740816022621952
-2.28,2.4,-9.11,-131.67829939723129,-43.45590465390315,7.557060298129735
-2.14,2.48,-9.57,-131.67829939723129,-43.4312345665289,7.442222882076424
-2.43,2.69,-8.98,-131.6503100355004,-43.369568597791215,7.534092210574165
-2.18,2.81,-9.46,-131.6503100355004,-43.35723698802017,7.568544455864768
-2.23,2.26,-9.21,-131.62233589525562,-43.44356934572808,7.809729533725751
-2.41,2.68,-9.25,-131.53850453910292,-43.49291375439449,7.913105112625811
-2.3,2.37,-9.51,-131.51059102084358,-43.57928687578811,8.096899901459961
-2.31,2.54,-9.35,-131.48269259246572,-43.66568603094216,8.361141590530956
-2.33,2.15,-9.26,-131.48269259246572,-43.7274156925049,8.556479215940191
-2.45,2.61,-9.25,-131.3990875860209,-43.78915870024722,8.866772764864926
-2.38,1.85,-9.05,-131.37124925693712,-43.93739653048951,9.188627520029687
-2.42,2.36,-9.04,-131.2878239276356,-44.0857117567441,9.660046657878476
-2.66,1.55,-8.96,-131.20453254720215,-44.14753269822064,10.4537848668845
-2.84,1.53,-8.84,-131.1213744286973,-44.11043851170447,11.19045487105573
-2.88,1.72,-9.16,-131.09368455172458,-44.12280269978493,11.351662230904264
-2.76,1.77,-9.45,-131.1213744286973,-44.06098716195297,11.328631235557037
-2.71,2.1,-9.36,-131.09368455172458,-44.0239043163285,11.3631779010396
-2.73,1.99,-9.05,-131.0660093808112,-44.03626472561431,11.466824127666603
-2.78,1.8,-9.05,-131.01070305716067,-44.13516742855202,11.489857897732715
-2.72,1.57,-9.27,-130.9830718545965,-44.271215191825895,11.570479767497384
-2.73,1.48,-9.01,-130.9830718545965,-44.30833052387342,11.651107384541652
-2.79,2.28,-9.15,-130.92785324394194,-44.40732869091076,11.731740790019304
-2.71,1.65,-9.16,-130.84513444406196,-44.69214333160206,12.00824269100582
-2.74,1.72,-9.28,-130.62518646665285,-45.1757570460561,12.492290914481536
-2.55,1.15,-9.52,-129.72743673627951,-46.3449113831939,12.918899554710151
-2.79,0.43,-9.11,-129.1371769317901,-47.1313522186008,13.818833482803017
-2.68,0.61,-9.65,-128.47409395200597,-47.895076146413096,14.211377245158012
-2.82,0.77,-9.39,-127.6108060653337,-48.82460984436268,14.696516297153034
-2.82,0.61,-9.11,-127.24853393391231,-49.13941280029733,15.135679738336451
-2.71,-0.01,-9.59,-126.60729740721462,-49.84601386938241,15.424724640986325
-2.99,0.55,-9.04,-125.97311846044452,-50.36463176877203,15.887402736014533
-2.92,0.03,-9.05,-125.27091255577452,-51.01128734852718,16.30403579859025
-2.94,-0.32,-8.81,-125.1463924412778,-51.04937993737921,16.605072138436235
-2.86,0.26,-8.96,-124.65089633148648,-51.58331440676472,16.524012627926176
-2.34,-2.42,-8.6,-124.47843555677235,-51.723352699323634,16.732468293463864
-3.0,-0.35,-7.63,-125.74649376545209,-49.99769103660336,16.686140017359815
-2.59,-0.13,-8.55,-128.0015563372832,-47.81985609667796,14.696516297153034
-1.78,1.89,-9.71,-130.29697555501406,-45.73483064826311,12.58451568698019
-1.67,2.01,-9.35,-132.5821583872238,-43.369568597791215,10.396251161173767
-1.52,0.99,-8.77,-134.29273249552642,-41.41533197987328,9.384074619875276
-1.21,1.66,-9.1,-136.90081703525604,-38.270597450084026,7.155161830094744
-1.23,2.51,-8.77,-140.00247242955643,-34.267106355147284,5.2271876941715805
-0.69,2.98,-9.25,-142.06390845011202,-31.423754097001943,3.6331610823402585
-0.59,3.22,-9.37,-144.841458151918,-27.67865707365,1.7189378496716434
-0.12,3.98,-9.1,-146.39227073603638,-25.03056340197877,0.5729601824818275
-0.05,4.1,-9.6,-147.8086150107539,-21.800531789289547,-1.3407518310456548
0.09,2.92,-8.56,-148.98694437514695,-19.250121718432275,-2.6243761106355543
0.41,5.05,-8.83,-149.63651807466178,-15.262847451308849,-4.596353909147252
0.78,6.41,-9.01,-149.54912686270868,-11.962154211464537,-6.799268354310192
1.36,3.44,-7.93,-149.50552295905456,-10.05110359058591,-8.165828301178744
1.5,6.97,-9.87,-148.14094650942238,-6.638563994932457,-9.890066196362191
1.51,6.54,-8.23,-147.72605283657722,-4.298191253728037,-10.51132121524803
2.07,8.13,-9.71,-146.79094642726758,-1.8450038134157023,-11.09834637461124
2.08,7.33,-8.88,-146.35265556905202,-0.43544897228424,-11.19045487105573
2.08,9.52,-8.39,-145.6471679681556,0.2979383891459227,-11.4092417341199
2.19,6.43,-7.69,-146.07660730478975,-0.0802140978691341,-11.420757981123572
2.23,7.13,-8.79,-145.91984007134727,-0.9282017781870658,-11.466824127666603
1.95,6.1,-8.83,-146.2735608004224,-2.1200647857418087,-11.31711591010567
1.58,5.9,-8.43,-146.9114591288739,-3.6675560000932936,-10.902639624835572
1.79,5.93,-8.69,-147.23493252348757,-4.940426564140192,-10.48830635783265
1.57,5.32,-8.48,-148.26644461114088,-5.984399237389443,-9.5450515760222
1.65,4.84,-9.03,-149.59279181341395,-6.684478178549483,-8.648411389524659
1.34,5.38,-8.82,-150.479330837061,-6.959986103018456,-7.855673444559318
1.18,4.26,-8.6,-151.34635737161238,-8.200293609338797,-6.833706733841952
0.99,5.16,-8.91,-151.6255402012684,-8.41859128124216,-6.030298919379606
0.8,5.27,-8.57,-152.28767595523584,-9.62554711472919,-5.0321866714644
0.52,2.81,-8.48,-153.01476916887475,-11.029269725697889,-4.160587661476331
0.39,4.07,-8.26,-153.01476916887475,-12.123472436717575,-3.2777655386010047
0.47,3.03,-9.23,-153.3110465719337,-12.838176201349,-2.865087475133015
0.11,1.9,-8.54,-153.36074062083046,-13.714952301602876,-2.3951379752687134
0.36,2.66,-10.89,-153.21193002249612,-14.026630173419028,-2.2346770389286066
0.34,2.34,-10.66,-153.36074062083046,-13.611082444309169,-1.3522117780748235
0.0,2.68,-9.75,-153.4604028099656,-12.965030073382623,-0.43544897228424
-0.17,2.63,-9.11,-153.41052586239525,-12.50381856554563,0.8136069048374162
-0.37,2.96,-9.64,-153.3110465719337,-11.535926836248436,1.94815034703792
-0.63,3.22,-9.08,-153.3110465719337,-10.902639624835572,2.922401528803221
-0.81,3.18,-9.5,-153.3110465719337,-10.246675787285364,3.851001219583861
-0.8,4.09,-9.42,-152.965699486827,-9.06217605835773,5.238658808769412
-0.8,4.29,-9.59,-152.62462859250311,-7.809729533725751,6.845186330854816
-1.07,4.25,-8.43,-152.23986727877062,-6.89110540785609,8.22327089407658
-1.25,4.96,-9.11,-151.16170585731885,-5.594289991509483,9.878564278366849
-1.59,4.64,-8.26,-150.29995438645182,-4.745446786894516,11.271055753655435
-1.92,5.41,-7.7,-149.07278485727542,-3.701951248377608,12.953497246186648
-2.35,5.11,-7.16,-148.4345315385202,-3.0714215263829594,14.026630173419028
-2.58,5.24,-6.96,-147.39783944401512,-2.509755787270372,15.170359975770204
-2.63,5.67,-6.44,-146.79094642726758,-2.142987063023817,15.817984589415364
-2.84,5.74,-5.67,-146.2735608004224,-1.8793858210517669,16.373495591769153
-2.96,5.75,-5.77,-146.19464572787078,-1.9710720103882065,16.466118077182387
-3.32,5.59,-5.9,-146.71084020226166,-2.360753104216733,16.16513427708501
-3.23,5.25,-6.19,-147.1943287474599,-2.7733864743736323,15.632898017228824
-2.69,6.21,-6.44,-148.14094650942238,-3.2892294003721183,14.673408500442047
-2.29,4.85,-6.59,-149.94434113378782,-4.263789782102698,13.299539926123945
-1.66,4.81,-8.03,-151.20776005427302,-5.112479412053579,11.939110700430104
-1.41,4.11,-8.4,-152.81901206638815,-6.236859579751598,10.258180960550504
-1.14,4.42,-8.06,-153.76161968319718,-7.212570385921347,9.050681021579294
-1.23,3.35,-8.4,-155.16145880106285,-8.510515201802361,7.281463046960031
-0.49,3.23,-10.09,-155.6456486519571,-9.556550648732504,5.777862453568277
-0.38,3.9,-9.41,-156.13951067883625,-10.67243717618693,4.3669953627837845
-0.3,2.51,-9.48,-156.6436585308699,-11.547444362906596,3.15166519950434
0.27,3.71,-10.26,-156.13951067883625,-12.907367253850758,1.1230152546764245
0.07,3.04,-9.9,-155.8639137604186,-13.761120312162008,0.0229183119580216
0.14,3.26,-9.79,-155.214797761141,-14.93918463283386,-1.3751317128217122
0.01,3.12,-9.26,-154.84376268843482,-15.713868313956253,-2.3263684457528235
0.72,2.68,-10.09,-154.16860854190614,-16.709303811577858,-3.7592774051414257
0.87,3.69,-10.39,-153.36074062083046,-17.485694626999518,-4.96336629149859
0.79,3.25,-9.15,-153.2614432071201,-17.798795314151782,-5.468092286497271
1.04,3.11,-9.93,-152.81901206638815,-18.49505809550988,-6.48935022815341
1.18,3.36,-10.09,-152.47972490837182,-18.99446893703411,-7.143680335170353
1.16,2.75,-10.48,-152.23986727877062,-19.470990576087328,-7.855673444559318
1.31,2.72,-10.58,-152.00202441389632,-19.8664125287693,-8.269226458088282
1.26,2.75,-10.43,-151.95469309277132,-20.01766618340029,-8.602444609340731
1.29,2.42,-10.25,-151.95469309277132,-20.21551264575777,-8.68288738926451
1.31,3.22,-9.9,-152.00202441389632,-20.00603003933895,-8.61393617408195
1.23,3.15,-9.58,-152.04943428155016,-19.912948378447748,-8.441571750266656
1.02,3.47,-9.25,-151.95469309277132,-19.889680039418103,-8.188805090876484
0.75,3.27,-8.88,-151.95469309277132,-19.92458285893285,-8.039461810968866
0.84,3.39,-9.25,-151.8602645048557,-19.912948378447748,-8.062436803571838
0.98,3.44,-9.45,-151.8602645048557,-19.912948378447748,-8.039461810968866
0.94,3.47,-9.39,-151.95469309277132,-19.81987998842397,-7.809729533725751
0.94,3.44,-9.05,-151.8602645048557,-19.76171895398025,-7.752301412421159
0.86,3.66,-9.45,-151.8602645048557,-19.72682480222871,-7.763786880218299
0.71,3.78,-8.88,-151.8602645048557,-19.83151281371854,-7.648935698119245
0.78,3.64,-8.92,-151.81316645370248,-20.01766618340029,-7.6259663887868285
0.96,3.36,-9.65,-151.6255402012684,-20.087487431641744,-7.913105112625811
0.91,3.36,-9.51,-151.5321813460659,-20.20387293870638,-8.119875707408232
1.05,4.12,-9.24,-151.3927025567389,-20.23879269230359,-8.23475966058657
0.98,3.17,-9.07,-151.1157235364922,-20.623036118505983,-8.430081473298436
0.88,3.61,-9.02,-150.97820441576042,-20.809420100088573,-8.590953131273462
1.05,3.41,-9.37,-150.70506138327715,-21.100756747738608,-8.95872400294449
1.15,3.42,-9.42,-150.56941987552764,-21.20567161915569,-9.073671186517632
0.99,3.87,-8.77,-150.52434170035053,-21.25230621784773,-9.17713147157167
1.09,3.63,-8.98,-150.34469905459454,-21.56718332965744,-9.464560757916416
1.13,2.91,-8.92,-149.98856759602742,-22.11569761985897,-10.246675787285364
1.44,3.23,-9.37,-149.59279181341395,-22.34926291674045,-11.144399719947115
1.73,3.5,-10.0,-149.24516700325162,-22.53618284114898,-11.904546342091734
1.53,3.58,-8.85,-149.24516700325162,-22.44271531767953,-11.950632395319571
1.72,3.32,-9.6,-149.1588584140195,-22.53618284114898,-12.169567773976445
1.6,3.55,-9.07,-149.0298356031949,-22.617979384064764,-12.238714488577818
1.65,3.76,-9.28,-148.98694437514695,-22.73485185773412,-12.273289521851868
1.66,3.05,-9.21,-148.94411093259438,-22.851748300506443,-12.330917071488786
1.61,3.3,-9.14,-148.6458749656724,-23.10900551875196,-12.607573156584117
1.68,3.11,-9.34,-148.56117141184754,-23.08561363949995,-12.861239362009444
