TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1266989.0,1158.514631,1.0,0.95,-0.67,-10.13,8.56,-1.25,35.06,1.63,-1.44,-1.44,-0.031130196796809506,-0.07866674178437999,-0.38948370129013377,-111.38001462419376,-68.2776528480455,-2.200293133435064,0.0494,-0.826,-0.5612,-0.0192
1267025.0,1158.517906,1.0,0.79,-0.66,-9.82,8.19,-2.06,35.5,0.37,-0.19,-0.44,-0.08672922572603924,0.032819699719634936,-0.06672332975489859,-111.38001462419376,-68.2776528480455,-2.1659094260652934,0.0491,-0.826,-0.5612,-0.0189
1267060.0,1158.54155,1.0,0.79,-0.73,-9.92,8.19,-2.06,35.5,-0.81,-1.25,0.19,-0.1449515848515433,0.016894808544274442,-0.17042891135944238,-111.38001462419376,-68.2776528480455,-2.142987063023817,0.0492,-0.826,-0.5612,-0.0187
1267095.0,1158.578845,1.0,0.81,-0.52,-10.0,8.19,-1.69,36.25,2.44,2.56,-0.56,0.05408441603782821,0.08221488426048934,-0.2390861894859597,-111.40034681062792,-68.2499653014806,-2.1659094260652934,0.049,-0.8261,-0.561,-0.0189
1267130.0,1158.637791,1.0,0.87,-0.57,-9.82,7.75,-1.25,35.88,-2.44,-1.44,0.5,0.027187468775522416,-0.011075951680572571,-0.06823421019891995,-111.40034681062792,-68.2499653014806,-2.1544482337672357,0.049,-0.8261,-0.561,-0.0188
1267165.0,1158.654189,1.0,0.97,-0.52,-9.93,8.56,-2.06,34.25,1.75,1.06,-0.06,0.10561274731165662,-0.07846300462905627,-0.18328941445641966,-111.42068428698192,-68.23612322826888,-2.1773706400327653,0.0486,-0.8262,-0.5609,-0.019
1267200.0,1158.693429,1.0,0.9,-0.51,-9.98,8.56,-2.06,34.25,-2.81,-1.44,1.0,0.09096203516349324,-0.007821046751445071,-0.2264036099129197,-111.46137512854489,-68.20844247958603,-2.1659094260652934,0.0485,-0.8264,-0.5607,-0.0189
1267236.0,1158.750854,1.0,0.82,-0.52,-10.0,9.0,-2.5,34.69,0.25,0.19,-0.56,0.04585475262983847,0.054522003487848636,-0.2401268310437245,-111.4817285033188,-68.19460380315536,-2.1659094260652934,0.0479,-0.8265,-0.5606,-0.0189
1267269.0,1158.805295,1.0,0.81,-0.52,-9.87,8.56,-1.69,35.88,0.75,0.44,0.63,0.04264937324674376,0.055684199983608906,-0.10992603716292317,-111.4817285033188,-68.18076625802583,-2.1659094260652934,0.0482,-0.8265,-0.5605,-0.0189
1267306.0,1158.822064,1.0,0.78,-0.58,-9.89,8.56,-1.69,35.88,-0.94,-0.44,-0.25,-0.02483984272071253,0.06178099995707725,-0.13077753886829413,-111.4817285033188,-68.18076625802583,-2.1659094260652934,0.0481,-0.8265,-0.5605,-0.0189
1267341.0,1158.861723,1.0,0.87,-0.59,-10.08,7.75,-2.5,35.06,1.88,0.44,1.0,0.010464512297836931,-0.003286833703935399,-0.328007354380885,-111.50208718714256,-68.16692984371839,-2.142987063023817,0.0484,-0.8266,-0.5604,-0.0187
1267376.0,1158.931605,1.0,0.8,-0.62,-9.89,9.0,-1.69,35.06,-0.69,0.06,-0.12,-0.050559012354024636,0.030706142052408736,-0.13482880946844136,-111.50208718714256,-68.16692984371839,-2.1544482337672357,0.0483,-0.8266,-0.5604,-0.0188
1267410.0,1158.974126,1.0,0.92,-0.53,-10.06,9.0,-1.69,35.06,-1.37,0.5,1.19,0.08342240379545057,-0.023876687652835068,-0.3088515004858632,-111.52245118481588,-68.13926040565448,-2.1659094260652934,0.0486,-0.8267,-0.5602,-0.0189
1267445.0,1158.99024,1.0,0.87,-0.5,-9.97,9.0,-1.25,34.69,3.38,1.5,0.31,0.0822566127396932,0.022635948097284142,-0.21335606105177607,-111.52245118481588,-68.13926040565448,-2.200293133435064,0.0483,-0.8267,-0.5602,-0.0192
1267480.0,1158.9929240000001,1.0,0.79,-0.5,-9.82,8.19,-1.69,35.88,-3.06,0.63,0.44,0.039441150811429904,0.08086815358036414,-0.05734537395264639,-111.5428205011455,-68.12542738094108,-2.24613838532295,0.048,-0.8268,-0.5601,-0.0196
1267517.0,1159.026472,1.0,0.85,-0.59,-9.88,8.56,-1.69,35.5,2.88,3.25,0.44,-0.017633229789737942,0.013209434824555609,-0.12735798167783052,-111.5428205011455,-68.12542738094108,-2.280522559802512,0.0487,-0.8268,-0.5601,-0.0199
1267550.0,1159.042483,1.0,0.85,-0.49,-9.81,8.56,-1.69,35.5,-3.5,5.5,0.81,0.059207236019184324,0.05994592642022084,-0.05193006961999736,-111.5428205011455,-68.09776471776088,-2.4065996467302937,0.049,-0.8268,-0.5599,-0.021
1267587.0,1159.117327,1.0,0.95,-0.69,-10.02,7.06,-1.69,35.5,3.31,8.94,1.75,-0.10105141957573002,-0.01924501818236945,-0.2813834178608303,-111.58357510903522,-68.0148037838229,-2.6931495578860725,0.0512,-0.8270000000000001,-0.5593,-0.0235
1267619.0,1159.1229130000004,1.0,0.95,-0.35,-9.59,8.56,-1.25,34.69,-4.56,9.38,2.0,0.17724338410908208,0.0904103835887205,0.16540989587807609,-111.6447470313604,-67.94570061664109,-2.9453273542124467,0.0517,-0.8273,-0.5588,-0.0257
1267654.0,1159.171935,1.0,0.93,-0.17,-9.49,8.56,-1.25,34.69,5.69,20.62,-1.63,0.30158593502472697,0.260857732472049,0.2780142546687294,-111.6243510494048,-67.89043829465147,-3.438262641755622,0.0549,-0.8272,-0.5584,-0.03
1267689.0,1159.2351529999999,1.0,1.27,-0.78,-10.31,7.5,-1.69,35.88,14.31,27.44,-0.06,-0.11850049188569844,-0.0208232379054244,-0.6098236848026435,-111.50208718714256,-67.89043829465147,-3.873932556571698,0.0613,-0.8266,-0.5584,-0.0338
1267726.0,1159.2392,1.0,1.57,-0.38,-10.34,6.25,-1.69,35.88,11.56,12.63,0.56,0.381847216815512,-0.0009678590917013008,-0.6517959536902058,-111.4817285033188,-67.79377236455424,-4.240855681461491,0.0674,-0.8265,-0.5577,-0.037000000000000005
1267761.0,1159.276668,1.0,1.25,-0.28,-10.36,6.25,-1.69,35.88,10.19,-14.75,-7.56,0.4234874558371848,0.34195508653468465,-0.6180430455309605,-111.31904975679159,-67.94570061664109,-3.9541934642266323,0.0697,-0.8257,-0.5588,-0.0345
1267795.0,1159.313763,1.0,1.14,-0.45,-10.21,6.25,-2.06,35.88,20.25,-40.19,-10.81,0.3917929479856063,0.17742091865279475,-0.4676490078901789,-110.91382347990452,-68.47159291816318,-2.589989743099661,0.0673,-0.8237,-0.5626,-0.0226
1267830.0,1159.334962,1.0,1.79,-0.99,-11.66,6.69,-1.69,35.0,14.75,-98.94,-21.69,0.5248563521527421,-1.0150136948195256,-1.9761371494368305,-110.1295559906411,-69.4865054886989,0.5156637559929028,0.0554,-0.8198,-0.5699,0.0045
1267867.0,1159.428312,1.0,0.18,-2.14,-9.97,9.69,0.5,35.88,8.69,-198.56,-42.31,-0.9289951799859956,-0.8206811444132767,-0.3164103285156461,-108.83922979141936,-70.83076596739934,4.642227799866185,0.0318,-0.8133,-0.5795,0.0405
1267900.0,1159.437843,1.0,-0.57,-2.41,-9.75,9.69,0.5,35.88,-0.94,-221.0,-27.12,-0.98230995068802,-1.5096199874623883,-0.09040080588320264,-106.604670219113,-72.18633490403623,11.558962006616273,-0.0098,-0.8018,-0.5891,0.1007
1267937.0,1159.440654,1.0,-1.7,-2.72,-9.62,15.69,0.5,32.75,-7.5,-168.63,-4.38,-1.392712396771398,-1.3975978189343985,-0.1402023924098259,-105.23498190512574,-72.35660000190678,15.713868313956251,-0.0396,-0.7946,-0.5903,0.1367
1267974.0,1159.477995,1.0,-3.3,-1.91,-7.36,20.87,0.88,30.0,-30.94,-128.88,3.5,-1.3304164811821728,0.12651893661689795,1.6260824802446532,-103.70069435268984,-72.34240418316186,19.273367657733324,-0.0728,-0.7864,-0.5902,0.1674
1268008.0,1159.5250529999996,1.0,-3.7,-2.46,-8.94,20.87,0.88,30.0,-14.25,-64.0,25.0,-1.6689021050199235,-0.5478080727222666,-0.020855893120614862,-103.5709322566378,-71.70491441526583,20.611388956075047,-0.0875,-0.7857,-0.5857,0.1789
1268043.0,1159.536128,1.0,-4.15,-0.5,-8.22,25.5,-0.19,27.5,-36.75,-51.13,35.38,-0.2164666293352725,0.2770738317079125,0.5915931748812895,-104.03523089910144,-70.4375427333033,21.34558610673021,-0.1093,-0.7882,-0.5767,0.1852
1268078.0,1159.5899060000004,1.0,-4.5,0.2,-7.42,25.69,-1.25,26.37,-22.69,-23.87,36.38,0.10275977427622708,0.9489711291760562,1.1790608683374924,-104.68932827217476,-69.4307331793357,21.473869337236096,-0.1191,-0.7917,-0.5695,0.1863
1268115.0,1159.6442789999999,1.0,-4.5,0.26,-8.11,28.0,-3.19,26.37,-9.56,7.94,35.25,0.11188025620191032,0.6400219842133996,0.5509731113010563,-105.84105681640696,-68.2499653014806,21.065789103644565,-0.1243,-0.7978,-0.561,0.1828
