acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-4.58,2.64,-8.49,-38.16145144122449,-127.87100362286014,-4.848669626539135
-4.82,2.55,-8.13,-38.17357699786608,-127.7928177632481,-4.802792327898413
-4.7,2.64,-8.3,-38.14932632838656,-127.84492955883974,-4.860139072417077
-4.83,2.7,-7.87,-38.13720165916782,-127.89708982203928,-4.871608567013157
-4.7,2.71,-8.21,-38.18570299849585,-127.97542141388575,-4.89454770282183
-4.63,2.58,-8.36,-38.197829443298346,-128.05386288415187,-4.906017344265488
-4.68,2.57,-8.13,-38.20995633245823,-128.0800345447506,-4.906017344265488
-4.76,2.68,-8.13,-38.23421144458892,-128.0015563372832,-4.906017344265488
-4.84,2.68,-8.09,-38.24633966792924,-127.94929869917114,-4.848669626539135
-4.88,2.69,-7.83,-38.23421144458892,-127.94929869917114,-4.871608567013157
-4.76,2.46,-8.08,-38.24633966792924,-127.97542141388575,-4.825730880475589
-4.68,2.69,-8.19,-38.24633966792924,-127.97542141388575,-4.837200229263812
-4.8,2.69,-8.0,-38.22208366616019,-127.94929869917114,-4.825730880475589
-4.69,2.54,-8.24,-38.18570299849585,-128.0015563372832,-4.768384859798278
-4.75,2.6,-8.11,-38.20995633245823,-128.0015563372832,-4.733977821845079
-4.75,2.63,-8.19,-38.20995633245823,-128.0277034878583,-4.699571210920838
-4.69,2.43,-8.11,-38.20995633245823,-128.05386288415187,-4.6078223124450055
-4.67,2.59,-8.11,-38.22208366616019,-128.05386288415187,-4.596353909147252
-4.84,2.56,-8.01,-38.24633966792924,-128.0277034878583,-4.573417240623146
-4.85,2.57,-7.97,-38.24633966792924,-128.0277034878583,-4.584885551911774
-4.79,2.57,-8.04,-38.24633966792924,-128.0800345447506,-4.6078223124450055
-4.76,2.75,-8.25,-38.24633966792924,-128.10621848828742,-4.61929076192046
-4.77,2.43,-8.03,-38.24633966792924,-128.10621848828742,-4.584885551911774
-4.81,2.72,-7.98,-38.23421144458892,-128.10621848828742,-4.6078223124450055
-4.73,2.53,-8.16,-38.24633966792924,-128.1324147334415,-4.573417240623146
-4.66,2.4,-8.36,-38.270597450084026,-128.18484420355122,-4.539012581284228
-4.86,2.6,-7.79,-38.270597450084026,-128.1586232989387,-4.550480755424785
-4.66,2.4,-7.85,-38.306987464775865,-128.1586232989387,-4.550480755424785
-4.56,2.39,-8.03,-38.391913118452734,-128.2110774660985,-4.6078223124450055
-4.13,2.39,-7.93,-38.47686069075838,-128.2898515902458,-4.699571210920838
-3.83,2.11,-7.59,-38.57397055139104,-128.39505791682004,-4.802792327898413
-4.3,1.34,-7.03,-38.8168714421915,-128.47409395200597,-5.020716482682318
-4.21,2.33,-7.25,-39.23022039326242,-128.39505791682004,-5.686074397008276
-3.92,2.74,-7.62,-39.64410140012821,-128.31613447366578,-6.225383461526625
-3.8,2.6,-8.16,-40.16831276292925,-128.2898515902458,-6.937025592767178
-3.73,2.97,-7.53,-40.57120935574602,-128.23732310544656,-7.568544455864768
-3.73,2.79,-7.36,-41.14593859433644,-128.2635811405088,-8.636919564056372
-3.17,2.81,-8.44,-41.58688876109751,-128.31613447366578,-9.556550648732504
-2.88,3.13,-8.57,-42.22495842729175,-128.18484420355122,-10.833574298853826
-3.06,2.98,-7.83,-42.71671526594671,-128.0277034878583,-11.766299745968876
-2.91,3.81,-8.36,-43.44356934572808,-127.6108060653337,-13.230321745568984
-1.98,4.07,-9.98,-43.96211035016289,-127.3259688536123,-14.361511562916563
-2.46,4.29,-8.95,-44.605429900527255,-126.81171301116376,-15.656031584502133
-2.51,4.47,-8.6,-45.23782004339508,-126.22595924751906,-16.871469682269606
-1.68,4.61,-10.38,-45.64778844933024,-125.821937957947,-17.81039419409229
-1.97,4.42,-9.76,-46.220292814904006,-125.22107317255428,-18.72729753587516
-2.1,5.39,-8.83,-46.59432285421078,-124.72495975966048,-19.43611171140661
-1.92,5.03,-9.15,-46.918907837056295,-124.38010760157816,-20.157316215575328
