acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.71,1.26,-10.09,-53.60288337963247,-125.57083317422124,-3.117274866889664
-0.96,0.65,-9.7,-53.538700860812206,-125.64605206137207,-2.9911793597011727
-1.15,0.8,-9.4,-53.48736790080604,-125.67114640173416,-3.014105541619682
-0.85,0.96,-9.85,-53.500200054022216,-125.67114640173416,-3.0599582684028324
-0.61,1.04,-10.14,-53.525866533741606,-125.64605206137207,-3.0370318442136965
-0.93,0.82,-9.59,-53.56437169079451,-125.62096841990898,-2.8994758203914888
-0.98,0.89,-9.71,-53.538700860812206,-125.62096841990898,-2.956790311078442
-0.92,0.79,-9.95,-53.538700860812206,-125.62096841990898,-2.8994758203914888
-0.84,0.98,-9.76,-53.60288337963247,-125.57083317422124,-2.865087475133015
-0.9,1.11,-9.77,-53.57720819427434,-125.57083317422124,-2.9338644268256844
-1.01,0.81,-9.82,-53.59004542379221,-125.59589546247182,-2.8421620551927376
-0.74,0.97,-10.05,-53.59004542379221,-125.59589546247182,-2.865087475133015
-1.03,1.1,-9.44,-53.60288337963247,-125.57083317422124,-2.8421620551927376
-1.01,0.97,-9.82,-53.56437169079451,-125.62096841990898,-2.8421620551927376
-1.01,0.91,-9.71,-53.55153591306849,-125.62096841990898,-2.865087475133015
-0.93,1.02,-9.69,-53.538700860812206,-125.64605206137207,-2.8421620551927376
-1.07,0.89,-9.71,-53.48736790080604,-125.696251455902,-2.8192367490322434
-0.84,0.95,-10.08,-53.38473671711783,-125.821937957947,-2.968253297538604
-0.76,0.95,-9.84,-53.35908614472047,-125.84710760989958,-3.014105541619682
-0.97,1.07,-9.34,-53.28215172783013,-125.94789456078652,-3.2089830530311807
-0.93,1.0,-9.41,-53.25651268144825,-126.04885559306123,-3.4841201823987773
-0.43,1.55,-9.67,-53.24369423684897,-126.12469119973764,-3.931261580029344
-0.19,1.7,-9.61,-52.83388194622903,-126.658333240647,-4.527544452628878
0.04,0.35,-10.02,-52.578118912593965,-127.04255474483055,-4.6766337060034
-0.11,0.68,-9.29,-52.23328523623708,-127.40350962041992,-5.364844561963229
0.54,1.63,-9.27,-51.95268548055449,-127.6108060653337,-6.259812004164343
1.15,1.01,-10.17,-51.35433895468569,-128.05386288415187,-7.155161830094744
0.54,0.81,-8.76,-50.88435563772038,-128.4213907260083,-7.717845476549469
0.51,0.56,-7.82,-50.21272747501065,-128.55324310023371,-9.430066128049686
3.67,1.78,-11.04,-49.69442993487328,-128.39505791682004,-10.994732910342313
2.48,0.94,-9.7,-49.13941280029733,-128.5268474503853,-11.4092417341199
1.96,0.81,-9.0,-48.79944259465472,-128.60607229870925,-11.766299745968876
2.36,0.6,-9.33,-48.4850628718776,-128.2635811405088,-12.469235993000286
3.64,0.81,-10.72,-48.39710622669993,-127.6627493662712,-13.288003224878931
3.16,0.77,-9.94,-48.19617622057904,-127.6627493662712,-13.634163660769715
2.66,0.38,-9.2,-48.19617622057904,-127.40350962041992,-13.93427040697098
3.35,1.45,-9.26,-48.15851940424125,-127.068261462492,-14.823619947246296
3.23,0.97,-9.97,-48.02049166769566,-127.01685959928788,-15.37847086963133
3.17,1.25,-9.85,-48.15851940424125,-126.93984342653314,-15.644464720667994
3.42,0.97,-10.35,-48.42223359833176,-126.6328096707232,-16.10726571114575
3.4,1.21,-10.42,-48.82460984436268,-126.32740410450675,-16.419805484293857
3.22,2.04,-10.22,-49.47984477339551,-125.8974793863132,-16.929394296591493
2.67,1.24,-10.1,-49.84601386938241,-125.72136723881636,-17.080018727926856
2.98,1.99,-10.31,-50.70676349859697,-125.02213252137535,-17.474100846214462
2.61,2.26,-9.68,-51.39248622701663,-124.52765968867384,-17.578451378167774
2.67,2.17,-10.2,-52.14396705080251,-123.96398525409832,-17.914792407087575
2.59,2.67,-10.02,-52.87227083326433,-123.40547411170807,-17.972797887176398
1.56,2.85,-9.19,-54.06553592895308,-122.7322966604894,-17.253853117357277
1.2,2.14,-9.22,-54.58071505177939,-122.44600053491276,-16.917809025605248
1.35,3.13,-9.7,-55.16172418420825,-121.8536919796764,-16.929394296591493
0.58,2.51,-9.09,-55.78316856909328,-121.2668396082864,-16.43138337904295
0.56,3.95,-8.68,-56.00369069764568,-120.87081305028902,-16.489275388774946
0.78,2.63,-9.81,-56.22443872055198,-120.82438029207812,-15.690733139619653
0.14,2.81,-9.13,-56.31540097731903,-120.73161403507063,-15.274409087771584
-0.09,2.13,-9.54,-56.44541415515268,-120.52337099749846,-14.927627478593791
-0.28,3.24,-8.64,-56.62756576019291,-120.08590691104772,-15.22816347918777
-0.37,2.74,-8.88,-56.73172243401768,-119.78825181236216,-15.459416628401115
-0.03,3.02,-9.79,-56.94018936700064,-119.4237274219872,-15.667598608855752
-0.34,3.46,-8.91,-56.94018936700064,-119.28754177396172,-15.841123321226055
-0.37,3.04,-9.1,-56.84895982984303,-119.4237274219872,-15.494110041456644
-0.41,3.06,-9.18,-56.84895982984303,-119.46918424877704,-15.274409087771584
-0.39,3.1,-9.43,-56.73172243401768,-119.56019073883044,-15.205041610922963
-0.59,3.12,-8.96,-56.62756576019291,-119.65132148129857,-15.112560354905924
-0.62,2.92,-9.4,-56.60153456365382,-119.78825181236216,-14.84673166768115
-0.44,2.95,-9.7,-56.57550655085348,-119.85682289966007,-14.569430825374988
-0.59,2.94,-9.03,-56.5494817192817,-119.92546492630352,-14.153639819523336
-0.54,3.11,-9.26,-56.49744158979394,-119.99417813762396,-14.072813487232237
-0.6,2.95,-9.39,-56.40640189813039,-120.108859015364,-13.957359493385503
-0.86,2.61,-9.15,-56.36739676228097,-120.17776326239716,-13.79574779269871
-0.76,2.94,-8.99,-56.31540097731903,-120.20074735368748,-13.968904250085991
-0.43,3.12,-9.81,-56.31540097731903,-120.22373946495335,-14.061267443693245
-0.73,2.84,-9.44,-56.36739676228097,-120.17776326239716,-13.865006554805133
-0.78,2.85,-8.89,-56.3283987391895,-120.20074735368748,-13.865006554805133
-0.41,3.04,-9.81,-56.34139729043255,-120.20074735368748,-13.991994191085649
-0.49,2.83,-10.06,-56.35439663135928,-120.22373946495335,-13.899637842978937
-0.76,2.94,-9.1,-56.39339939535494,-120.17776326239716,-13.761120312162008
-0.44,2.99,-9.59,-56.36739676228097,-120.20074735368748,-13.830376539145911
-0.56,2.97,-9.5,-56.36739676228097,-120.20074735368748,-13.807290567361374
-0.84,2.89,-9.27,-56.3283987391895,-120.2467396055226,-13.714952301602876
-0.56,2.93,-9.33,-56.31540097731903,-120.2467396055226,-13.714952301602876
-0.51,3.02,-9.67,-56.3283987391895,-120.2467396055226,-13.714952301602876
-0.75,2.89,-9.34,-56.28940782045202,-120.31578829659291,-13.495684664619231
-0.66,2.69,-9.42,-56.2114472624779,-120.38490958888936,-13.322613734970494
-0.9,3.21,-9.32,-56.2374309655145,-120.3388206480064,-13.253393932396618
-0.83,2.56,-9.83,-56.15948929286995,-120.40796619724487,-13.034229810442689
-0.91,2.84,-9.76,-56.18546670575561,-120.36186107562722,-12.907367253850758
-0.84,2.6,-10.02,-56.26341781734521,-120.2467396055226,-12.561458728935325
-1.01,3.02,-9.53,-56.35439663135928,-119.99417813762396,-12.469235993000286
-0.98,2.88,-9.79,-56.53647049567268,-119.60574054309872,-12.215665087929844
-1.2,3.61,-8.54,-56.7968463150502,-119.12900695445512,-11.823900394126868
-1.41,3.44,-8.63,-56.73172243401768,-118.92572331092975,-11.397725602729444
