TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2327121.0,2269.890391,1.0,0.44,0.07,-9.77,6.69,-18.87,25.37,0.0,3.38,0.88,-0.0931681976267235,0.055632547767804665,0.02709864492343605,-156.25063177900063,-23.5419325351228,-3.2089830530311807,0.0029,-0.9786,-0.204,-0.027999999999999997
2327158.0,2269.893716,1.0,0.6,0.14,-9.78,7.06,-18.56,25.75,-1.31,2.0,0.88,0.0645282478182396,0.055694810773701225,0.0076329986224425985,-156.25063177900063,-23.506817731301986,-3.300693295071686,0.0027,-0.9786,-0.2037,-0.0288
2327191.0,2269.985216,1.0,0.5,0.16,-9.67,7.06,-18.56,25.75,1.37,2.5,-0.12,-0.02163696583428372,0.11777907019824782,0.12315063601320198,-156.25063177900063,-23.506817731301986,-3.35801326652208,0.0029,-0.9786,-0.2037,-0.0293
2327224.0,2270.021436,1.0,0.41,0.05,-9.82,6.38,-18.56,26.19,1.25,3.06,-0.44,-0.16934283910846612,0.0701517391054109,-0.02032317266833417,-156.19500732541925,-23.518522416981746,-3.4497269749928665,0.0035,-0.9785,-0.2038,-0.0301
2327261.0,2270.029015,1.0,0.52,-0.02,-9.65,5.56,-19.25,25.75,1.37,3.31,0.12,-0.09731364825556134,-0.025094038614323404,0.14315165089840498,-156.19500732541925,-23.506817731301986,-3.5299782811888885,0.0042,-0.9785,-0.2037,-0.0308
2327296.0,2270.04864,1.0,0.56,0.0,-9.76,5.56,-19.25,25.75,0.94,3.63,0.94,-0.07781889412598658,-0.004497203306553982,0.030908391565402482,-156.19500732541925,-23.49511329436541,-3.6560909909367436,0.0048,-0.9785,-0.2036,-0.0319
2327328.0,2270.093164,1.0,0.66,-0.11,-9.87,5.56,-18.87,25.75,1.0,2.06,0.37,-0.045961313354892716,-0.1285817346325236,-0.0850613936463791,-156.19500732541925,-23.47170516617001,-3.724881599063971,0.0054,-0.9785,-0.2034,-0.0325
2327363.0,2270.1551289999998,1.0,0.6,0.01,-9.72,6.69,-19.25,25.75,-0.37,1.56,2.0,-0.052471760770696256,0.0078268392357261,0.06828846148084189,-156.25063177900063,-23.41318918903326,-3.7822081305683333,0.0056,-0.9786,-0.2029,-0.033
2327398.0,2270.210943,1.0,0.65,0.01,-9.69,6.0,-18.87,26.19,-0.88,1.25,1.31,-0.011920837052511936,-0.009026199580665362,0.09488000574225276,-156.30638493987288,-23.366380865675165,-3.82807003686826,0.0057,-0.9787,-0.2025,-0.0334
2327433.0,2270.218201,1.0,0.64,0.28,-9.68,6.0,-18.87,26.19,-0.5,2.13,2.13,0.07049149678175681,0.24242665336310176,0.10476047957045154,-156.36226771891504,-23.284475807440252,-3.919795697049856,0.0055,-0.9788,-0.2018,-0.0342
2327470.0,2270.2356019999997,1.0,0.63,0.09,-9.84,5.19,-18.87,25.37,2.25,3.38,0.44,-0.03760946211331603,0.08862700864234893,-0.05343776744399165,-156.36226771891504,-23.284475807440252,-4.011523869819651,0.006,-0.9788,-0.2018,-0.035
2327504.0,2270.238659,1.0,0.68,0.04,-9.75,6.38,-18.56,26.56,2.13,1.12,0.75,-0.012425975398701687,0.03607586003752436,0.032958572117806284,-156.36226771891504,-23.272776070440536,-4.068855279934243,0.0067,-0.9788,-0.2017,-0.0355
2327537.0,2270.275719,1.0,0.6,-0.07,-9.66,6.38,-18.56,26.56,2.19,0.06,1.25,-0.11473551463290273,-0.02369678421170736,0.12849034931744185,-156.36226771891504,-23.2493773342699,-4.034456312516312,0.0074,-0.9788,-0.2015,-0.0352
2327572.0,2270.335954,1.0,0.64,-0.11,-9.78,4.88,-19.25,26.56,0.81,0.63,0.5,-0.10018837351249807,-0.06503449226015334,0.0058422371352779825,-156.36226771891504,-23.237678334824075,-4.034456312516312,0.0078,-0.9788,-0.2014,-0.0352
2327609.0,2270.3917460000002,1.0,0.61,-0.07,-9.76,5.19,-18.87,26.56,-1.06,-0.5,0.69,-0.1104455881045572,-0.016939293868325975,0.027993914811633047,-156.41828103776766,-23.202582809395707,-4.034456312516312,0.0078,-0.9789,-0.2011,-0.0352
2327642.0,2270.398913,1.0,0.51,-0.08,-9.64,5.19,-18.87,26.56,-1.81,-2.69,0.94,-0.19173665321659605,0.002490759754353256,0.15474185435702734,-156.41828103776766,-23.179187018494158,-3.988591587846416,0.0075,-0.9789,-0.2009,-0.0348
2327676.0,2270.448641,1.0,0.44,0.03,-9.66,4.88,-18.56,26.56,-3.06,-0.81,1.31,-0.2048329020726084,0.1081775454108209,0.13936283653488424,-156.5307030363511,-23.13239837427011,-3.908329853329541,0.0064,-0.9791,-0.2005,-0.0341
