acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-6.89,-0.2,-6.82,-101.33846927981492,62.19553975386646,35.23968756061282
-6.76,0.0,-7.0,-101.32039083270725,62.20892259984078,35.26373479080068
-6.7,-0.05,-6.91,-101.35655120840237,62.20892259984078,35.227664546585345
-6.63,-0.15,-7.12,-101.41081790768304,62.182157850572864,35.20361971980137
-6.81,-0.14,-7.1,-101.465116029099,62.12863965657575,35.20361971980137
-6.7,-0.3,-7.31,-101.5194456395094,62.115262460964935,35.143514652215984
-6.43,-0.03,-7.5,-101.61006514803414,62.115262460964935,35.04736729747761
-6.64,-0.3,-7.26,-101.57380680599564,62.101886205747824,35.03535067049245
-6.82,-0.19,-7.04,-101.50133226645922,62.101886205747824,35.131494837214326
-6.87,-0.16,-6.75,-101.44701315982276,62.14201779296097,35.131494837214326
-6.74,-0.15,-6.93,-101.39272551986971,62.182157850572864,35.131494837214326
-6.8,0.12,-6.97,-101.35655120840237,62.20892259984078,35.16755548021839
-6.73,0.03,-7.04,-101.35655120840237,62.22230638887762,35.17957649356332
-6.74,0.01,-7.01,-101.37463662093218,62.182157850572864,35.227664546585345
-6.57,-0.12,-7.31,-101.48322239715056,62.14201779296097,35.10745640434998
-6.67,-0.31,-7.19,-101.55568290678625,62.07513651497276,35.07140174532199
-6.64,-0.39,-7.19,-101.61006514803414,62.03501902225592,35.02333444123644
-6.58,-0.24,-7.38,-101.61006514803414,62.03501902225592,34.96325925488904
-6.75,-0.16,-7.25,-101.57380680599564,62.03501902225592,34.9512454084058
-6.53,-0.22,-7.39,-101.50133226645922,62.07513651497276,34.91520624744418
-7.05,-0.11,-6.7,-101.41081790768304,62.02164840141652,34.9993031752255
-6.88,-0.16,-6.95,-101.41081790768304,62.02164840141652,34.90319398604888
-6.75,-0.14,-6.94,-101.465116029099,62.00827871831106,34.795101425948374
-6.69,-0.27,-6.93,-101.5194456395094,61.99490997256027,34.62702088107143
-6.86,-0.22,-6.8,-101.59193421891216,61.99490997256027,34.471014881449136
-6.48,-0.27,-7.26,-101.99163135724292,62.07513651497276,33.78776111254545
-6.52,-0.58,-7.24,-102.31994097048526,62.15539687050149,33.22530683110648
-6.3,-0.52,-7.57,-102.48453447446366,62.22230638887762,32.890619725136126
-6.29,-0.38,-7.5,-103.27503144100896,62.49018080239912,31.578534757977327
-5.92,-1.19,-7.54,-104.1843158106976,63.13463755141501,29.45237314889127
