acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.68,-3.4,-9.97,-140.54206620040912,-34.90319398604888,2.269061145645111
0.24,-3.0,-9.13,-140.50813431460048,-34.89118212049759,2.269061145645111
0.44,-2.36,-9.48,-140.71214769326966,-34.66303165808797,2.0054546535892377
0.6,-2.4,-9.66,-140.8145368825897,-34.471014881449136,1.7303983035632713
0.65,-2.88,-10.0,-140.54206620040912,-34.63902408126335,1.638715147453804
0.55,-3.59,-9.82,-140.40650617828152,-34.699045966979874,1.6616358358374437
0.37,-2.88,-9.37,-140.47423039692836,-34.66303165808797,1.581413711340907
0.41,-3.29,-9.45,-140.40650617828152,-34.675036035061034,1.5126525087430307
0.41,-3.29,-9.53,-140.47423039692836,-34.49501150829637,1.4668120111410634
0.55,-3.11,-9.32,-140.61001416599206,-34.315074743396394,1.3865917007687605
0.64,-2.96,-9.44,-140.54206620040912,-34.315074743396394,1.294912175882028
0.36,-3.16,-9.01,-140.54206620040912,-34.30308206548676,1.3178319771025526
0.4,-3.05,-9.07,-140.54206620040912,-34.267106355147284,1.100095864564908
0.73,-3.17,-9.62,-140.61001416599206,-34.15920009515199,0.7448503787209418
0.91,-3.14,-10.02,-140.54206620040912,-34.23113412634732,0.5271230305187238
0.58,-3.23,-9.33,-140.54206620040912,-34.20715457242007,0.5958787923837214
0.66,-3.35,-9.27,-140.6780748758918,-34.03934085088464,0.6302567522155992
0.68,-3.23,-9.29,-140.78037862226373,-33.9794256257345,0.6990128451499703
0.61,-3.46,-9.34,-141.05445058328866,-33.70393852830112,0.8479852761926534
0.49,-3.06,-9.09,-141.26122730722247,-33.57225481905068,0.93966131468631
0.68,-3.55,-9.7,-141.5038163967487,-33.40472333858408,1.0542572154525014
0.48,-3.4,-9.78,-142.70368938881404,-32.627853710613714,1.5355728478655368
0.33,-1.77,-9.96,-144.80353687392875,-31.47137263789784,2.3263684457528235
-0.43,-1.43,-9.08,-145.7248595525418,-31.04300528938303,3.2204467196467967
-0.55,-2.55,-9.22,-146.0373496598969,-30.805215870860085,4.11472114096103
-0.46,-2.25,-9.47,-146.5511870394875,-30.425034873037013,4.263789782102698
-0.1,-2.4,-10.1,-146.9114591288739,-30.09265778200395,4.022990071019942
-0.11,-2.21,-9.91,-146.9114591288739,-30.080791981197944,4.11472114096103
-0.2,-2.23,-9.68,-146.83107004149562,-30.116390374671145,4.424333322525307
-0.3,-2.38,-9.59,-146.871240884656,-30.080791981197944,4.504608331312204
-0.52,-2.3,-9.21,-146.871240884656,-30.06892651053725,4.71104003397371
-0.45,-2.57,-9.49,-146.83107004149562,-30.06892651053725,4.745446786894516
-0.46,-2.55,-9.47,-146.951724947316,-29.902844499943303,4.699571210920838
