acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.26,0.77,-9.59,-175.1379271907865,2.2346770389286066,1.638715147453804
-0.38,0.91,-9.62,-174.87488253375375,2.4982938949536853,1.7647797695524667
-0.35,1.07,-9.76,-174.87488253375375,2.6129139620146145,1.7533192633889718
-0.46,0.74,-9.35,-174.87488253375375,2.578527672575933,1.7189378496716434
0.04,0.64,-10.53,-174.6246866421451,2.704611892754087,1.5928739664684124
-0.21,1.29,-10.12,-174.38562149779358,2.830699387947472,1.741858774764144
-0.55,1.09,-9.46,-174.38562149779358,2.738999060214957,2.0054546535892377
-0.44,1.08,-9.65,-174.87488253375375,2.486832027635776,1.8450038134157023
-0.14,0.63,-10.35,-175.1379271907865,2.3034454566839293,1.6960169933572922
-0.27,0.61,-9.82,-175.1379271907865,2.154448233767236,1.856464464018338
-0.44,0.8,-9.52,-175.1379271907865,2.1315259137202647,1.936689544653667
-0.17,0.71,-10.21,-175.1379271907865,2.0054546535892377,1.9137679978932431
-0.47,0.72,-9.69,-175.1379271907865,1.9939937526124856,2.085681528609333
-0.6,1.0,-9.61,-175.1379271907865,1.9710720103882065,2.24613838532295
-0.38,0.77,-10.01,-175.1379271907865,1.8220825674649568,2.269061145645111
-0.26,0.75,-10.4,-175.1379271907865,1.741858774764144,2.5212177047006765
-0.61,0.94,-9.99,-175.1379271907865,1.5470330404085568,2.968253297538604
-0.59,0.82,-10.07,-175.1379271907865,1.0542572154525014,3.4611913427691
-0.38,0.09,-10.08,-175.1379271907865,0.6760941207657828,3.908329853329541
-0.6,-0.33,-8.79,-174.38562149779358,0.7104722177704716,4.825730880475589
-0.7,-0.38,-7.05,-173.72277700249091,1.3522117780748235,5.0321866714644
-0.65,-0.98,-5.74,-172.75138501198413,3.40386984812725,3.644626018390772
-0.27,0.87,-2.85,-170.13941942315122,5.8581800447136345,-0.4927452222969898
2.92,2.18,-4.49,-160.73412214644492,8.556479215940191,-12.365495103087907
7.18,0.75,-10.09,-151.06981274894218,9.786552516199244,-23.49511329436541
8.03,3.48,-12.91,-141.78287468010964,11.662626087112969,-32.639793783943
5.69,2.5,-8.15,-140.0359922172176,13.034229810442689,-33.596193911040075
8.03,3.17,-13.21,-137.11973135242658,13.334150842815475,-36.01000138130928
8.55,3.32,-14.69,-137.5924585129037,14.188281840563285,-34.747070547478
5.28,2.92,-8.6,-140.91718374591224,15.112560354905924,-30.318170931025325
5.68,4.38,-10.3,-143.24503868567004,16.014684599323402,-26.62946927704853
6.02,3.53,-12.53,-145.49229376528544,16.581911426258042,-23.272776070440536
3.36,2.79,-9.39,-150.61456567249238,17.462507245696994,-15.413160961410524
2.16,2.07,-8.21,-153.76161968319718,17.763999776816537,-10.13162973120474
2.62,2.44,-9.07,-155.91878451766874,18.08882279446736,-4.3669953627837845
0.44,3.14,-6.91,-156.87120131517742,18.25128911402984,0.4812859628976946
0.42,3.1,-8.28,-157.80436691060555,17.578451378167774,2.223215714892369
0.24,2.05,-7.75,-159.2817477883131,16.51243337847321,3.4611913427691
-0.59,1.49,-6.66,-160.73412214644492,15.505674829864253,4.550480755424785
-0.28,1.27,-7.59,-161.28990608516978,15.22816347918777,4.229388694927676
-0.33,1.68,-8.27,-161.28990608516978,15.343782195666376,3.977125506843028
-0.53,1.77,-8.09,-161.28990608516978,15.413160961410524,3.4611913427691
0.18,0.84,-8.96,-161.71772704701445,15.158799741488714,2.4180613422720283
0.48,0.73,-8.66,-161.7899992062843,15.054764601110485,0.8365258107465946
0.33,1.69,-6.89,-161.00999937311445,15.424724640986325,-0.8136069048374162
1.16,1.48,-6.67,-159.15467994543425,16.03782888845279,-5.318958088351593
2.9,-0.91,-11.27,-156.36226771891504,17.09160645080068,-9.395572354596672
1.89,2.94,-8.54,-150.65977940351806,20.378490735265764,-11.697182904814724
2.57,2.21,-7.63,-145.64716796815563,23.366380865675165,-15.262847451308849
5.27,3.24,-10.58,-140.64403039131906,25.335843929176026,-20.18059415638896
7.39,5.06,-13.88,-134.20429804752104,27.4544775660039,-26.21749449261709
6.85,5.08,-11.54,-132.69628364910096,28.96685949501061,-26.44109479130183
6.98,5.67,-11.93,-132.41145409892673,30.567562314513644,-24.80758802606676
6.79,5.42,-12.63,-133.6770461216721,31.25713296863673,-21.7305176882842
5.13,4.65,-10.6,-136.90081703525604,31.721461697138416,-15.031647378904806
3.69,3.68,-10.13,-139.5028685781741,31.90019165418321,-8.774827247055486
2.71,4.45,-9.3,-140.50813431460048,32.09092481112806,-3.8395356089996175
2.17,3.34,-8.17,-141.95828650840244,31.721461697138416,1.306372069959298
1.17,3.41,-6.95,-142.34696199162144,31.507090202315183,4.516076369343336
0.55,2.45,-7.03,-142.48926046846375,31.06679175207397,7.648935698119245
-0.24,3.41,-5.93,-142.31146828862353,30.86465043933479,9.165635515674056
-0.41,2.62,-6.48,-142.5606051991767,30.615082217040023,9.729048380447908
-0.26,3.03,-8.04,-142.91931394004666,30.258813745298948,9.683046840720888
-0.89,2.67,-7.64,-143.3178010626215,29.92656655764556,9.637046865121436
