TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2770415.0,97.077609,1.0,-4.16,-1.28,-8.71,25.19,-14.56,38.69,-0.06,-0.75,0.63,0.1256700494710663,-0.1768695052254425,0.07212257352534479,-147.52054122823532,-17.207493384994194,27.17145638329649,0.0247,-0.9601,-0.1496,0.2349
2770448.0,97.105446,1.0,-4.01,-1.24,-9.15,25.19,-15.38,37.38,0.0,0.56,-0.06,0.45526011329757843,-0.18978021846697085,-0.24804649954283242,-147.56154217602332,-17.219083051744406,27.112514953816074,0.0248,-0.9602,-0.1497,0.2344
2770485.0,97.161639,1.0,-4.13,-1.18,-8.71,25.19,-15.0,38.19,-0.94,-2.25,0.63,0.17858325561274646,-0.09043407354574193,0.09720461423482263,-147.52054122823532,-17.207493384994194,27.17145638329649,0.0247,-0.9601,-0.1496,0.2349
2770520.0,97.186508,1.0,-4.15,-1.04,-8.83,25.19,-15.0,38.19,-1.19,-1.06,-0.31,0.25467231656429656,0.04298441021381674,-0.0018307361616596296,-147.52054122823532,-17.219083051744406,27.17145638329649,0.0245,-0.9601,-0.1497,0.2349
2770554.0,97.221298,1.0,-4.08,-1.43,-8.72,25.56,-14.25,38.19,2.25,-1.5,-1.94,0.16403738647902077,-0.3306658314776122,0.08073349595112056,-147.43869005154224,-17.288624783675058,27.20682475697043,0.0253,-0.9599,-0.1503,0.2352
2770589.0,97.24785,1.0,-4.08,-1.38,-8.78,24.87,-13.88,38.19,0.75,-0.25,-1.12,0.20719994700810318,-0.2740023327676521,0.033155696343925456,-147.39783944401512,-17.31180678552449,27.20682475697043,0.0258,-0.9598,-0.1505,0.2352
2770626.0,97.287622,1.0,-4.05,-1.37,-8.7,26.37,-14.56,38.19,-0.06,-0.31,-1.06,0.19421642024283137,-0.26558250055565635,0.11845378411406315,-147.39783944401512,-17.416134643761747,27.183245547895737,0.0259,-0.9598,-0.1514,0.235
2770661.0,97.327663,1.0,-4.2,-1.2,-8.38,26.37,-14.56,38.19,0.06,-2.38,0.5,-0.026409211894563356,-0.04233388347754749,0.3566811960389611,-147.35703857325035,-17.42772752447945,27.20682475697043,0.0264,-0.9597,-0.1515,0.2352
2770698.0,97.349715,1.0,-4.16,-1.5,-8.73,26.0,-13.5,39.5,4.88,3.94,-4.13,0.07778667057401156,-0.32496378075771487,0.026218119194492573,-147.35703857325035,-17.485694626999514,27.14787893324093,0.0274,-0.9597,-0.152,0.2347
2770735.0,97.409556,1.0,-4.01,-1.34,-8.98,26.37,-14.56,36.56,0.81,0.69,-0.5,0.3494539023155243,-0.19828772978501402,-0.11074199317911315,-147.2755852976408,-17.740803669389525,27.05358083343023,0.0281,-0.9595,-0.1542,0.2339
2770767.0,97.426702,1.0,-4.1,-1.26,-8.88,26.37,-14.56,36.56,1.06,-3.38,-0.63,0.2606732478329725,-0.09215635273488682,-0.05111631212744783,-147.23493252348757,-17.740803669389525,27.112514953816074,0.0282,-0.9594,-0.1542,0.2344
