acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.75,-0.64,-9.82,-148.47668973247264,-31.00732816596471,5.0321866714644
-0.83,-0.67,-9.71,-148.47668973247264,-31.019220197898694,5.0321866714644
-0.86,-0.66,-9.71,-148.47668973247264,-31.019220197898694,5.020716482682318
-0.86,-0.72,-9.76,-148.47668973247264,-31.03111257231891,4.986306217889054
-0.67,-0.7,-9.99,-148.47668973247264,-31.03111257231891,4.906017344265487
-0.83,-0.69,-9.63,-148.47668973247264,-31.03111257231891,4.96336629149859
-0.75,-0.68,-9.93,-148.47668973247264,-31.03111257231891,4.974836229757033
-0.9,-0.69,-9.6,-148.47668973247264,-31.03111257231891,5.020716482682318
-1.05,-0.58,-9.48,-148.4345315385202,-31.03111257231891,5.0665975409818325
-0.94,-0.51,-9.72,-148.47668973247264,-31.019220197898694,4.96336629149859
-1.12,-0.44,-9.91,-148.47668973247264,-31.078685498016352,4.63075925768904
-0.96,0.06,-12.11,-148.4345315385202,-31.161951340157948,4.229388694927676
3.24,-0.68,-22.69,-147.52054122823532,-31.6738137680446,6.5008278159272015
1.3,-0.68,-14.39,-142.9553690729635,-30.99543647635929,19.808247369439112
-4.4,0.06,-6.12,-136.06616582647524,-30.36566267714048,30.91220422108664
-5.62,-1.03,-4.03,-127.42938014555916,-30.50817000692102,41.58688876109751
-6.63,-0.99,-0.83,-122.46980875996977,-30.793329976755967,47.15635695640368
-6.69,-1.78,1.13,-118.92572331092975,-31.376141122007805,50.85897732637935
-5.55,-2.81,0.84,-118.54340107943032,-31.924028325694472,51.01128734852718
-5.29,-2.5,2.21,-120.36186107562716,-32.436861947325646,48.56047848444357
-3.08,-2.91,0.57,-126.58179643384616,-32.69949961813303,40.77896631080099
-0.08,-1.82,-3.12,-133.82293398949477,-32.914516343671416,30.817102104618424
2.06,-1.26,-4.46,-143.3178010626215,-32.99816611056945,13.011162702254634
7.2,-1.92,-9.81,-145.49229376528544,-32.52040941662392,-3.5873017007906127
11.81,1.28,-15.59,-137.78296246704429,-30.05706136986712,-26.0880881691222
15.04,1.75,-20.32,-129.9166096140095,-28.81302746748213,-37.50732560971656
15.08,-0.25,-18.25,-127.30014547607834,-29.86726387171145,-39.41274892746301
14.59,0.73,-19.92,-134.49971207203987,-31.721461697138416,-28.328210720644154
6.78,-2.87,-5.4,-144.1275913572786,-33.344908493651104,-5.330429626451235
-1.92,4.31,-0.59,-143.06373822672285,-33.883581162404816,10.879617409371033
-2.62,-1.26,-5.09,-138.7806141249359,-35.28778362498224,18.216471799125177
-3.7,-2.68,-4.25,-132.15647345628565,-37.96750276694696,25.82937687407415
-4.75,-7.33,-2.74,-128.39505791682004,-39.61974059674281,29.274683969227155
-5.12,-11.58,-1.76,-128.18484420355122,-39.254551533936265,29.49976914452507
-1.52,-13.85,-9.95,-133.18424101457546,-35.227664546585345,27.57245336826063
-0.65,0.8,-6.2,-143.79419791151398,-25.0892571067724,25.688318141008548
-3.28,14.84,-5.13,-148.1827256280383,-18.506668239532367,23.95177191669858
-3.2,5.59,-7.7,-149.1588584140195,-16.350341655632345,23.904917493763705
-3.86,4.76,-5.86,-148.98694437514695,-18.03080801097451,23.82293200606416
-3.41,3.52,-7.41,-148.98694437514695,-20.29699650405997,22.606293449751373
-2.98,3.05,-7.43,-147.72605283657722,-24.8662564695287,20.21551264575777
-3.0,-4.64,-6.16,-145.84171829017612,-28.978694933911964,17.137959104392678
-1.9,-5.41,-6.44,-145.06982302382067,-32.23403459047365,10.13162973120474
-0.23,-3.35,-8.57,-145.37657897397716,-33.14160783025417,2.8994758203914888
1.56,-2.44,-12.36,-144.20208645663692,-33.632105380362496,-6.145052377433653
2.17,-2.01,-12.54,-142.34696199162144,-34.12323828365854,-10.67243717618693
2.68,-4.22,-11.99,-141.26122730722247,-34.86715957624261,-11.029269725697889
4.42,-16.67,-10.51,-143.9049982588089,-33.488479867763736,-8.292204739238791
2.79,2.24,-7.69,-153.01476916887478,-25.876405289927124,-7.522608280519941
0.57,10.4,-7.12,-157.863978815261,-17.996001378555594,-8.522006076442151
0.94,4.42,-8.19,-158.22503424547796,-16.69772182857332,-9.51055493545105
1.55,4.31,-10.5,-157.80436691060555,-16.014684599323402,-11.2825706212041
1.48,3.21,-9.88,-157.6264722380801,-16.30403579859025,-11.524409426521869
1.17,1.8,-9.96,-157.33304425296922,-17.010496081346126,-11.547444362906596
1.23,1.12,-10.18,-157.04331809093287,-17.54366623938741,-11.743260322870698
0.99,1.91,-9.66,-156.87120131517742,-17.729205890532434,-11.881504040605064
1.32,1.5,-9.89,-156.47442582901172,-18.146842253651585,-12.088902226339815
1.06,1.82,-9.4,-156.41828103776766,-18.228077382152183,-12.088902226339815
1.07,2.08,-9.43,-156.0841409493743,-18.42540124877966,-12.365495103087907
1.27,1.7,-9.52,-155.80916562137492,-18.73891153732938,-12.607573156584117
1.32,1.41,-9.76,-155.59138277018496,-18.93637938388069,-12.953497246186648
1.57,1.49,-9.75,-155.16145880106285,-19.319861939553064,-13.2187858542384
1.48,1.84,-9.6,-155.05511767406654,-19.412860145181693,-13.322613734970494
1.37,1.6,-9.44,-154.89643727544532,-19.598895357607173,-13.426452603767608
1.54,1.36,-9.89,-154.79119639620873,-19.784982749875187,-13.51876311679545
1.54,1.54,-9.69,-154.73873772257048,-19.85477908376032,-13.553381828311744
