TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2190665.0,546.776655,1.0,1.58,0.65,-9.96,2.88,-23.87,41.06,3.19,10.31,-0.69,0.08287903472587821,-0.008600069986330061,-0.298475288901626,-158.3467074683401,-19.505871262305693,-9.027691221695425,-0.0182,-0.9822,-0.1694,-0.0787
2190700.0,546.790315,1.0,1.66,0.64,-9.98,0.56,-23.56,42.0,3.06,3.0,-1.25,0.12582696122547588,-0.02239189308129691,-0.3298812695691442,-158.2857866564021,-19.505871262305693,-9.188627520029689,-0.0173,-0.9821,-0.1694,-0.0801
2190733.0,546.828934,1.0,1.51,0.55,-9.6,0.56,-23.56,42.0,2.75,6.19,-0.94,0.004140266970452777,-0.025005952430772777,0.0731019541673561,-158.22503424547796,-19.564009796752835,-9.303593121383253,-0.0159,-0.982,-0.1699,-0.0811
2190768.0,546.871757,1.0,1.53,0.52,-9.74,1.0,-23.87,42.25,0.56,8.31,-1.88,-0.045675914439849974,-0.04510443993686812,-0.06628164669633563,-158.1040290229696,-19.61052428537218,-9.522053719499677,-0.0154,-0.9818,-0.1703,-0.083
2190804.0,546.889666,1.0,1.37,0.53,-9.31,1.0,-23.56,41.06,-0.63,14.5,-1.69,-0.2004036327683102,0.04365686571999977,0.3837081843009944,-157.80436691060555,-19.691932497848978,-10.039600263356236,-0.0148,-0.9813,-0.171,-0.0875
2190837.0,546.92989,1.0,2.21,0.59,-10.62,1.0,-23.56,41.06,0.25,13.38,-1.0,0.27559330834792073,-0.15534217099003267,-1.0522872011401727,-157.508647592303,-19.73845598070809,-10.534336497867198,-0.0142,-0.9808,-0.1714,-0.0918
2190872.0,546.977993,1.0,2.03,0.62,-10.38,-0.06,-23.87,42.38,2.56,-4.0,-0.56,0.1763229220469018,-0.05586680532070705,-0.7865312562244071,-157.56748354792904,-19.71519382901285,-10.476799088278916,-0.0136,-0.9809,-0.1712,-0.0913
2190907.0,547.001056,1.0,1.68,0.52,-9.37,-0.88,-23.19,42.69,4.38,-9.94,-1.25,0.05945013587608272,-0.035701071958150615,0.2732932399282717,-157.7449126837509,-19.70356306092983,-10.154638119587414,-0.0131,-0.9812,-0.1711,-0.0885
2190944.0,547.053038,1.0,1.67,0.34,-9.57,0.19,-23.19,41.56,1.12,0.56,0.69,-0.023278364229932125,-0.18743361166238784,0.08791928251544157,-157.80436691060555,-19.73845598070809,-10.039600263356236,-0.0122,-0.9813,-0.1714,-0.0875
2190979.0,547.110416,1.0,1.61,0.63,-9.78,0.19,-23.19,41.56,0.5,2.06,0.19,-0.02444447664076166,0.11033208461616158,-0.1243433691784368,-157.80436691060555,-19.71519382901285,-10.074110549810433,-0.0121,-0.9813,-0.1712,-0.0878
