acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.34,1.29,-9.63,-82.26460667045434,-97.16343265081736,-4.745446786894516
-0.36,1.2,-9.48,-82.26460667045434,-97.16343265081736,-4.745446786894516
-0.35,1.44,-9.64,-82.24939344216158,-97.18075578145827,-4.802792327898413
-0.19,1.2,-9.86,-82.21897227441269,-97.21541095446707,-4.802792327898413
-0.47,1.35,-9.44,-82.24939344216158,-97.1980818820334,-4.768384859798278
-0.33,1.34,-9.56,-82.24939344216158,-97.18075578145827,-4.768384859798278
-0.39,1.27,-9.46,-82.26460667045434,-97.18075578145827,-4.71104003397371
-0.36,1.31,-9.67,-82.26460667045434,-97.18075578145827,-4.699571210920838
-0.28,1.28,-9.79,-82.24939344216158,-97.18075578145827,-4.745446786894516
-0.45,1.25,-9.46,-82.29503842028417,-97.1461124881882,-4.6536963885673295
-0.39,1.51,-9.81,-82.31025694358621,-97.11148105928524,-4.6766337060034
-0.26,0.97,-9.64,-82.29503842028417,-97.1287952916504,-4.6078223124450055
-0.51,1.41,-9.36,-82.38637607932448,-97.02495429303242,-4.584885551911774
-0.39,1.37,-9.8,-82.43206880803427,-96.97307368097871,-4.61929076192046
-0.44,1.24,-9.55,-82.55399419971695,-96.83485491073408,-4.573417240623146
-0.46,1.72,-9.78,-82.67603357506405,-96.69682377932163,-4.550480755424785
-0.66,1.65,-9.23,-82.64551302019812,-96.73131402375056,-4.355527902560735
-0.79,1.81,-8.85,-82.44730326413901,-96.9385013444038,-4.355527902560735
-0.46,1.68,-8.55,-81.76349634670957,-97.70183943099728,-4.447268815934101
-0.83,2.23,-7.69,-81.03797395445109,-98.4534931114122,-4.89454770282183
-1.46,2.2,-5.93,-78.82513609744035,-100.65391350970894,-6.730393436549607
-0.12,-1.07,-0.57,-76.4571139486868,-101.80973815523876,-13.93427040697098
7.53,3.92,-8.15,-70.98550903019819,-99.01659326269068,-32.68755772174567
10.09,3.12,-13.12,-65.10878208962191,-96.59342299000927,-42.59369907468167
10.23,-0.13,-10.42,-65.92636443455984,-92.88779417994404,-46.2701332926198
7.49,6.67,-6.59,-70.85889000761452,-86.69161784271964,-49.441996043237744
8.97,3.95,-9.37,-73.63956054350221,-83.73342264736426,-50.03562494735929
8.54,6.3,-10.4,-80.7067534127589,-79.89718008366354,-47.21887922414317
6.0,7.39,-8.1,-85.43747913251065,-79.22617890812475,-42.065313242449655
5.53,5.31,-8.38,-88.69365764034536,-81.21898486479367,-33.991407904492696
4.29,3.56,-8.88,-90.37223725523552,-82.43206880803427,-28.70655945606141
2.26,5.42,-8.36,-92.10896087538232,-83.50281606302534,-22.53618284114898
2.19,4.18,-8.97,-91.28639832349864,-85.89062667972252,-18.06561632088332
1.69,2.13,-7.72,-88.99851159744894,-89.80459924068859,-11.708702081111404
0.57,1.29,-7.65,-86.73889922301962,-92.7714461485523,-7.384806987935718
0.14,-0.64,-7.08,-85.06370833977694,-94.64823708998428,-5.364844561963229
-0.25,-1.5,-6.22,-83.8565829897682,-95.94096400729772,-4.49314033842009
0.41,-0.66,-8.23,-83.05814635391897,-96.66234520218386,-5.307486603594608
1.33,0.09,-9.69,-83.05814635391897,-96.59342299000927,-5.949975106955117
1.78,1.87,-11.76,-82.84402467387862,-96.7830712993422,-6.168003805570946
0.95,0.86,-11.1,-82.12775101851454,-97.56261947404964,-5.582817194583068
-0.02,0.0,-9.82,-82.03659298623278,-97.7192555331491,-4.791323123878448
-0.73,0.65,-8.53,-82.46253949499254,-97.28475700134165,-4.481672390551605
0.07,1.3,-10.22,-82.59974558341173,-97.11148105928524,-4.733977821845079
0.28,1.21,-10.49,-82.75236627086224,-96.97307368097871,-4.3669953627837845
-0.4,0.67,-8.87,-82.58449333969773,-97.1980818820334,-4.000057708800217
