TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2008346.0,271.658013,1.0,-3.9,0.93,-8.89,34.88,-1.56,32.5,0.31,0.31,0.12,-0.21614687472544092,0.23248468665795474,0.05953599640816698,-77.3350189815516,-97.7889502665729,8.774827247055486,-0.1898,-0.6248,-0.7535,0.0765
2008381.0,271.709018,1.0,-3.88,1.15,-8.96,35.69,-2.0,32.5,-0.75,1.63,0.44,-0.021994159502211508,0.14812956989831716,-0.023714890860846438,-77.32034327545834,-97.80638154107426,8.740349140335569,-0.1898,-0.6247,-0.7536,0.0762
2008416.0,271.733886,1.0,-3.87,1.1,-9.12,35.69,-2.0,32.5,0.69,0.75,0.44,-0.0933024447247861,0.10106978807216127,-0.16041474102317999,-77.3350189815516,-97.8238158560173,8.740349140335569,-0.1892,-0.6248,-0.7537,0.0762
2008451.0,271.775795,1.0,-3.81,1.18,-9.17,34.88,-2.0,31.69,-0.56,-1.25,0.69,-0.035442198867292385,0.006659681468147216,-0.1931549730573323,-77.34969619182397,-97.7889502665729,8.76333445653462,-0.1894,-0.6249,-0.7535,0.0764
2008487.0,271.809817,1.0,-3.86,1.24,-9.05,36.06,-1.19,31.56,-2.19,-0.75,-0.37,0.04492996986872644,0.0824591438354747,-0.10954290793626775,-77.3350189815516,-97.7889502665729,8.72885661442212,-0.1897,-0.6248,-0.7535,0.0761
2008520.0,271.856105,1.0,-3.91,1.06,-9.05,36.06,-1.19,31.56,0.75,-1.25,-1.69,-0.11971542059428852,0.16065647193596566,-0.10667727776588087,-77.29099637299755,-97.84125321339735,8.751841754333862,-0.1898,-0.6245,-0.7538,0.0763
2008555.0,271.869812,1.0,-3.96,0.97,-9.01,35.25,-0.75,32.88,2.19,-1.69,-0.44,-0.1775999500749048,0.21755356744155718,-0.07888128076720413,-77.2616554788231,-97.8238158560173,8.901253805563371,-0.1899,-0.6243,-0.7537,0.0776
2008590.0,271.896742,1.0,-3.69,1.01,-9.61,35.25,-1.56,32.0,-1.12,-1.75,1.12,-0.29331049082021354,-0.2517650024673751,-0.5296396311736284,-77.29099637299755,-97.80638154107426,8.912747665103911,-0.19,-0.6245,-0.7536,0.0777
2008627.0,271.956103,1.0,-4.02,1.31,-9.08,34.88,-1.56,31.19,-1.88,-10.81,1.56,0.11784045412840216,0.1146457186535913,-0.2081325731048782,-77.30566907284118,-97.63220528770944,9.085166406176855,-0.1929,-0.6246,-0.7526,0.0792
2008662.0,271.969263,1.0,-3.82,1.19,-9.61,34.88,-1.56,31.19,-0.19,-30.44,3.38,-0.15741863165535008,-0.3347167707575802,-0.5964160892729762,-77.30566907284118,-97.40622744619556,9.430066128049688,-0.1969,-0.6246,-0.7513,0.0822
2008698.0,272.018282,1.0,-4.81,5.54,-8.63,35.69,-1.19,32.06,5.63,-88.44,-3.38,4.308366134301085,-0.3781145922361788,-0.6623332652433636,-77.14435187287417,-96.52454726797548,11.01775734240615,-0.2128,-0.6235,-0.7462,0.096
2008733.0,272.042097,1.0,-4.48,2.6,-6.89,37.19,-2.0,31.25,111.75,-29.44,-129.31,2.075561270962954,0.24960424772370127,1.4440999624817241,-75.13562834382228,-97.85869361521178,13.922726077012076,-0.2128,-0.6097,-0.7539,0.1212
2008768.0,272.082068,1.0,-4.48,-0.72,-5.55,37.19,-2.0,31.25,103.31,23.94,-158.0,0.014494501698408158,1.403748067679353,2.7766726691754533,-70.70426845211382,-102.2651416958551,18.92476206303288,-0.1787,-0.5786,-0.7786,0.1644
2008803.0,272.128234,1.0,-4.81,-2.8,-2.8,37.19,3.25,30.37,63.25,101.75,-145.88,-0.9150134354951982,3.7900251645592533,4.947168580664098,-66.36395629393388,-107.76307803686579,20.029302535998788,-0.1329,-0.5473,-0.8078,0.1739
2008840.0,272.149179,1.0,-0.2,-8.14,2.33,35.69,11.5,30.37,33.75,435.06,-108.25,-7.459649207500202,3.9364781579509183,10.572334930645077,-65.1767710888693,-112.21802358107666,15.621331474060083,-0.0472,-0.5386,-0.8301,0.1359
2008877.0,272.226816,1.0,9.15,-6.93,-9.26,25.19,14.88,38.25,-157.69,640.94,-59.63,-8.433592445573792,-4.214902956229088,-1.533725281776702,-65.20397390849296,-113.5237968383804,-0.8479852761926534,0.1001,-0.5388,-0.8364,-0.0074
2008911.0,272.23377,1.0,14.25,-2.19,-29.16,25.19,14.88,38.25,-376.25,132.75,132.31,-4.336749331409001,-1.7564498362465906,-22.38452408870439,-68.18076625802583,-107.89927038520268,-13.530302549412001,0.1346,-0.5605,-0.8085,-0.1178
2008948.0,272.291612,1.0,9.63,11.83,-10.72,3.88,8.88,47.88,-86.75,-555.25,194.06,8.281602592749014,-9.939600358315781,-3.6180884783742293,-78.46961958186714,-100.45667199365036,-10.960197096754332,-0.0001,-0.6325,-0.7686,-0.0955
2008985.0,272.307671,1.0,-3.06,19.91,-1.22,6.19,-2.69,46.56,204.44,-335.38,-87.62,19.969088112203345,-0.8403881209205224,7.015706114273383,-79.34522946763786,-99.88518184221611,3.025568677774776,-0.076,-0.6384,-0.7654,0.0264
