TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3407740.0,713.505744,1.0,0.89,1.7,-10.38,5.25,-28.69,41.06,-2.31,-2.56,6.06,1.005140475305278,-0.22628824695315908,-0.6988241089678553,-165.77042087262134,-10.522828803347641,-0.1145915781247664,-0.0832,-0.9923,-0.0917,-0.001
3407775.0,713.541859,1.0,0.41,1.97,-9.88,6.0,-29.06,41.5,-0.94,0.25,9.56,0.5903884757749441,0.19189695600749443,-0.25704797867300755,-165.77042087262134,-10.453784866884499,-0.10313241704642769,-0.0839,-0.9923,-0.0911,-0.0009
3407810.0,713.573897,1.0,0.33,1.79,-9.89,6.0,-29.06,41.5,-1.12,-1.19,3.69,0.47570570339073426,0.030152911764030746,-0.23814441729265745,-165.86324083896642,-10.246675787285362,-0.10313241704642769,-0.084,-0.9924,-0.0893,-0.0009
3407845.0,713.601585,1.0,0.55,1.38,-9.89,4.19,-28.69,41.06,-2.31,-0.31,3.31,0.6096111312881198,-0.42085092790987355,-0.16682776681168576,-165.86324083896642,-10.166142467644526,-0.14896906869365514,-0.0848,-0.9924,-0.0886,-0.0013
3407882.0,713.638559,1.0,0.36,1.65,-9.47,4.19,-27.56,40.25,0.31,-9.25,14.69,0.5104630863461752,-0.05902474315575163,0.20097753435901744,-166.24074892993923,-9.671546700479858,0.09167325699941424,-0.0851,-0.9928,-0.0843,0.0008
3407917.0,713.668647,1.0,0.02,2.12,-9.14,4.19,-27.56,40.25,-4.75,1.56,3.31,0.2597669128112553,0.4768637380050638,0.43971228661766304,-166.24074892993923,-9.45306245260688,0.14896906869365514,-0.0869,-0.9928,-0.0824,0.0013
3407949.0,713.715729,1.0,0.46,1.76,-9.8,5.25,-29.06,40.25,-2.81,5.0,2.19,0.5959326320161745,-0.07648266392212183,-0.14263211984250113,-166.14541230093116,-9.464560757916416,-0.022918311958021676,-0.0879,-0.9927,-0.0825,-0.0002
3407986.0,713.753983,1.0,-0.42,2.29,-9.18,4.06,-28.69,41.56,-4.25,-4.69,3.56,-0.16633511647115154,0.6626080141218864,0.36068878640982227,-166.14541230093116,-9.349581983346612,0.06875493954099557,-0.0893,-0.9927,-0.0815,0.0006
3408021.0,713.793877,1.0,-0.43,2.86,-9.2,4.06,-28.69,41.56,-9.0,2.81,-1.75,-0.09815067008220049,1.164794856832238,0.2338698715597971,-165.95667115359868,-9.280599254023052,0.022918311958021676,-0.0919,-0.9925,-0.0809,0.0002
3408054.0,713.848763,1.0,-0.25,2.77,-10.22,3.25,-29.75,40.75,8.81,-13.38,-5.31,0.08988560487814747,0.8740724105752584,-0.7485249392943203,-165.86324083896642,-9.441564242690683,0.20626491763025412,-0.0912,-0.9924,-0.0823,0.0018
3408091.0,713.864689,1.0,-0.97,2.25,-9.55,4.19,-28.69,41.19,22.0,-13.06,-6.13,-0.5765635033060312,0.7246220444527368,-0.00907195100027458,-166.33674754112943,-9.614047461503418,0.8365258107465946,-0.0849,-0.9929,-0.0838,0.0073
3408125.0,713.900593,1.0,-0.93,1.86,-9.9,4.88,-29.06,41.5,18.56,-3.75,-6.5,-0.5468555606325519,0.386891167307271,-0.2871978401680355,-166.53078742603913,-9.832557602907888,1.0771765184626354,-0.0795,-0.9931,-0.0857,0.0094
