acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.24,2.97,-9.3,-143.86802831777294,-32.412994497933816,-3.5299782811888885
-0.51,3.14,-9.18,-143.94200484154302,-32.28174931703743,-3.5529075421905287
-0.44,2.63,-9.55,-144.0161283848301,-32.28174931703743,-3.5873017007906127
-0.23,2.62,-9.7,-143.86802831777294,-32.424928041950515,-3.701951248377608
-0.27,2.82,-9.63,-143.75733722307018,-32.48460118565665,-3.7478120989556993
-0.45,2.25,-9.59,-143.83109490597238,-32.38912849332685,-3.5987664920103746
-0.61,2.72,-9.41,-143.75733722307018,-32.412994497933816,-3.656090990936744
-0.25,2.74,-9.46,-143.83109490597238,-32.31753913524463,-3.7478120989556993
-0.09,2.84,-9.49,-143.86802831777294,-32.2936788968098,-3.5987664920103746
-0.27,2.72,-9.45,-143.9049982588089,-32.21017938044361,-3.5414428939599265
-0.3,2.69,-9.27,-143.9049982588089,-32.12669742786024,-3.564372225995784
-0.18,1.71,-9.69,-144.05324557319378,-32.055155405875595,-3.438262641755622
-0.5,0.53,-9.95,-144.57683474921032,-31.221437269957967,-3.4153340784378665
-0.38,3.84,-10.92,-144.690009668053,-30.080791981197944,-3.4611913427691
-1.68,6.12,-8.81,-144.87941908090357,-29.0733898303354,-1.4438918508267422
-1.95,7.65,-7.2,-144.9554604078314,-30.41315976518269,0.8250663536663884
-1.66,0.82,-6.02,-143.64697188895283,-34.56701075551299,3.724881599063971
-1.65,0.79,-5.84,-141.53859212209682,-37.56783922201158,3.7592774051414257
0.24,-3.21,-4.93,-140.0359922172176,-39.86343282424955,-0.8479852761926534
2.72,-2.99,-7.15,-137.87852272532075,-39.86343282424955,-12.953497246186648
6.22,-2.14,-9.31,-134.5590130176977,-38.13720165916782,-23.49511329436541
7.92,-2.06,-10.77,-129.64656611878058,-34.86715957624261,-34.75907767623433
10.65,-2.07,-12.06,-128.10621848828742,-31.44756267107627,-39.87562235967538
9.22,1.29,-9.8,-131.53850453910292,-25.67656503656709,-40.38800996971994
7.67,3.83,-9.07,-135.09605869286386,-21.100756747738608,-38.64682184617822
6.95,7.6,-9.21,-139.33764146351638,-16.223006993376618,-34.267106355147284
6.26,9.93,-9.65,-145.53094905314887,-14.45391421483677,-24.66681067830264
0.17,8.29,-2.27,-151.6255402012684,-15.875832638109523,-15.112560354905924
1.96,3.45,-7.21,-155.2682499537731,-20.471639758994087,-8.72885661442212
-0.09,0.92,-5.82,-154.58200075536982,-23.92834419777812,-4.699571210920838
-0.28,0.64,-7.37,-151.7661453802759,-27.926560226864748,-1.4553519237055776
-0.59,-3.3,-6.97,-148.3924281475188,-31.602352407672463,-1.1344749665222489
-0.01,-2.36,-8.59,-147.03240000479886,-32.84283089936096,-2.738999060214957
2.09,-3.05,-12.32,-145.91984007134727,-33.6081640231361,-5.491036825631306
0.58,0.16,-9.72,-146.0373496598969,-33.51241368583526,-5.318958088351593
-0.05,-0.65,-9.11,-146.31308564363076,-33.332946647245606,-4.7225089042433
0.99,0.99,-10.59,-146.5511870394875,-32.98621503760272,-5.146891353190199
1.0,1.07,-10.59,-147.15377378773437,-32.3294697942308,-5.112479412053579
0.54,1.09,-9.75,-147.52054122823532,-31.94786641552185,-4.848669626539135
0.56,1.1,-9.88,-147.72605283657722,-31.697637029521523,-5.0321866714644
