acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.46,1.28,-9.66,-160.46210370241806,-18.286108128329392,-5.640181741583799
0.71,0.34,-9.81,-160.3946831522595,-18.44861943332721,-5.743441500733661
0.59,0.79,-9.73,-160.3946831522595,-18.402183827223173,-5.743441500733661
0.45,0.9,-9.56,-160.3946831522595,-18.4137924426918,-5.720494487173099
0.49,0.52,-9.66,-160.46210370241806,-18.30932175034793,-5.663127955663872
0.44,0.57,-9.67,-160.52975543717122,-18.286108128329392,-5.6860743970082765
0.39,0.9,-9.6,-160.46210370241806,-18.297714844671223,-5.709021066543901
0.72,0.49,-9.89,-160.52975543717122,-18.216471799125177,-5.812283928177061
0.8,0.71,-9.86,-160.59764077497127,-18.13523798699121,-5.8467059276897535
0.7,0.98,-9.84,-160.66576217664587,-18.05401336431272,-5.789336220308419
0.22,0.92,-9.47,-160.66576217664587,-18.019205613951,-5.789336220308419
0.69,0.66,-10.07,-160.73412214644492,-17.93799404290059,-5.97292446733722
0.63,0.88,-10.26,-160.87156803103974,-17.82199325799314,-5.904077101832591
1.26,1.54,-11.65,-161.00999937311445,-17.81039419409229,-5.192774664418371
2.34,1.76,-14.05,-160.80272323312002,-18.73891153732938,-2.865087475133015
0.78,0.31,-12.01,-157.863978815261,-20.879328419459103,7.315910364212048
-2.13,-2.75,-7.34,-151.0239731545222,-22.30254236550936,18.262895263137004
-5.87,-1.41,-2.57,-141.19218403998903,-23.5419325351228,30.38941055279805
-6.32,-2.89,-0.03,-138.0702668424954,-24.20954412674289,33.64407662582565
-5.14,-2.98,0.04,-141.15770665873933,-23.70583132960312,30.021467926252928
-0.74,-3.56,-3.92,-150.21066214535367,-22.66472550596455,17.253853117357277
2.34,-1.37,-6.49,-155.80916562137492,-21.415555412105128,4.642227799866185
4.88,-1.43,-9.31,-153.5103719816942,-19.017706136871343,-13.553381828311744
9.16,-1.17,-12.96,-145.37657897397716,-16.338764939656073,-27.23040514019141
11.3,0.73,-13.19,-135.54829362030736,-12.515346343653173,-40.71784682431407
13.12,0.14,-13.39,-131.45480922787246,-10.891128461986716,-45.64778844933024
14.94,0.13,-17.29,-134.44048421864292,-10.200656128703407,-43.0983947119019
11.16,1.93,-11.94,-152.96569948682696,-12.50381856554563,-22.64135196781312
2.94,-2.13,-4.47,-161.3605335874341,-15.332219618835126,-6.374577915681861
-1.92,-2.53,-0.72,-159.60284227959588,-16.96415115593626,8.510515201802361
-3.8,-0.99,-2.8,-156.814109146573,-17.648026557290144,13.184178987120148
-3.56,-2.51,-1.55,-156.5307030363511,-18.37896716762953,11.777819636455906
-1.48,-3.95,-2.41,-158.5304946671076,-18.12363390787068,4.89454770282183
4.1,-4.07,-6.98,-157.21671751944734,-15.35534492966006,-11.651107384541652
8.38,-0.49,-11.6,-145.41510886588998,-9.729048380447908,-31.99554685526558
10.83,0.93,-14.22,-136.7450958533554,-5.9958740675037845,-42.36010990852977
10.23,0.47,-11.35,-134.73735728971755,-3.266301709643329,-44.91524480207666
11.52,-0.54,-13.36,-137.5924585129037,-2.0971425933011094,-42.18810962075827
12.37,2.16,-13.56,-151.34635737161238,-0.4010712754482724,-28.671075748006672
0.94,5.99,0.51,-174.38562149779358,-0.4812859628976946,-4.61929076192046
-1.34,-1.51,-5.16,-174.87488253375375,-2.4180613422720283,4.355527902560735
-3.43,0.5,-4.02,-168.88558009980704,-3.896864048753203,10.37323841550224
-3.08,0.34,-6.04,-168.08593042045837,-4.000057708800217,11.144399719947115
-1.47,-0.71,-9.09,-170.40978378389514,-3.988591587846416,8.590953131273462
-1.28,2.99,-9.02,-170.0069733247971,-3.35801326652208,8.774827247055486
-1.54,1.22,-9.23,-169.24641346971595,-4.389930414609093,8.866772764864926
-1.2,-0.89,-8.59,-170.13941942315122,-6.236859579751598,7.143680335170353
