TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2394527.0,335.33976,1.0,-3.71,4.2,-7.15,14.19,-40.69,20.37,24.25,-4.13,-0.25,-0.5881621237972863,-0.4693221945514857,0.753451560010312,-140.33889297208822,-7.442222882076424,19.145524872704485,-0.2883,-0.9407,-0.0649,0.1663
2394562.0,335.357711,1.0,-3.56,5.62,-7.14,14.88,-39.88,20.0,18.25,18.94,9.44,-0.20469573390822005,0.792720851414787,0.08207837404896523,-141.0200903214725,-7.224052314144023,18.83183055191492,-0.2839,-0.9427,-0.063,0.1636
2394599.0,335.381647,1.0,-3.55,4.75,-8.16,14.19,-39.5,22.37,78.06,-24.25,-22.31,-0.01839343037256347,-0.11228307439698186,-0.27985852341497974,-142.73954322436268,-7.086273935339353,19.30823806837105,-0.2646,-0.9476,-0.0618,0.1677
2394634.0,335.428866,1.0,-3.99,3.86,-7.22,14.19,-39.5,22.37,52.5,6.31,-14.31,-0.8149102438938836,0.008384753892551333,0.7355998408233333,-144.5768347492103,-7.224052314144023,19.6570420373131,-0.2438,-0.9526,-0.063,0.1707
2394671.0,335.446821,1.0,-3.01,3.29,-8.93,14.88,-37.38,22.87,22.0,22.12,12.25,0.39810903854427937,-1.182102384192175,-0.09654358321932577,-145.7248595525418,-7.097755072388745,19.11066283969618,-0.2355,-0.9556,-0.0619,0.166
2394707.0,335.486712,1.0,-2.87,4.06,-9.9,14.19,-36.56,25.69,10.19,10.06,29.37,0.8314972058411507,-0.8956354510217586,-1.2041151657617046,-146.5511870394875,-6.156528060600895,18.576333132780544,-0.2322,-0.9577,-0.0537,0.1614
2394740.0,335.547553,1.0,-3.47,4.77,-7.77,14.19,-36.56,25.69,0.12,6.44,10.81,-0.28420990656440726,0.7000929975817223,0.08061306177342864,-146.71084020226166,-5.410731896463338,18.378967167629526,-0.233,-0.9581,-0.0472,0.1597
2394775.0,335.588441,1.0,-2.53,5.09,-8.79,14.19,-36.56,26.19,5.56,11.63,15.06,0.8289126868205416,0.5415856455018808,-0.6141315803908984,-147.2755852976408,-4.951896402998163,17.845191938186243,-0.231,-0.9595,-0.0432,0.1551
2394812.0,335.636313,1.0,-2.93,4.81,-7.94,13.06,-37.69,26.19,1.31,0.12,18.06,0.11685854846789123,0.6797791827345253,0.09640570120036962,-147.47959058337605,-4.355527902560735,17.706010881893697,-0.2307,-0.96,-0.038,0.1539
2394847.0,335.66823,1.0,-3.13,5.89,-7.76,13.06,-37.69,26.19,-19.75,6.0,14.06,-0.050089445109825936,1.607373698943946,-0.2988158892814923,-147.19432874745993,-3.954193464226631,17.358172932119434,-0.2361,-0.9593,-0.0345,0.1509
2394882.0,335.67122,1.0,-3.06,5.39,-8.16,13.38,-36.56,25.75,-4.25,4.75,1.5,0.017660174521682226,0.9335578914722821,-0.3977342431332289,-147.0728095954594,-4.000057708800217,17.103194349757633,-0.2385,-0.959,-0.0349,0.1487
2394918.0,335.697156,1.0,-3.33,4.27,-8.27,11.88,-37.38,25.69,0.25,1.94,0.19,-0.37871803101797763,-0.10542833599258424,-0.07060455371844121,-147.15377378773437,-3.9427275023832014,17.03366959473287,-0.2383,-0.9592,-0.0344,0.1481
2394953.0,335.757991,1.0,-3.31,4.82,-8.34,12.25,-37.69,26.5,-15.31,-2.0,5.44,-0.27129351816269853,0.28213215845551154,-0.37131154798042765,-146.871240884656,-3.862466868736162,17.02208275037734,-0.2414,-0.9585,-0.0337,0.148
