TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1305784.0,108.158147,1.0,-5.16,0.41,-8.45,28.56,-22.5,30.37,4.56,-1.56,-0.12,0.060349344221884316,-0.32122188103172117,-0.09735799978465565,-142.4180463131718,-18.216471799125177,31.15005518797355,-0.0817,-0.9467,-0.1583,0.2685
1305819.0,108.19354,1.0,-5.39,0.29,-7.89,28.56,-22.5,30.37,1.0,-1.37,-0.94,-0.4192113101280017,-0.23378059164830994,0.25898491829392967,-142.34696199162144,-18.193261198253683,31.24523405697452,-0.0811,-0.9465,-0.1581,0.2693
1305853.0,108.220464,1.0,-5.26,0.48,-8.21,28.19,-22.19,30.37,-6.69,4.56,1.25,-0.12620144334954464,-0.1893077396066949,0.04702214974763663,-142.4180463131718,-18.25128911402984,31.078685498016352,-0.0828,-0.9467,-0.1586,0.2679
1305888.0,108.273543,1.0,-5.11,0.94,-8.52,28.19,-22.19,30.0,0.88,-0.25,2.06,0.2884564121505422,0.1180528517346548,-0.16776509174781218,-142.45363711540872,-18.239683153744327,31.007328165964708,-0.0834,-0.9468,-0.1585,0.2673
1305925.0,108.285578,1.0,-5.15,0.45,-8.16,27.75,-22.5,30.5,2.81,-3.38,0.25,-0.06635645778635002,-0.2333769288808244,0.14995636141043356,-142.4180463131718,-18.193261198253683,31.11436879612529,-0.0826,-0.9467,-0.1581,0.2682
1305960.0,108.332499,1.0,-5.25,0.62,-7.99,27.75,-22.5,30.5,-2.13,3.0,-1.56,-0.18144769063699373,-0.008529089507427645,0.22781896535935786,-142.4180463131718,-18.25128911402984,31.043005289383032,-0.0829,-0.9467,-0.1586,0.2676
1305997.0,108.36449,1.0,-5.31,0.72,-8.04,27.75,-22.87,31.69,9.31,3.06,-0.56,-0.17558670560146883,0.11260263531852199,0.1468058006696964,-142.56060519917668,-18.193261198253683,31.007328165964708,-0.0815,-0.9471,-0.1581,0.2673
1306032.0,108.419351,1.0,-5.23,0.22,-8.46,27.75,-22.19,30.0,-1.31,0.31,1.94,-0.08997865347611267,-0.46824924296484877,-0.1304293741612792,-142.63208125401738,-18.170051350104256,30.94787313807167,-0.0811,-0.9473,-0.1579,0.2668
1306068.0,108.441394,1.0,-5.37,0.87,-7.95,27.75,-22.19,30.0,-9.06,0.37,4.38,-0.2338161517520052,0.24176074312050705,0.1794395135576412,-142.56060519917668,-18.100426311736804,30.94787313807167,-0.084,-0.9471,-0.1573,0.2668
1306101.0,108.468324,1.0,-5.45,1.05,-8.15,27.75,-22.87,31.19,5.94,2.88,1.44,-0.15618355651922666,0.39798745124434115,-0.044477482949606184,-142.73954322436268,-17.9843995399279,30.864650439334792,-0.083,-0.9476,-0.1563,0.2661
1306138.0,108.547326,1.0,-5.24,0.23,-8.45,27.37,-22.19,31.19,6.75,3.5,-1.0,-0.1298289965621935,-0.4499198735718805,-0.12782112527972878,-142.91931394004666,-17.93799404290059,30.78144442214906,-0.0806,-0.9481,-0.1559,0.2654
1306173.0,108.596186,1.0,-5.09,0.72,-8.04,27.37,-22.19,31.19,-0.12,-0.19,-0.25,-0.04026536257085356,0.06885413047472932,0.2640225940235066,-142.91931394004666,-17.93799404290059,30.769559206882445,-0.0806,-0.9481,-0.1559,0.2653
1306208.0,108.60616,1.0,-4.84,-0.09,-7.43,27.75,-22.5,30.87,7.5,2.56,4.06,-0.3980089476081039,-0.5776351237235746,0.9665975939638951,-143.06373822672285,-17.78719661804402,30.769559206882445,-0.0782,-0.9485,-0.1546,0.2653
1306243.0,108.609188,1.0,-4.8,0.05,-6.73,27.06,-22.19,32.06,1.06,6.19,10.38,-0.6904227736141633,-0.30549913280322993,1.574676562632055,-143.46374555627924,-17.346581127291522,30.54380438300529,-0.0779,-0.9496,-0.1508,0.2634
1306279.0,108.664635,1.0,-4.63,-0.37,-5.96,27.37,-22.19,30.87,-2.0,16.75,15.81,-1.1139529694105152,-0.5806812943755895,2.3556555686301968,-143.97904817901195,-16.987323268750952,30.116390374671145,-0.0782,-0.951,-0.1477,0.2598
1306314.0,108.679495,1.0,-4.08,0.49,-6.39,27.37,-22.19,30.87,-18.75,29.12,22.81,-0.35397788161406507,-0.07332295822773266,2.2179792729803616,-145.06982302382067,-16.442961442690333,28.955024371859846,-0.0838,-0.9539,-0.143,0.25
1306351.0,108.720391,1.0,-3.6,-0.56,-6.64,26.69,-22.87,32.06,7.19,25.81,34.19,-0.27206903637230306,-1.2478984084474045,2.3412680270771222,-146.1552551844325,-15.679165793853407,28.15096848573949,-0.0841,-0.9567,-0.1364,0.2432
1306388.0,108.763651,1.0,-3.96,1.4,-4.44,25.56,-24.0,31.69,-25.87,39.38,40.06,-1.1372617245231584,1.112960642317323,3.9055353274498037,-147.84997349806363,-14.130545861300057,26.876822143927065,-0.0873,-0.9609,-0.123,0.2324
1306421.0,108.792821,1.0,-3.34,0.86,-6.12,25.56,-24.0,31.69,-40.19,60.38,26.94,-0.276415610125583,-0.002219958369694852,2.7871635884265924,-149.20198320614298,-13.703410648771607,25.065778823031923,-0.0961,-0.9641,-0.1193,0.217
1306456.0,108.854555,1.0,-2.75,2.06,-7.93,24.37,-24.0,33.25,-16.44,52.81,38.94,0.8625177145155594,0.45001113077682287,1.2191851136482779,-151.16170585731885,-12.861239362009448,22.466080778094224,-0.1072,-0.9685,-0.112,0.1948
1306490.0,108.860532,1.0,-3.25,0.47,-5.93,21.06,-25.87,32.88,-20.0,54.38,37.13,-0.9062282921600147,-0.52329986585979,3.10939626933697,-152.67309729035,-11.985198208002227,20.832722001771078,-0.1108,-0.9717,-0.1044,0.1808
1306529.0,108.898689,1.0,-3.23,1.66,-5.6,20.0,-27.75,33.25,-43.69,91.12,42.81,-1.1035628071353525,0.5354884433949315,3.245864890144775,-154.5820007553698,-11.109859542072414,17.613238149656624,-0.1247,-0.9755,-0.0968,0.1531
1306562.0,108.948957,1.0,-1.97,1.82,-9.14,20.0,-27.75,33.25,-26.12,103.75,55.25,0.3555821631644812,-0.5701014021945566,0.30499510643250893,-157.33304425296922,-9.786552516199244,13.39183842112712,-0.1331,-0.9805,-0.0853,0.1166
1306601.0,108.990846,1.0,-1.79,1.33,-9.2,15.88,-29.69,33.0,-45.0,86.69,52.06,-0.012255623024792883,-1.1907429432464167,0.4154317061462649,-158.65388815245834,-8.705871826379285,10.718474180434587,-0.1406,-0.9827,-0.0759,0.0934
1306636.0,109.032732,1.0,-0.99,5.95,-12.3,11.69,-31.19,34.19,-67.44,89.12,42.63,1.098544033453749,1.7477036480966595,-3.7362940287181647,-158.965501581421,-7.56854445586477,6.856665996646211,-0.1596,-0.9832,-0.066,0.0598
1306671.0,109.04174,1.0,0.27,4.48,-14.9,11.69,-31.19,34.19,-9.94,75.56,28.19,1.6923196160035583,-0.6496999717826127,-5.648680609985517,-159.5382246114638,-7.097755072388745,4.389930414609093,-0.1623,-0.9841,-0.0619,0.0383
1306705.0,109.086714,1.0,-0.21,4.77,-14.66,8.75,-33.38,33.38,-19.19,31.12,22.5,0.7505386248745609,-0.40873536864298426,-5.58757707286701,-159.3455716366145,-6.512305468988995,2.658762714530565,-0.1685,-0.9838,-0.0568,0.0232
1306742.0,109.11601,1.0,-0.82,5.07,-12.67,7.69,-33.38,33.25,-9.38,20.06,15.69,-0.05497370431918913,0.5553484576493565,-3.8533194722360182,-159.21811781644797,-6.374577915681861,1.9137679978932431,-0.1705,-0.9836,-0.0556,0.0167
1306777.0,109.14793,1.0,-0.21,4.2,-12.62,4.56,-34.06,31.87,-3.88,11.0,9.56,0.2704113068489642,-0.3433426120673757,-3.488367622247326,-159.15467994543425,-6.11062569758793,1.1803139285143014,-0.1723,-0.9835,-0.0533,0.0103
1306812.0,109.191979,1.0,-0.09,4.3,-10.2,4.56,-34.06,31.87,7.44,-1.69,5.19,0.3784459525339807,0.5831085733463433,-1.2411942717437245,-159.3455716366145,-5.881128455236523,1.1344749665222489,-0.1714,-0.9838,-0.0513,0.0099
1306849.0,109.216933,1.0,-0.55,4.93,-7.89,4.19,-34.5,32.38,-5.5,4.69,6.88,-0.03939729589611607,2.005070747383059,0.705131492022069,-159.40959116439527,-5.720494487173099,1.0542572154525014,-0.1711,-0.9839,-0.0499,0.0092
1306884.0,109.253622,1.0,-0.68,5.31,-7.0,4.19,-34.5,32.38,5.38,24.81,-3.75,-0.19604449895479986,2.688568926524408,1.4166760023193774,-159.5382246114638,-5.789336220308419,0.5385823103159236,-0.1705,-0.9841,-0.0505,0.0047
1306918.0,109.335663,1.0,-0.12,5.23,-8.05,4.19,-34.5,32.38,2.13,45.25,-20.69,0.18149329239869855,2.261381754018504,0.4780374157296823,-159.5382246114638,-6.6156073036906555,-0.893823223927814,-0.1679,-0.9841,-0.0577,-0.0078
1306953.0,109.358601,1.0,0.1,6.47,-8.56,3.88,-34.88,33.19,11.0,64.87,-48.31,0.3718201993919392,3.306415263025239,-0.39501005352843777,-159.0283735374385,-8.68288738926451,-2.888013009772368,-0.1639,-0.9833,-0.0757,-0.0252
1306990.0,109.362671,1.0,0.42,3.61,-7.94,2.38,-34.38,32.75,29.44,113.0,-59.75,0.07180225916315569,0.9251922326146285,1.1238529985557832,-158.2857866564021,-10.948685380949465,-5.341901218009245,-0.1558,-0.9821,-0.0954,-0.0466
1307025.0,109.397788,1.0,1.99,5.26,-12.85,2.38,-34.38,32.75,13.25,98.37,-61.75,0.5995103572218876,0.901568114361561,-4.178269101187192,-156.19500732541923,-13.957359493385505,-9.016196458354324,-0.1472,-0.9785,-0.1215,-0.0786
1307060.0,109.431874,1.0,2.28,3.95,-11.86,2.0,-33.0,34.88,32.88,70.0,-100.0,0.5606300231228061,0.014041197683883622,-2.8876793175315463,-154.21992611229572,-17.05684380992257,-10.580368342525214,-0.1391,-0.9748,-0.1483,-0.0922
1307097.0,109.502687,1.0,1.59,2.98,-9.59,0.56,-33.0,34.5,19.19,101.0,-100.87,-0.18773064449211618,0.07282481923279627,-0.35878426277609954,-150.52434170035056,-21.462206102543455,-13.299539926123945,-0.1291,-0.9671,-0.1862,-0.1158
1307131.0,109.517644,1.0,3.86,0.36,-15.25,1.69,-32.56,36.06,61.13,35.94,-87.25,-0.997766660053429,-4.004419268164001,-5.377578265435249,-148.0575479662478,-24.64335146895964,-14.696516297153032,-0.1178,-0.9614,-0.2134,-0.1279
1307166.0,109.536639,1.0,3.76,0.57,-14.94,1.69,-32.56,36.06,79.31,-50.25,-68.56,-0.3276146023687654,-3.388881387634387,-5.22911574747225,-147.47959058337605,-27.572453368260625,-12.457708722341447,-0.0995,-0.96,-0.2383,-0.1085
1307201.0,109.582699,1.0,2.0,-1.22,-11.03,2.06,-31.19,36.88,41.38,-86.31,-63.69,-1.1417100533019342,-3.5717941047440696,-0.8276381768130001,-147.03240000479883,-29.523469077350697,-9.48755765518811,-0.094,-0.9589,-0.2548,-0.0827
1307240.0,109.61083,1.0,1.82,-1.09,-11.09,5.69,-28.19,38.06,32.63,-127.44,-16.5,-0.4535167634413302,-3.5915355950449945,-0.8883859800611429,-146.992038514199,-30.68637218836855,-4.951896402998163,-0.0935,-0.9588,-0.2646,-0.0432
1307275.0,109.649797,1.0,1.24,-2.29,-9.74,5.69,-28.19,38.06,12.0,-165.06,14.19,-0.6517398582516004,-4.3511064191473565,0.7351336941985878,-147.72605283657722,-30.21133398212997,-0.5271230305187238,-0.0971,-0.9606,-0.2606,-0.0046
1307308.0,109.689565,1.0,-0.23,-1.01,-6.15,10.56,-26.69,38.56,-31.44,-109.19,56.94,-0.5801967828100107,-2.2425384193793354,4.016149751245619,-148.51890294966256,-28.056467420340038,4.332593112917143,-0.1158,-0.9625,-0.2424,0.0378
1307344.0,109.732449,1.0,-0.13,0.78,-8.26,14.38,-27.0,36.19,-25.75,-107.5,59.94,0.8297063190351439,-1.6464564549198517,1.7163058437724086,-149.20198320614298,-25.312354349514578,7.8212153932673,-0.1337,-0.9641,-0.2191,0.0682
1307381.0,109.756874,1.0,-0.83,-0.39,-7.19,17.0,-28.87,34.38,-11.56,-108.56,72.81,-0.046649645601250456,-2.310129499013348,2.936553529909231,-149.59279181341398,-22.968668848856428,10.557352206642195,-0.1442,-0.965,-0.1991,0.092
1307416.0,109.796646,1.0,-1.79,1.38,-5.91,17.0,-28.87,34.38,-52.0,-90.62,96.37,-0.15344563112530862,-0.39797796065620794,3.493594639786492,-149.59279181341398,-19.06418290551579,13.311076762780564,-0.1667,-0.965,-0.1656,0.1159
1307453.0,109.833908,1.0,-1.91,3.64,-6.78,18.5,-29.69,32.38,-63.94,-67.5,103.69,0.6604903916739472,0.9804854163643291,1.9664650027691781,-149.24516700325162,-16.0146845993234,14.419262116395174,-0.1873,-0.9642,-0.1393,0.1255
