acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-5.17,0.92,-8.07,-141.95828650840244,-19.784982749875187,29.92656655764556
-4.85,0.55,-8.76,-142.09917876057762,-19.72682480222872,29.78425385642316
-5.08,0.95,-8.36,-142.063908450112,-19.6570420373131,29.79611144994345
-5.07,0.82,-8.2,-142.16981440543415,-19.52912606682039,29.83168618976498
-5.08,0.82,-8.2,-142.16981440543415,-19.54075377357945,29.78425385642316
-4.85,0.67,-8.78,-142.31146828862353,-19.56400979675284,29.653841828798463
-4.99,0.94,-8.31,-142.20517991761645,-19.56400979675284,29.72497078004789
-5.09,0.62,-8.27,-142.1344807161217,-19.57563811342796,29.843545089972302
-5.1,0.54,-8.31,-142.09917876057762,-19.598895357607173,29.92656655764556
-4.97,0.82,-8.43,-142.1344807161217,-19.61052428537218,29.83168618976498
-4.97,1.07,-8.23,-142.16981440543415,-19.56400979675284,29.79611144994345
-5.14,0.61,-8.35,-142.240577342184,-19.55238168351347,29.74868303296809
-5.04,0.82,-8.62,-142.31146828862353,-19.55238168351347,29.653841828798463
-5.26,0.79,-8.29,-142.31146828862353,-19.505871262305693,29.736826743672204
-5.22,0.67,-8.63,-142.31146828862353,-19.4826172689267,29.83168618976498
-5.25,0.62,-8.61,-142.34696199162144,-19.354734757827327,29.902844499943303
-5.12,0.63,-8.27,-142.31146828862353,-19.273367657733324,30.06892651053725
-5.07,-0.07,-7.52,-142.4180463131718,-19.13390399645449,30.17572764472251
-4.82,0.19,-7.5,-142.73954322436268,-18.901528010085144,29.879123753551497
-4.58,1.32,-7.41,-143.02758111671002,-18.669230437467,29.57087281914313
-4.66,0.48,-7.36,-143.46374555627926,-18.36735912324753,29.40498230512227
-4.73,0.0,-6.17,-143.94200484154302,-18.042410594385764,29.0733898303354
-4.11,0.31,-6.34,-145.108024588444,-17.648026557290144,27.690458980540107
-3.25,0.17,-7.15,-146.0373496598969,-17.358172932119437,26.46463761296408
-4.0,0.2,-4.37,-147.52054122823532,-16.454539675361616,25.018825462277388
-2.66,1.3,-6.47,-149.288410054367,-15.817984589415364,22.75822922439662
-2.35,1.43,-7.92,-151.8602645048557,-14.788953503219902,19.57563811342796
-2.75,0.07,-6.72,-153.76161968319718,-14.026630173419028,17.54366623938741
-1.62,0.88,-7.63,-156.5307030363511,-12.89583508427226,13.588001782657653
-0.11,4.12,-9.24,-158.22503424547796,-11.835420883076134,8.68288738926451
-0.37,2.25,-9.67,-159.3455716366145,-11.248026360967865,5.743441500733661
0.51,3.69,-9.63,-160.06096636558732,-10.580368342525214,1.5126525087430307
1.6,3.95,-12.45,-159.79792218460952,-10.177646918437086,-1.8450038134157023
1.38,3.52,-12.22,-159.21811781644797,-9.591048446078224,-4.940426564140192
1.5,4.58,-11.93,-158.5304946671076,-9.21161989509871,-6.776309776380446
1.46,4.35,-13.29,-157.80436691060555,-8.901253805563371,-8.68288738926451
1.56,4.29,-14.97,-157.33304425296922,-8.809306149715168,-9.556550648732504
1.57,4.38,-15.05,-157.04331809093287,-8.970218312913039,-9.98208514628972
1.88,4.08,-15.1,-157.04331809093287,-9.119652615329128,-9.568049817899787
1.52,4.52,-13.0,-157.56748354792904,-9.22311622194562,-8.165828301178744
1.31,3.37,-11.21,-158.28578665640208,-9.694547078719877,-6.17947961245989
1.1,3.99,-10.6,-158.84031180775503,-10.10862175233956,-4.584885551911774
1.21,3.43,-10.86,-159.21811781644797,-11.00624507066077,-2.24613838532295
0.63,3.6,-9.79,-159.40959116439527,-11.800859775906506,-0.1260507403490224
0.34,2.93,-8.11,-159.3455716366145,-13.39183842112712,2.704611892754087
-0.82,0.85,-6.22,-159.40959116439527,-14.211377245158012,4.71104003397371
-1.58,0.71,-5.42,-159.15467994543425,-14.916070477056888,6.581172764918962
-1.66,0.47,-5.12,-159.0283735374385,-15.366907820940328,7.212570385921347
-1.52,0.12,-6.7,-159.09143242656373,-15.760140597334962,7.35035834348681
-2.0,1.19,-6.65,-159.40959116439527,-15.82955387412607,7.258498535026432
-0.91,0.94,-8.14,-159.8633643903993,-16.234582036054892,6.604129057804274
-0.85,1.62,-10.09,-160.12726585571855,-16.63981448789728,5.869654220523909
-1.15,-0.64,-13.0,-160.59764077497127,-17.033669594732867,5.571344453661866
-1.04,-4.91,-15.41,-160.66576217664587,-16.894639006068054,7.189606746883267
-1.18,-4.2,-14.52,-160.87156803103974,-15.447852474357363,8.809306149715168
-1.21,-0.34,-10.12,-160.52975543717122,-12.446181578242712,11.2019689418816
-1.34,6.97,-4.33,-159.0283735374385,-10.396251161173767,12.976563032466052
-1.52,7.26,-4.15,-158.04377345766537,-8.947229783297066,14.188281840563285
-1.85,6.33,-4.39,-158.04377345766537,-8.797813093528106,14.430812668433536
-1.56,4.91,-6.04,-158.28578665640208,-9.76355056625781,14.153639819523336
-2.11,2.16,-6.55,-158.77799072087697,-11.800859775906506,13.230321745568984
-2.15,1.06,-8.33,-159.15467994543425,-13.126503557539667,12.042810329741007
-1.71,0.87,-9.36,-159.21811781644797,-15.205041610922963,10.14313387414705
-2.41,-2.34,-9.49,-159.4738082027549,-16.524012627926176,9.09666171745326
-2.41,-2.14,-10.64,-159.53822461146382,-17.77559810564146,7.763786880218299
-1.75,-2.43,-11.37,-159.66766312617878,-18.042410594385764,7.086273935339353
-1.13,-3.47,-11.27,-160.52975543717122,-17.532071555357696,6.190955481383822
-0.55,-3.82,-9.66,-161.5740259283265,-16.59349169701811,5.0780679322633615
-0.33,-2.11,-6.61,-163.37954086931006,-14.442363367873067,3.919795697049856
0.94,-0.44,-7.5,-165.13681976050609,-11.800859775906506,1.8793858210517669
0.06,2.23,-8.4,-166.33674754112943,-9.48755765518811,0.1489690686936551
1.61,2.97,-12.0,-167.13036680379562,-6.7533514707706495,-2.154448233767236
2.3,6.21,-13.6,-167.233021952493,-5.112479412053579,-3.094348134689141
2.07,6.19,-13.21,-166.82718037176227,-3.782208130568333,-4.263789782102698
1.06,5.49,-11.88,-166.33674754112943,-3.2777655386010047,-4.71104003397371
0.62,4.06,-10.66,-166.33674754112943,-3.346549205454908,-4.332593112917143
0.12,2.24,-9.75,-166.43342218753332,-3.851001219583861,-3.782208130568333
-0.09,1.96,-9.46,-166.43342218753332,-4.642227799866185,-2.991179359701173
0.16,1.65,-9.45,-166.33674754112943,-5.284543793645802,-2.383676327772471
0.0,1.85,-9.23,-166.05072408085044,-5.915551513947968,-1.7074774129745531
0.0,1.78,-9.06,-165.49550626988113,-6.684478178549483,-1.4095117183833985
0.3,1.64,-9.8,-164.96066657615674,-7.396290017779932,-1.2490727279396536
0.28,1.65,-10.12,-164.61437509688025,-7.809729533725751,-1.0084187350403075
-0.05,1.86,-9.66,-164.19211217641143,-8.280715556970401,-0.4812859628976946
