acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.04,3.54,-9.24,-141.02009032147248,-32.54428338361999,-5.571344453661866
-0.11,3.69,-9.26,-140.98575914579104,-32.53234621871178,-5.617235753841245
-0.1,3.37,-9.16,-140.98575914579104,-32.580097056893266,-5.594289991509483
-0.36,3.04,-8.88,-140.9514569794307,-32.61591400140699,-5.548399139371833
-0.06,3.41,-9.34,-140.91718374591224,-32.580097056893266,-5.640181741583799
0.0,3.5,-9.12,-140.91718374591224,-32.56815880254804,-5.6516548202737225
-0.14,3.68,-8.94,-140.91718374591224,-32.54428338361999,-5.640181741583799
-0.19,3.36,-8.91,-140.91718374591224,-32.556220911511176,-5.628708719478254
-0.1,3.36,-9.43,-140.8829393690889,-32.580097056893266,-5.6860743970082765
-0.12,3.19,-9.26,-140.91718374591224,-32.54428338361999,-5.7319679651977244
-0.01,3.33,-9.41,-140.9514569794307,-32.49653690025889,-5.743441500733661
-0.05,2.89,-9.82,-141.08884000838947,-32.37719603241224,-5.6860743970082765
-0.56,3.41,-10.43,-141.39967008106163,-31.99554685526558,-5.456620099259026
-1.02,4.6,-10.33,-142.063908450112,-31.173847836723343,-4.951896402998163
0.2,8.56,-11.32,-142.4180463131718,-30.615082217040023,-4.355527902560735
-0.05,9.71,-8.3,-142.4180463131718,-30.8765383737202,-2.5212177047006765
-0.86,8.37,-5.21,-141.64310130769366,-32.38912849332685,-0.7104722177704716
-1.72,5.05,-1.59,-139.60231554875963,-36.07025258875129,1.6157945246366483
-1.02,1.45,-1.37,-136.65191882638644,-40.98686336329807,2.0742204847835874
0.53,-0.4,-3.68,-133.79372158966166,-44.86565121405429,0.7792286067117273
1.43,-1.99,-5.28,-129.53892711088812,-49.9344808584857,-1.7877008349543104
2.13,-4.68,-5.19,-126.5308282926202,-53.11554927222101,-4.240855681461491
2.95,-3.89,-6.1,-123.35714687658856,-55.73131367504011,-9.25760576115156
3.82,-4.57,-8.99,-121.8536919796764,-56.34139729043255,-13.195714475135588
5.85,-4.34,-9.59,-120.82438029207808,-55.744276234982536,-18.05401336431272
8.04,-1.16,-12.33,-120.89404187117351,-53.4488757843294,-23.237678334824075
7.1,-0.47,-11.83,-121.47748834883792,-51.15098975907829,-26.46463761296408
7.52,0.17,-12.42,-122.25585789752888,-47.8700003617391,-30.36566267714048
7.95,1.95,-13.39,-123.06797364519969,-45.37440798509372,-32.52040941662392
8.44,2.55,-13.91,-125.3707171892468,-41.53786260419432,-33.79973728659347
7.97,5.24,-12.4,-128.23732310544656,-38.04022025359053,-33.58422417640036
6.65,6.68,-11.02,-132.1847414191665,-33.90753998612701,-32.10284865965952
3.94,6.71,-7.82,-134.97619058332575,-31.56662645811723,-30.258813745298948
3.51,4.97,-7.55,-137.4343266309111,-29.879123753551497,-28.115528300006986
2.37,5.38,-6.41,-138.87838831455554,-28.89585348706327,-26.723683975588173
2.47,3.96,-6.94,-139.80191665328087,-28.54099280947513,-25.45330808515709
2.48,3.06,-7.09,-140.0359922172176,-28.576466242296,-24.88972570037191
