TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2084280.0,433.819603,1.0,-7.6,-2.09,-6.01,43.25,-8.75,21.56,-2.06,-5.38,1.37,0.05559215480553492,-0.19873755623756317,-0.10322451464773685,-116.92543657528313,-31.102474019884113,53.282151727830126,-0.0258,-0.8523,-0.2681,0.4484
2084317.0,433.853513,1.0,-7.6,-1.77,-5.8,42.5,-8.75,21.06,0.5,-3.19,1.75,0.06574049491784528,0.10985235741579324,0.08468977343570039,-116.88163381383895,-30.995436476359295,53.41039017666288,-0.0265,-0.8521,-0.2672,0.4494
2084352.0,433.89973,1.0,-7.6,-1.87,-5.91,44.0,-8.75,19.87,0.25,-3.13,-1.56,0.11032420643628749,-0.009354465591672856,-0.00012016471007925134,-116.77224597329428,-31.066791752073968,53.46170576624296,-0.0268,-0.8516,-0.2678,0.4498
2084386.0,433.920174,1.0,-7.68,-2.01,-5.65,44.0,-8.75,19.87,2.5,-1.12,-3.5,-0.16343111495488705,-0.014129049560198809,0.06405842277461105,-116.59757736800644,-31.173847836723343,53.590045423792205,-0.0266,-0.8508,-0.2687,0.4508
2084421.0,433.974177,1.0,-7.62,-2.22,-6.15,43.56,-8.75,21.06,2.5,-3.75,-1.19,0.15806183072818847,-0.35433219791600984,-0.22653320131685994,-116.53218769347627,-31.161951340157955,53.67992638338189,-0.0258,-0.8505,-0.2686,0.4515
2084458.0,434.003091,1.0,-7.56,-2.11,-5.7,43.56,-8.38,20.25,-0.12,-1.81,-1.0,-0.08093694745084967,-0.1653505786895193,0.10810328429746718,-116.40158899740273,-31.173847836723343,53.80838968539715,-0.026,-0.8499,-0.2687,0.4525
2084491.0,434.031017,1.0,-7.55,-1.88,-5.51,43.56,-8.38,20.25,0.63,3.44,-0.94,-0.1156343704884426,0.09085679874507083,0.27379241507387597,-116.44509519750314,-31.185744677827838,53.75699560652143,-0.0256,-0.8501,-0.2688,0.4521
2084526.0,434.066005,1.0,-7.48,-2.19,-6.3,44.75,-7.25,20.69,2.06,0.5,-1.19,0.35622723376155685,-0.39926029564655374,-0.20085685107168771,-116.4886280777146,-31.280931829061082,53.66708406362962,-0.0244,-0.8503,-0.2696,0.4514
2084560.0,434.091594,1.0,-7.64,-2.12,-5.92,43.56,-8.0,21.06,-0.94,-5.69,0.88,0.04271289651016996,-0.17073198094396527,-0.08675316570363201,-116.42333876589676,-31.26903222594612,53.744148912591335,-0.0247,-0.85,-0.2695,0.452
2084597.0,434.144708,1.0,-7.7,-2.1,-5.66,43.25,-8.38,19.87,1.44,-2.31,1.5,-0.1477590453906461,-0.06916057928781336,0.02355314477170012,-116.29293986048516,-31.233335490801053,53.89835748467391,-0.0251,-0.8494,-0.2692,0.4532
