TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1785341.0,134.337926,1.0,-6.05,1.27,-7.9,28.37,-25.25,31.06,-4.81,-1.56,6.19,0.0879276788465777,-0.2464301748771913,-0.22115837931213456,-140.61001416599208,-5.502509177758649,37.27747262341141,-0.0956,-0.9415,-0.048,0.3196
1785376.0,134.365971,1.0,-6.07,1.55,-7.83,28.37,-25.25,31.06,-4.44,-3.94,3.06,0.09145981976053275,0.005226207334787097,-0.22070796648978863,-140.40650617828152,-5.720494487173099,37.362137156703376,-0.0981,-0.9409,-0.0499,0.3203
1785409.0,134.399845,1.0,-6.11,0.96,-7.45,29.5,-25.69,29.37,-0.63,-4.5,2.69,-0.23180954944928933,-0.4869223409563234,0.1389009876051457,-140.27139021079807,-5.663127955663873,37.519427463611905,-0.0978,-0.9405,-0.0494,0.3216
1785446.0,134.456164,1.0,-6.1,1.0,-7.85,28.37,-26.37,31.06,-6.0,1.44,5.81,0.011577448216631314,-0.5808363446798989,-0.1680677956768104,-140.23768007093892,-5.536926565771378,37.483123203499495,-0.0999,-0.9404,-0.0483,0.3213
1785481.0,134.469163,1.0,-6.1,1.33,-8.05,28.37,-25.69,29.37,-4.19,-8.25,3.88,0.1956453914825267,-0.3415384508463663,-0.3730589529801964,-140.1031128223946,-5.559871768630059,37.56783922201158,-0.1019,-0.94,-0.0485,0.322
1785516.0,134.519013,1.0,-6.12,0.8,-7.16,28.37,-25.69,29.37,1.69,-7.94,1.37,-0.3803948737327385,-0.680801952720856,0.3858321776870479,-139.7685838910077,-5.479564528582773,37.89480115121914,-0.1026,-0.939,-0.0478,0.3247
1785552.0,134.548884,1.0,-6.16,1.54,-7.73,28.0,-26.0,31.06,-7.19,0.75,7.56,0.03990411639107405,-0.1337270151393143,-0.19588091706878963,-139.73527758064986,-5.307486603594609,37.88268575548643,-0.1046,-0.9389,-0.0463,0.3246
1785587.0,134.585749,1.0,-6.17,1.46,-7.69,28.0,-26.0,29.0,-0.81,-1.63,4.25,-0.0027234538568006172,-0.23817267307908838,-0.15727825950676078,-139.66874405322235,-5.181303758795193,37.90691698670959,-0.1061,-0.9387,-0.0452,0.3248
1785624.0,134.615753,1.0,-6.11,0.65,-7.63,28.0,-26.0,29.0,-3.06,-6.75,10.25,-0.10531952118447485,-1.0398542728141769,0.06605910982462149,-139.60231554875963,-4.997776256010228,37.97962124483598,-0.1069,-0.9385,-0.0436,0.3254
1785657.0,134.688557,1.0,-6.25,1.9,-7.94,28.0,-26.0,29.37,-14.94,-5.81,18.0,0.17782481172207865,-0.03621118222327291,-0.47358185957485865,-139.30467314730421,-4.561948975165956,38.13720165916782,-0.1129,-0.9376,-0.0398,0.3267
1785694.0,134.693543,1.0,-6.3,4.01,-8.03,28.69,-27.5,29.37,11.13,-18.94,-23.06,0.5912822195166076,2.0146156622424023,-0.9563750891806038,-138.91102916961097,-4.745446786894517,38.54969038931156,-0.112,-0.9364,-0.0414,0.3301
1785729.0,134.714652,1.0,-6.17,5.83,-6.64,28.37,-27.5,29.0,55.5,5.69,-132.63,0.4446172693381225,4.617100570195316,0.07874694700299756,-138.4239905330992,-7.3503583434868105,39.37623490539532,-0.0917,-0.9349,-0.0641,0.3369
1785763.0,134.775607,1.0,-5.39,-0.59,-5.67,28.37,-27.5,29.0,60.94,4.88,-176.19,-0.632887490693038,-0.6263327233135008,2.01201974938317,-137.71937015042116,-12.67674864442774,39.69282860908111,-0.0519,-0.9327,-0.1104,0.3395
1785800.0,134.798055,1.0,-5.24,1.76,-8.27,31.37,-23.0,29.75,-37.88,31.0,-164.5,1.7364411994143645,1.5228582281984964,0.1312288320205628,-136.7140156295355,-17.450913825320043,38.97485427752673,-0.0419,-0.9295,-0.1517,0.3336
1785837.0,134.852154,1.0,-5.81,-2.21,-4.75,32.5,-18.19,30.19,-50.56,50.44,-174.5,-2.306439663890097,-0.8196785037712976,2.3762285296330745,-134.7671460925717,-24.549525110224607,37.1323824635344,-0.0363,-0.9231,-0.2126,0.3184
1785872.0,134.863169,1.0,-4.29,-1.6,-5.65,32.5,-18.19,30.19,-135.31,212.25,-115.62,-1.141005823102502,-0.695122277553855,2.6581179317432913,-135.88272800413355,-29.440524955343978,31.75720133787431,-0.0423,-0.9268,-0.2541,0.2736
1785907.0,134.903316,1.0,-2.12,-1.6,-8.24,34.69,-14.0,31.87,-92.87,284.06,-84.19,0.03614354769932482,-1.7236362962863772,1.3225606816297653,-139.23881312164076,-34.32706780881908,20.681275164117206,-0.0437,-0.9374,-0.2951,0.1795
1785944.0,134.959523,1.0,0.03,-0.53,-8.54,29.87,-15.19,36.0,-76.0,309.69,-44.69,1.1818956632747681,-1.5703856854772313,1.4789605581451664,-141.26122730722247,-36.48023552286196,11.869983070722633,-0.0357,-0.9434,-0.313,0.1034
1785980.0,134.981648,1.0,1.22,0.36,-8.21,21.69,-15.5,42.69,-88.06,358.19,-33.0,0.8191657430511016,-0.7952102761741968,1.5775122503886507,-141.39967008106163,-38.42831653324454,-1.638715147453804,-0.0255,-0.9438,-0.3291,-0.0143
