TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1218334.0,304.876472,1.0,0.04,-0.31,-9.7,8.69,-9.75,48.06,-4.19,1.31,2.19,-0.22222806584705979,-0.06418687294819884,0.10437218847084218,-137.46590815068691,-42.532210288778515,-0.6417160846123932,0.0084,-0.9319,-0.3627,-0.0056
1218367.0,304.87946,1.0,0.19,0.0,-9.99,8.69,-9.75,48.06,-4.25,2.94,1.06,0.07553041914233731,0.06403341928955968,-0.18466597323387468,-137.4975120486347,-42.47073434166396,-0.7448503787209418,0.0078,-0.932,-0.3622,-0.0065
1218404.0,304.882452,1.0,0.35,-0.01,-10.08,8.69,-10.56,48.88,1.25,-0.88,0.88,0.16792744061513332,-0.04667365633404658,-0.2779234636866441,-137.56078717941855,-42.43385492531204,-0.8479852761926534,0.0076,-0.9322,-0.3619,-0.0074
1218437.0,304.890437,1.0,0.07,-0.02,-9.77,8.25,-10.19,48.88,0.37,-3.19,0.31,-0.02934108139945608,0.11513520540824229,0.03710123941653798,-137.59245851290373,-42.38468953590335,-0.7448503787209418,0.0072,-0.9323,-0.3615,-0.0065
1218471.0,304.946148,1.0,0.09,-0.13,-9.87,8.25,-10.19,48.88,-2.38,2.13,-1.19,-0.09311187679130054,0.023661918370862706,-0.06414886797514363,-137.59245851290373,-42.396980116115046,-0.7677691897415189,0.0072,-0.9323,-0.3616,-0.0067
1218506.0,304.980274,1.0,0.2,-0.28,-9.99,8.69,-10.19,49.69,1.0,2.75,1.25,-0.12550513162191507,-0.15027319115893473,-0.1873565254108911,-137.59245851290373,-42.396980116115046,-0.8479852761926534,0.0074,-0.9323,-0.3616,-0.0074
1218543.0,305.008201,1.0,0.2,-0.29,-9.89,7.56,-10.88,49.25,-4.31,2.44,0.88,-0.15277337047536282,-0.15765000497737913,-0.08718680748799557,-137.81479293008655,-42.151265384526,-0.9740399810272837,0.0071,-0.933,-0.3596,-0.0085
1218576.0,305.053473,1.0,0.22,-0.15,-9.87,7.56,-10.88,49.25,-0.63,-1.75,2.25,-0.04529384836327954,-0.07759534537831314,-0.06653223419764664,-137.87852272532075,-42.08986846540722,-0.9625804159917916,0.0066,-0.9332,-0.3591,-0.0084
1218611.0,305.083601,1.0,0.23,0.0,-10.07,7.56,-10.19,48.5,-1.88,-1.0,1.88,0.06011892853173281,0.018258759076983117,-0.2657803091234747,-138.07026684249539,-41.93029563540066,-0.93966131468631,0.006,-0.9338,-0.3578,-0.0082
1218646.0,305.11904,1.0,0.24,-0.07,-9.87,8.25,-9.75,48.88,0.25,-3.19,2.19,0.03348105740891824,-0.04990490743705409,-0.06633275694880858,-138.1343678726239,-41.86894415366213,-0.870904232640807,0.0059,-0.934,-0.3573,-0.0076
