TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1280782.0,367.385015,1.0,0.0,-1.87,-9.38,9.19,-1.0,49.69,-1.06,-2.63,1.0,-0.24194362373418468,0.06778281488907939,0.24536510868230188,-133.73534909546765,-44.915244802076664,2.8192367490322434,0.0892,-0.9196,-0.382,0.0246
1280817.0,367.412939,1.0,-0.07,-2.06,-9.33,10.0,-1.0,50.0,4.5,-2.81,-0.5,-0.41090898738029014,-0.02213759474650928,0.26054798237055365,-133.64792062272213,-44.989651826175965,2.9338644268256844,0.0895,-0.9193,-0.3826,0.0256
1280849.0,367.421769,1.0,0.17,-1.86,-9.77,10.0,-1.0,50.0,-5.13,4.38,-0.37,-0.04995283462313155,0.011757807046651372,-0.1401467943598096,-133.64792062272213,-44.977249267005995,2.9338644268256844,0.0896,-0.9193,-0.3825,0.0256
1280884.0,367.472594,1.0,0.29,-1.56,-10.06,9.56,-1.0,50.06,-3.75,0.5,-0.56,0.2530849340965541,0.16464904141215128,-0.3732389340353546,-133.64792062272213,-44.989651826175965,2.830699387947472,0.0886,-0.9193,-0.3826,0.0247
1280921.0,367.517473,1.0,0.02,-1.86,-9.41,10.0,-1.37,50.06,0.56,-0.19,-1.44,-0.2062435159139079,0.061535453707643184,0.21697967198139345,-133.58972143720712,-45.026862840013614,2.899475820391489,0.0892,-0.9191,-0.3829,0.0253
1280956.0,367.532681,1.0,0.09,-1.87,-9.5,10.0,-1.37,50.06,-1.12,1.5,-1.25,-0.16675541051724507,0.013350506041915608,0.12537867867800934,-133.56064768554157,-45.07648531811652,2.8421620551927376,0.0887,-0.919,-0.3833,0.0248
1280989.0,367.570358,1.0,0.09,-1.93,-9.59,10.38,-0.25,50.06,1.0,1.81,-1.19,-0.20584958465885028,-0.0017154571902393556,0.02612225321136208,-133.32867360141205,-45.32473177948933,2.796311555732279,0.0891,-0.9182,-0.3853,0.0244
1281024.0,367.602678,1.0,0.23,-1.86,-9.76,8.88,-1.37,50.88,-5.44,1.44,0.37,-0.056092776783509046,-0.030420887459893728,-0.13145988920925866,-133.3865649159552,-45.2750645639147,2.704611892754087,0.0887,-0.9184,-0.3849,0.0236
1281058.0,367.643327,1.0,0.14,-1.59,-9.75,8.88,-1.37,50.88,-3.13,1.31,0.5,0.04899881883311738,0.20469732621133588,-0.07089514646199468,-133.444524198005,-45.26264916304815,2.6243761106355543,0.0877,-0.9186,-0.3848,0.0229
1281093.0,367.670626,1.0,0.03,-1.59,-9.64,9.56,-2.19,49.69,0.37,-5.56,1.12,-0.021792184683655347,0.24842755889549784,0.039541479630832654,-133.5025517023973,-45.17575704605611,2.7619239753850606,0.0872,-0.9188,-0.3841,0.0241
1281126.0,367.710667,1.0,-0.04,-1.75,-9.35,8.06,-1.75,49.69,0.06,0.25,-0.88,-0.20823140352553607,0.14431591096499585,0.29757998235746896,-133.64792062272213,-45.026862840013614,2.796311555732279,0.0873,-0.9193,-0.3829,0.0244
1281163.0,367.73797,1.0,0.06,-2.09,-9.26,8.88,-1.75,48.88,-3.0,8.44,2.69,-0.40593996298026774,-0.15469266444633867,0.3234763262754665,-133.73534909546765,-44.927644585005865,2.6243761106355543,0.0879,-0.9196,-0.3821,0.0229
1281196.0,367.781568,1.0,0.2,-1.66,-9.58,8.88,-1.75,48.88,-15.81,15.69,0.25,-0.09738708746441627,0.09718020198376782,0.08280961856954328,-133.93995871664828,-44.84085774318776,1.9137679978932431,0.0858,-0.9203,-0.3814,0.0167
