TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1723250.0,810.628053,1.0,0.19,0.43,-9.98,10.5,-13.19,46.56,-0.56,4.44,-0.06,-0.004492278295774796,-0.029641516566776507,-0.18437102890046297,-132.29797094336487,-47.619376147320615,-1.94815034703792,-0.0173,-0.9146,-0.4037,-0.017
1723285.0,810.651991,1.0,0.33,0.44,-10.09,10.5,-13.19,46.56,-0.31,0.75,0.63,0.0806780838504984,-0.1143717876695331,-0.2973596071298079,-132.29797094336487,-47.60685129535254,-2.039837477354927,-0.0169,-0.9146,-0.4036,-0.0178
1723320.0,810.701133,1.0,0.16,0.04,-9.92,9.69,-11.25,47.88,5.44,-1.25,1.69,-0.3063909201475022,-0.24668906482652725,-0.1069199477708942,-132.29797094336487,-47.619376147320615,-1.982532871583725,-0.0162,-0.9146,-0.4037,-0.0173
1723357.0,810.724826,1.0,0.0,0.38,-9.76,9.69,-12.0,46.56,-4.25,0.0,2.75,-0.15614143593049934,0.09446567478670662,0.04096026049502832,-132.41145409892673,-47.48163594860579,-1.959611168911186,-0.0166,-0.915,-0.4026,-0.0171
1723389.0,810.77255,1.0,-0.07,0.59,-9.74,9.69,-12.0,46.56,-3.94,4.0,-0.56,-0.0737570882295664,0.27829196890622254,0.05279366150607068,-132.4398647310081,-47.45660010468906,-2.0742204847835874,-0.0176,-0.9151,-0.4024,-0.0181
1723424.0,810.789259,1.0,0.36,0.55,-10.19,10.5,-12.0,47.38,2.25,2.38,-0.94,0.14212354627796586,-0.05246666370304469,-0.4034062264266307,-132.3830594327069,-47.53171485619927,-2.24613838532295,-0.0171,-0.9149,-0.403,-0.0196
1723459.0,810.831721,1.0,0.2,0.44,-9.91,9.69,-11.69,46.56,0.56,-3.44,1.69,-0.020522123135986114,-0.005261723845563629,-0.1151064552212322,-132.41145409892673,-47.48163594860579,-2.1773706400327653,-0.0169,-0.915,-0.4026,-0.019
1723496.0,810.874809,1.0,0.02,0.42,-9.81,10.06,-12.38,45.69,-3.19,0.56,-1.12,-0.15233897515165334,0.1049749107262023,-0.010614033566978875,-132.41145409892673,-47.46911772602086,-2.1544482337672353,-0.0174,-0.915,-0.4025,-0.0188
1723529.0,810.907853,1.0,0.07,0.56,-9.88,10.06,-12.38,45.69,4.5,5.13,-3.88,-0.026947658227547452,0.17133878118982002,-0.08793522858722369,-132.32631788342704,-47.56928036162765,-2.2232157148923686,-0.0171,-0.9147,-0.4033,-0.0194
1723566.0,810.930803,1.0,0.29,0.18,-9.89,10.5,-12.0,46.56,2.44,6.44,-2.88,-0.16854404304699433,-0.19408062192323813,-0.08589899496319298,-132.15647345628565,-47.75718944121001,-2.3951379752687134,-0.0148,-0.9141,-0.4048,-0.0209
1723600.0,810.980254,1.0,0.45,0.47,-10.15,10.06,-10.88,47.06,-0.88,4.63,-4.81,0.11715607072207035,-0.1033135622040365,-0.362986215861298,-131.84655671079122,-48.03303658033746,-2.555603608821701,-0.0144,-0.913,-0.407,-0.0223
1723635.0,811.00565,1.0,0.55,0.35,-10.21,10.06,-10.88,47.06,12.75,-28.94,4.31,0.19870266444062404,-0.2947252896727491,-0.41796511523888924,-131.90276546625157,-48.03303658033746,-1.9252287616436874,-0.0139,-0.9132,-0.407,-0.0168
1723670.0,811.04063,1.0,0.26,0.23,-10.26,10.06,-11.25,47.06,11.0,-26.81,8.88,0.06513336198136079,-0.22881233302282922,-0.45646368744464816,-132.07176372350168,-47.88253794953186,-0.9969591404369118,-0.014,-0.9138,-0.4058,-0.0087
1723707.0,811.083029,1.0,-0.21,-0.51,-9.75,10.06,-12.0,47.06,24.37,-46.25,25.31,-0.4850398696590918,-0.4920881435673362,0.06553684062228982,-132.86795984370113,-47.081349880065595,0.870904232640807,-0.0134,-0.9166,-0.3994,0.0076
1723742.0,811.102627,1.0,-0.43,-1.53,-9.47,10.06,-12.0,47.06,13.44,-28.5,29.19,-1.1970787206000642,-1.1058810851077219,0.3435252749270248,-133.61881240543406,-46.30751972941107,2.0054546535892377,-0.0132,-0.9192,-0.3932,0.0175
1723777.0,811.197067,1.0,-0.63,-0.95,-9.35,11.56,-10.5,46.19,-49.88,0.94,28.19,-0.9820646418654182,-0.7187141976947788,0.4663663350768772,-134.7075870499225,-45.16334612512468,1.936689544653667,-0.0217,-0.9229,-0.384,0.0169
1723811.0,811.20005,1.0,-0.71,0.75,-9.75,13.5,-10.5,46.56,-54.63,6.5,26.62,-0.1280078431836864,0.28616334201329285,0.00711814721380577,-135.5180089054747,-44.23410474921271,0.870904232640807,-0.0381,-0.9256,-0.3765,0.0076
1723848.0,811.215123,1.0,-0.48,1.59,-9.87,12.25,-13.5,46.56,-47.38,39.88,5.69,0.3380966654623512,0.6551867734632163,-0.17492407109129893,-135.8217429117077,-43.801508905676954,-0.4583674584234223,-0.0463,-0.9266,-0.373,-0.004
1723883.0,811.256446,1.0,-0.33,2.09,-9.68,12.25,-13.5,46.56,-30.25,54.5,-9.69,0.4197641128697183,0.9915187316715346,-0.04322759793445918,-135.33670998155702,-44.15989850900582,-2.7275366438036484,-0.0503,-0.925,-0.3759,-0.0238
1723918.0,811.295994,1.0,-0.05,1.48,-9.44,12.0,-14.69,46.19,-7.38,48.38,-13.25,0.012531710155176207,0.5022936856671131,0.264425730492416,-134.7969534952698,-44.617815884427785,-4.194987989089829,-0.0483,-0.9232,-0.3796,-0.0366
1723955.0,811.334237,1.0,-0.54,1.04,-8.58,9.0,-16.19,46.19,-25.0,44.88,-7.94,-0.8198225534510517,0.7046435146258916,1.2147370291797817,-134.14543141113884,-45.01445861245965,-6.17947961245989,-0.0483,-0.921,-0.3828,-0.0539
1723990.0,811.352632,1.0,1.12,1.48,-10.03,9.0,-16.19,46.19,-27.87,65.31,-11.0,0.09209267817228595,-0.13123932613639822,-0.3923693243224289,-133.32867360141205,-45.42409319495194,-8.303694005010767,-0.05,-0.9182,-0.3861,-0.0724
1724024.0,811.401603,1.0,1.49,1.41,-10.23,7.5,-15.75,46.19,-22.19,55.0,-12.63,-0.13527463587598798,-0.29073023659479275,-0.6220736372634867,-132.29797094336487,-45.94633512532467,-10.68394626499923,-0.0497,-0.9146,-0.3903,-0.0931
1724059.0,811.431714,1.0,1.29,1.3,-9.11,5.56,-17.69,44.5,-9.69,64.06,-10.88,-0.3442684133686255,-0.05581296892440585,0.5209317094176029,-131.53850453910292,-46.29505700445262,-12.353968967121855,-0.047,-0.9119,-0.3931,-0.1076
1724096.0,811.465374,1.0,1.41,1.58,-8.61,3.0,-17.69,45.25,-30.12,95.81,-14.69,-0.40068648833618203,0.2969821778696583,0.9540881152068401,-129.97078188553854,-46.856456748886444,-15.713868313956251,-0.0436,-0.9062,-0.3976,-0.1367
