TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
614563.0,406.784433,1.0,-0.84,1.41,-9.71,24.25,-13.0,36.19,-0.31,-1.19,0.31,0.1447317495341241,0.027214788648672425,-0.03997947794602652,-110.79266112612922,-68.47159291816317,0.011459155921715059,-0.0782,-0.8231,-0.5626,0.0001
614596.0,406.819618,1.0,-0.62,1.19,-9.88,24.25,-13.0,36.19,3.88,0.0,1.44,0.016051730141349252,-0.27310987725061364,-0.16029804525977376,-110.81284195033062,-68.44387353354183,0.04583662483277591,-0.0778,-0.8232,-0.5624,0.0004
614633.0,406.844435,1.0,-0.85,1.33,-9.74,24.25,-14.06,36.69,2.75,-9.69,2.63,0.08878276230870902,-0.02187630077134268,-0.05999274455001391,-110.95425230146968,-68.29149832235983,0.22918327084134968,-0.0786,-0.8239,-0.5613,0.002
614670.0,406.884315,1.0,-0.85,1.15,-9.66,24.25,-14.06,36.69,-1.5,-12.69,4.56,-0.04504544718643755,-0.1218153433401947,0.04223850058977341,-111.05541520272615,-68.16692984371839,0.5156637559929028,-0.0798,-0.8244,-0.5604,0.0045
614703.0,406.929384,1.0,-0.85,1.4,-9.78,25.06,-13.69,36.06,3.31,1.12,0.69,0.17439820599810313,-0.08059352384066977,-0.10768255189977793,-111.11617542436286,-68.07010656639203,0.6187974261216272,-0.0812,-0.8247,-0.5597,0.0054
614737.0,406.966869,1.0,-0.95,1.33,-9.78,25.06,-14.06,37.0,-5.31,-5.25,2.31,0.06467540667872657,-0.03954256629100077,-0.1086943448637765,-111.21754699943546,-67.94570061664109,0.6760941207657828,-0.0825,-0.8252,-0.5588,0.0059
614774.0,406.989823,1.0,-0.69,1.14,-10.13,24.69,-13.0,36.56,9.19,-7.13,1.25,-0.013551146604673991,-0.4169226756761495,-0.40210074869265,-111.25813232752795,-67.89043829465147,0.870904232640807,-0.0825,-0.8254,-0.5584,0.0076
614809.0,407.037158,1.0,-1.13,1.16,-9.67,24.69,-13.0,36.56,0.94,-12.69,2.44,-0.07928320267654487,-0.004541255508713399,0.002309453549573348,-111.38001462419376,-67.73855928586948,1.3178319771025526,-0.084,-0.826,-0.5573,0.0115
614844.0,407.060475,1.0,-1.11,1.14,-9.54,24.69,-13.25,35.75,-10.31,-25.94,13.06,-0.07232364030446814,-0.10840231912740135,0.13574940965884252,-111.64474703136041,-67.38010802744758,1.7074774129745527,-0.0879,-0.8273,-0.5547,0.0149
614881.0,407.10854,1.0,-1.62,1.99,-9.33,24.69,-13.25,34.06,-10.38,-30.0,16.87,0.5119202539753743,0.5071272970764316,0.15708215692382588,-112.19747600626745,-66.59687161580996,2.4065996467302937,-0.0969,-0.83,-0.549,0.021
