acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
6.99,2.76,-6.25,-79.83740266974313,-79.6283867646292,-45.47378742330781
6.8,3.0,-6.16,-79.92707858608141,-79.6283867646292,-45.41167104755996
7.35,2.54,-6.98,-80.12157851666187,-79.70299876376654,-45.10129990098643
6.59,3.1,-6.13,-80.6165617364412,-79.71792602911492,-44.605429900527255
6.45,2.67,-5.96,-80.87226170457619,-79.79258672651936,-44.20936716761421
6.71,2.8,-6.57,-80.8271028985237,-79.74778543159233,-44.345450751183655
6.98,2.81,-6.76,-80.87226170457619,-79.70299876376654,-44.38257587959071
6.52,2.83,-6.2,-81.08320374700905,-79.64330592338119,-44.271215191825895
6.48,2.66,-6.25,-81.20389126609984,-79.50909171234423,-44.37020029186166
6.3,3.05,-6.54,-81.15862069013602,-79.38989987649909,-44.67975404839129
6.34,2.6,-6.06,-81.05304885614035,-79.30057349706065,-44.878048779944685
6.52,2.02,-6.75,-80.73683070850339,-79.15182427198795,-45.43651590599992
7.77,1.85,-8.19,-80.34634707870403,-78.38088122929612,-46.656712208804855
12.8,4.03,-11.2,-81.50608810294752,-76.70531264449292,-46.90641643845059
16.26,1.97,-17.09,-83.97986233388389,-76.36961551362315,-44.023904316328505
15.32,1.05,-14.43,-93.52158145031368,-76.1656564719778,-30.840875591725844
8.14,5.95,-6.0,-103.23811172650564,-74.05524812454561,-14.89295693159816
3.51,1.83,-3.72,-108.25050517877196,-71.39418485009088,5.15836210329675
-2.29,-1.24,1.76,-109.05615676372436,-68.4993168665412,16.269308165184984
-3.6,-0.4,0.0,-109.8498937322769,-65.02722926644273,23.12070182440919
-3.63,-1.51,1.41,-110.87341536801527,-62.81213256780961,25.512050354420897
-2.97,-0.5,0.77,-112.56817591001142,-61.88799370587642,23.79950985538602
-2.5,0.34,1.95,-115.64449198892322,-61.64765035653756,16.616652750638245
2.59,1.2,1.04,-117.45321573278471,-62.19553975386646,5.4336758888612415
9.03,0.98,-0.03,-114.17471692174006,-61.44759380393023,-19.447737797457524
17.13,10.75,-2.32,-103.03532104245024,-57.18801133423565,-45.1757570460561
23.99,10.79,-8.74,-77.74655203029216,-49.58080290531658,-79.47928409235018
21.55,10.78,-5.99,-67.76616359207401,-45.31231413333559,-92.02642985732344
16.19,13.85,0.55,-68.11159548513581,-42.852092757216354,-93.58851254585272
15.33,9.72,-2.8,-69.27745617086707,-45.61049316943376,-90.3072214419173
14.06,9.64,-5.44,-75.16454533036487,-50.2633517404334,-81.06812545338191
10.15,10.26,-1.02,-89.7884222482225,-58.970568079244025,-58.03804868729153
3.33,5.71,4.48,-96.40412626430498,-67.36633638987873,-39.181563633405815
3.32,-2.16,3.09,-92.42314314089434,-79.52399794108469,-22.267504416511223
4.59,-9.59,-1.13,-86.12566858375126,-87.45034897247223,-15.239724647140951
5.74,-11.43,-2.62,-85.57793352438526,-88.8540080016114,-13.091899903813276
7.02,-9.34,-5.69,-89.44922896161478,-85.60916725031366,-15.239724647140951
8.31,-7.7,-7.71,-94.49620014403057,-80.72179122194791,-17.54366623938741
8.85,-2.98,-8.98,-104.2216259643372,-71.0981430834236,-20.4017767128752
5.68,6.02,-8.56,-112.4031992471798,-63.01363300906978,-21.43888030792546
3.86,9.42,-8.07,-121.08017234591216,-54.438922188166046,-20.83272200177108
3.57,10.96,-10.0,-124.87336158426491,-50.541973215859535,-20.448351223683986
3.29,8.0,-9.99,-126.149991690663,-49.20242077437143,-20.29699650405997
2.7,3.56,-9.39,-126.12469119973764,-49.65654846766405,-19.36635943259494
1.51,2.62,-8.17,-126.149991690663,-50.02297965952342,-18.460228812044047
1.46,1.42,-8.14,-125.52074054609028,-50.92242811941736,-17.93799404290059
2.41,0.79,-9.42,-124.84860239500853,-51.59604173997076,-18.03080801097451
2.67,0.64,-9.51,-124.40467458524144,-52.08018919976154,-17.996001378555594
2.2,1.99,-9.23,-124.35555059912924,-52.18224209821447,-17.891591511712036
2.5,1.37,-9.15,-124.1105266335135,-52.488668512026216,-17.77559810564146
2.75,1.79,-9.72,-123.98838434414272,-52.6036825036909,-17.82199325799314
2.54,1.88,-9.47,-123.79346416819727,-52.79549944688719,-17.77559810564146
2.37,1.05,-9.1,-123.5506835259097,-53.10273871771936,-17.659623057349798
2.19,1.78,-9.29,-123.33299743586116,-53.26933184501482,-17.763999776816537
2.61,1.26,-9.4,-122.89990924402274,-53.70561320811986,-17.856791554733764
2.44,1.93,-9.37,-122.70838865597604,-53.89835748467391,-17.856791554733764
