TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1837191.0,310.851363,1.0,0.74,-0.53,-10.49,19.0,-10.19,44.5,0.63,-6.06,1.06,0.06726649094394416,-0.24124917561229084,-0.7197869116269597,-118.54340107943032,-61.32765948477194,-1.0084187350403075,0.0314,-0.8596,-0.51,-0.0088
1837228.0,310.8785,1.0,0.52,-0.39,-10.11,16.75,-9.75,44.0,2.25,-12.44,1.44,0.11642761308871724,-0.0580979644536917,-0.323387968212991,-118.74553859011928,-61.12793410600524,-0.6760941207657828,0.0301,-0.8605,-0.5085,-0.0059
1837262.0,310.915158,1.0,0.23,-0.26,-9.8,16.75,-9.75,44.0,1.0,-12.88,-0.06,0.12158926054763006,0.18834405080618705,0.0030668504446591527,-118.74553859011928,-61.12793410600524,-0.3323159869732291,0.0288,-0.8605,-0.5085,-0.0029
1837295.0,310.955158,1.0,-0.05,-0.34,-9.61,18.69,-10.19,44.19,6.5,-14.13,0.75,-0.013371054948950255,0.3226150043243998,0.19592990346850492,-118.81305169988002,-61.07470873985765,0.2406424508273681,0.028,-0.8608,-0.5081,0.0021
1837332.0,310.981089,1.0,-0.11,-0.43,-9.44,19.0,-8.69,43.69,6.25,-10.56,0.31,-0.06859358605376131,0.2920475541686811,0.3609841607880071,-118.79053985855313,-61.10131959894817,0.6417160846123932,0.0281,-0.8607,-0.5083,0.0056
1837367.0,311.015265,1.0,-0.05,-0.28,-9.47,20.19,-9.06,44.06,2.81,-7.25,-0.56,0.13432500999891894,0.27537055168103386,0.33733493232189105,-118.76803549140179,-61.12793410600524,0.9740399810272837,0.0275,-0.8606,-0.5085,0.0085
1837402.0,311.053439,1.0,0.16,-0.39,-9.81,20.19,-9.06,44.06,3.94,-5.31,-3.88,0.177380057897998,0.0377597874032328,-0.010727985669870321,-118.67809259864173,-61.22111365086855,1.1344749665222489,0.0275,-0.8602,-0.5092,0.0099
1837438.0,311.098265,1.0,0.01,-0.48,-9.55,19.0,-9.75,44.06,5.13,-6.56,-4.25,0.06304378901061615,0.09669241975915419,0.2452862867722505,-118.65562547806576,-61.22111365086855,1.4438918508267422,0.0279,-0.8601,-0.5092,0.0126
1837473.0,311.117484,1.0,0.08,-0.68,-10.01,20.19,-8.25,44.5,5.63,-13.13,-2.0,-0.004974327728065692,-0.07630638955079236,-0.226447856144798,-118.54340107943032,-61.32765948477194,1.7877008349543104,0.0278,-0.8596,-0.51,0.0156
1837506.0,311.162715,1.0,0.27,-0.71,-10.59,20.19,-8.25,44.5,10.0,-27.0,2.56,0.2370379124876622,-0.3645390526457116,-0.8016497839964742,-118.54340107943032,-61.287697920308666,2.807774138332147,0.0262,-0.8596,-0.5097,0.0245
1837543.0,311.20387,1.0,0.66,-1.18,-11.25,21.69,-8.25,44.06,18.19,-79.25,17.81,0.3192231268030501,-1.194901724470805,-1.4566002619879157,-118.74553859011928,-60.981599418441434,4.642227799866185,0.0215,-0.8605,-0.5074,0.0405
1837580.0,311.234003,1.0,-1.56,-0.58,-9.14,23.19,-7.88,42.88,30.94,-162.19,44.0,0.125817117511426,0.3546049374602111,0.5239766032209268,-119.4237274219872,-59.62985148899755,9.76355056625781,0.0051,-0.8635,-0.4972,0.0851
