TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1138173.0,382.549962,1.0,-0.65,-0.06,-9.84,26.0,-7.06,41.06,-3.0,6.5,-1.06,0.1261361239479598,-0.13286397612194317,-0.05327580307197266,-107.89927038520268,-71.88881371666841,4.309658496908005,-0.0186,-0.8085,-0.587,0.0376
1138208.0,382.595958,1.0,-0.51,0.01,-10.15,24.87,-6.75,40.25,-0.25,3.38,-0.56,0.2312483716219966,-0.2447172827201997,-0.3505808057934878,-107.91874458790811,-71.88881371666841,4.160587661476331,-0.0182,-0.8086,-0.587,0.0363
1138245.0,382.613967,1.0,-0.5,-0.03,-9.94,24.87,-6.75,40.25,3.19,-3.19,-1.81,0.19896887861475898,-0.25414600925115705,-0.14072760373680104,-107.86033561317936,-71.93128239622219,4.217921750764655,-0.018,-0.8083,-0.5873,0.0368
1138282.0,382.655707,1.0,-0.65,-0.51,-9.54,24.87,-6.75,40.25,3.0,0.5,-0.12,-0.2985714007730003,-0.22948517230835766,0.23834860036113348,-107.84087503637959,-71.95960119494846,4.309658496908005,-0.0173,-0.8082,-0.5875,0.0376
1138315.0,382.69261,1.0,-0.82,-0.05,-9.67,25.56,-7.06,39.06,-4.31,-0.31,0.88,0.07265394357084853,0.051673132618370726,0.10222568467613691,-107.89927038520268,-71.88881371666841,4.263789782102698,-0.0184,-0.8085,-0.587,0.0372
1138350.0,382.723509,1.0,-0.5,-0.37,-9.96,24.5,-7.06,41.56,1.94,5.19,-0.69,-0.12505634378803038,-0.3431032233267617,-0.1660698441057793,-107.99668693087186,-71.81805792972114,4.149120969117045,-0.0173,-0.809,-0.5865,0.0362
1138386.0,382.758929,1.0,-0.74,0.16,-9.7,26.37,-7.5,41.56,-0.37,-0.44,-0.69,0.28697606811655535,0.06097263165975016,0.08157277282504793,-107.99668693087186,-71.80391056917499,4.137654318321577,-0.0178,-0.809,-0.5864,0.0361
1138421.0,382.78925,1.0,-0.53,-0.14,-10.19,26.37,-7.5,41.56,1.5,-8.31,0.81,0.11072211874872837,-0.2974003489458059,-0.39314870609546837,-108.01618391845108,-71.77561964048604,4.355527902560735,-0.0183,-0.8091,-0.5862,0.038
1138458.0,382.842187,1.0,-0.95,-0.34,-9.94,25.25,-7.5,42.0,5.19,-28.0,9.0,-0.15595609391240067,-0.049582006226668585,-0.1830907034131819,-108.25050517877196,-71.46475194075083,5.009246344236124,-0.0206,-0.8103,-0.584,0.0437
1138495.0,382.870102,1.0,-0.44,-0.21,-11.0,25.56,-6.38,40.19,22.94,-89.87,25.5,0.4731348548865145,-1.0434353916564607,-1.1443812752968725,-108.79985018717655,-70.54979476235701,7.660420468145224,-0.03,-0.8131,-0.5775,0.0668
1138530.0,382.90702,1.0,-1.61,-0.53,-9.01,25.56,-6.38,40.19,54.75,-137.63,34.56,0.030259898602060575,-0.31324397133240844,0.6440050460055211,-109.29346359122702,-69.30531417283929,11.478340954533573,-0.0397,-0.8156,-0.5686,0.1
1138563.0,382.933686,1.0,-3.33,-1.23,-6.17,29.0,-7.06,39.0,38.94,-93.0,28.37,-1.237414304557202,1.108190517120728,2.8848424603004954,-109.7303356928047,-67.71095944217275,15.621331474060083,-0.0483,-0.8178,-0.5571,0.1359
1138599.0,382.974181,1.0,-3.32,-1.8,-4.51,32.38,-4.88,36.06,-13.81,20.5,19.62,-2.0496606697246387,1.2257475837133804,4.430877125333069,-110.06954622730548,-67.31126086505994,15.806415466969177,-0.0502,-0.8195,-0.5542,0.1375
1138636.0,383.022865,1.0,-2.83,-0.64,-2.51,33.88,-5.69,35.69,-79.81,189.63,3.06,-1.3598826846939311,1.8837659098522286,6.753660468287152,-111.38001462419376,-67.29749473790226,10.833574298853826,-0.0426,-0.826,-0.5541,0.0944
1138671.0,383.076203,1.0,0.04,1.67,-1.85,33.88,-5.69,35.69,-134.06,402.56,-50.63,1.5543289111854681,0.48838603925187796,7.920240523635744,-111.1769826604611,-68.77680821232158,0.9282017781870658,-0.0199,-0.825,-0.5648,0.0081
1138708.0,383.101136,1.0,6.22,3.53,-7.61,28.56,-7.5,40.19,-150.13,485.69,-85.56,3.4449200449255923,-2.8977874601128146,0.3834470561977845,-105.99323879892165,-71.1404012489265,-17.450913825320043,0.0287,-0.7986,-0.5817,-0.1517
1138743.0,383.116224,1.0,8.59,3.15,-10.99,12.88,-12.0,44.88,-102.31,430.75,-84.31,0.3688060578656378,-1.1797607991932875,-4.439852958563845,-97.33679783559198,-71.98792507543294,-33.775785318620265,0.0798,-0.7509,-0.5877,-0.2905
1138780.0,383.158975,1.0,9.36,2.32,-11.03,12.88,-12.0,44.88,-75.5,191.25,-48.0,-1.6155490431412631,-0.4092833801146052,-4.749289969784405,-92.39002905922057,-71.84635644599051,-41.39083180240233,0.1006,-0.7217,-0.5867,-0.3534
1138812.0,383.196038,1.0,7.87,3.8,-7.65,-3.56,-17.19,45.25,-65.0,16.69,-6.13,0.40790795142419434,-0.4309339530605024,-1.7928028763758768,-91.33558129123824,-70.90108527835083,-44.518743376465615,0.0922,-0.7153,-0.58,-0.3788
1138849.0,383.225056,1.0,6.61,3.99,-5.84,-9.69,-19.5,43.56,-49.44,21.62,-10.63,1.1010039687635746,-0.4218011512988379,0.1979209451494146,-91.2372369350846,-70.33938584771147,-45.64778844933024,0.0834,-0.7147,-0.576,-0.3879
1138886.0,383.261023,1.0,6.93,4.06,-6.99,-10.0,-20.56,42.75,-56.44,63.75,-20.69,0.14216895628250503,0.2824239130331521,-0.8361233566592805,-89.67524692878357,-69.72374829540702,-48.686220967347204,0.0782,-0.7051,-0.5716,-0.4122
1138921.0,383.285958,1.0,7.79,5.07,-7.62,-10.0,-20.56,42.75,-48.5,46.25,-9.81,0.32352548578764484,0.588398258153036,-2.19345494745143,-88.64559529672633,-69.12432067193492,-50.87166614791169,0.075,-0.6987,-0.5673,-0.4295
