acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.39,1.2,-9.59,-136.21958862710648,-42.76593619701882,-0.4469082131192447
-0.48,1.34,-9.62,-136.25033456727624,-42.70441132531611,-0.4583674584234223
-0.36,1.53,-9.87,-136.25033456727624,-42.72901972322527,-0.4812859628976946
-0.32,1.41,-9.89,-136.25033456727624,-42.70441132531611,-0.4583674584234223
-0.47,1.19,-9.45,-136.21958862710648,-42.74132469735878,-0.3896120513439707
-0.48,1.28,-9.81,-136.25033456727624,-42.71671526594671,-0.4469082131192447
-0.44,1.61,-9.56,-136.25033456727624,-42.69210790112656,-0.4927452222969898
-0.29,1.35,-9.74,-136.1888632044355,-42.76593619701882,-0.4239897358038088
-0.44,1.19,-9.64,-136.12747373883852,-42.82747400563139,-0.3323159869732291
-0.47,1.49,-9.9,-136.12747373883852,-42.82747400563139,-0.3896120513439707
-0.41,1.5,-9.99,-136.09680960991037,-42.86440291129757,-0.2864791959817692
-0.63,1.32,-9.48,-136.06616582647524,-42.90133648918904,-0.0229183119580216
-0.22,1.58,-11.73,-135.97435612355386,-42.91364872106161,0.687553479519944
-0.39,1.91,-11.83,-135.70001200168377,-42.87671358451489,3.5185137037623337
-1.24,1.66,-9.69,-134.49971207203987,-42.82747400563139,9.683046840720888
-2.97,1.8,-6.82,-132.66772802198358,-42.95058853731749,14.985414779298193
-3.69,-0.31,-7.38,-129.88954402446632,-44.17226486112259,19.57563811342796
-4.0,-2.01,-6.99,-129.05718198573572,-44.70453316546126,20.90263293758787
-3.54,-3.16,-6.75,-130.3242488651211,-43.97446806674141,19.994394103683582
-2.61,-2.23,-6.57,-134.7671460925717,-40.85232569399261,16.095692494623034
-0.96,1.52,-4.72,-139.8686617976523,-37.822115366775535,8.740349140335567
2.54,3.46,-5.79,-142.63208125401738,-35.57649524988903,-7.970538771598189
5.99,4.51,-11.02,-138.68306126823978,-34.87917065061918,-21.05413366331596
8.78,1.43,-12.51,-127.76677999527551,-36.52850049317351,-35.805224148583044
8.76,-0.13,-10.52,-121.2201221874496,-38.3555137295299,-42.01620886419129
7.59,1.27,-7.14,-117.47529333345742,-38.65896530684754,-46.20783414121839
7.74,2.67,-6.77,-115.1512723286105,-38.51327351873995,-49.05122823331522
8.2,1.82,-7.15,-113.64933964888505,-38.999166163078655,-50.27600944578726
8.38,1.96,-7.43,-113.48199585621887,-39.42492119409256,-49.947121594647854
8.0,1.6,-7.28,-114.76759373176696,-39.69282860908111,-48.15851940424125
8.73,1.09,-9.96,-119.19690467351394,-39.70501157955701,-42.99984891491943
6.44,0.43,-7.95,-125.27091255577452,-39.46144077446525,-35.696860557625506
4.78,1.32,-7.38,-132.7820481898819,-38.42831653324454,-26.20572887768385
4.26,2.21,-11.75,-138.4239905330992,-37.846342205002045,-16.5471716366683
2.11,1.8,-8.06,-140.64403039131906,-38.367646412161214,-8.453062112264227
0.97,-1.38,-9.48,-140.203997331634,-39.79030547860814,0.6760941207657828
-0.68,-2.31,-9.49,-139.5691405181039,-39.77811923036006,6.787789031247121
-1.57,-2.23,-8.55,-138.7806141249359,-38.10083031138289,14.73117911928188
-3.56,-3.37,-4.28,-138.585728177911,-35.745018073663594,19.23849904872923
-3.27,-2.92,-5.83,-141.6082344949301,-30.44878609284871,20.075850034388896
-2.82,2.81,-6.75,-146.5113892939378,-23.08561363949995,16.0609738361326
-1.35,5.87,-6.88,-149.07278485727542,-18.49505809550988,10.937173775974523
-0.69,8.4,-5.79,-151.57882322936237,-15.112560354905924,2.991179359701173
1.84,6.89,-6.94,-153.2614432071201,-15.632898017228824,-4.160587661476331
3.9,5.38,-11.54,-150.34469905459454,-19.54075377357945,-15.054764601110485
4.15,4.54,-14.43,-146.39227073603638,-22.86343926833653,-20.21551264575777
4.04,2.61,-12.01,-144.388983618951,-27.088940429595656,-19.8664125287693
2.89,1.41,-10.14,-144.53918747848587,-30.045196559032803,-15.470980940849389
2.12,1.52,-11.6,-144.61452078820062,-31.82869013670581,-11.766299745968876
1.52,0.5,-11.16,-144.53918747848587,-34.05132504616154,-4.837200229263812
-0.72,-0.28,-5.75,-144.05324557319378,-35.04736729747761,0.7563097804494618
-1.05,-1.43,-8.38,-143.46374555627926,-35.57649524988903,4.206454848857137
-1.12,-0.48,-6.78,-143.86802831777294,-34.98728813812748,5.0321866714644
-1.18,-1.55,-5.97,-145.91984007134727,-32.97426433366517,3.5987664920103746
0.92,0.21,-5.03,-148.2664446111409,-30.35378924019512,-1.6730962049034406
3.15,3.39,-8.93,-148.47668973247264,-26.19396354392425,-13.703410648771609
4.79,2.09,-10.82,-145.53094905314887,-24.197824520118107,-22.45439792967429
6.51,2.44,-11.6,-141.3650146581067,-22.150726459273766,-30.615082217040023
6.78,2.08,-11.36,-138.1343678726239,-20.168955080859902,-35.70889932534102
5.65,1.15,-8.03,-137.91042216197232,-18.27450160119409,-36.90278239165085
6.12,3.07,-7.23,-138.84577222800962,-14.442363367873067,-37.43472359227642
7.18,3.23,-9.37,-138.48861330559183,-12.469235993000286,-38.40404714248387
6.08,2.39,-8.12,-138.61814821881748,-10.741493332748478,-38.50113546048416
5.75,3.31,-7.05,-139.3046731473042,-9.188627520029687,-37.931149977697146
6.03,3.32,-7.91,-139.3046731473042,-8.039461810968866,-37.9917401637673
5.96,2.54,-7.68,-139.07460705159409,-7.890132207309978,-38.12507743338386
5.34,3.09,-6.99,-139.3046731473042,-7.396290017779932,-37.83422856646789
5.56,3.47,-7.46,-139.5691405181039,-6.856665996646211,-37.56783922201158
5.6,2.55,-7.75,-139.5691405181039,-7.109236280779951,-37.51942746361191
5.59,2.7,-7.12,-139.80191665328087,-7.488156943849511,-37.20491981438743
5.49,2.48,-7.9,-139.73527758064986,-7.706360320042279,-37.24119428419274
5.43,2.29,-7.52,-139.70199765652578,-7.924591684679524,-37.21701087468853
5.72,2.5,-8.08,-139.60231554875963,-8.062436803571838,-37.277472623411406
5.63,2.4,-7.78,-139.66874405322235,-8.280715556970401,-37.24119428419274
5.68,2.32,-7.73,-139.66874405322235,-8.510515201802361,-37.20491981438743
5.61,2.35,-7.79,-139.60231554875963,-8.912747665103913,-37.180738981785375
5.39,2.15,-7.41,-139.66874405322235,-9.13114820216436,-37.10820677500307
