acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-1.37,3.33,-9.17,-140.40650617828152,-32.711441879621354,2.87655022805785
-1.35,3.08,-9.25,-140.40650617828152,-32.68755772174567,2.87655022805785
-1.31,3.51,-9.31,-140.44035437538835,-32.54428338361999,2.807774138332147
-1.26,3.3,-9.41,-140.40650617828152,-32.580097056893266,2.7619239753850606
-1.38,3.28,-8.99,-140.37268573421258,-32.592035674709635,2.830699387947472
-1.28,3.15,-9.45,-140.40650617828152,-32.592035674709635,2.8192367490322434
-1.34,3.31,-8.98,-140.33889297208822,-32.580097056893266,2.922401528803221
-1.46,3.03,-8.79,-140.33889297208822,-32.61591400140699,3.082884815106741
-1.41,3.02,-9.09,-140.33889297208822,-32.68755772174567,3.014105541619682
-1.5,2.96,-8.88,-140.305127821115,-32.74727085632419,2.956790311078442
-1.34,2.65,-8.96,-140.40650617828152,-32.711441879621354,2.7275366438036484
-1.37,2.81,-9.58,-140.61001416599206,-32.36526393220739,2.5670656278548973
-1.43,2.57,-9.92,-141.08884000838947,-31.721461697138416,2.830699387947472
-1.29,3.74,-12.08,-141.33038910827102,-30.99543647635929,3.782208130568333
-0.75,6.0,-13.83,-140.8487237731441,-29.2983716924918,9.050681021579294
-3.37,7.02,-6.08,-139.00910093867893,-28.16278249153404,16.338764939656073
-4.5,5.32,-4.9,-135.2162310052641,-29.33390567781849,24.279867169785643
-4.74,1.08,-6.51,-132.5821583872238,-31.364238746739588,27.926560226864748
-5.54,0.08,-4.22,-130.4881841928668,-33.83566809114509,29.487919662093987
-5.08,-0.31,-2.73,-131.67829939723129,-36.22695406441953,25.700071520307283
-1.29,-1.05,-5.91,-135.30656135192416,-40.05852194281655,13.865006554805133
2.08,-0.93,-11.34,-136.4970459556038,-42.11442571308733,3.908329853329541
3.48,-2.42,-12.2,-136.8073201749142,-42.56910201801789,-5.410731896463338
3.78,-1.43,-10.72,-136.58990657854866,-41.17041905633896,-13.230321745568984
5.12,-0.19,-12.28,-137.81479293008655,-38.97485427752672,-15.470980940849389
4.07,1.89,-11.94,-141.74788525089278,-35.15553486649333,-14.534774284595128
3.31,3.87,-13.26,-145.7248595525418,-32.2936788968098,-10.361732200036483
0.61,5.09,-10.09,-149.9885675960275,-28.45823232032684,2.4065996467302937
-2.29,3.29,-8.16,-148.7733502639536,-26.94751777725,11.294085603048902
-3.89,0.83,-6.16,-145.84171829017612,-26.558820285317804,18.37896716762953
-4.31,0.07,-4.45,-144.99354106549774,-26.8414782366778,19.72682480222872
-2.82,-0.46,-7.27,-145.9589661948812,-27.13609064749141,17.763999776816537
-2.58,0.22,-7.55,-147.6025936178383,-26.982869511205863,14.765843296845908
-2.35,-0.04,-5.33,-149.20198320614296,-26.6883513110376,12.111948910357556
-1.74,-0.21,-4.61,-151.6255402012684,-26.59414349441812,5.15836210329675
1.07,1.01,-6.94,-152.09692309623645,-26.617693729981983,-2.670224968889185
4.18,2.05,-12.07,-150.03285782765786,-26.20572887768385,-12.388547751922632
3.65,2.14,-10.78,-147.93284627196644,-25.67656503656709,-17.706010881893693
3.36,1.25,-7.93,-147.31628725286762,-24.596436196111345,-20.203872938706382
4.1,4.0,-8.88,-144.46400874868328,-23.68241421184977,-24.983613243143303
5.07,3.56,-10.1,-141.74788525089278,-24.01034566150753,-28.446410631570988
5.97,4.31,-11.22,-138.23069557304194,-24.737194611496925,-32.2936788968098
6.08,5.59,-10.68,-136.34269592729157,-25.770597576108926,-33.548317235556404
5.38,4.94,-9.38,-134.44048421864292,-28.115528300006986,-33.727885940809074
5.82,4.24,-9.73,-132.69628364910096,-30.377536447956228,-33.94348108559176
5.73,2.37,-9.71,-131.53850453910292,-33.05792701658909,-32.914516343671416
4.7,2.13,-8.12,-131.53850453910292,-34.96325925488904,-30.710138215163173
4.62,1.72,-8.76,-131.14907903681728,-36.25106819831296,-29.78425385642316
4.28,1.35,-7.62,-130.84513444406196,-37.640469908070976,-28.588291341239625
3.92,1.61,-7.97,-130.57034285366944,-38.28272700926836,-28.17459680285253
4.15,1.67,-8.63,-130.43348264858346,-38.64682184617822,-27.855717200127582
3.9,2.85,-8.26,-131.0660093808112,-38.13720165916782,-27.041794884833607
3.51,3.53,-7.87,-131.87465337051762,-37.54363247388456,-25.94695623100749
3.4,3.28,-7.89,-132.07176372350168,-37.43472359227642,-25.65305965168436
3.55,3.5,-8.6,-131.90276546625157,-37.41052638436744,-25.970475433904987
3.56,2.91,-8.77,-131.81847545998673,-37.49522418973963,-26.111614068361767
3.55,3.51,-8.68,-131.81847545998673,-37.277472623411406,-26.29986168212807
3.49,3.48,-8.63,-131.93089302515688,-37.10820677500307,-26.29986168212807
3.41,3.5,-8.57,-132.01536875371886,-36.999437339480345,-26.28809409494012
3.44,3.43,-8.42,-132.12822120462246,-36.92694357562125,-26.19396354392425
3.65,3.64,-8.85,-132.24132459051677,-36.74577605968171,-26.241026566581308
3.47,3.58,-8.51,-132.24132459051677,-36.72162758785172,-26.19396354392425
3.47,3.3,-8.48,-132.24132459051677,-36.83030903162441,-26.09985097880343
3.41,3.73,-8.43,-132.2130251212284,-36.80615463747225,-26.13514108768563
3.41,3.24,-8.29,-132.09998463629478,-36.999437339480345,-26.170433719349266
