TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1822529.0,221.018145,1.0,-1.44,-0.65,-9.67,8.0,-12.38,44.69,-7.81,1.88,2.75,-0.15266590688529802,0.06688324629081568,0.009853597489611232,-167.86710278173726,-8.579461739762628,7.798243752767078,0.0305,-0.9944,-0.0748,0.068
1822562.0,221.052895,1.0,-1.37,-0.68,-9.81,8.69,-12.0,44.06,-6.5,5.44,1.12,-0.09948016246902769,-0.002209457499553258,-0.12136585492149976,-168.08593042045837,-8.556479215940191,7.6374510050387485,0.0286,-0.9946,-0.0746,0.0666
1822597.0,221.081733,1.0,-1.22,-0.56,-9.88,7.19,-12.38,44.06,-6.75,4.25,0.69,0.04434250929051364,0.06363150449187233,-0.16382565432592244,-168.30883818145554,-8.430081473298436,7.47667331573405,0.0269,-0.9948,-0.0735,0.0652
1822631.0,221.116431,1.0,-1.17,-0.7,-9.91,7.19,-12.38,43.25,2.5,1.63,-0.37,0.060830883961645266,-0.09000097247221646,-0.19610959065849087,-168.4218955829601,-8.395611151395808,7.384806987935719,0.0264,-0.9949,-0.0732,0.0644
1822666.0,221.140527,1.0,-1.2,-0.84,-9.85,7.19,-12.38,43.25,1.81,-1.56,0.25,0.006978692281488175,-0.20886413417167565,-0.14947510323724167,-168.4218955829601,-8.384121213370948,7.396290017779931,0.0273,-0.9949,-0.0731,0.0645
1822703.0,221.184636,1.0,-1.27,-0.69,-9.89,7.56,-13.19,43.69,-0.06,-3.25,0.06,-0.02135569171486662,-0.05341116535015886,-0.1882382525942905,-168.30883818145554,-8.384121213370948,7.47667331573405,0.0271,-0.9948,-0.0731,0.0652
1822738.0,221.218703,1.0,-1.42,-0.8,-9.6,9.06,-12.75,43.25,3.13,-2.0,0.19,-0.20206772738891854,-0.14132502087857074,0.07240139663972123,-168.08593042045837,-8.590953131273462,7.602997386301145,0.0276,-0.9946,-0.0749,0.0663
1822771.0,221.254608,1.0,-1.28,-0.79,-9.91,9.06,-12.75,43.25,0.94,0.75,0.5,-0.022098347599442958,-0.12491619188107514,-0.21604961677188328,-168.08593042045837,-8.579461739762628,7.5915129998336095,0.0283,-0.9946,-0.0748,0.0662
1822806.0,221.321691,1.0,-1.35,-0.67,-9.83,8.19,-13.5,42.38,0.44,-5.81,1.0,-0.061867802264932936,0.002602754203652559,-0.13802021075679072,-167.97602060615887,-8.556479215940191,7.717845476549469,0.0285,-0.9945,-0.0746,0.0673
1822842.0,221.328985,1.0,-1.51,-0.72,-9.6,7.88,-12.38,44.06,-1.81,-0.94,0.19,-0.23683571908386336,-0.04221413373741923,0.06495472612292907,-167.86710278173726,-8.567970434690707,7.844187348567063,0.0281,-0.9944,-0.0747,0.0684
