acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-2.0,-1.35,-9.52,-161.4314273445042,-11.662626087112969,12.849707716341904
-1.94,-1.28,-9.57,-161.4314273445042,-11.697182904814724,12.861239362009444
-2.06,-1.17,-9.47,-161.50259041794217,-11.697182904814724,12.861239362009444
-2.08,-1.0,-9.59,-161.50259041794217,-11.789339646395064,12.88430304585338
-2.13,-1.32,-9.42,-161.3605335874341,-11.869983070722633,12.953497246186648
-2.14,-1.37,-9.32,-161.28990608516978,-11.92758912667584,13.034229810442689
-2.14,-1.45,-9.38,-161.14943788464134,-12.03128766143814,13.080365619179066
-2.18,-1.26,-9.38,-161.21954183361512,-12.00824269100582,13.011162702254634
-2.18,-1.11,-9.3,-161.4314273445042,-12.00824269100582,12.838176201349
-1.78,-1.02,-9.81,-161.64573705685663,-11.92758912667584,12.630631138714769
-1.69,-0.93,-9.82,-161.71772704701445,-11.89302513102135,12.619102083523115
-1.99,-1.06,-9.43,-161.5740259283265,-11.904546342091734,12.803582439206052
-2.16,-1.37,-9.35,-161.3605335874341,-12.00824269100582,12.941964550756788
-2.15,-1.43,-9.37,-161.28990608516978,-12.019765115233204,12.965030073382623
-2.04,-1.45,-9.02,-161.5740259283265,-11.962154211464537,12.815113562902276
-2.53,-1.28,-7.79,-162.45372607444324,-11.754779974813852,11.950632395319571
-2.08,-1.3,-7.38,-166.05072408085044,-11.489857897732715,7.419256300710717
-0.02,0.59,-9.01,-168.6513771745933,-11.213483126166134,1.6501754833924644
1.78,1.62,-10.55,-166.62885834304856,-10.545844298925708,-6.374577915681861
2.87,1.65,-11.12,-162.22975145954382,-9.579549083642284,-12.988096123558291
3.24,2.24,-10.39,-159.99488438452408,-8.602444609340731,-15.841123321226055
3.63,2.72,-10.29,-158.5921035424659,-7.660420468145224,-17.706010881893693
3.38,1.92,-9.8,-158.77799072087697,-7.8212153932673,-17.763999776816537
3.16,0.89,-9.34,-160.06096636558732,-8.280715556970401,-16.929394296591493
2.76,0.39,-9.08,-160.66576217664587,-8.119875707408232,-16.51243337847321
2.98,0.62,-9.55,-160.66576217664587,-7.1781250358345785,-16.674558377811383
3.15,0.77,-9.56,-161.00999937311445,-5.92702598542953,-16.69772182857332
2.81,-0.76,-8.57,-161.28990608516978,-3.701951248377608,-17.149547708947626
3.42,0.04,-9.02,-160.12726585571855,-0.7104722177704716,-18.796984460560505
4.41,2.65,-11.06,-157.74491268375093,2.544141615361497,-20.27371434520358
3.12,-0.22,-8.1,-158.84031180775503,4.6766337060034,-19.215254308568724
2.9,1.83,-8.84,-158.04377345766537,6.569694717687418,-19.343110284151184
3.76,2.48,-9.39,-155.97377873337675,8.361141590530956,-20.262073582983945
3.59,2.47,-9.02,-155.32181611488016,9.016196458354324,-20.308637900960072
3.21,1.92,-8.78,-155.32181611488016,9.499056247386587,-19.633782752905432
2.95,2.72,-8.85,-155.16145880106285,9.947577287046574,-19.215254308568724
2.98,2.64,-9.04,-155.05511767406654,10.200656128703407,-18.76214012304259
2.57,2.59,-8.84,-155.10823234547746,10.14313387414705,-18.27450160119409
2.4,2.47,-8.68,-155.16145880106285,9.98208514628972,-17.961196420173227
2.92,2.26,-9.14,-155.16145880106285,9.694547078719877,-18.05401336431272
3.1,1.74,-9.33,-155.3754969883622,9.21161989509871,-18.286108128329392
3.11,1.81,-9.06,-155.48320588867858,9.016196458354324,-18.27450160119409
3.16,1.71,-9.09,-155.48320588867858,8.832292528579133,-18.30932175034793
3.26,1.72,-9.2,-155.4292933262199,8.68288738926451,-18.37896716762953
3.26,1.95,-9.2,-155.3754969883622,8.61393617408195,-18.37896716762953
3.27,1.93,-9.01,-155.2682499537731,8.430081473298436,-18.30932175034793
3.27,2.2,-9.13,-155.05511767406654,8.453062112264227,-18.216471799125177
3.43,2.9,-9.61,-155.16145880106285,8.23475966058657,-17.439320584956548
3.35,3.21,-9.98,-155.97377873337675,7.752301412421159,-16.1419863535435
