acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
1.79,0.73,-9.74,-158.77799072087697,-17.90319186690899,-11.029269725697889
1.87,0.67,-9.74,-158.77799072087697,-17.82199325799314,-11.109859542072414
1.78,0.78,-9.6,-158.84031180775503,-17.77559810564146,-11.052294827398208
1.59,0.71,-9.6,-158.9028148870971,-17.77559810564146,-10.960197096754332
1.67,0.78,-9.68,-159.0283735374385,-17.613238149656624,-10.902639624835572
1.68,0.62,-9.57,-158.965501581421,-17.81039419409229,-10.8450849117299
1.7,0.59,-9.63,-158.965501581421,-17.81039419409229,-10.822063795614437
1.67,0.67,-9.69,-158.965501581421,-17.77559810564146,-10.822063795614437
1.73,0.76,-9.73,-158.965501581421,-17.787196618044018,-10.810553401892458
1.53,0.7,-9.57,-159.0283735374385,-17.787196618044018,-10.67243717618693
1.56,0.78,-9.65,-159.0283735374385,-17.740803669389525,-10.637910557080565
1.47,0.68,-9.48,-159.0283735374385,-17.81039419409229,-10.67243717618693
1.6,0.6,-9.56,-158.965501581421,-17.833592505981915,-10.718474180434589
1.71,0.68,-9.78,-158.84031180775503,-17.868391355752113,-10.8450849117299
1.72,0.52,-9.56,-158.84031180775503,-17.856791554733764,-10.914150898036931
1.87,0.52,-9.68,-158.84031180775503,-17.729205890532434,-11.086833319532731
1.89,0.4,-9.66,-158.965501581421,-17.520477052231193,-11.259541000283244
2.02,0.25,-9.58,-159.15467994543425,-16.97573712493423,-11.639588800101585
2.1,0.29,-9.24,-159.15467994543425,-16.373495591769153,-12.215665087929844
2.35,0.38,-9.52,-158.84031180775503,-15.135679738336451,-13.657245433015795
3.06,1.6,-10.28,-158.28578665640208,-13.991994191085649,-14.962299399917931
3.25,2.3,-10.51,-158.71585002764485,-12.561458728935325,-15.18192036535379
2.95,-0.28,-9.65,-160.46210370241806,-11.4092417341199,-14.500119080393963
2.42,0.38,-9.75,-162.52901727888843,-8.648411389524659,-13.322613734970494
1.94,3.68,-10.1,-164.19211217641143,-5.8581800447136345,-10.914150898036931
0.41,5.12,-9.13,-166.43342218753332,-3.942727502383202,-6.04177399090254
-2.26,4.32,-6.3,-168.53606406960452,-4.424333322525307,-2.142987063023817
-1.48,0.83,-7.79,-171.42275078156132,-6.282764679968377,0.9625804159917916
-0.47,0.48,-8.84,-171.12155545031425,-8.188805090876484,0.8823637238721431
-0.59,2.39,-8.98,-168.19685993687258,-11.213483126166134,0.0229183119580216
0.21,0.91,-9.07,-165.4050127335264,-14.373061379793723,-1.925228761643688
2.16,-4.58,-8.84,-162.75684793649998,-16.234582036054892,-4.733977821845079
2.45,-3.76,-8.28,-159.66766312617878,-16.524012627926176,-11.535926836248436
6.3,1.8,-12.53,-155.6456486519571,-15.043205913037664,-18.76214012304259
5.37,3.86,-11.54,-154.01525359440282,-13.24185777158118,-21.660511797125544
4.11,-0.79,-8.09,-152.7702885732456,-12.538402281482076,-23.869779338261072
4.38,0.62,-9.11,-150.479330837061,-10.937173775974523,-26.6883513110376
5.28,2.53,-9.89,-149.900178159723,-9.579549083642284,-27.407295558849807
3.79,1.69,-7.7,-150.70506138327715,-8.085412120809869,-26.982869511205863
3.91,2.27,-8.66,-150.7504119288671,-7.269980754447582,-27.06536707365856
4.76,2.29,-9.5,-151.06981274894218,-7.143680335170353,-26.71190613338563
3.58,1.1,-7.92,-152.00202441389632,-7.143680335170353,-25.88816308640127
3.31,1.32,-8.11,-151.95469309277132,-6.902585349926143,-25.876405289927124
4.51,2.6,-9.32,-151.48561418277666,-6.6729995322127,-26.13514108768563
4.26,1.14,-8.67,-151.7661453802759,-6.89110540785609,-25.94695623100749
3.95,1.34,-8.38,-151.8602645048557,-6.982946893042854,-25.84113356281753
4.26,2.16,-8.65,-151.57882322936237,-6.718914520918895,-25.9116795113663
4.57,1.49,-9.05,-151.6255402012684,-6.776309776380446,-25.84113356281753
3.92,1.93,-8.43,-151.8602645048557,-6.6500424405205285,-25.488552629562964
4.2,2.16,-8.69,-151.95469309277132,-6.546738821065048,-25.31235434951457
3.92,1.82,-8.57,-152.1444912618588,-6.6729995322127,-25.0892571067724
3.9,1.85,-8.54,-152.23986727877062,-6.776309776380446,-24.995350383000986
4.05,1.71,-8.66,-152.1444912618588,-6.868145731332586,-25.03056340197877
4.06,1.75,-8.71,-152.04943428155016,-6.937025592767178,-25.124476539770274
4.38,1.88,-9.04,-152.00202441389632,-6.902585349926143,-25.206664604393566
