acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.27,-1.94,-8.9,-140.305127821115,-32.436861947325646,21.62551192117329
-3.21,-1.58,-9.19,-140.305127821115,-32.412994497933816,21.62551192117329
-3.27,-1.85,-9.06,-140.305127821115,-32.412994497933816,21.61384574972068
-3.23,-1.94,-9.04,-140.305127821115,-32.412994497933816,21.660511797125544
-3.32,-1.76,-8.86,-140.305127821115,-32.412994497933816,21.672178876755066
-3.13,-1.62,-9.4,-140.305127821115,-32.412994497933816,21.62551192117329
-3.17,-1.89,-9.38,-140.27139021079807,-32.436861947325646,21.672178876755066
-3.24,-1.86,-8.94,-140.23768007093892,-32.460730842800366,21.695513718287582
-3.16,-1.88,-9.32,-140.17034192327273,-32.52040941662392,21.660511797125544
-3.26,-1.9,-9.11,-140.1367137765361,-32.54428338361999,21.71884947041321
-3.16,-1.72,-9.32,-140.06953899210683,-32.54428338361999,21.83554192755703
-3.3,-1.91,-9.05,-139.9020743124711,-32.54428338361999,22.174080183171977
-3.52,-1.96,-8.29,-139.76858389100772,-32.49653690025889,22.51281453874211
-3.43,-3.65,-6.33,-140.61001416599206,-32.19825231317595,21.473869337236096
-3.21,-1.21,-4.04,-145.4536804163923,-30.63884419055943,15.135679738336451
1.1,-1.19,-4.9,-151.43912137388486,-28.37548698522077,-0.2979383891459227
5.35,2.1,-13.93,-150.38950981826167,-26.158669228245632,-13.2187858542384
7.07,1.65,-20.75,-146.39227073603638,-25.15969838503005,-21.392231414012297
6.28,2.15,-15.85,-148.6458749656724,-25.64130737095736,-17.137959104392678
2.9,4.04,-9.56,-150.70506138327715,-28.76570522000204,-2.372214704126748
0.29,-4.88,-6.33,-145.64716796815563,-32.114772865183184,8.41859128124216
-3.04,-4.8,-4.48,-140.50813431460048,-33.24922417976444,18.820214993044136
-3.2,-6.53,-5.33,-140.203997331634,-30.971654123503782,23.63558298502357
-3.55,-4.14,-4.98,-144.46400874868328,-26.558820285317804,23.144095168471857
-2.75,5.1,-6.84,-152.47972490837182,-19.61052428537218,17.381357078894993
-1.98,5.01,-8.17,-156.814109146573,-17.590046787082347,12.054333120262198
-0.71,6.87,-8.08,-159.3455716366145,-19.12228331882828,4.011523869819651
1.4,2.45,-15.29,-156.47442582901172,-23.518522416981742,-0.7792286067117273
2.91,-8.56,-12.19,-148.85861645005238,-29.701259829199124,-1.0313379546174166
1.35,-6.8,-10.96,-149.50552295905456,-29.357596603435567,2.269061145645111
0.68,-6.44,-11.18,-153.71118144535646,-25.61780363221793,5.101008867683621
-1.3,1.79,-6.42,-158.5921035424659,-17.717608294742977,8.648411389524659
-2.24,6.21,-6.08,-158.65388815245834,-13.830376539145911,9.108157120464725
-2.12,3.53,-5.43,-160.3946831522595,-11.443790822449785,5.92702598542953
-0.41,5.01,-8.58,-161.5740259283265,-10.799043117568631,1.3636717386286217
0.47,4.59,-7.45,-161.3605335874341,-11.731740790019304,-4.837200229263812
1.78,3.54,-8.8,-158.77799072087697,-14.419262116395176,-11.777819636455906
4.46,-0.18,-15.69,-155.80916562137492,-16.871469682269606,-16.0609738361326
3.7,-0.64,-11.78,-154.3228637180319,-19.215254308568724,-16.350341655632345
3.12,-0.47,-9.56,-154.21992611229572,-20.29699650405997,-15.39003407585724
2.42,1.37,-10.4,-154.47803544959174,-20.82107094211026,-14.280666944469896
1.8,0.18,-8.91,-155.0021140741398,-21.05413366331596,-13.06883146764636
1.64,1.94,-9.25,-155.32181611488016,-20.879328419459103,-12.549930441445206
1.86,0.72,-9.84,-155.32181611488016,-21.03082344341432,-12.365495103087907
1.64,0.76,-9.25,-155.4292933262199,-21.0191686635752,-12.204140573704526
1.71,1.42,-9.39,-155.3754969883622,-20.92593832998922,-12.365495103087907
2.23,0.89,-9.98,-155.16145880106285,-21.007514103633174,-12.688278342697654
2.27,1.1,-10.03,-155.10823234547746,-21.065789103644565,-12.67674864442774
1.68,0.96,-9.28,-155.10823234547746,-21.12406961438943,-12.596044357776794
1.88,0.91,-9.49,-154.9492208405226,-21.21732993545333,-12.757459245108164
1.86,1.36,-9.47,-154.89643727544532,-21.21732993545333,-12.838176201349
2.07,0.95,-9.4,-154.63414056108866,-21.298944377524897,-13.207250097467805
2.04,1.86,-9.59,-154.37448496866145,-21.403893300909647,-13.553381828311744
2.15,1.02,-9.6,-153.76161968319718,-22.045646214809643,-13.830376539145911
