TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
4590985.0,436.512192,1.0,-3.21,-0.03,-9.41,19.0,-15.88,37.69,-1.81,-1.37,1.44,0.05218298279176126,0.03895194835897178,-0.13562638330508214,-154.0662728728033,-17.3929494210965,18.901528010085144,-0.0212,-0.9745,-0.1512,0.1642
4591022.0,436.539132,1.0,-3.15,-0.11,-9.42,18.69,-16.19,36.88,-1.44,1.94,0.25,0.0707333779195265,-0.06810599726033195,-0.12619241103146095,-154.1686085419062,-17.358172932119434,18.83183055191492,-0.0219,-0.9747,-0.1509,0.1636
4591054.0,436.591542,1.0,-3.11,-0.2,-9.52,18.69,-16.19,36.88,-0.63,2.13,0.81,0.09462724179789572,-0.1741008989766724,-0.20850025159808716,-154.21992611229572,-17.358172932119434,18.73891153732938,-0.022,-0.9748,-0.1509,0.1628
4591089.0,436.609641,1.0,-3.16,0.05,-9.44,18.69,-15.88,37.75,-1.81,3.0,0.63,0.08129863893418543,0.07201056886863444,-0.14774124252601695,-154.3228637180319,-17.32339805412093,18.64600495316554,-0.0228,-0.975,-0.1506,0.162
4591124.0,436.658946,1.0,-3.05,-0.13,-9.51,17.87,-16.19,38.19,1.37,-2.81,0.31,0.1457272404067922,-0.13930603851612616,-0.1792829758934591,-154.3228637180319,-17.32339805412093,18.634392500869453,-0.0229,-0.975,-0.1506,0.1619
4591161.0,436.692634,1.0,-3.08,-0.08,-9.49,18.69,-15.88,37.25,-1.25,-3.69,0.94,0.14508489355273135,-0.08786879261357164,-0.16952809829733617,-154.21992611229572,-17.32339805412093,18.73891153732938,-0.0231,-0.9748,-0.1506,0.1628
4591196.0,436.723221,1.0,-3.14,-0.17,-9.58,18.69,-15.88,37.25,-0.88,-2.5,0.12,0.10498409790413432,-0.17306858160216873,-0.2742192881739882,-154.1686085419062,-17.32339805412093,18.820214993044136,-0.0234,-0.9747,-0.1506,0.1635
4591233.0,436.75403,1.0,-3.35,-0.34,-9.1,18.69,-16.56,38.56,-1.56,-5.69,2.69,-0.25509320380372835,-0.24185276607411058,0.11002508733500171,-154.0662728728033,-17.26544349477142,19.006087438353557,-0.0237,-0.9745,-0.1501,0.1651
4591267.0,436.791479,1.0,-3.37,-0.35,-8.86,19.0,-15.88,38.06,-7.38,0.0,5.88,-0.3587309663371565,-0.25741484183752966,0.33120543560131566,-154.11739099299157,-17.149547708947626,18.9944689370341,-0.0254,-0.9746,-0.1491,0.165
4591302.0,436.832927,1.0,-3.1,-1.06,-9.28,19.0,-15.88,38.06,-14.44,0.63,18.06,-0.22408313705563931,-1.1328484290371743,0.033296369617266564,-154.42620867150097,-16.79038251334145,18.878294741272413,-0.0292,-0.9752,-0.146,0.164
4591337.0,436.868007,1.0,-3.0,-0.63,-10.09,17.5,-16.56,37.69,-38.63,-7.88,37.13,0.2109198868084794,-1.1420280916736507,-0.6745848814048081,-154.84376268843482,-15.690733139619654,18.88991127772655,-0.0428,-0.976,-0.1365,0.1641
4591374.0,436.9028,1.0,-2.73,1.21,-11.41,17.87,-17.37,36.5,-58.81,-66.87,63.31,1.5386315300023004,-0.05821581338103826,-1.8866952841329905,-154.37448496866148,-14.199829470388694,20.040939097265657,-0.0599,-0.9751,-0.1236,0.174
4591409.0,436.931613,1.0,-4.85,9.48,-8.47,18.25,-18.87,36.75,-32.0,-114.94,-12.19,1.4925099633640166,8.412306551934737,-0.7829350950608553,-150.79583135983617,-14.211377245158012,23.76437852052494,-0.076,-0.9677,-0.1237,0.2059
4591443.0,436.963494,1.0,-3.34,3.73,-5.73,18.25,-18.87,36.75,195.38,14.75,-260.94,0.7782178869394618,3.7747692278581573,3.245636801044933,-147.72605283657722,-19.11066283969618,25.476804175852635,-0.0311,-0.9606,-0.166,0.2205
4591482.0,437.006847,1.0,-2.29,-8.07,-6.17,22.75,-19.56,34.0,98.94,129.44,-164.44,-2.688385724808249,-6.194122605560755,1.8792716602253376,-144.1275913572786,-26.25279302590076,23.41318918903326,0.0464,-0.9514,-0.2271,0.2029
4591517.0,437.038009,1.0,-1.07,-5.38,-4.78,23.5,-9.06,38.56,-15.38,252.38,-89.12,-1.8054583814013783,-3.9180851190933197,3.9477568423662994,-145.06982302382067,-29.002366759572602,17.590046787082347,0.0634,-0.9539,-0.2504,0.1529
4591552.0,437.089931,1.0,4.51,-5.95,-5.04,23.5,-9.06,38.56,-173.19,488.38,-4.44,1.2906973200420548,-6.74392634178371,3.975890364701007,-149.11579237958978,-29.8198276164604,1.7189378496716434,0.0669,-0.9639,-0.2573,0.015
