acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.39,3.13,-8.65,-149.50552295905456,-12.722868211864098,17.740803669389525
-3.32,3.21,-8.69,-149.50552295905456,-12.688278342697654,17.740803669389525
-3.37,3.14,-8.54,-149.50552295905456,-12.642160322280048,17.752401631441728
-3.36,3.08,-8.56,-149.50552295905456,-12.58451568698019,17.740803669389525
-3.3,3.13,-8.77,-149.50552295905456,-12.526874248925028,17.6712197397126
-3.35,3.27,-8.57,-149.50552295905456,-12.434654560583263,17.601642377536205
-3.32,3.24,-8.63,-149.50552295905456,-12.353968967121856,17.508882729880764
-3.17,3.25,-8.98,-149.46197984083236,-12.215665087929844,17.439320584956548
-3.24,3.37,-8.79,-149.37507492345586,-12.100425506938455,17.404541942676424
-3.09,3.57,-9.19,-149.33171261025754,-11.996720388635616,17.485694626999518
-3.65,4.89,-8.12,-149.20198320614296,-12.377021364647929,18.019205613951
-3.49,4.58,-7.86,-150.12163073433226,-14.407711711634985,18.48344814300676
-3.3,1.75,-8.88,-150.79583135983617,-16.51243337847321,18.657617598655087
-3.4,-1.09,-8.3,-151.48561418277666,-18.55311073338957,18.05401336431272
-2.86,1.18,-8.97,-152.62462859250311,-19.20363223785156,15.702300646279072
-1.73,0.99,-10.32,-154.73873772257048,-19.73845598070809,10.879617409371033
-1.55,1.2,-9.36,-155.59138277018496,-19.494244164289388,7.970538771598189
-0.83,0.38,-9.67,-155.91878451766874,-17.90319186690899,4.860139072417077
-0.89,4.22,-8.41,-154.52996593229264,-15.979969398223384,3.4841201823987773
-0.07,4.15,-9.17,-152.23986727877062,-13.44952940908047,2.4065996467302937
-0.78,5.87,-8.68,-149.9885675960275,-11.30560069930953,3.025568677774776
-1.07,5.84,-9.18,-149.46197984083236,-10.120125690641803,4.435801047006329
-1.77,4.36,-8.12,-149.59279181341395,-9.22311622194562,7.304427851725569
-1.95,4.48,-8.75,-149.54912686270868,-8.751841754333862,9.085166406176857
-2.37,4.82,-8.43,-149.288410054367,-8.292204739238791,11.271055753655435
-2.33,4.19,-8.83,-149.4184972482763,-8.315183354403652,12.400074265032766
-2.44,5.14,-9.49,-149.37507492345586,-8.579461739762628,13.818833482803017
-2.6,4.95,-9.79,-149.54912686270868,-9.430066128049686,15.82955387412607
-3.29,3.99,-7.35,-149.50552295905456,-11.271055753655435,19.633782752905432
-3.76,1.35,-8.37,-148.90133503664836,-12.688278342697654,22.36094364221954
-4.67,2.24,-7.73,-147.23493252348757,-13.957359493385503,25.45330808515709
-4.48,0.73,-8.98,-145.76376947074462,-15.077882439571027,27.784885032921768
-5.15,0.66,-7.42,-144.72781275910324,-15.563501157916,29.1444243172648
-5.05,1.16,-8.13,-144.388983618951,-15.968397992715149,29.61828173729524
-5.05,-0.01,-8.29,-144.23939029133862,-16.257732621833743,29.79611144994345
-5.09,1.03,-8.01,-144.1648201843402,-16.188282864682783,29.78425385642316
-5.02,0.28,-8.21,-144.46400874868328,-15.806415466969176,29.49976914452507
-4.98,0.3,-8.19,-145.41510886588998,-14.696516297153034,28.19822634265853
-4.05,0.54,-7.41,-148.56117141184754,-13.668786527863627,23.47170516617001
-1.64,8.07,-8.57,-151.06981274894218,-13.264930228136947,11.985198208002224
0.16,5.06,-11.01,-151.1157235364922,-14.095906005217,5.273072468222583
-0.31,3.71,-8.64,-151.81316645370248,-15.008530771963963,-0.0229183119580216
0.63,4.29,-10.15,-150.70506138327715,-15.540370148995088,-3.254837913384077
0.39,3.96,-9.42,-150.29995438645182,-15.679165793853407,-3.7363468303015934
0.12,3.89,-8.95,-150.52434170035056,-15.551935573755918,-2.865087475133015
-0.3,4.35,-8.97,-150.56941987552764,-15.343782195666376,-1.3865917007687605
-0.58,4.26,-8.98,-150.79583135983617,-15.008530771963963,0.6187974261216272
-1.07,4.19,-8.61,-150.84131999821054,-14.754288420181696,1.925228761643688
-1.14,3.89,-8.81,-150.97820441576042,-14.557878496401068,2.991179359701173
-1.08,4.15,-8.89,-150.88687816852098,-14.627194705880914,3.40386984812725
-1.3,4.04,-8.59,-150.9325061978301,-14.534774284595128,4.022990071019942
-1.17,3.95,-8.99,-150.9325061978301,-14.500119080393963,4.194987989089829
-1.29,4.19,-8.85,-150.70506138327715,-14.38461134345722,4.6078223124450055
-1.53,4.03,-8.53,-150.70506138327715,-14.315313760812993,4.871608567013157
-1.22,3.92,-9.1,-150.7504119288671,-14.280666944469896,4.997776256010228
-1.45,4.12,-8.87,-150.61456567249238,-14.269118297459285,5.112479412053579
-1.46,3.91,-8.75,-150.65977940351806,-14.2344732300193,5.215716631990905
-1.51,4.05,-8.65,-150.61456567249238,-14.211377245158012,5.273072468222583
