TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3715221.0,186.156835,1.0,-4.65,0.4,-8.49,26.75,-16.69,32.25,-3.19,0.88,0.25,0.02155524936825426,-0.007528440734506425,0.11840564440053747,-140.54206620040912,-26.241026566581304,27.41909061621704,-0.0789,-0.9413,-0.227,0.237
3715256.0,186.187755,1.0,-4.55,0.24,-8.79,26.37,-16.69,32.75,0.75,2.81,1.25,0.13041180618559522,-0.25912937108794093,-0.08981627488049426,-140.6780748758918,-26.170433719349266,27.312945744821857,-0.0787,-0.9417,-0.2264,0.2361
3715291.0,186.216676,1.0,-4.72,0.83,-8.41,26.0,-15.56,33.56,-3.75,-1.37,1.56,0.11422294159649748,0.4051294675716235,0.13616794199905868,-140.71214769326966,-26.076325639174165,27.34832470960016,-0.0796,-0.9418,-0.2256,0.2364
3715328.0,186.245601,1.0,-4.66,0.41,-8.47,27.19,-16.37,31.56,2.06,1.88,-1.63,-0.012099492500932563,0.004705595971679077,0.13067813875279022,-140.64403039131906,-26.205728877683857,27.30115334647518,-0.0794,-0.9416,-0.2267,0.236
3715362.0,186.309427,1.0,-4.54,0.3,-8.97,27.19,-16.37,31.56,1.06,-1.94,-1.25,0.23112719665237602,-0.26028154300283096,-0.24528184106118545,-140.64403039131906,-26.264559766970834,27.265777919115557,-0.0792,-0.9416,-0.2272,0.2357
3715399.0,186.341342,1.0,-4.77,0.84,-8.2,26.0,-16.0,32.38,-3.19,-0.44,0.75,-0.0026986258142005504,0.479062119076264,0.2951310780041627,-140.57602612666605,-26.217494492617096,27.360118288262516,-0.0803,-0.9414,-0.2268,0.2365
3715434.0,186.370264,1.0,-4.53,0.17,-8.57,27.19,-16.0,31.5,1.88,4.5,-1.0,0.011886208561276312,-0.2803540766639357,0.11562527039870041,-140.54206620040912,-26.394012555578172,27.242195772473625,-0.0797,-0.9413,-0.2283,0.2355
3715469.0,186.377246,1.0,-4.52,0.42,-8.86,27.19,-16.0,31.5,-0.19,1.69,0.25,0.2305028271403078,-0.13538940729962085,-0.14497992454358588,-140.61001416599208,-26.417553105892512,27.10072754559724,-0.0799,-0.9415,-0.2285,0.2343
3715504.0,186.438084,1.0,-4.64,0.53,-8.3,25.69,-16.69,33.19,-2.06,2.56,1.19,-0.057542955636080695,0.14796399913928432,0.2842923369411601,-140.8145368825897,-26.229260388868163,27.0182238619502,-0.08,-0.9421,-0.2269,0.2336
3715540.0,186.456043,1.0,-4.44,-0.13,-7.86,26.37,-16.69,32.25,-7.88,39.38,9.0,-0.48798174880530265,-0.36871510886157394,0.7990963375825455,-141.3650146581067,-26.170433719349266,26.33516613823805,-0.0795,-0.9437,-0.2264,0.2278
3715575.0,186.499918,1.0,-5.13,-0.59,-6.04,26.37,-16.69,32.25,-29.12,132.44,17.37,-2.334509997115202,0.027691789395245137,2.210868523537604,-143.3178010626215,-26.076325639174165,23.530227351542678,-0.0805,-0.9492,-0.2256,0.2039
3715610.0,186.548789,1.0,-1.82,2.05,-5.49,26.37,-16.37,33.06,-137.81,321.25,50.19,0.2980545540785766,1.3015990366512638,3.8173258786502853,-148.85861645005238,-26.06456338881546,12.849707716341905,-0.0927,-0.9633,-0.2255,0.1119
3715645.0,186.574719,1.0,1.02,2.39,-9.07,22.0,-17.87,35.19,-133.88,326.81,50.38,1.3896965376111154,-0.32400768439681094,0.4802807946873813,-150.9782044157604,-25.78235288341245,-0.6417160846123932,-0.1136,-0.9681,-0.2231,-0.0056
3715682.0,186.616606,1.0,2.13,4.23,-14.1,10.0,-23.5,36.06,-78.37,121.5,31.31,1.367062505658207,-0.3541086508873408,-5.000292532778007,-150.56941987552764,-24.608164621444825,-6.2024314124588535,-0.1276,-0.9672,-0.2131,-0.0541
3715717.0,186.637549,1.0,0.68,3.3,-10.21,10.0,-23.5,36.06,-3.31,30.37,6.06,-0.056504713176525445,0.33281077883631316,-0.9396304822356658,-150.07721211196608,-24.40881688456287,-8.096899901459961,-0.1305,-0.9661,-0.2114,-0.0706
3715751.0,186.684424,1.0,1.73,3.83,-10.01,4.19,-26.5,36.56,-6.0,-9.31,4.06,1.087978084256059,0.3982767547505786,-0.9877735286004903,-150.2106621453537,-24.127512270969643,-8.29220473923879,-0.1311,-0.9664,-0.209,-0.0723
3715788.0,186.721325,1.0,0.99,3.19,-11.17,4.25,-26.5,37.88,50.5,-102.94,-12.13,0.5720191464585351,-0.10099732079010379,-1.8375628818258125,-151.2538864729402,-24.174386077512004,-5.284543793645802,-0.1254,-0.9687,-0.2094,-0.0461
3715823.0,186.751245,1.0,0.01,2.55,-10.32,4.25,-26.5,37.88,65.06,-133.31,-19.5,0.30640478258674464,-0.05666414553561175,-0.8191631587101931,-152.09692309623645,-24.279867169785643,-1.2949121758820281,-0.1176,-0.9705,-0.2103,-0.0113
3715858.0,186.793136,1.0,-0.38,2.82,-10.62,5.19,-25.69,36.19,88.5,-177.75,-29.62,1.3826760887478913,0.30687015169311993,-1.0963421371889766,-152.19213918576153,-24.397092888804586,5.594289991509483,-0.1035,-0.9707,-0.2113,0.0488
3715893.0,186.823053,1.0,-1.86,0.19,-8.42,10.0,-24.19,37.06,72.12,-159.13,-16.37,-0.35893706980167117,-0.8984906046770055,1.2360036525400062,-151.207760054273,-24.44399042905254,10.833574298853826,-0.0897,-0.9686,-0.2117,0.0944
3715930.0,186.864948,1.0,-2.48,1.08,-9.59,15.19,-20.06,37.0,13.75,-138.81,16.06,0.5377440950918314,-0.29099421856597507,-0.1387536445463109,-149.37507492345586,-23.694122645249475,16.17670848781425,-0.0881,-0.9645,-0.2053,0.1407
3715964.0,186.897855,1.0,-3.85,0.3,-6.41,15.19,-20.06,37.0,15.0,-105.44,15.31,-1.2304621093992103,0.00443006977419913,2.425149924011743,-147.43869005154224,-22.582922295565638,20.506574164810864,-0.0927,-0.9599,-0.1958,0.178
3716001.0,186.926786,1.0,-4.17,0.03,-5.8,20.06,-19.69,35.69,-74.5,17.56,74.56,-1.8449477235416543,-0.22938631628458545,2.90930632179316,-147.7673081897566,-21.15904057291141,20.599742008899195,-0.1066,-0.9607,-0.1836,0.1788
3716038.0,186.969666,1.0,-2.81,1.8,-8.0,22.25,-19.69,34.06,-121.5,93.0,108.12,-0.10678673036859765,-0.20273617303670963,1.141570967564137,-150.12163073433226,-18.40218382722317,16.257732621833746,-0.1441,-0.9662,-0.1599,0.1414
3716073.0,186.9936,1.0,-2.65,4.99,-6.96,22.25,-19.69,34.06,-142.38,124.31,104.56,0.09566339610217556,2.489261726884654,1.195109802700017,-150.9782044157604,-16.350341655632345,11.754779974813852,-0.1788,-0.9681,-0.1422,0.1024
3716108.0,187.047454,1.0,-0.88,5.07,-7.77,18.19,-24.56,33.19,-109.12,195.56,81.62,0.5639373962433102,1.4232868662299865,0.6138033728917502,-151.1157235364922,-14.869843995469047,3.77074274897392,-0.2106,-0.9684,-0.1294,0.0329
3716143.0,187.062413,1.0,0.8,5.3,-11.71,11.75,-30.19,31.69,-44.13,137.63,37.81,1.0753114201345042,-0.5872487497175237,-3.0133712268031587,-150.34469905459454,-14.442363367873067,-1.5241126706819226,-0.2224,-0.9667,-0.1257,-0.0133
3716182.0,187.114275,1.0,0.11,4.69,-8.24,4.69,-33.19,30.37,-27.87,42.25,19.87,0.061568037202729076,0.49952702117604886,0.3381505343027005,-149.81204156148604,-13.899637842978935,-4.366995362783785,-0.2273,-0.9655,-0.121,-0.0381
3716214.0,187.141202,1.0,0.4,5.35,-8.37,4.69,-33.19,30.37,-10.13,45.94,10.63,0.14461504316799628,0.9055767470084981,-0.09276499506748515,-149.11579237958978,-13.830376539145913,-6.271288310584378,-0.2309,-0.9639,-0.1204,-0.0547
3716251.0,187.1801,1.0,1.18,3.95,-10.18,2.5,-33.56,29.69,1.69,38.25,5.06,0.08182427583375995,-1.1901599042754156,-1.1114141228259573,-149.11579237958978,-13.899637842978935,-7.56854445586477,-0.2276,-0.9639,-0.121,-0.066
3716288.0,187.222985,1.0,0.85,4.61,-9.23,1.0,-33.25,30.0,-7.63,-12.69,2.06,0.058011154287879396,-0.17982226379868976,-0.5437992008521277,-148.98694437514695,-13.668786527863627,-7.557060298129735,-0.2302,-0.9636,-0.119,-0.0659
3716323.0,187.25091,1.0,0.81,5.16,-8.48,1.0,-33.25,30.0,-3.13,-5.88,-0.75,0.30190909835461494,0.5882640616557744,-0.13089981321326505,-148.90133503664836,-13.588001782657653,-7.28146304696003,-0.232,-0.9634,-0.1183,-0.0635
3716356.0,187.309755,1.0,0.86,4.07,-9.13,1.25,-33.25,30.5,13.06,-2.38,-5.56,0.07115839864484724,-0.607972152253844,-0.20767505685661192,-149.11579237958978,-13.772662665221276,-7.040350098228412,-0.2297,-0.9639,-0.1199,-0.0614
3716392.0,187.312744,1.0,0.39,4.8,-8.69,1.25,-33.25,28.75,8.25,-21.81,-8.13,-0.05771441085972834,0.3228803809495734,-0.1231343534679521,-149.24516700325162,-13.78420515869276,-6.443440527613203,-0.2297,-0.9642,-0.12,-0.0562
3716427.0,187.353638,1.0,0.36,3.93,-8.03,1.25,-33.25,28.75,7.69,-15.5,-6.5,-0.03625821904268259,-0.11232768520861489,0.8600602680022504,-149.50552295905456,-14.038175786909193,-5.7319679651977244,-0.2274,-0.9648,-0.1222,-0.05
