TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
3833661.0,304.807905,1.0,-1.05,-0.23,-10.03,10.19,-14.69,42.69,-0.25,1.19,-0.06,0.17159307738171875,0.008388381704980234,-0.27931973279451405,-159.09143242656373,-19.6570420373131,7.063311874799694,0.0042,-0.9834,-0.1707,0.0616
3833698.0,304.828839,1.0,-1.23,-0.34,-9.65,10.19,-13.56,40.5,1.19,-5.44,-0.88,-0.0521171343207828,-0.028456158210942127,0.0728185831646897,-159.0283735374385,-19.68030213963965,7.224052314144023,0.0045,-0.9833,-0.1709,0.063
3833733.0,304.871993,1.0,-1.18,-0.33,-9.75,11.0,-13.88,41.75,0.69,-2.56,0.81,0.024095854566891672,-0.03936308195156334,-0.019929768035874318,-158.965501581421,-19.691932497848978,7.304427851725569,0.0045,-0.9832,-0.171,0.0637
3833767.0,304.898998,1.0,-1.26,-0.39,-9.44,11.0,-13.88,41.75,2.25,0.88,-0.44,-0.10374905985135652,-0.062127265580113555,0.2757173942445963,-158.965501581421,-19.691932497848978,7.338875609975954,0.0047,-0.9832,-0.171,0.064
3833802.0,304.951676,1.0,-1.18,-0.29,-9.84,11.25,-13.56,41.25,-0.19,-3.13,1.19,0.06495864136031193,-0.003163545103741283,-0.10787824731943552,-158.9028148870971,-19.73845598070809,7.396290017779931,0.0046,-0.9831,-0.1714,0.0645
3833837.0,304.974723,1.0,-1.16,-0.14,-9.76,11.0,-13.88,41.0,-2.81,4.06,1.37,0.1081366452423419,0.1230621205706395,-0.02167448489753454,-158.965501581421,-19.73845598070809,7.315910364212048,0.004,-0.9832,-0.1714,0.0638
3833872.0,305.028762,1.0,-1.29,-0.37,-9.23,11.0,-13.88,41.0,-3.56,12.13,1.12,-0.19977677897428991,-0.04472528781150051,0.48184496787129305,-159.0283735374385,-19.70356306092983,7.063311874799694,0.0035,-0.9833,-0.1711,0.0616
3833907.0,305.054757,1.0,-1.01,-0.81,-7.64,10.19,-13.19,41.06,-46.56,99.44,25.12,-0.6524875097274885,-0.568520080218522,2.1062055343838813,-160.3946831522595,-19.13390399645449,4.344060485976967,-0.0025,-0.9854,-0.1662,0.0379
3833942.0,305.083512,1.0,-0.46,-0.23,-6.24,10.19,-14.25,41.75,-93.31,211.56,36.0,-0.9063644284461614,-0.2542842011882922,3.616662676275215,-161.64573705685663,-17.868391355752117,-3.369477361207863,-0.019,-0.9872,-0.1553,-0.0294
3833978.0,305.109924,1.0,2.58,2.26,-11.66,5.25,-16.19,41.38,-58.69,199.56,31.19,0.948701448940611,1.0290774808636494,-2.26648402141951,-160.0609663655873,-16.848301053200124,-10.097117916179354,-0.0293,-0.9849,-0.1465,-0.088
