TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
4703719.0,549.451976,1.0,-2.15,-2.19,-9.6,13.5,-7.38,44.25,-0.75,-5.94,0.81,0.027704228927865726,0.04554268272676204,-0.27182996176752994,-157.80436691060555,-12.861239362009448,13.876550175976098,0.0994,-0.9813,-0.112,0.1208
4703754.0,549.497854,1.0,-2.26,-2.13,-9.31,14.25,-7.69,41.88,-0.37,0.0,-1.06,-0.11834464635467468,0.07382409814645619,-0.006664656486467635,-157.62647223808008,-13.06883146764636,14.026630173419028,0.0989,-0.981,-0.1138,0.1221
4703791.0,549.533758,1.0,-2.13,-2.3,-9.59,14.25,-7.69,41.88,-0.37,0.94,0.37,0.037792289671572776,-0.07313247675640305,-0.28236498579939884,-157.62647223808008,-13.080365619179066,13.991994191085649,0.0989,-0.981,-0.1139,0.1218
4703827.0,549.560684,1.0,-2.24,-2.28,-9.5,12.75,-7.69,42.0,1.69,-0.25,-0.63,-0.08522498244183474,-0.04229856204159524,-0.2161713360319375,-157.62647223808008,-13.057297449093689,13.991994191085649,0.0989,-0.981,-0.1137,0.1218
4703862.0,549.603568,1.0,-2.21,-2.13,-9.35,14.25,-7.38,44.0,-1.69,0.5,0.0,-0.06721025361306232,0.06760033938397894,-0.03379780362786278,-157.62647223808008,-13.10343432167045,13.991994191085649,0.0988,-0.981,-0.1141,0.1218
4703895.0,549.622517,1.0,-2.18,-2.21,-9.57,14.25,-7.38,44.0,0.81,2.0,-0.63,-0.0029193705822578853,0.02965887348273405,-0.25419051302370654,-157.62647223808008,-13.138038375794714,13.957359493385505,0.0992,-0.981,-0.1144,0.1215
4703930.0,549.6664,1.0,-2.1,-2.15,-9.98,14.25,-7.69,43.06,0.12,-3.19,-0.12,0.20321665233117436,0.13587301444439573,-0.6131936416369115,-157.508647592303,-13.2187858542384,14.026630173419028,0.0992,-0.9808,-0.1151,0.1221
4703967.0,549.698317,1.0,-2.28,-2.29,-9.08,14.25,-7.69,42.69,1.31,1.06,-1.81,-0.2234014173905856,-0.10011489492176712,0.17187087359950404,-157.39142911741774,-13.345688086437221,14.08435967436596,0.0992,-0.9806,-0.1162,0.1226
4704002.0,549.74918,1.0,-2.11,-2.21,-9.53,14.25,-7.69,42.69,-1.31,3.63,0.31,0.049644442590279336,0.00798112500342607,-0.2010756023016338,-157.508647592303,-13.334150842815472,13.957359493385505,0.0991,-0.9808,-0.1161,0.1215
4704036.0,549.76414,1.0,-2.14,-2.21,-9.75,13.5,-7.0,43.06,2.69,-1.69,-2.25,0.08327352467544125,0.06077655500610668,-0.41663575999173297,-157.44996317553054,-13.380300633180664,13.98044914927855,0.0995,-0.9807,-0.1165,0.1217
