TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2250625.0,251.984625,1.0,0.71,-1.14,-9.81,5.69,-15.19,44.5,0.06,1.88,-0.37,0.03457675620795719,-0.018521768296802375,-0.0947772401522684,-157.62647223808008,-21.007514103633177,-2.6243761106355543,0.0627,-0.981,-0.1823,-0.0229
2250661.0,252.021441,1.0,0.77,-1.37,-9.94,4.56,-15.19,43.56,-2.38,1.56,0.31,-0.007648014831437677,-0.2373382980922091,-0.25401658030807717,-157.62647223808008,-20.995859763455268,-2.6931495578860725,0.0625,-0.981,-0.1822,-0.0235
2250696.0,252.049341,1.0,0.61,-0.96,-9.6,5.25,-14.88,45.25,-3.06,1.19,1.44,-0.01080535188588716,0.14254884320372746,0.14056169750286784,-157.6856148741907,-20.949244597725627,-2.738999060214957,0.0618,-0.9811,-0.1818,-0.0239
2250731.0,252.085245,1.0,0.8,-0.85,-9.86,5.25,-14.88,45.25,-0.69,2.81,-1.88,0.1829465000722651,0.2080745383211147,-0.11833541886152155,-157.6856148741907,-20.949244597725627,-2.830699387947472,0.0615,-0.9811,-0.1818,-0.0247
2250764.0,252.125071,1.0,0.79,-0.92,-10.02,5.25,-14.88,46.06,1.81,0.25,-0.94,0.14223710804023776,0.16966816039530233,-0.28403289663511266,-157.62647223808008,-20.995859763455268,-2.8421620551927376,0.0616,-0.981,-0.1822,-0.0248
2250801.0,252.165427,1.0,0.67,-1.41,-9.76,4.19,-15.56,45.25,2.06,-0.25,0.69,-0.1339876822565056,-0.2581836854338614,-0.07312674269916286,-157.62647223808008,-20.97255174185992,-2.830699387947472,0.0625,-0.981,-0.182,-0.0247
2250835.0,252.200787,1.0,0.57,-1.19,-9.72,4.19,-15.56,45.25,-0.81,-0.37,0.37,-0.14720412388404952,-0.026247506206445014,-0.0013590749514236222,-157.62647223808008,-20.9608980601766,-2.830699387947472,0.0624,-0.981,-0.1819,-0.0247
2250870.0,252.229458,1.0,0.55,-0.99,-9.71,4.19,-14.5,44.5,-1.69,0.88,0.94,-0.09382523672661752,0.16270791336900853,0.03263225089189348,-157.6856148741907,-20.949244597725627,-2.830699387947472,0.0623,-0.9811,-0.1818,-0.0247
2250905.0,252.27106,1.0,0.86,-1.05,-9.79,4.19,-15.19,44.5,-0.06,-0.19,0.31,0.16840170986794,0.000706834246857399,-0.07554815448460239,-157.6856148741907,-20.937591354374124,-2.8421620551927376,0.0619,-0.9811,-0.1817,-0.0248
2250942.0,252.29056,1.0,0.78,-1.0,-9.76,5.25,-15.19,44.5,2.38,-1.0,-0.69,0.11823478575578611,0.07023595678858184,-0.03444178119029928,-157.6856148741907,-20.949244597725627,-2.807774138332147,0.0619,-0.9811,-0.1818,-0.0245
2250975.0,252.334233,1.0,0.63,-1.3,-9.84,5.25,-15.19,44.5,1.88,0.5,-0.12,-0.12736762609142438,-0.13074706674317738,-0.13715121947144837,-157.62647223808008,-20.9608980601766,-2.796311555732279,0.0626,-0.981,-0.1819,-0.0244
2251012.0,252.379902,1.0,0.59,-0.96,-9.92,4.88,-15.56,44.5,-0.44,-1.06,1.12,-0.04008047766721218,0.2080473299387564,-0.1748934609991739,-157.6856148741907,-20.92593832998922,-2.7733864743736323,0.0626,-0.9811,-0.1816,-0.0242
2251046.0,252.408882,1.0,0.57,-1.12,-9.68,4.88,-15.19,44.88,1.25,-2.56,0.69,-0.09844630231981832,0.035128085023397856,0.04597510821090012,-157.6856148741907,-20.92593832998922,-2.704611892754087,0.0627,-0.9811,-0.1816,-0.0236
2251081.0,252.440482,1.0,0.45,-0.71,-9.74,4.88,-15.19,44.88,1.75,0.25,1.19,-0.05509485802682243,0.46148970422910934,0.041498090812432054,-157.7449126837509,-20.879328419459103,-2.647300486778665,0.0626,-0.9812,-0.1812,-0.0231
