acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.74,-1.87,-8.76,-154.42620867150097,-22.54786734834884,4.527544452628878
-0.35,-2.92,-8.76,-154.3228637180319,-22.489447184752866,4.344060485976967
-0.12,-2.39,-9.1,-154.68638599830706,-22.174080183171977,3.8853982832056495
-0.13,-1.61,-9.64,-155.0021140741398,-21.893896745024183,3.782208130568333
-0.4,-2.05,-9.02,-155.05511767406654,-21.71884947041321,3.8853982832056495
-0.2,-2.29,-9.59,-155.16145880106285,-21.648844944741544,3.6790210459755386
0.04,-2.64,-9.92,-155.214797761141,-21.53218888989049,3.5299782811888885
-0.39,-2.28,-9.38,-155.4292933262199,-21.35724709777197,3.5987664920103746
-0.5,-1.67,-9.35,-155.80916562137492,-21.05413366331596,3.564372225995784
-0.1,-1.38,-9.76,-155.97377873337675,-20.914285524438075,3.4611913427691
0.1,-1.97,-10.03,-155.97377873337675,-20.890980569305803,3.495584654482353
-0.59,-1.34,-9.23,-155.97377873337675,-20.856024774540764,3.6790210459755386
-0.05,-2.07,-9.89,-155.80916562137492,-20.867676487915013,3.564372225995784
-0.56,-1.6,-9.57,-155.75453926974473,-20.856024774540764,3.6331610823402585
-0.37,-1.98,-9.23,-155.32181611488016,-21.007514103633174,3.7592774051414257
-0.67,-1.45,-9.0,-155.05511767406654,-21.12406961438943,3.782208130568333
-0.18,-2.62,-9.26,-154.1686085419062,-21.61384574972068,3.782208130568333
0.41,-6.61,-8.59,-153.01476916887478,-22.2091125181558,3.5529075421905287
2.09,-10.45,-8.13,-153.01476916887478,-21.9172402806094,3.117274866889664
3.1,-10.7,-8.71,-154.9492208405226,-20.262073582983945,2.922401528803221
1.41,-7.39,-8.23,-159.9290177639615,-16.17670848781425,3.1287382797377283
0.45,-3.59,-8.62,-165.86324083896642,-10.994732910342313,3.380941489627292
0.84,-0.32,-9.62,-170.13941942315122,-7.258498535026432,3.380941489627292
-0.25,5.13,-8.78,-175.1379271907865,-2.1200647857418087,3.6790210459755386
-0.84,14.91,-8.67,-176.03023344776122,1.2490727279396536,3.8166045030746174
-0.15,15.38,-9.0,-176.03023344776122,2.6014518395409367,2.922401528803221
-0.34,10.07,-8.3,-178.37941712586868,0.3781528311358495,1.6501754833924644
1.24,-0.58,-8.91,-172.93498296022827,-5.594289991509483,-0.8250663536663884
1.64,-10.59,-9.94,-167.54604215985927,-9.303593121383251,-2.1315259137202647
2.21,-10.86,-12.32,-164.27566318431926,-11.43227434386026,-2.9453273542124467
1.51,-5.79,-12.14,-164.19211217641143,-11.570479767497384,-2.6129139620146145
-0.43,-2.33,-8.34,-164.61437509688025,-11.00624507066077,-1.638715147453804
-0.3,-2.2,-6.19,-164.61437509688025,-10.258180960550504,-0.93966131468631
-0.62,-2.98,-3.92,-164.87335484809628,-9.614047461503418,-1.283452294756085
-1.45,-3.04,-1.66,-166.14541230093116,-7.878645873813733,-4.034456312516312
0.7,-0.06,-2.66,-166.05072408085044,-6.17947961245989,-8.61393617408195
3.03,1.11,-5.74,-161.21954183361512,-4.194987989089829,-16.883054257264604
1.41,4.21,-5.37,-157.33304425296922,-2.6931495578860725,-21.71884947041321
7.87,4.91,-12.49,-150.9325061978301,-1.936689544653667,-28.51734540609927
9.75,5.13,-14.31,-146.47163743677677,-2.658762714530565,-32.92646520492445
11.58,1.91,-13.64,-142.34696199162144,-5.904077101832591,-36.23901092380315
11.78,-1.89,-12.53,-139.8686617976523,-10.085614182042525,-36.90278239165085
11.17,-3.87,-12.91,-139.2059212883253,-12.204140573704526,-36.22695406441953
11.0,-6.62,-12.3,-139.63551670559374,-15.008530771963963,-33.64407662582565
9.53,-7.04,-11.38,-141.39967008106163,-16.049401279911372,-30.472538652503623
6.24,-4.91,-8.04,-145.49229376528544,-16.072546557241562,-25.19492264637575
4.91,-3.65,-7.23,-149.9885675960275,-15.505674829864253,-20.285355318851703
1.95,-0.92,-5.24,-153.01476916887478,-14.696516297153034,-17.195903895593172
-0.04,0.74,-4.1,-155.48320588867858,-13.922726077012074,-14.742733694368155
0.41,-0.45,-5.16,-155.97377873337675,-13.714952301602876,-14.303764676023915
1.84,-1.17,-8.03,-155.97377873337675,-13.922726077012074,-14.08435967436596
2.42,-3.0,-8.42,-155.80916562137492,-14.24602144035678,-13.922726077012074
2.57,-2.52,-9.24,-155.80916562137492,-14.373061379793723,-13.945814879054648
2.58,-1.58,-9.43,-155.97377873337675,-14.280666944469896,-13.830376539145911
2.4,-1.37,-9.16,-156.25063177900063,-14.211377245158012,-13.588001782657653
2.4,-1.51,-8.89,-156.41828103776766,-13.991994191085649,-13.668786527863627
2.69,-1.81,-9.4,-156.30638493987288,-13.968904250085991,-13.865006554805133
2.73,-2.23,-9.35,-156.19500732541923,-14.142092768246474,-13.876550175976098
2.47,-1.62,-8.99,-156.19500732541923,-14.222925164993963,-13.761120312162008
2.67,-2.24,-8.99,-156.19500732541923,-14.211377245158012,-13.772662665221276
2.9,-1.82,-9.53,-156.36226771891504,-14.026630173419028,-13.79574779269871
2.66,-1.79,-9.07,-156.41828103776766,-14.026630173419028,-13.726494094235363
2.86,-1.53,-9.42,-156.36226771891504,-14.026630173419028,-13.841919736512358
