acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
1.16,-3.92,-8.85,-155.05511767406654,-11.743260322870698,-5.238658808769412
1.07,-4.03,-8.63,-155.0021140741398,-11.789339646395064,-5.15836210329675
1.36,-3.7,-9.12,-155.0021140741398,-11.708702081111404,-5.181303758795194
1.35,-3.49,-8.84,-155.0021140741398,-11.639588800101585,-5.169832905126534
1.44,-3.88,-9.01,-154.89643727544532,-11.697182904814724,-5.2271876941715805
1.08,-3.86,-8.56,-154.9492208405226,-11.697182904814724,-5.181303758795194
1.24,-3.45,-8.87,-155.0021140741398,-11.628070333672753,-5.238658808769412
1.54,-3.85,-9.11,-154.9492208405226,-11.639588800101585,-5.318958088351593
1.44,-3.86,-8.98,-154.89643727544532,-11.835420883076134,-5.204245622111723
1.44,-3.83,-9.1,-154.79119639620873,-11.743260322870698,-5.1354206546912415
1.19,-3.48,-8.69,-154.84376268843482,-11.674144907935558,-5.020716482682318
0.85,-3.22,-7.83,-154.73873772257048,-11.731740790019304,-4.917487034889402
0.39,-2.68,-5.69,-154.73873772257048,-11.812380025110386,-5.146891353190199
-0.36,-0.57,-3.58,-154.73873772257048,-11.616551985135152,-6.190955481383822
1.24,3.12,-2.99,-153.8627830260387,-11.30560069930953,-7.890132207309978
0.96,2.93,-3.33,-150.97820441576042,-11.639588800101585,-10.994732910342313
0.95,-1.73,-4.33,-147.7673081897566,-13.103434321670449,-13.807290567361374
3.75,-3.08,-8.54,-142.84730495776557,-15.29753283007483,-18.100426311736804
8.83,-10.83,-12.18,-138.5209607780903,-17.740803669389525,-21.415555412105128
10.76,-12.62,-14.84,-134.85662424793804,-20.29699650405997,-24.70200146162693
11.77,-13.2,-15.89,-133.91067619883825,-21.147383365420364,-25.65305965168436
11.17,-11.96,-13.99,-134.73735728971755,-21.263965423591053,-24.983613243143303
9.52,-7.98,-12.03,-136.99450746728783,-20.14567756040377,-23.10900551875196
7.02,-5.52,-10.31,-141.26122730722247,-18.100426311736804,-19.250121718432275
4.73,-3.45,-8.48,-145.91984007134727,-16.16513427708501,-13.98044914927855
1.65,-1.04,-4.87,-148.98694437514695,-14.500119080393963,-9.349581983346614
0.46,-0.61,-4.4,-151.16170585731885,-13.172643633299913,-4.240855681461491
-1.34,-0.56,-1.95,-151.43912137388486,-12.423127669242316,-1.5355728478655368
-2.53,-2.1,0.4,-150.84131999821054,-11.639588800101585,0.206264917630254
-1.83,-3.25,-0.56,-151.48561418277666,-11.029269725697889,-0.6417160846123932
-0.5,-4.64,-2.54,-152.57624392499284,-9.51055493545105,-3.082884815106741
-0.45,-3.81,-3.87,-153.71118144535646,-7.9016186202083185,-5.181303758795194
1.32,-4.22,-6.64,-154.63414056108866,-6.076199569788739,-9.119652615329128
5.4,-4.66,-13.74,-154.58200075536982,-5.0780679322633615,-12.261764386292771
5.72,-4.03,-15.36,-154.73873772257048,-3.8166045030746174,-14.708070420797664
6.81,-5.06,-15.77,-154.89643727544532,-3.0599582684028324,-15.459416628401115
6.66,-5.09,-15.62,-155.53723544431475,-1.8793858210517669,-15.18192036535379
5.29,-4.5,-13.63,-157.04331809093287,-0.2750200056824314,-13.207250097467805
2.83,-2.84,-10.06,-158.5304946671076,0.9969591404369118,-10.822063795614437
1.64,-2.2,-7.86,-159.8633643903993,2.5212177047006765,-7.212570385921347
-0.36,-0.94,-5.46,-159.99488438452408,3.7478120989556993,-4.71104003397371
-1.45,-0.79,-3.35,-159.60284227959588,4.928956774809122,-2.2346770389286066
-1.74,-2.32,-2.1,-159.40959116439527,5.2271876941715805,-1.4897322301406863
-1.27,-3.45,-2.31,-158.965501581421,5.881128455236522,-1.856464464018338
-1.27,-3.08,-2.4,-159.15467994543425,6.6500424405205285,-2.888013009772368
-0.11,-2.01,-2.96,-159.3455716366145,7.982025743589274,-5.548399139371833
1.89,-2.2,-6.21,-158.65388815245834,9.21161989509871,-9.085166406176857
2.16,-2.12,-7.84,-157.27480743211564,10.384744735841709,-13.51876311679545
3.48,-2.1,-10.11,-155.16145880106285,11.777819636455906,-17.833592505981915
5.8,-1.96,-12.94,-153.11317220133924,12.722868211864098,-20.92593832998922
7.38,-2.46,-14.3,-151.2538864729402,13.138038375794716,-23.89320452199912
5.23,0.28,-11.63,-150.1661139822511,13.78420515869276,-25.13621688663897
6.02,-1.14,-12.57,-148.94411093259444,14.026630173419028,-26.71190613338563
6.8,-2.37,-13.39,-148.51890294966256,13.888093938659914,-27.43088596976693
4.7,-0.84,-10.12,-148.51890294966256,14.511670666824136,-27.13609064749141
4.38,-0.21,-9.68,-148.47668973247264,14.858287755594215,-26.994654003838164
4.48,-1.82,-9.32,-148.73080219796103,14.627194705880914,-26.82969751246112
3.69,-1.08,-8.35,-148.90133503664836,14.788953503219902,-26.47640945025204
3.58,-0.59,-8.19,-149.0298356031949,14.89295693159816,-26.19396354392425
