TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1797490.0,654.731418,1.0,1.13,-2.53,-9.69,4.06,-8.25,46.0,-2.69,-1.63,1.63,0.11869555855086888,0.09203831043663746,-0.2706184946761372,-152.09692309623645,-22.39598723123728,-2.9453273542124467,0.141,-0.9705,-0.1942,-0.0257
1797525.0,654.774043,1.0,0.96,-2.4,-9.45,3.25,-7.88,45.56,2.75,-2.0,1.37,0.02542320054976166,0.20133894455894494,0.011604502899045244,-152.09692309623645,-22.337582426465428,-2.865087475133015,0.1411,-0.9705,-0.1937,-0.025
1797562.0,654.811019,1.0,1.25,-3.01,-9.75,3.69,-9.0,46.38,1.81,-0.75,0.25,0.06808556999168347,-0.33640767087692913,-0.46794460193608245,-152.0020244138963,-22.337582426465428,-2.8536247508829486,0.1423,-0.9703,-0.1937,-0.0249
1797597.0,654.847443,1.0,0.84,-2.92,-9.34,3.69,-9.0,46.38,-1.88,-1.5,1.12,-0.27243988075124215,-0.2302659304106239,-0.00866222695785801,-152.04943428155016,-22.337582426465428,-2.807774138332147,0.142,-0.9704,-0.1937,-0.0245
1797634.0,654.876366,1.0,0.99,-2.22,-9.53,3.69,-8.25,45.88,-3.06,-2.25,3.31,0.14449950345021,0.37035235816252854,-0.020422759693301984,-152.23986727877065,-22.2091125181558,-2.750461504037132,0.1412,-0.9708,-0.1926,-0.024
1797668.0,654.912274,1.0,0.97,-2.14,-9.41,4.5,-8.25,46.75,0.25,0.75,-1.06,0.15434883574650093,0.4126459265152638,0.11776462673677557,-152.19213918576153,-22.255825568870375,-2.750461504037132,0.1411,-0.9707,-0.193,-0.024
1797703.0,654.962302,1.0,1.09,-2.97,-9.66,4.5,-8.25,46.75,1.81,-0.12,-1.75,-0.050495227638172935,-0.27291861386449323,-0.3544309298121444,-152.09692309623645,-22.302542365509357,-2.7733864743736323,0.1422,-0.9705,-0.1934,-0.0242
1797738.0,654.98225,1.0,0.92,-3.12,-9.49,3.69,-8.25,47.19,0.37,-2.88,0.25,-0.25228199784565997,-0.39648285711203274,-0.21433074729112178,-152.09692309623645,-22.337582426465428,-2.681687249969397,0.1421,-0.9705,-0.1937,-0.0234
1797773.0,655.028163,1.0,0.86,-2.35,-9.43,4.5,-7.88,45.88,-2.44,-2.0,0.5,-0.005627800962590801,0.2740717357616978,0.05411940473843124,-152.09692309623645,-22.372624603038304,-2.6129139620146145,0.1414,-0.9705,-0.194,-0.0228
1797810.0,655.087381,1.0,0.97,-2.52,-9.46,4.5,-7.88,45.88,4.06,-0.06,0.19,0.04242738233766025,0.1051071331856516,-0.030527054815143728,-152.0020244138963,-22.431032941974188,-2.555603608821701,0.1422,-0.9703,-0.1945,-0.0223
1797842.0,655.101377,1.0,1.18,-2.85,-9.99,4.5,-7.88,47.19,3.31,-3.81,-0.19,0.13109913856740785,-0.09967619406219907,-0.6474342579445587,-151.9546930927713,-22.44271531767953,-2.486832027635776,0.143,-0.9702,-0.1946,-0.0217
1797877.0,655.123468,1.0,1.01,-2.81,-9.66,3.69,-7.88,47.19,3.63,-5.06,1.19,0.027994653224582833,-0.08543994679464101,-0.30392447996316996,-151.9074399210319,-22.431032941974188,-2.2575997541901875,0.1439,-0.9701,-0.1945,-0.0197
1797914.0,655.160302,1.0,0.67,-3.15,-9.02,4.06,-8.25,46.38,10.75,-4.13,2.19,-0.38493640683761354,-0.4180065773213978,0.2458501137976441,-151.86026450485573,-22.384305799332335,-2.039837477354927,0.1456,-0.97,-0.1941,-0.0178
1797947.0,655.206317,1.0,0.59,-3.7,-8.07,4.06,-8.25,46.38,9.88,4.38,4.31,-0.6724683962682805,-1.0854093387063848,1.0013860730373718,-151.71920090048613,-22.22079043012782,-2.051298459271143,0.1493,-0.9697,-0.1927,-0.0179
1797984.0,655.234229,1.0,-0.05,-4.27,-6.12,4.5,-8.25,46.38,-15.06,25.12,0.88,-1.5841123691950416,-1.930752708394726,2.774397019568358,-151.81316645370248,-22.09234622296079,-2.6129139620146145,0.1487,-0.9699,-0.1916,-0.0228
1798021.0,655.272417,1.0,-0.63,-3.12,-5.05,4.06,-7.5,46.75,-31.19,53.0,6.25,-1.877645095438271,-1.0775673133579775,4.243638443229776,-152.3835367338065,-21.555518290407996,-4.607822312445006,0.1427,-0.9711,-0.187,-0.0402
1798053.0,655.300805,1.0,-0.14,-2.31,-2.96,4.06,-7.5,46.75,-17.81,112.06,14.5,-1.192733715645591,-1.1325044455942752,6.428467061751766,-152.43158968261443,-20.727870288694778,-7.292945412680463,0.1426,-0.9712,-0.1799,-0.0636
1798088.0,655.343638,1.0,2.22,-0.94,-5.82,2.19,-8.25,47.19,-35.19,168.44,1.44,0.6651560852970889,0.3286369667719433,3.550935402428977,-151.06981274894218,-19.505871262305693,-13.334150842815472,0.1422,-0.9683,-0.1694,-0.1161
1798125.0,655.374033,1.0,3.06,-3.11,-7.78,-1.5,-9.75,45.56,-22.94,91.56,4.44,-0.15467610207152616,-1.156547789994878,0.9634281599178482,-149.81204156148604,-18.796984460560502,-16.651395613206024,0.142,-0.9655,-0.1633,-0.1448
1798160.0,655.426267,1.0,4.37,-4.71,-8.6,-1.5,-9.75,45.56,-28.94,111.19,17.56,-0.33679199153877937,-2.6023416360672758,-0.6027394712238543,-148.2664446111409,-17.485694626999514,-20.704572293778334,0.1389,-0.9619,-0.152,-0.1797
1798195.0,655.446214,1.0,7.75,-2.23,-13.82,-7.5,-10.06,45.88,-46.19,80.94,25.06,1.2217701083186316,0.5471961834096553,-6.138118864404435,-147.56154217602332,-16.0609738361326,-23.389784532624752,0.1317,-0.9602,-0.1397,-0.2027
1798232.0,655.46734,1.0,8.67,-1.22,-14.52,-12.0,-11.56,45.19,-18.37,19.0,13.5,1.5863361262916778,1.4743207156206237,-7.009937529041496,-147.19432874745993,-14.858287755594212,-25.171439536835727,0.1248,-0.9593,-0.1293,-0.2179
1798266.0,655.511257,1.0,7.87,-1.83,-13.39,-14.56,-12.38,42.69,18.06,-27.75,13.56,1.2844012537832032,0.7722891851099165,-5.760359437712898,-147.6436957459843,-14.534774284595127,-24.690270937756786,0.1263,-0.9604,-0.1265,-0.2138
1798301.0,655.540976,1.0,7.07,-3.11,-12.16,-14.56,-12.38,42.69,-1.06,-55.69,26.56,1.1753786154644144,-0.5784175260469034,-4.539308255755204,-149.11579237958978,-14.08435967436596,-22.75822922439662,0.1302,-0.9639,-0.1226,-0.1973
1798336.0,655.595761,1.0,5.96,-1.93,-12.15,-15.38,-12.38,43.88,2.5,-89.37,37.5,1.102698974223597,0.6562921667188251,-3.8029912724270485,-151.2538864729402,-13.380300633180664,-20.37849073526576,0.1292,-0.9687,-0.1165,-0.1769
1798373.0,655.622314,1.0,3.26,-1.2,-8.74,-12.38,-12.38,44.88,9.0,-92.81,34.19,0.5465647468346169,0.7885244159255689,0.45065212574805535,-154.27134430279997,-12.538402281482076,-16.524012627926176,0.1301,-0.9749,-0.1092,-0.1437
1798410.0,655.658325,1.0,1.02,-0.52,-6.4,-12.38,-12.38,44.88,14.81,-80.37,27.5,-0.49244020628901397,1.1453258457380107,3.425699338044171,-156.08414094937433,-12.042810329741007,-13.888093938659914,0.1318,-0.9783,-0.1049,-0.1209
1798445.0,655.709307,1.0,-0.71,-1.3,-4.0,-9.69,-11.56,44.38,14.0,-19.25,17.5,-1.6817238950807538,0.05358765474463331,5.88707947455038,-156.98580474112185,-11.547444362906596,-11.985198208002227,0.1371,-0.9799,-0.1006,-0.1044
1798479.0,655.721246,1.0,-0.37,-1.71,-4.0,-6.75,-11.25,46.88,2.0,35.56,5.75,-1.5025793619576642,-0.3737270450536316,5.724544739620942,-156.5307030363511,-11.086833319532733,-12.89583508427226,0.1395,-0.9791,-0.0966,-0.1123
