acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
1.03,-2.01,-9.69,-151.6255402012684,-25.38282633662164,-4.550480755424785
1.57,-2.15,-10.2,-151.6255402012684,-25.32409900412527,-4.6078223124450055
1.21,-1.64,-9.8,-151.7661453802759,-25.265378432632108,-4.527544452628878
0.73,-1.39,-9.33,-151.8602645048557,-25.25363512809168,-4.401398006442045
1.04,-1.7,-9.73,-151.7661453802759,-25.31235434951457,-4.4702044875913645
1.37,-1.89,-9.94,-151.7661453802759,-25.34758912480893,-4.573417240623146
1.01,-1.69,-9.61,-151.7661453802759,-25.34758912480893,-4.4587366294239885
1.13,-1.54,-9.95,-151.81316645370248,-25.30060996520192,-4.412865642375664
1.28,-2.03,-9.86,-151.7661453802759,-25.335843929176026,-4.424333322525307
0.98,-1.97,-9.53,-151.71920090048613,-25.371080328389592,-4.378462866761455
1.33,-1.78,-10.03,-151.7661453802759,-25.28886585104528,-4.332593112917143
0.88,-1.43,-9.63,-151.7661453802759,-25.28886585104528,-4.183521171347446
1.18,-2.01,-9.84,-151.71920090048613,-25.30060996520192,-4.022990071019942
0.83,-1.89,-9.53,-151.71920090048613,-25.265378432632108,-3.793673550039814
0.91,-1.7,-9.72,-151.71920090048613,-25.25363512809168,-3.7478120989556993
0.45,-2.31,-8.89,-151.71920090048613,-25.15969838503005,-3.5414428939599265
0.53,-3.66,-8.17,-151.6255402012684,-24.97187636961762,-3.5070491615651807
-0.13,-3.34,-7.09,-152.09692309623645,-24.37364567505576,-4.321125783265932
-0.67,-3.2,-5.23,-152.57624392499284,-23.740958889771715,-5.502509177758649
-0.42,-2.13,-4.19,-153.36074062083046,-22.05732086897936,-8.510515201802361
1.26,-0.35,-5.68,-153.1625065187994,-20.52986483879688,-12.377021364647929
2.69,-0.48,-7.17,-150.79583135983617,-19.23849904872923,-18.344143604670894
8.65,-3.39,-14.03,-148.98694437514695,-18.06561632088332,-21.97560315049688
10.66,-2.83,-16.92,-148.90133503664836,-16.454539675361616,-23.42489188862897
9.47,-0.7,-16.66,-150.2552755154301,-15.35534492966006,-22.769918267605057
8.01,-1.36,-15.03,-153.01476916887478,-14.46546520944767,-20.00603003933895
5.04,-0.94,-12.05,-156.36226771891504,-13.645704477358525,-15.910543420989349
1.8,0.16,-8.98,-161.21954183361512,-12.261764386292771,-9.464560757916416
-0.12,0.55,-6.93,-163.86220596785728,-11.639588800101585,-4.906017344265487
-2.83,0.97,-3.53,-164.61437509688025,-11.443790822449785,-2.200293133435064
-4.47,0.89,-1.07,-164.52900617164653,-11.501374957383891,-0.5042044866238587
-4.1,1.29,-0.98,-163.61910772281004,-12.204140573704526,-1.5928739664684124
-3.23,0.92,0.18,-161.14943788464134,-13.06883146764636,-6.17947961245989
0.35,2.23,-2.18,-157.6264722380801,-13.47260676237266,-11.800859775906506
5.71,0.0,-8.08,-149.4184972482763,-14.84673166768115,-21.007514103633174
9.57,-4.99,-11.04,-143.3178010626215,-16.616652750638245,-26.605918469153576
8.98,-3.15,-10.99,-138.87838831455554,-17.949595138790567,-30.99543647635929
11.46,-5.78,-12.77,-135.39706524672096,-19.284990927591146,-34.07529458830543
9.86,-4.47,-11.33,-134.5590130176977,-19.92458285893285,-34.89118212049759
8.16,-4.24,-9.2,-134.35177886278396,-20.4134200209308,-35.07140174532199
7.77,-2.81,-9.51,-134.64810211296725,-20.436707276203283,-35.07140174532199
7.32,-1.79,-9.13,-135.54829362030736,-20.203872938706382,-34.555009904291715
5.79,-0.91,-7.84,-136.25033456727624,-20.075850034388896,-33.96744372977673
5.43,-1.93,-7.57,-136.68295663578678,-20.157316215575328,-33.380796277367786
5.47,-2.32,-7.73,-136.77619735313192,-20.331921330362565,-33.05792701658909
5.28,-1.67,-7.93,-137.05707592188494,-20.29699650405997,-32.818938689500946
4.86,-1.31,-7.37,-137.4343266309111,-20.25043303206116,-32.48460118565665
5.03,-1.6,-7.48,-137.4343266309111,-20.320279509683687,-32.48460118565665
5.57,-1.81,-8.3,-137.24530467426428,-20.4134200209308,-32.627853710613714
5.44,-1.58,-7.95,-137.27675296577294,-20.4134200209308,-32.580097056893266
5.52,-1.8,-8.18,-137.4343266309111,-20.51821939470501,-32.44879621422149
5.28,-1.56,-7.98,-137.5924585129037,-20.51821939470501,-32.26982009667936
5.51,-1.85,-8.0,-137.6241524258607,-20.49492914898236,-32.23403459047365
