TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2555267.0,557.20377,1.0,-0.87,-1.5,-9.75,13.25,-14.25,44.69,2.5,0.44,0.31,-0.10823596317700224,0.07912997846922196,-0.09544187105344193,-152.7702885732456,-25.288865851045276,6.133576755953127,0.0672,-0.9719,-0.2189,0.0535
2555301.0,557.226707,1.0,-0.81,-1.67,-9.78,12.06,-13.88,42.19,-0.12,0.06,-1.0,-0.11464064806036589,-0.09103162186353742,-0.14684038104890895,-152.7702885732456,-25.312354349514578,6.168003805570945,0.0675,-0.9719,-0.2191,0.0538
2555336.0,557.250462,1.0,-0.84,-1.41,-9.76,12.5,-14.25,43.75,-1.06,0.0,0.75,-0.030310971530824182,0.147107536347448,-0.0892451397917835,-152.7702885732456,-25.288865851045276,6.2024314124588535,0.0673,-0.9719,-0.2189,0.0541
2555373.0,557.289423,1.0,-1.0,-1.5,-9.46,12.5,-13.56,43.0,0.06,0.88,-0.25,-0.24354738489036865,0.09782680111555887,0.17998315273159626,-152.7702885732456,-25.288865851045276,6.259812004164342,0.0671,-0.9719,-0.2189,0.0546
2555408.0,557.335801,1.0,-0.94,-1.52,-9.57,12.5,-13.56,43.0,0.88,2.19,0.56,-0.19202577846764102,0.06925529435671614,0.07334481601406395,-152.81901206638815,-25.2653784326321,6.2024314124588535,0.0672,-0.972,-0.2187,0.0541
2555443.0,557.352835,1.0,-0.83,-1.4,-9.76,12.5,-14.25,43.06,-0.06,2.88,0.81,-0.026368172049738348,0.15320445362101245,-0.08690007643330233,-152.81901206638815,-25.230149327633615,6.145052377433651,0.0673,-0.972,-0.2184,0.0536
2555480.0,557.404558,1.0,-0.67,-1.43,-9.83,12.06,-13.56,43.75,-0.5,1.88,1.25,0.09600717166259148,0.06438734517512495,-0.1487172404774011,-152.91671705681662,-25.206664604393563,6.04177399090254,0.0671,-0.9722,-0.2182,0.0527
2555514.0,557.429295,1.0,-0.69,-1.36,-9.88,12.06,-13.56,43.75,-0.06,-1.63,0.44,0.11272196299850568,0.13509060381512106,-0.18880618207686517,-152.91671705681662,-25.183180957237056,6.04177399090254,0.0668,-0.9722,-0.218,0.0527
2555547.0,557.473875,1.0,-0.78,-1.52,-9.86,11.38,-13.88,45.19,-1.19,-3.5,-0.31,-0.018893504775562175,0.0120170341447981,-0.20024255595200557,-152.91671705681662,-25.194922646375748,6.168003805570945,0.0662,-0.9722,-0.2181,0.0538
2555584.0,557.504503,1.0,-1.13,-1.45,-9.23,12.5,-13.88,43.5,1.12,-0.75,0.63,-0.3782204053110548,0.15309900219217362,0.40421361252392884,-152.91671705681662,-25.183180957237056,6.236859579751597,0.066,-0.9722,-0.218,0.0544
2555621.0,557.538413,1.0,-0.95,-1.31,-9.61,12.88,-14.25,43.0,0.5,0.5,-0.19,-0.10444537869196041,0.24195163266003708,0.06492271115008919,-152.91671705681662,-25.159698385030055,6.248335760592127,0.0661,-0.9722,-0.2178,0.0545
2555656.0,557.573576,1.0,-0.97,-1.56,-9.7,12.88,-14.25,43.0,2.31,-0.69,-0.81,-0.20800498546353924,0.03875087377899297,-0.06349347898771462,-152.91671705681662,-25.183180957237056,6.282764679968378,0.0663,-0.9722,-0.218,0.0548
