acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-0.74,0.56,-9.63,-159.40959116439527,19.622153417094765,4.61929076192046
-0.88,0.95,-9.48,-158.9028148870971,19.90131410531983,5.4336758888612415
-0.91,1.59,-9.58,-158.5921035424659,20.087487431641744,5.835231869336322
-0.65,1.79,-9.97,-158.28578665640208,20.378490735265764,5.915551513947968
-0.68,1.36,-10.08,-158.16444882979192,20.49492914898236,5.8467059276897535
-0.85,1.37,-9.67,-158.16444882979192,20.56480245757989,5.823757869537403
-0.7,0.96,-9.92,-158.16444882979192,20.56480245757989,5.754915093896803
-0.8,0.88,-9.85,-158.22503424547796,20.52986483879688,5.7319679651977244
-0.87,1.01,-9.54,-158.28578665640208,20.436707276203283,5.789336220308419
-0.97,1.09,-9.32,-158.16444882979192,20.48328434708745,5.789336220308419
-0.82,1.12,-9.58,-158.1040290229696,20.52986483879688,5.640181741583799
-0.75,0.96,-9.68,-158.1040290229696,20.588095276846204,5.273072468222583
-0.72,0.99,-9.65,-157.92374967519896,20.69292362085707,5.0436569106979485
-0.78,0.8,-9.95,-157.6856148741907,20.937591354374124,4.848669626539135
-0.89,0.87,-10.56,-157.33304425296922,21.18235565251096,4.768384859798278
-0.91,1.11,-10.82,-156.47442582901172,21.823871652385925,4.940426564140192
0.0,2.33,-11.8,-155.75453926974473,22.337582426465424,5.284543793645802
-0.53,2.3,-10.96,-154.73873772257048,22.945282804181343,6.271288310584378
-0.76,2.51,-11.21,-154.01525359440282,23.448298031292182,7.040350098228411
-0.75,2.24,-11.67,-153.01476916887478,24.080642561887807,8.326672787534774
-0.44,2.35,-11.53,-151.71920090048613,24.70200146162693,10.097117916179354
-0.97,3.43,-10.02,-150.88687816852098,24.80758802606676,11.697182904814724
-1.2,3.84,-9.06,-150.21066214535367,24.479166312304468,13.657245433015795
-1.6,3.03,-8.39,-150.03285782765786,24.0923596055089,14.904513628099544
-2.06,3.13,-7.64,-149.900178159723,23.34297818708293,16.59349169701811
-2.35,3.65,-6.68,-150.21066214535367,22.36094364221954,17.578451378167774
-2.63,3.03,-6.26,-151.57882322936237,20.809420100088573,18.08882279446736
-2.15,1.22,-7.22,-153.01476916887478,19.598895357607173,17.90319186690899
-2.3,1.0,-7.13,-155.0021140741398,17.729205890532434,17.36976491594495
-2.27,-1.12,-7.05,-156.41828103776766,16.5471716366683,16.651395613206027
-2.36,-0.62,-7.25,-158.22503424547796,15.239724647140951,15.424724640986325
-2.31,-0.89,-6.96,-159.66766312617878,14.38461134345722,14.153639819523336
-1.85,-0.25,-7.34,-161.64573705685663,13.645704477358525,12.088902226339815
-1.25,-0.24,-7.6,-163.06535294380294,13.230321745568984,10.396251161173767
-0.91,-0.48,-8.81,-164.70021747025422,12.976563032466052,7.924591684679524
-0.37,-0.73,-8.65,-165.6781993872616,12.941964550756788,5.949975106955117
-0.47,-0.61,-8.45,-166.53078742603913,13.080365619179066,3.0714215263829594
1.14,-0.1,-10.06,-166.43342218753332,13.357225465957494,0.5615008861828721
0.69,-0.73,-9.98,-165.6781993872616,13.79574779269871,-2.360753104216733
0.84,1.37,-9.84,-164.10899767779725,14.627194705880914,-4.561948975165956
2.05,1.55,-10.38,-162.30409717935632,15.077882439571027,-7.752301412421159
2.05,-0.15,-11.99,-160.32749140960402,15.494110041456644,-10.925662281710132
3.2,1.66,-13.19,-158.40779810685115,15.956826751094518,-13.172643633299913
4.47,1.56,-14.6,-156.41828103776766,16.350341655632345,-15.551935573755918
4.87,2.38,-14.51,-155.91878451766874,16.338764939656073,-16.38507281218067
4.01,1.0,-13.19,-156.41828103776766,15.956826751094518,-16.454539675361616
4.31,1.45,-12.55,-156.87120131517742,15.817984589415364,-16.072546557241562
4.3,2.44,-12.66,-157.6856148741907,15.82955387412607,-14.812064314477515
3.57,3.54,-12.25,-158.965501581421,15.73700413286234,-13.103434321670449
2.98,3.73,-11.27,-161.3605335874341,15.30909493616346,-9.936074868420336
1.25,4.62,-8.6,-163.69974033883318,14.430812668433536,-6.994427393261249
-0.17,4.31,-6.4,-167.33650576248203,12.296340166976414,-2.8421620551927376
-1.15,-0.44,-5.31,-170.0069733247971,10.028097037556812,-0.5385823103159236
-0.61,-3.83,-6.53,-172.0592752206678,7.281463046960031,0.8136069048374162
0.57,-8.0,-8.71,-171.5773787315156,6.190955481383822,1.4553519237055776
0.55,-7.58,-8.1,-171.12155545031425,6.409008932036036,1.8793858210517669
0.48,-6.03,-8.03,-170.68797573137596,7.465189762811247,2.200293133435064
0.23,-3.4,-8.13,-169.1248093860893,9.90156821424672,2.532679647359437
0.36,-1.69,-9.22,-166.43342218753332,12.941964550756788,2.704611892754087
0.61,0.86,-9.84,-164.19211217641143,15.39003407585724,2.9338644268256844
0.19,2.02,-10.07,-161.21954183361512,18.44861943332721,3.15166519950434
-0.02,3.05,-10.27,-159.21811781644797,20.52986483879688,3.197519418538972
-0.54,4.23,-9.93,-156.92843283344138,22.816676842803343,3.335085177891311
-0.47,3.95,-9.92,-155.75453926974473,23.96348615709585,3.3121572228147254
-0.29,3.65,-10.1,-154.84376268843482,24.831054609816945,3.369477361207863
-0.78,1.48,-9.91,-154.63414056108866,25.07751783117069,3.5299782811888885
-1.07,1.25,-9.46,-154.47803544959174,25.18318095723705,3.793673550039814
-0.76,0.41,-9.74,-154.58200075536982,25.0892571067724,3.8395356089996175
-0.94,0.83,-9.53,-154.47803544959174,25.18318095723705,3.931261580029344
-0.82,0.32,-9.34,-154.47803544959174,25.18318095723705,3.942727502383202
-0.5,0.5,-9.83,-154.42620867150097,25.230149327633608,3.782208130568333
-0.4,0.36,-10.04,-154.42620867150097,25.21840683143225,3.805139007503523
-0.46,0.55,-9.73,-154.42620867150097,25.21840683143225,3.8853982832056495
-0.3,0.53,-9.98,-154.42620867150097,25.206664604393566,3.8395356089996175
-0.51,0.52,-9.69,-154.42620867150097,25.17143953683573,3.805139007503523
-0.45,0.76,-9.82,-154.47803544959174,25.15969838503005,3.724881599063971
-0.38,0.64,-9.87,-154.37448496866145,25.25363512809168,3.621696182670095
-0.32,0.65,-9.97,-154.37448496866145,25.25363512809168,3.564372225995784
-0.19,0.51,-10.19,-154.42620867150097,25.265378432632108,3.40386984812725
-0.29,0.69,-9.87,-154.42620867150097,25.230149327633608,3.2892294003721183
-0.33,0.7,-9.75,-154.47803544959174,25.19492264637575,3.243374149708243
-0.29,0.47,-9.94,-154.52996593229264,25.17143953683573,3.15166519950434
-0.4,0.45,-9.67,-154.52996593229264,25.17143953683573,3.0599582684028324
