TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1121488.0,473.890011,1.0,-0.06,0.12,-10.16,-0.06,-21.0,46.19,-2.81,1.37,2.63,0.12411500634574557,-0.09331975563584549,-0.3530491534399207,-175.7121263163045,3.9656594656748365,1.0427975798203954,-0.0106,-0.9993,0.0346,0.0091
1121525.0,473.9395,1.0,-0.11,0.25,-9.9,-0.5,-20.69,46.88,-7.13,-0.88,3.06,0.06567724083835118,-0.007219262003066006,-0.09689655576940481,-175.7121263163045,4.068855279934243,1.0657168616283692,-0.0129,-0.9993,0.0355,0.0093
1121558.0,473.945448,1.0,-0.08,0.45,-9.92,-0.5,-20.69,46.88,-6.5,-0.75,3.31,0.09045292582138677,0.16035604520391503,-0.12216685836619945,-175.41603200644556,4.1720543955147065,1.1115555540621913,-0.0146,-0.9992,0.0364,0.0097
1121593.0,474.002317,1.0,0.15,0.46,-10.12,-1.5,-21.37,44.88,-13.31,1.81,4.63,0.31071316968867035,0.1126713521376486,-0.3195172163059574,-175.13792719078657,4.332593112917143,1.0313379546174166,-0.018,-0.9991,0.0378,0.009
1121628.0,474.05548,1.0,0.05,0.87,-9.87,-0.75,-21.37,45.38,-16.06,2.75,4.88,0.16081209393975637,0.44097811805136694,-0.09062122846709642,-174.87488253375375,4.49314033842009,0.93966131468631,-0.0221,-0.999,0.0392,0.0082
1121665.0,474.06415,1.0,0.0,0.5,-9.95,-0.06,-22.5,45.0,-7.94,3.44,0.37,0.11507940431459573,0.01021219112994751,-0.15523498437193162,-174.38562149779352,4.596353909147253,0.7792286067117273,-0.0248,-0.9988,0.0401,0.0068
1121697.0,474.126964,1.0,-0.18,0.11,-9.58,-0.06,-22.5,45.0,3.56,8.63,1.69,-0.07937251469339998,-0.3702745121222426,0.23181335441779005,-174.62468664214506,4.619290761920459,0.5385823103159236,-0.0245,-0.9989,0.0403,0.0047
1121734.0,474.131948,1.0,-0.04,0.18,-9.82,-0.75,-22.5,44.19,-7.69,6.31,5.19,0.015618826843690833,-0.3360910128237062,-0.00931652823078899,-174.38562149779352,4.745446786894517,0.28647919598176924,-0.0262,-0.9988,0.0414,0.0025
1121769.0,474.191804,1.0,-0.02,0.78,-9.72,-1.06,-22.5,45.38,-13.13,-0.5,6.19,-0.017485195829366074,0.2052534543264789,0.05755951486171185,-174.15632086245736,4.917487034889402,0.26356081813331494,-0.0294,-0.9987,0.0429,0.0023
1121804.0,474.219927,1.0,0.0,0.99,-9.76,-1.06,-22.5,45.38,-10.56,-7.75,5.25,0.024202527775470425,0.34248231521827,0.002578391662369839,-173.5168579087077,5.15836210329675,0.4927452222969898,-0.0331,-0.9984,0.045,0.0043
1121839.0,474.259607,1.0,-0.06,1.26,-9.83,-0.75,-23.69,43.69,-1.69,-2.25,0.37,-0.03566036380680023,0.5819742117490497,-0.0867889549495029,-173.5168579087077,5.238658808769412,0.6302567522155992,-0.0341,-0.9984,0.0457,0.0055
1121875.0,474.285538,1.0,0.01,0.69,-9.87,-1.06,-24.0,43.69,1.37,-2.25,0.75,0.08955738840379018,0.03538360974950659,-0.08697559804763699,-173.5168579087077,5.250129975900072,0.6531754234266163,-0.0333,-0.9984,0.0458,0.0057
1121910.0,474.317456,1.0,-0.12,0.66,-9.72,-1.06,-24.0,43.69,-5.88,-4.75,2.0,-0.017555298000306425,-0.009171146209601815,0.06354948211611067,-173.5168579087077,5.296015172064578,0.7792286067117273,-0.034,-0.9984,0.0462,0.0068
1121945.0,474.366321,1.0,-0.31,1.48,-9.49,-0.5,-23.25,43.38,-4.75,0.44,0.44,-0.2639729810282805,0.7520258872854696,0.23004437325836058,-173.1234747164887,5.376316314590642,0.9052827329224427,-0.0367,-0.9982,0.0469,0.0079
1121980.0,474.378324,1.0,0.38,1.89,-10.65,-1.19,-24.06,45.0,5.56,-28.31,-7.75,0.5704742148442586,1.1916060201168852,-0.9354929083316055,-173.3172743700655,5.181303758795193,1.7647797695524667,-0.0346,-0.9983,0.0452,0.0154
1122017.0,474.432182,1.0,-1.21,2.55,-8.65,-1.19,-24.37,44.19,50.13,-77.81,-31.31,-0.8176563217783066,2.0173433154681555,0.9720099910923388,-173.5168579087077,4.561948975165956,3.7592774051414257,-0.0258,-0.9984,0.0398,0.0328
1122052.0,474.456081,1.0,-1.27,1.48,-8.11,-1.19,-24.37,44.19,61.0,-57.0,-43.88,-0.4801735438876817,1.380685872658531,1.594552832479911,-173.1234747164887,3.0714215263829594,6.076199569788739,-0.0032,-0.9982,0.0268,0.053
1122086.0,474.498967,1.0,-1.91,2.45,-6.99,2.19,-21.75,45.38,64.37,-25.5,-86.06,-1.0791457695521296,2.5874800299438725,2.689691976890729,-172.75138501198413,0.9052827329224427,7.063311874799694,0.0114,-0.998,0.0079,0.0616
1122123.0,474.526776,1.0,-1.18,1.73,-7.49,4.75,-20.37,44.88,91.5,-7.5,-115.0,-0.10184135785010118,2.4073340222411264,2.4120728489255994,-170.54785856879653,-3.1287382797377283,7.407773121999346,0.043,-0.9966,-0.0273,0.0646
1122158.0,474.555088,1.0,-0.93,-0.96,-7.34,4.75,-20.37,44.88,107.56,20.12,-136.63,-0.048017942286517123,0.16447454610908532,2.3479140212365213,-167.13036680379562,-6.776309776380446,7.155161830094744,0.0716,-0.9937,-0.0591,0.0624
1122193.0,474.61123,1.0,-0.46,-4.14,-7.6,7.0,-15.88,47.38,103.5,75.12,-123.5,-0.4511048043120985,-2.2715404240026373,1.4551346550073045,-162.45372607444324,-11.178940913568928,4.550480755424785,0.1102,-0.9883,-0.0974,0.0397
1122228.0,474.652672,1.0,1.52,-4.65,-10.28,7.75,-11.69,47.38,45.25,112.5,-73.81,0.9791741068428714,-2.103271452570279,-1.339145945794602,-159.99488438452414,-13.138038375794714,1.2834522947560847,0.1304,-0.9848,-0.1144,0.0112
1122265.0,474.677289,1.0,1.65,-3.29,-8.65,3.25,-7.25,48.5,8.69,135.56,-63.56,0.523111982283825,-0.9746641993532691,0.4714754674864192,-157.56748354792904,-14.858287755594212,-3.5299782811888885,0.1419,-0.9809,-0.1293,-0.0308
1122299.0,474.702753,1.0,2.52,-4.72,-8.78,3.25,-7.25,48.5,21.06,162.81,-60.5,-0.12353399010412613,-2.0940587680756915,-0.2589775129340186,-153.91350924378722,-16.234582036054892,-9.821056182581472,0.1537,-0.9742,-0.1412,-0.0856
1122336.0,474.766632,1.0,4.88,-5.21,-10.57,-0.75,-6.06,49.0,-24.75,169.81,9.31,0.7599884462133981,-2.1696108611873925,-2.7392101248634937,-151.43912137388483,-15.563501157916,-14.881400387429185,0.1605,-0.9691,-0.1354,-0.1295
1122373.0,474.839393,1.0,5.22,-2.25,-10.82,-8.25,-5.56,49.0,-43.38,136.19,13.44,0.8020033276717426,0.6540622704110404,-2.3717034687094785,-149.54912686270868,-13.668786527863627,-20.40177671287519,0.153,-0.9649,-0.119,-0.1771
1122408.0,474.844408,1.0,4.8,-4.28,-8.05,-8.25,-5.56,49.0,-19.19,116.62,19.56,0.2188366948563436,-1.9818263966634981,-0.3020281843360788,-147.7673081897566,-12.67674864442774,-23.577049581358693,0.1521,-0.9607,-0.1104,-0.2043
1122443.0,474.849395,1.0,5.57,-2.77,-8.24,-13.5,-7.06,46.56,-70.5,153.31,45.69,0.38631904537985795,-0.5526729021185615,-0.49581136893706734,-145.03166189361892,-9.694547078719877,-29.132584441928433,0.1412,-0.9538,-0.0845,-0.2515
1122478.0,474.87693,1.0,6.33,-1.59,-9.02,-19.75,-7.75,45.38,-78.94,121.0,43.88,0.2172002243173301,0.6647039598228779,-1.3049832151647394,-142.9553690729635,-7.017388604693049,-33.129652316118374,0.1261,-0.9482,-0.0612,-0.2851
