acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.03,3.73,-9.0,-155.48320588867858,11.812380025110386,1.5470330404085568
0.04,3.78,-8.85,-155.32181611488016,11.846941492078386,1.5011923619341792
0.27,3.89,-9.32,-155.32181611488016,11.835420883076134,1.306372069959298
0.17,3.73,-9.03,-155.3754969883622,11.766299745968876,1.1803139285143014
0.34,3.59,-9.35,-155.4292933262199,11.743260322870698,1.0427975798203954
0.12,3.87,-9.05,-155.32181611488016,11.754779974813852,1.0198783397289315
0.31,3.78,-9.08,-155.32181611488016,11.731740790019304,0.9052827329224428
0.25,3.5,-9.11,-155.3754969883622,11.674144907935558,0.7677691897415189
0.31,3.88,-9.21,-155.2682499537731,11.697182904814724,0.5615008861828721
0.38,3.78,-9.14,-155.214797761141,11.674144907935558,0.4239897358038088
0.42,3.61,-9.15,-155.214797761141,11.708702081111404,0.3666936147093117
0.37,3.78,-9.14,-155.05511767406654,11.789339646395064,0.3666936147093117
0.35,3.87,-9.01,-155.0021140741398,11.869983070722633,0.3093975852894872
0.33,3.35,-9.07,-154.9492208405226,11.973676148985312,0.2521016332198253
0.56,3.54,-9.49,-154.47803544959174,12.319391311580372,0.2635608181333149
0.48,3.5,-9.58,-153.91350924378722,12.792051445699697,0.3896120513439707
0.6,3.88,-9.81,-152.72165046658662,13.78420515869276,0.8594447501191841
0.46,5.63,-9.81,-151.48561418277666,14.638747929971784,1.6730962049034406
0.56,7.15,-10.26,-150.79583135983617,15.274409087771584,3.919795697049856
-0.65,4.97,-9.06,-151.8602645048557,15.239724647140951,6.684478178549483
-1.0,5.31,-9.09,-152.7702885732456,14.696516297153034,10.327214181692757
-1.7,5.26,-8.8,-153.5103719816942,13.841919736512358,12.58451568698019
-2.09,4.05,-8.12,-155.05511767406654,11.916067673936476,15.054764601110485
-2.13,3.17,-8.0,-156.814109146573,9.91307033213892,16.269308165184984
-2.16,1.26,-7.83,-158.9028148870971,7.166643396943946,17.300215695418142
-2.58,0.96,-7.01,-160.80272323312002,4.561948975165956,17.184314583414665
-2.4,-0.39,-6.7,-163.06535294380294,2.349291527927613,15.86426270309298
-2.25,-1.13,-6.34,-167.13036680379562,-0.3666936147093117,12.423127669242316
-1.48,-2.07,-7.07,-170.97471906367116,-1.8793858210517669,8.453062112264227
0.69,-2.66,-9.68,-176.3761457238522,-2.383676327772471,1.283452294756085
1.6,-1.01,-10.41,-174.87488253375375,-1.5126525087430307,-3.094348134689141
2.23,-1.68,-9.59,-170.13941942315122,0.0343774682235114,-8.096899901459961
4.34,1.34,-11.88,-164.61437509688025,2.1659094260652934,-12.596044357776794
4.84,3.31,-12.19,-158.84031180775503,4.928956774809122,-16.19985740781584
4.24,4.51,-11.09,-156.98580474112185,6.799268354310192,-16.234582036054892
3.31,5.32,-10.54,-155.75453926974473,8.95872400294449,-14.754288420181696
3.46,5.98,-11.79,-156.5307030363511,10.154638119587414,-11.466824127666603
1.14,4.5,-8.49,-158.5304946671076,10.580368342525214,-7.35035834348681
0.69,3.55,-8.81,-160.80272323312002,10.67243717618693,-2.7275366438036484
0.63,3.16,-10.12,-161.4314273445042,10.695455461898506,0.60733810621587
-1.06,3.86,-7.3,-161.21954183361512,10.637910557080565,5.341901218009245
-1.09,2.43,-8.62,-161.5740259283265,10.200656128703407,7.47667331573405
-0.93,2.05,-9.74,-161.21954183361512,9.660046657878476,10.074110549810433
-2.05,2.05,-8.15,-160.12726585571855,9.25760576115156,13.011162702254634
-2.29,1.85,-8.89,-159.53822461146382,8.95872400294449,14.604088706058509
-2.28,2.02,-9.17,-158.4690600176697,8.556479215940191,16.813549410004512
-3.05,1.13,-8.5,-157.6264722380801,8.246248510013665,18.437010245615284
-3.68,1.49,-7.46,-156.36226771891504,7.94756506816392,20.285355318851703
-4.11,1.12,-6.98,-155.91878451766874,7.786758050274272,21.065789103644565
-4.18,0.41,-6.62,-156.02889725740351,7.683390239501281,21.04247844328356
-4.02,-0.17,-5.98,-156.75715530060586,7.890132207309978,20.087487431641744
-3.32,-1.38,-4.9,-158.3467074683401,8.981712713320505,17.601642377536205
-0.9,5.71,-7.94,-158.965501581421,10.67243717618693,14.916070477056888
0.1,1.34,-9.87,-160.12726585571855,12.00824269100582,10.9717089235085
-1.03,1.88,-7.94,-160.66576217664587,12.734398426775371,8.142851840335263
-0.36,2.69,-7.53,-159.79792218460952,13.703410648771609,3.4153340784378665
1.37,3.39,-10.84,-157.863978815261,14.592535930080526,-1.9710720103882065
2.21,3.27,-9.92,-156.25063177900063,15.575066901599747,-4.71104003397371
3.23,2.96,-10.24,-153.61058909469406,16.489275388774946,-8.774827247055486
4.32,3.92,-11.65,-151.06981274894218,17.114782424924247,-12.181091916848366
4.69,4.65,-10.67,-147.72605283657722,18.320928845487863,-15.262847451308849
4.88,4.2,-10.76,-145.91984007134727,18.92476206303288,-17.010496081346126
4.35,5.32,-9.8,-144.46400874868328,19.401234664747328,-18.13523798699121
4.7,4.0,-10.29,-143.97904817901198,19.494244164289388,-18.796984460560505
4.59,3.92,-9.91,-143.75733722307018,19.447737797457524,-18.947996901150283
4.34,3.82,-9.3,-143.97904817901198,19.633782752905432,-18.47183838189436
3.71,3.77,-8.42,-144.1648201843402,19.69193249784897,-17.972797887176398
3.92,3.67,-8.57,-144.46400874868328,19.66867198617123,-17.474100846214462
4.08,3.92,-8.77,-144.80353687392875,19.598895357607173,-16.894639006068054
3.58,3.57,-8.42,-145.53094905314887,19.412860145181693,-15.887402736014533
2.95,3.88,-8.12,-145.91984007134727,19.296614397760404,-15.18192036535379
2.81,3.81,-7.97,-146.19464572787078,19.18038869449432,-14.373061379793723
2.49,3.58,-8.1,-146.47163743677677,19.017706136871343,-13.945814879054648
2.58,3.58,-8.4,-146.71084020226166,18.75052573300884,-13.530302549412
2.48,3.87,-8.13,-146.992038514199,18.56472183693924,-13.184178987120148
2.59,3.58,-8.41,-147.35703857325038,18.30932175034793,-12.976563032466052
2.58,3.37,-8.48,-147.52054122823532,18.112030016161896,-12.838176201349
2.75,3.33,-8.64,-147.6025936178383,17.961196420173227,-12.838176201349
2.69,3.31,-8.72,-147.6025936178383,17.92639313237552,-12.838176201349
2.81,3.58,-8.55,-147.68484875398153,17.891591511712036,-12.722868211864098
2.87,3.53,-8.74,-147.7673081897566,17.833592505981915,-12.688278342697654
2.67,3.65,-8.51,-147.80861501075398,17.740803669389525,-12.699808169946316
2.68,3.77,-8.51,-147.72605283657722,17.77559810564146,-12.67674864442774
2.83,3.75,-8.88,-147.6025936178383,17.798795314151782,-12.722868211864098
2.79,3.98,-8.57,-147.6025936178383,17.6712197397126,-12.745928771149693
2.87,3.94,-8.64,-147.47959058337602,17.613238149656624,-12.815113562902276
