TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1288116.0,640.935792,1.0,-3.05,1.17,-9.35,15.06,-25.37,39.19,1.88,2.19,-0.81,0.05110055392083468,0.07399660491746969,-0.09717821114389302,-160.32749140960402,-3.541442893959926,18.03080801097451,-0.0609,-0.9853,-0.0309,0.1567
1288151.0,640.939856,1.0,-3.03,1.13,-9.25,15.88,-25.75,40.0,-0.31,0.75,-0.25,0.034695974182176625,0.05072682040055113,0.00784788040050266,-160.32749140960402,-3.5529075421905287,18.019205613951,-0.0607,-0.9853,-0.031,0.1566
1288187.0,640.942805,1.0,-3.03,1.18,-9.29,15.88,-25.75,40.0,0.63,-1.06,-0.25,0.05283282534336675,0.09502881187546833,-0.03538120384607346,-160.32749140960402,-3.5529075421905287,18.03080801097451,-0.0607,-0.9853,-0.031,0.1567
1288220.0,640.945766,1.0,-3.06,1.27,-9.4,15.88,-25.0,40.88,-0.75,-0.19,-0.56,0.06532225329645747,0.16789590160115747,-0.15849144252101688,-160.32749140960402,-3.57583694549078,18.03080801097451,-0.0609,-0.9853,-0.0312,0.1567
1288257.0,640.979676,1.0,-3.06,1.34,-9.2,15.06,-25.0,40.38,-1.44,0.06,-1.12,0.014083082337648323,0.25554602113016894,0.022290138574399876,-160.26052613773837,-3.5873017007906127,18.05401336431272,-0.0613,-0.9852,-0.0313,0.1569
1288292.0,641.00461,1.0,-3.17,1.2,-9.14,15.06,-25.0,40.38,-0.44,-1.06,-1.37,-0.11374086305860098,0.13017668170572275,0.0599265994098932,-160.26052613773837,-3.6216961826700946,18.08882279446736,-0.0613,-0.9852,-0.0316,0.1572
1288327.0,641.050998,1.0,-3.07,1.15,-9.35,15.88,-25.0,40.75,-1.63,-1.81,-0.56,0.047504964159561514,0.04694575629869775,-0.1011973632946983,-160.19378503937318,-3.633161082340258,18.12363390787068,-0.0614,-0.9851,-0.0317,0.1575
1288361.0,641.077723,1.0,-2.55,1.4,-10.44,15.06,-26.06,40.5,-1.12,-7.31,-1.0,0.9477342688408328,0.12563322095888704,-0.9888173844839283,-159.9290177639615,-3.656090990936744,18.40218382722317,-0.0615,-0.9847,-0.0319,0.1599
1288398.0,641.107612,1.0,-2.83,1.47,-10.17,15.06,-25.0,40.38,9.19,-43.19,-7.81,0.793096891269071,0.2684130082660214,-0.8186806667629369,-159.0283735374385,-3.724881599063971,19.41286014518169,-0.06,-0.9833,-0.0325,0.1686
1288431.0,641.15246,1.0,-3.77,0.6,-8.81,15.06,-25.0,40.38,16.44,-51.5,-9.63,-0.2642637498123561,-0.3042619442301729,0.21360098835472208,-157.21671751944734,-3.8853982832056504,21.462206102543455,-0.0556,-0.9803,-0.0339,0.1862
1288468.0,641.190619,1.0,-4.03,1.05,-9.15,17.37,-25.75,38.38,2.44,-45.13,-5.81,-0.11093728730001073,0.11580959353677929,-0.2452245046051651,-155.97377873337675,-4.206454848857137,22.769918267605057,-0.0555,-0.9781,-0.0367,0.1974
1288505.0,641.20309,1.0,-4.12,1.15,-9.17,18.5,-24.56,39.19,13.44,-52.13,-7.69,0.16205175365154978,0.2556698300503192,-0.3074081453312072,-154.1686085419062,-4.298191253728037,24.678540676695548,-0.0529,-0.9747,-0.0375,0.2137
1288540.0,641.25039,1.0,-4.63,0.78,-7.74,18.5,-24.56,39.19,6.25,-49.06,-4.63,-0.6845079271843335,0.11498002688203549,0.7805141439960597,-152.7702885732456,-4.321125783265932,26.205728877683857,-0.0505,-0.9719,-0.0377,0.2267
1288574.0,641.32889,1.0,-4.48,0.6,-7.48,20.37,-24.56,38.38,8.94,-23.25,-5.06,-0.5129401097250217,-0.00613755619499716,1.0821067584177033,-151.7661453802759,-4.435801047006329,27.30115334647518,-0.0482,-0.9698,-0.0387,0.236
1288609.0,641.424631,1.0,-4.5,0.98,-5.95,22.56,-23.06,37.56,9.38,19.87,-4.0,-1.2079789554471971,0.5855372503334304,2.4032161364695988,-151.9546930927713,-4.6766337060034004,27.112514953816074,-0.0461,-0.9702,-0.0408,0.2344
1288646.0,641.43764,1.0,-3.61,0.59,-5.01,21.87,-23.87,38.38,14.5,68.56,-6.69,-1.093081205930226,0.3379136405677801,3.7098239528866053,-154.0152535944028,-4.814261580058959,25.10099664997855,-0.0399,-0.9744,-0.042,0.2173
1288679.0,641.449608,1.0,-3.84,-0.98,-3.39,21.87,-23.87,38.38,22.62,124.44,-1.69,-2.375062780310272,-0.9695588860475869,5.2660407505632,-156.98580474112185,-4.986306217889055,22.104021805228786,-0.0328,-0.9799,-0.0435,0.1917
1288716.0,641.460535,1.0,-0.96,-0.33,-6.81,19.56,-22.37,40.0,-34.44,227.0,28.0,0.7602400717478094,-0.8151026217492149,3.012222669508753,-163.9440511277747,-4.619290761920459,14.777398324484167,-0.0359,-0.9902,-0.0403,0.1286
1288753.0,641.543315,1.0,0.0,2.13,-8.34,14.0,-22.37,42.5,-63.5,144.5,15.31,1.5120457108966634,1.2516658855168648,1.4257460941440012,-168.30883818145554,-4.000057708800217,9.51055493545105,-0.0491,-0.9948,-0.0349,0.0829
1288787.0,641.551335,1.0,0.3,0.7,-8.5,14.0,-22.37,42.5,-32.69,156.75,14.06,0.8801458067314276,-0.3159744484524992,1.323991011992863,-171.57737873151558,-3.896864048753203,3.8166045030746174,-0.0573,-0.9973,-0.034,0.0333
1288822.0,641.556322,1.0,1.87,1.19,-10.26,6.88,-25.0,42.0,-49.25,196.81,22.69,1.2678375856107384,-0.3839261863912914,-0.6061204545867973,-170.40978378389514,-3.4497269749928665,-3.4611913427691,-0.0713,-0.9965,-0.0301,-0.0302
1288859.0,641.563381,1.0,2.45,1.11,-10.27,0.06,-26.5,42.0,-42.81,133.13,9.94,1.0413461792337206,-0.7295321728483217,-0.7333158891181668,-167.233021952493,-3.3121572228147254,-7.775272426130342,-0.083,-0.9938,-0.0289,-0.0678
1288894.0,641.629612,1.0,3.82,1.76,-11.22,-5.06,-27.56,40.5,-57.94,142.56,17.56,1.1325540029227508,-0.6770989470865211,-2.1028948463120507,-162.22975145954382,-2.9453273542124467,-13.322613734970497,-0.0986,-0.988,-0.0257,-0.116
1288929.0,641.844037,1.0,4.49,1.5,-11.75,-5.06,-27.56,40.5,-45.0,125.56,29.94,0.8041264603879796,-1.367471579491867,-2.7614048262245365,-158.40779810685115,-2.383676327772471,-17.137959104392674,-0.1113,-0.9823,-0.0208,-0.149
1288968.0,641.874,1.0,5.67,1.74,-12.93,-10.38,-29.06,38.5,-56.19,67.87,36.44,0.6605481789914678,-1.7693270495626912,-4.292802396987513,-154.63414056108866,-1.1573944243672372,-20.832722001771078,-0.1243,-0.9756,-0.0101,-0.1808
1289003.0,641.885923,1.0,7.14,1.58,-13.59,-15.19,-30.25,36.06,-44.69,36.56,51.69,1.4068565139484108,-2.3874633798466203,-5.3750782731266185,-152.72165046658662,0.22918327084134968,-22.337582426465428,-0.1346,-0.9718,0.002,-0.1937
1289037.0,641.89906,1.0,6.57,4.47,-12.69,-15.19,-30.25,36.06,-80.37,-35.06,59.0,0.9014983075104208,0.3155328151215866,-5.135560005355208,-151.2538864729402,2.991179359701173,-22.39598723123728,-0.1527,-0.9687,0.0261,-0.1942
1289072.0,641.942774,1.0,5.31,6.61,-10.8,-17.37,-30.56,32.88,-85.94,-73.75,53.5,0.4326002006868044,2.5132833179162475,-3.684994230050302,-150.61456567249238,6.386054856968827,-19.95948754584176,-0.1763,-0.9673,0.0557,-0.1733
1289109.0,642.025551,1.0,3.53,8.78,-8.37,-18.25,-32.56,33.0,-61.75,-84.87,35.38,-0.6670330393452935,5.068231958860469,-1.7464574493231968,-150.43438697810745,8.430081473298436,-17.555261104447528,-0.1907,-0.9669,0.0735,-0.1526
1289144.0,642.064447,1.0,3.07,8.81,-7.88,-18.25,-32.56,33.0,-42.38,-67.75,3.19,-0.6409196425960761,5.036354894284277,-1.300093509713065,-150.56941987552764,9.476059158737442,-14.800508833176536,-0.2028,-0.9672,0.0826,-0.1288
1289179.0,642.103341,1.0,2.22,8.43,-7.44,-16.37,-33.69,31.37,-37.38,-80.69,-36.75,-0.8856719932657358,4.654306939256872,-0.6288620638869507,-150.9782044157604,9.246109154854068,-12.538402281482076,-0.2105,-0.9681,0.0806,-0.1092
1289216.0,642.140274,1.0,2.72,9.41,-7.92,-14.88,-35.19,30.87,-3.56,-90.62,-105.75,0.2345933259564319,5.237637760725687,-1.646952780733974,-152.19213918576153,7.1781250358345785,-8.855279263547427,-0.2186,-0.9707,0.0626,-0.0772
1289250.0,642.14426,1.0,1.17,9.71,-7.51,-11.19,-35.56,31.75,65.75,-145.94,-160.81,-0.06630413648761513,5.816925598025121,-1.065887898233541,-155.214797761141,3.919795697049856,-4.217921750764655,-0.2089,-0.9767,0.0342,-0.0368
1289285.0,642.149246,1.0,-0.43,4.45,-7.83,-11.19,-35.56,31.75,138.75,-97.31,-150.38,-0.20619895340190775,1.6606095488445312,0.9468442505547934,-160.87156803103977,-1.4782721132478738,0.9740399810272837,-0.1653,-0.9861,-0.0129,0.0085
1289322.0,642.153208,1.0,-3.34,2.02,-7.45,-4.06,-36.56,33.38,79.56,-105.56,-130.75,-2.4290190635488926,0.20753197028801604,1.7570974117983145,-162.45372607444324,-5.89260274896743,5.812283928177061,-0.1347,-0.9883,-0.0514,0.0507
1289359.0,642.15623,1.0,-4.09,1.74,-6.88,4.75,-32.88,37.0,77.12,-42.31,-117.31,-2.866155696806943,0.5770160468266183,2.1553557301809603,-161.71772704701445,-9.246109154854068,8.062436803571837,-0.1176,-0.9873,-0.0806,0.0703
1289396.0,642.201697,1.0,-3.94,-1.32,-5.86,10.69,-29.56,38.19,89.87,-13.56,-75.31,-3.255228895517853,-1.5947005519262125,3.6045523719815673,-161.7899992062843,-12.088902226339817,9.349581983346612,-0.0853,-0.9874,-0.1053,0.0815
1289431.0,642.205097,1.0,-1.82,-3.2,-7.81,10.69,-29.56,38.19,65.94,11.25,-31.06,-1.3715680309969862,-3.8569361009568097,2.2045881053898846,-162.22975145954382,-13.080365619179066,9.280599254023052,-0.0657,-0.988,-0.1139,0.0809
1289467.0,642.209089,1.0,0.15,-3.26,-8.59,13.69,-27.69,41.06,30.37,30.12,-23.87,0.5285269002551374,-4.19429991579227,1.647807708835666,-162.45372607444324,-13.98044914927855,8.774827247055486,-0.0502,-0.9883,-0.1217,0.0765
1289502.0,642.213049,1.0,-0.16,-4.84,-8.68,13.19,-24.06,42.19,4.81,40.63,-0.56,-0.3113500284234414,-5.55401195317372,1.5695623845982904,-162.98770609304586,-14.25756979612918,7.729330710703709,-0.0452,-0.989,-0.1241,0.0674
1289537.0,642.261677,1.0,0.62,-5.17,-9.54,13.19,-24.06,42.19,-5.25,20.25,52.63,0.3771606981551451,-6.098963143152917,0.8185857820368536,-164.61437509688025,-12.988096123558291,6.397531862381483,-0.0436,-0.991,-0.1131,0.0558
1289572.0,642.298773,1.0,2.61,-1.31,-11.68,11.75,-23.25,43.06,-45.75,22.62,57.56,3.245822697862561,-3.163252025104162,-1.3472314607164737,-166.33674754112943,-10.868106466869213,5.296015172064578,-0.0563,-0.9929,-0.0947,0.0462
1289609.0,642.365588,1.0,0.64,-1.59,-9.97,9.06,-24.06,42.19,-35.75,10.25,71.06,1.0852000495860044,-3.0246864474262054,0.2143503410477834,-167.233021952493,-9.085166406176855,4.733977821845079,-0.0659,-0.9938,-0.0792,0.0413
1289644.0,642.374564,1.0,-0.08,0.93,-9.72,9.06,-24.06,42.19,-47.88,-5.19,88.0,0.6852745379394413,-0.7127858865312606,0.0921229869327238,-168.08593042045837,-5.789336220308419,4.424333322525306,-0.0825,-0.9946,-0.0505,0.0386
1289678.0,642.391453,1.0,0.64,2.28,-10.46,7.25,-26.25,41.38,-45.13,-8.75,83.62,1.5241754749939627,0.24501283067184224,-0.8063824523311016,-167.97602060615887,-3.2777655386010047,4.389930414609093,-0.0931,-0.9945,-0.0286,0.0383
1289715.0,642.502709,1.0,0.37,2.71,-9.74,5.75,-28.19,39.38,-44.06,-17.5,82.56,1.1812457930697973,0.5245517147529393,-0.2271979096956933,-166.62885834304856,-0.10313241704642769,4.6536963885673295,-0.1097,-0.9932,-0.0009,0.0406
1289750.0,642.512138,1.0,-1.06,4.89,-8.95,3.88,-30.5,39.38,-49.13,-19.69,79.0,-0.3905865303423378,2.523755510585322,-0.12392401589179691,-164.87335484809628,2.2919839967771853,4.928956774809122,-0.1227,-0.9913,0.02,0.043
1289785.0,642.521701,1.0,-1.05,4.9,-9.37,3.88,-30.5,39.38,-22.75,-10.69,63.06,-0.45245610902098954,2.1710670471540467,-0.5852291056368326,-163.06535294380294,4.802792327898412,5.146891353190199,-0.1334,-0.9891,0.0419,0.0449
1289820.0,642.531625,1.0,-1.06,5.61,-9.06,2.75,-31.19,39.5,-18.19,-11.5,45.75,-0.6011616058844125,2.7740456285817676,-0.5191708184219852,-161.86255690793462,6.236859579751597,5.376316314590642,-0.1398,-0.9875,0.0544,0.0469
1289857.0,642.64433,1.0,-1.27,6.03,-8.49,1.56,-32.0,38.19,-9.25,-10.31,27.19,-0.9564775503776872,3.163541789642716,-0.14980790634438712,-160.7341221464449,7.602997386301145,5.7090210665439,-0.1452,-0.9859,0.0663,0.0498
1289891.0,642.655299,1.0,-1.33,4.66,-8.96,1.56,-32.0,38.19,3.5,-4.81,15.0,-0.8175708723734396,1.7021710403885169,-0.20335957131956306,-160.46210370241806,8.165828301178744,5.789336220308419,-0.1456,-0.9855,0.0712,0.0505
1289926.0,642.725802,1.0,-1.3,3.93,-9.16,1.25,-32.69,37.75,-10.94,-5.19,13.06,-0.6708048789568013,0.9223076587856546,-0.18033500033484096,-160.0609663655873,8.705871826379285,5.9155515139479675,-0.1469,-0.9849,0.0759,0.0516
1289961.0,642.738072,1.0,-1.46,3.69,-8.61,0.88,-32.56,36.56,-5.88,-4.88,10.81,-0.8554477428549936,0.7855223573560879,0.39756057618549256,-159.73268910086296,8.993207204284674,6.01882390838285,-0.1486,-0.9844,0.0784,0.0525
1289998.0,642.743091,1.0,-1.09,3.95,-9.0,0.06,-32.56,36.56,-10.0,1.88,3.81,-0.4904833420004798,0.9179444160339083,-0.027342278840380985,-159.3455716366145,9.269102460835224,5.984399237389445,-0.1516,-0.9838,0.0808,0.0522
1290033.0,642.749075,1.0,-0.88,3.36,-9.29,0.06,-32.56,36.56,-4.25,1.63,-1.37,-0.1670043806270285,0.2810377052419499,-0.10603012926290845,-159.15467994543425,9.246109154854068,5.938500516393254,-0.1533,-0.9835,0.0806,0.0518
1290070.0,642.775727,1.0,-0.91,3.02,-9.18,0.5,-32.69,36.56,-3.06,1.12,3.69,-0.15451776299930048,-0.03280337926535303,0.10119028913485728,-159.0283735374385,9.257605761151561,5.9729244673372195,-0.1544,-0.9833,0.0807,0.0521
1290104.0,642.839544,1.0,-0.89,3.45,-9.03,0.06,-33.75,36.56,-7.25,1.31,-0.06,-0.21680465782763042,0.3751896268889104,0.10882918889922877,-158.84031180775503,9.303593121383253,5.949975106955118,-0.1566,-0.983,0.0811,0.0519
1290137.0,642.84453,1.0,-0.75,3.52,-9.34,0.06,-33.75,36.56,-2.75,-1.56,-0.44,-0.04163254608754169,0.33289383363053177,-0.19714670058509043,-158.65388815245834,9.280599254023052,5.9729244673372195,-0.1586,-0.9827,0.0809,0.0521
1290172.0,642.914527,1.0,-0.89,3.84,-9.14,0.06,-32.69,35.38,-7.25,-0.94,-2.06,-0.23436427691506034,0.637920701462715,-0.12388022574079294,-158.46906001766973,9.246109154854068,6.04177399090254,-0.1602,-0.9824,0.0806,0.0527
1290209.0,642.919327,1.0,-0.79,3.53,-9.28,0.06,-33.06,36.19,-4.06,1.12,-2.94,-0.07831997594339973,0.30544209612709294,-0.1484477447377035,-158.46906001766973,9.119652615329128,5.984399237389445,-0.1611,-0.9824,0.0795,0.0522
1290242.0,642.967361,1.0,-0.96,3.63,-9.07,0.06,-33.06,36.19,-1.69,-1.5,-4.13,-0.27289890180749343,0.4145063573881783,0.0027165715705148585,-158.3467074683401,9.016196458354324,6.030298919379606,-0.1622,-0.9822,0.0786,0.0526
