TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2174543.0,596.945293,1.0,-2.58,-1.11,-9.44,19.75,-13.06,46.38,0.37,0.69,-0.5,0.10036563490118677,0.1240695703590163,-0.04102147507682652,-153.66083809692267,-19.796614956633128,16.570331326030242,0.0402,-0.9737,-0.1719,0.1441
2174576.0,596.969847,1.0,-2.58,-1.02,-9.23,19.37,-13.06,45.56,-0.69,1.56,-1.31,0.059705412514283074,0.20240325658486208,0.17103023864368438,-153.66083809692267,-19.81987998842397,16.524012627926176,0.0401,-0.9737,-0.1721,0.1437
2174611.0,596.990785,1.0,-2.53,-1.09,-9.37,19.37,-13.06,45.56,1.19,2.06,-2.31,0.11082735984554715,0.1349758400005166,0.04164109990544951,-153.66083809692267,-19.889680039418103,16.442961442690333,0.0405,-0.9737,-0.1727,0.143
2174646.0,597.013881,1.0,-2.58,-1.15,-9.43,20.19,-12.25,46.38,0.56,0.0,-2.88,0.05910282532128508,0.10638750428043067,-0.03657043616681399,-153.61058909469406,-19.95948754584176,16.408227758317484,0.0408,-0.9736,-0.1733,0.1427
2174683.0,597.01675,1.0,-2.6,-1.29,-9.22,19.75,-12.25,46.5,1.44,1.69,-3.19,-0.0690489923470774,-0.004953196799784398,0.14084906564917432,-153.5103719816942,-20.075850034388896,16.373495591769156,0.0416,-0.9734,-0.1743,0.1424
2174715.0,597.045018,1.0,-2.43,-1.4,-9.57,19.75,-12.25,46.5,2.31,1.5,-3.63,0.13950185668167792,-0.14106701957671586,-0.163828390126028,-153.5103719816942,-20.157316215575328,16.30403579859025,0.0422,-0.9734,-0.175,0.1418
2174750.0,597.069954,1.0,-2.47,-1.23,-9.61,19.75,-12.25,46.06,-0.06,-1.37,-2.88,0.17067543041804045,0.046087721194041975,-0.19008175689969065,-153.41052586239525,-20.27371434520358,16.29245975343786,0.0427,-0.9732,-0.176,0.1417
2174785.0,597.114787,1.0,-2.56,-1.08,-9.31,20.19,-12.25,46.88,0.44,-0.69,-4.0,0.054304256639023496,0.21013737719652684,0.09330900266978581,-153.3110465719337,-20.36684806544824,16.30403579859025,0.0427,-0.973,-0.1768,0.1418
2174820.0,597.171937,1.0,-2.52,-1.26,-9.3,19.37,-13.06,46.5,3.0,0.88,-5.25,0.028343459789108127,0.0494100909073909,0.08940989330284665,-153.1625065187994,-20.553156370102187,16.29245975343786,0.0436,-0.9727,-0.1784,0.1417
2174855.0,597.184647,1.0,-2.48,-0.99,-9.33,19.37,-13.06,46.5,0.81,0.88,-5.38,0.15482307691238506,0.29826395514873005,0.1078630434824781,-153.11317220133924,-20.69292362085707,16.234582036054892,0.0439,-0.9726,-0.1796,0.1412
2174892.0,597.210589,1.0,-2.56,-0.92,-9.03,20.19,-12.0,45.56,4.19,1.12,-9.88,0.02217672410646565,0.39604742304902985,0.38414743265601103,-152.86782140615486,-20.97255174185992,16.234582036054892,0.0443,-0.9721,-0.182,0.1412
2174926.0,597.280246,1.0,-2.52,-2.24,-9.26,19.37,-11.56,45.69,18.75,5.19,-8.31,-0.32761728653523825,-0.7693491021240484,-0.012533717225391428,-152.62462859250314,-21.228988473912292,16.17670848781425,0.0474,-0.9716,-0.1842,0.1407
2174959.0,597.284264,1.0,-2.35,-2.46,-9.8,19.37,-11.56,45.69,6.06,3.94,0.0,-0.09382883852806678,-0.926450965672539,-0.5251932410323032,-152.52794284369597,-21.263965423591053,16.084119443363345,0.0516,-0.9714,-0.1845,0.1399
2174996.0,597.334131,1.0,-2.24,-3.67,-10.34,19.0,-11.19,46.38,16.0,1.37,11.75,-0.2266784109523492,-2.009529543661604,-1.2075457450900302,-152.67309729035,-21.007514103633177,16.10726571114575,0.0545,-0.9717,-0.1823,0.1401
2175033.0,597.341085,1.0,-2.16,-4.97,-10.54,19.75,-11.19,46.38,8.44,-2.44,33.0,-0.4240029661182453,-3.2099384937836533,-1.5939910499957808,-153.26144320712007,-19.994394103683586,16.29245975343786,0.0576,-0.9729,-0.1736,0.1417
2175068.0,597.396185,1.0,-2.42,-6.24,-9.67,19.75,-11.19,46.38,-3.81,-1.06,52.69,-1.2035517151019737,-4.459311676612232,-1.008566254883899,-154.1686085419062,-18.692456695573654,16.408227758317484,0.056,-0.9747,-0.1624,0.1427
2175100.0,597.424565,1.0,-2.48,-5.88,-8.19,19.37,-11.19,47.19,-33.38,7.31,82.56,-1.4418675127367675,-4.511960569953173,0.5673789307596255,-156.41828103776766,-16.0609738361326,16.2808838756779,0.0454,-0.9789,-0.1397,0.1416
2175135.0,597.45651,1.0,-2.04,-4.07,-7.51,19.0,-12.69,46.5,-49.69,15.44,98.94,-0.7187815094949208,-3.2367478474197284,1.67440452203809,-158.77799072087697,-13.51876311679545,15.864262703092981,0.0316,-0.9829,-0.1177,0.138
2175172.0,597.520253,1.0,-1.56,-2.49,-8.03,17.19,-14.19,45.69,-70.69,17.37,110.69,0.18524259047169334,-2.256342740127495,1.5610934619760624,-162.00854277151578,-9.752049739225924,15.020088998588148,0.007,-0.9877,-0.085,0.1307
