acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.13,-2.97,-9.32,-108.44628015323634,-68.47159291816318,10.292697102933529
0.01,-2.63,-9.33,-108.211405674282,-68.80458261894461,10.281191618255797
-0.06,-2.73,-9.25,-107.95770664544784,-69.0964930055083,10.281191618255797
-0.15,-2.61,-9.01,-107.53011997485687,-69.58415236536644,10.200656128703407
0.22,-2.95,-9.33,-107.02758003485113,-70.10125098879593,10.097117916179354
0.27,-2.93,-9.37,-106.18384425288782,-70.90108527835083,10.10862175233956
0.48,-3.29,-9.66,-105.49962088989868,-71.47886911000296,10.166142467644526
0.14,-3.18,-8.83,-104.87710290187228,-72.00208892273058,10.258180960550504
0.04,-2.15,-9.07,-104.10974226118626,-72.7688405556102,10.074110549810433
-0.16,-1.23,-8.94,-102.13740297255076,-74.8034850768004,9.591048446078224
-0.29,-0.58,-8.22,-99.42333079065403,-77.79071544905813,8.510515201802361
0.44,-1.16,-7.37,-93.72249978101487,-83.8257817667832,3.8166045030746174
4.33,-3.98,-9.23,-88.87005513080322,-88.11820122886442,-1.6960169933572922
7.05,-3.39,-11.48,-84.45870287953169,-91.25362166916472,-9.188627520029687
5.68,-2.29,-8.45,-82.50825884494826,-92.10896087538232,-13.738036026791262
4.64,-0.2,-7.61,-81.50608810294752,-91.72982641130142,-19.029325032716933
5.57,-0.42,-7.93,-81.4607148625289,-90.24224269381638,-22.65303861752037
6.28,0.26,-8.44,-81.58174459786174,-88.77380536718846,-25.94695623100749
6.31,1.15,-8.55,-82.21897227441269,-87.03877731535627,-28.588291341239625
6.49,0.4,-7.76,-84.02612286771037,-84.07240023072654,-31.12626391611525
7.07,1.18,-8.45,-86.31402695866787,-80.55646739590921,-33.416687431310486
6.94,1.83,-8.79,-89.19146210713116,-77.55533546921926,-33.62013451285478
5.49,1.8,-7.6,-93.20422442477208,-74.0983151328391,-32.222106806155665
6.05,1.78,-8.74,-95.97520098011694,-71.71905293720884,-31.03111257231891
5.92,1.87,-8.93,-100.27771483475884,-69.11040625696496,-27.537057504249983
4.13,1.0,-7.7,-102.7228019769725,-67.86281386047486,-24.79585513058625
4.5,0.45,-8.72,-105.140661692498,-67.06363860553823,-20.856024774540764
3.22,0.09,-7.74,-106.08848885002472,-66.95369808518734,-18.611168175342147
3.7,-0.48,-8.39,-105.70811662886264,-67.71095944217275,-17.462507245696994
3.67,-0.52,-8.41,-104.57685468499146,-69.12432067193492,-17.219083051744406
4.02,-0.06,-8.97,-103.27503144100896,-70.64807912994407,-17.3929494210965
4.1,-0.1,-8.93,-101.86426876300013,-72.37079710684984,-17.358172932119437
4.49,-0.56,-9.4,-99.97425316489787,-74.78906078163884,-17.195903895593172
4.48,-0.93,-9.39,-98.75223846738032,-76.69070095907627,-16.13041264048083
4.52,-1.43,-9.07,-98.0856967948129,-77.67297680383595,-15.632898017228824
4.58,-1.54,-9.27,-97.31944790610486,-78.61764169313197,-15.551935573755918
3.96,-1.14,-8.95,-97.30210096200072,-78.73617218118245,-15.413160961410524
3.83,-0.58,-9.07,-97.6844263573576,-78.3956670621913,-15.274409087771584
3.43,0.08,-8.92,-98.0332655181114,-78.04123484742134,-15.29753283007483
3.72,-0.01,-9.37,-98.40086710313936,-77.65826632282992,-15.262847451308849
3.44,-0.15,-9.16,-98.66427811303318,-77.43779108064524,-15.054764601110485
3.24,-0.14,-8.97,-98.94602892121196,-77.21765539082577,-14.927627478593791
3.14,-0.11,-8.98,-99.10487032365975,-77.08573597407309,-14.869843995469047
3.15,-0.27,-9.06,-99.22859240723112,-76.96857576197083,-14.881400387429183
3.76,-0.49,-9.45,-99.31706154713407,-76.8368842415766,-14.927627478593791
3.68,-0.15,-9.35,-99.52971641733647,-76.63226894733148,-14.858287755594215
3.47,-0.29,-9.14,-99.7250605850298,-76.47170213704182,-14.754288420181696
3.47,-0.43,-9.03,-99.81398402974048,-76.38419493533601,-14.73117911928188
3.46,-0.07,-9.2,-99.93861474574966,-76.25303259821837,-14.777398324484167
3.47,-0.07,-9.27,-100.00990479193828,-76.18021553240146,-14.765843296845908
