TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1522444.0,86.841208,1.0,-1.79,-3.85,-8.7,31.69,14.88,35.25,-0.63,0.88,0.44,-0.014565528309234632,-0.08663518434491302,0.12631518191552438,-91.84507796689995,-82.27982166286782,24.279867169785643,0.0825,-0.7184,-0.6579,0.2103
1522477.0,86.891227,1.0,-1.83,-3.63,-8.85,32.38,14.5,35.69,-2.13,-0.56,1.06,0.23634025478204645,-0.04305000851797286,0.07060408901867454,-91.89450814603755,-82.26460667045434,24.232984111333426,0.0823,-0.7187,-0.6578,0.2099
1522511.0,86.923746,1.0,-1.72,-3.6,-8.87,32.0,14.06,37.0,0.44,-0.06,0.44,0.2677333935312106,-0.15284725387248232,0.08552575704476872,-91.97694079477051,-82.20376433319545,24.197824520118107,0.082,-0.7192,-0.6574,0.2096
1522548.0,86.959654,1.0,-1.88,-3.76,-8.69,32.0,14.88,35.0,1.81,-1.94,0.56,0.046179496481857374,0.0054209399169850014,0.15336361309968005,-91.91098977027544,-82.24939344216158,24.25642512530879,0.0818,-0.7188,-0.6577,0.2101
1522581.0,86.982308,1.0,-2.11,-3.61,-8.56,32.0,14.88,35.0,0.25,0.0,-0.69,0.11876771368797712,0.2610514668619879,0.28427916276442566,-91.87802897168402,-82.26460667045434,24.291588578811197,0.0814,-0.7186,-0.6578,0.2104
1522618.0,87.022404,1.0,-1.79,-3.97,-8.77,32.38,14.06,35.38,-0.37,3.56,-1.5,-0.10217297586213114,-0.11399984355585646,0.01612066197783335,-91.86155224578201,-82.27982166286782,24.25642512530879,0.0822,-0.7185,-0.6579,0.2101
1522655.0,87.064174,1.0,-1.79,-3.66,-8.87,31.25,13.75,35.38,-3.75,1.25,-0.81,0.20225410526340326,-0.0809305004690023,0.048107919801855914,-91.89450814603755,-82.29503842028417,24.127512270969643,0.082,-0.7187,-0.658,0.209
1522690.0,87.094244,1.0,-1.76,-3.64,-8.9,31.25,13.75,35.38,0.19,0.06,-0.06,0.22677600571942869,-0.11135486494925817,0.03457894329548772,-91.91098977027544,-82.31025694358621,24.0923596055089,0.0818,-0.7188,-0.6581,0.2087
1522722.0,87.139431,1.0,-1.99,-3.54,-8.86,31.25,14.88,35.75,-1.19,-1.44,-0.5,0.28227940305280097,0.12657380490678316,0.0652128672909047,-91.87802897168402,-82.35592311764404,24.080642561887807,0.0812,-0.7186,-0.6584,0.2086
1522759.0,87.16571,1.0,-1.8,-3.85,-8.81,30.87,14.5,34.88,2.19,0.94,-1.81,-0.010366962578931771,-0.08537305769392245,0.025484222491325426,-91.82860613360762,-82.41683612578922,24.080642561887807,0.0813,-0.7183,-0.6588,0.2086
1522794.0,87.212076,1.0,-1.84,-3.85,-8.72,30.87,14.5,34.88,-0.44,-1.19,-0.19,-0.03727705187749597,-0.03115444733692585,0.09870789974958072,-91.79566979807731,-82.41683612578922,24.127512270969643,0.0817,-0.7181,-0.6588,0.209
1522827.0,87.234209,1.0,-1.81,-3.9,-8.77,31.25,13.75,36.19,-1.0,-0.81,0.56,-0.05639036619414273,-0.0736510671171583,0.039849313648657514,-91.84507796689995,-82.35592311764404,24.139230338119987,0.082,-0.7184,-0.6584,0.2091
1522862.0,87.274273,1.0,-1.83,-3.77,-8.83,32.75,14.06,35.69,1.06,-0.69,0.69,0.09143227299155321,-0.054439328399437326,0.033248519503098706,-91.86155224578201,-82.31025694358621,24.186105170420962,0.082,-0.7185,-0.6581,0.2095
1522898.0,87.337674,1.0,-2.05,-3.69,-8.8,31.25,13.75,34.5,-0.12,-2.69,1.25,0.14665864330021738,0.1595988136762455,0.04900584472263425,-91.87802897168402,-82.26460667045434,24.26814601866472,0.0816,-0.7186,-0.6578,0.2102
1522931.0,87.377735,1.0,-2.03,-3.45,-9.13,31.25,13.75,34.5,-3.38,-1.56,0.44,0.48356453024600976,0.10103209313517841,-0.1500692318175112,-91.89450814603755,-82.29503842028417,24.25642512530879,0.0804,-0.7187,-0.658,0.2101
1522968.0,87.399677,1.0,-2.34,-2.94,-8.99,31.69,13.75,35.75,-2.13,-5.31,-4.5,0.8751493111715811,0.4768022085505258,0.11407173944015803,-91.79566979807731,-82.37114871332963,24.291588578811197,0.0797,-0.7181,-0.6585,0.2104
1523005.0,87.413956,1.0,-2.5,-2.21,-8.76,31.69,14.06,35.75,-10.88,-7.31,-14.56,1.410299364365183,0.7304320165617403,0.5681855836560867,-91.28639832349862,-82.98163371130366,24.221263990434835,0.0767,-0.715,-0.6625,0.2098
1523040.0,87.462054,1.0,-3.28,-1.62,-7.47,31.69,14.06,35.75,-28.5,-12.38,-48.81,1.369181899304729,1.7525260556690454,1.7918079335075223,-90.07995743217866,-84.42775523713395,23.858067126010045,0.0712,-0.7076,-0.6719,0.2067
1523073.0,87.481535,1.0,-2.81,-1.28,-7.82,32.38,14.5,35.0,-19.37,11.13,-51.63,1.8004803957589037,1.34686413383195,1.7053459475967667,-88.34165611190305,-86.54988402192322,22.94528280418134,0.0715,-0.6968,-0.6855,0.1989
1523109.0,87.52535,1.0,-2.27,-2.0,-7.33,32.0,14.88,37.38,-22.75,9.75,-67.94,0.940440838575473,0.9848855550699016,1.9946482416441995,-86.70737625621076,-88.4215640397331,22.174080183171977,0.0741,-0.6865,-0.6973,0.1923
1523146.0,87.561751,1.0,-1.74,-2.37,-6.94,30.5,15.25,36.06,-20.75,19.87,-70.25,0.4043049058040271,0.7226630223754098,2.315161783414858,-84.36588268573803,-91.15534914020603,20.890980569305803,0.0778,-0.6715,-0.7142,0.1813
1523181.0,87.591646,1.0,0.6,-3.45,-8.6,30.5,15.25,36.06,-21.06,57.19,-73.12,-0.2752308770454081,-1.4551803787597395,0.6399058653798217,-82.76763818442198,-93.12086388400517,19.331486011436436,0.0875,-0.6611,-0.7261,0.1679
1523218.0,87.628906,1.0,0.09,-2.85,-7.65,28.19,17.06,37.5,-37.94,27.69,-68.44,-0.1310647989301279,-0.5108619007219811,1.6595681827557343,-80.55646739590922,-95.872524082521,17.126370676427076,0.0938,-0.6465,-0.7424,0.1489
