acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
3.66,-3.99,-8.0,-82.24939344216158,-88.08631353433992,2.337829975144579
3.79,-3.92,-8.3,-82.29503842028417,-88.02256387479584,2.383676327772471
3.64,-3.84,-8.01,-82.34069929138175,-87.97477410653165,2.452446574526375
3.68,-3.99,-8.09,-82.37114871332962,-87.94292494652382,2.486832027635776
3.85,-4.16,-8.19,-82.40160521651524,-87.91108432402599,2.452446574526375
3.82,-3.84,-8.26,-82.47777750148487,-87.84742865430181,2.440984806055245
3.65,-3.93,-8.18,-82.50825884494826,-87.84742865430181,2.452446574526375
3.65,-3.92,-8.15,-82.53874730166079,-87.83152005827282,2.486832027635776
3.8,-3.8,-8.41,-82.59974558341173,-87.79970924377666,2.4639083675369537
3.64,-4.09,-7.87,-82.61499961080214,-87.75200894857093,2.509755787270372
3.83,-3.94,-8.22,-82.72182782084748,-87.65666557935936,2.3951379752687134
3.51,-4.19,-7.56,-82.8593073624354,-87.54552779768291,2.2117544130994498
3.21,-3.83,-6.82,-83.27262296307823,-87.35524570014307,1.1803139285143014
3.99,-3.72,-7.34,-83.28795636892652,-87.19690747668942,-1.1344749665222489
5.13,-3.17,-8.35,-82.96633660527758,-86.80196974664999,-5.904077101832591
4.85,-1.32,-8.27,-82.93574780842137,-86.29831934772369,-9.91307033213892
5.02,-1.37,-7.88,-82.98163371130366,-85.74981673368876,-13.161108413553292
6.39,-1.54,-8.89,-82.47777750148487,-85.48427958340939,-15.771709071970363
5.85,-1.35,-8.07,-82.23418197710798,-85.32834664281017,-17.230672895970507
6.47,-1.49,-8.52,-81.93032160430613,-85.23488069373651,-18.402183827223173
6.58,-1.68,-8.44,-81.89997406921938,-85.2504534784823,-18.262895263137004
6.26,-1.63,-8.02,-81.96067611888428,-85.39069632426286,-17.300215695418142
6.23,-1.57,-8.39,-82.05178160910839,-85.42188290417067,-16.53559204728263
5.95,-1.26,-8.45,-82.08216411124334,-85.48427958340939,-14.788953503219902
6.27,-2.29,-7.78,-81.38512714905085,-85.70291578094474,-12.849707716341904
6.07,-3.86,-7.71,-80.87226170457619,-85.9219396467963,-9.878564278366849
5.13,-3.73,-6.97,-81.4607148625289,-85.7654543452423,-8.142851840335263
5.22,-2.96,-7.84,-82.32547723365738,-85.37510597064201,-5.823757869537403
4.99,-4.01,-7.78,-82.76763818442198,-85.12592565946625,-4.11472114096103
4.62,-4.08,-7.16,-83.57963882568777,-84.58256941003617,-2.085681528609333
4.6,-4.02,-7.72,-84.14956663775601,-84.16500554813028,-1.0657168616283692
4.69,-4.35,-7.99,-85.00152199363876,-83.53353964844825,-0.0916732569994142
4.11,-4.03,-7.76,-85.84367215482173,-83.0275358707213,0.5844194845105756
3.73,-3.76,-7.55,-86.77043038357205,-82.38637607932448,1.3636717386286217
3.94,-4.52,-7.83,-87.30772231970468,-81.7331870750525,2.3263684457528235
3.3,-4.52,-7.27,-87.73611309262152,-81.33979509600317,2.910938660030132
3.62,-4.11,-7.86,-88.72571015189867,-80.55646739590921,2.968253297538604
3.03,-3.68,-7.8,-89.40085398971644,-80.06170285521922,2.956790311078442
3.41,-4.07,-8.27,-90.19353290614056,-79.4196881806162,2.968253297538604
2.9,-3.55,-8.07,-90.6163781125308,-79.21130478773587,2.9338644268256844
2.98,-4.09,-7.93,-90.91004306520378,-79.04779472022426,3.0026424356334624
3.06,-4.12,-8.04,-90.97540577406772,-78.98838423592355,3.094348134689141
3.25,-4.51,-7.82,-90.87737591284896,-79.01808630319101,3.1287382797377283
3.39,-4.43,-8.07,-90.94271968197992,-78.95868851235781,3.0714215263829594
3.29,-4.16,-8.06,-91.02445270227788,-78.95868851235781,2.956790311078442
3.51,-4.21,-8.36,-91.08988187212722,-78.95868851235781,2.8536247508829486
3.26,-4.04,-8.06,-91.13897874666814,-78.98838423592355,2.7963115557322795
3.53,-4.17,-8.3,-91.10624511400432,-78.98838423592355,2.738999060214957
3.43,-4.29,-8.26,-91.07352101138804,-79.00323447621575,2.6358382855186164
3.06,-3.88,-8.03,-91.0081013523764,-79.06265131180031,2.544141615361497
3.5,-4.09,-8.33,-90.87737591284896,-79.15182427198795,2.4295230620087382
3.82,-4.33,-8.44,-90.68157114407572,-79.27081086102143,2.532679647359437
3.44,-4.19,-7.99,-90.48610437094182,-79.46438269954628,2.681687249969397
