TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2099279.0,376.487285,1.0,3.82,-4.1,-8.19,6.5,22.0,47.56,-1.12,-1.56,-0.63,0.2353670514643018,-0.118633094636699,-0.11348248600752875,-85.70291578094474,-83.96444589128726,2.4295230620087382,0.2993,-0.6801,-0.6689,0.0212
2099314.0,376.519202,1.0,3.58,-4.23,-7.9,6.5,22.0,47.56,2.63,-1.94,-1.06,-0.029010423351026215,-0.005166013136721076,0.15686079465228708,-85.67165837028583,-84.02612286771038,2.486832027635776,0.2991,-0.6799,-0.6693,0.0217
2099349.0,376.554997,1.0,3.74,-4.4,-8.06,5.38,21.19,46.25,3.31,-0.19,-0.37,-0.0779355745748429,-0.07913570650191154,-0.10792833627694698,-85.59354940204219,-84.04154678419287,2.578527672575933,0.2997,-0.6794,-0.6694,0.0225
2099384.0,376.583912,1.0,3.62,-4.14,-7.93,4.56,21.87,47.5,-0.37,-0.5,1.12,0.09235702899453035,-0.04289360317825018,0.15685568519713478,-85.60916725031365,-84.02612286771038,2.6243761106355543,0.2997,-0.6795,-0.6693,0.0229
2099421.0,376.619815,1.0,3.72,-4.13,-8.07,5.38,21.87,47.06,0.31,1.19,0.56,0.1719126699827236,-0.07779115699141737,0.009477215477245338,-85.6404088628468,-83.99528064351468,2.589989743099662,0.2999,-0.6797,-0.6691,0.0226
2099453.0,376.676325,1.0,3.58,-4.08,-8.05,5.38,21.87,47.06,-1.12,-0.19,0.37,0.19150401637347314,0.040097794728316746,0.09958976640863959,-85.6404088628468,-83.97986233388389,2.578527672575933,0.2998,-0.6797,-0.669,0.0225
2099490.0,376.682305,1.0,3.69,-4.21,-8.01,6.5,21.19,45.88,1.12,0.0,-0.81,0.06669416816839946,-0.06482824203907983,0.034667131259057626,-85.62478707023612,-84.01070082113738,2.5670656278548973,0.2998,-0.6796,-0.6692,0.0224
2099525.0,376.736674,1.0,3.71,-4.21,-7.99,6.06,21.5,46.19,-0.12,0.12,-0.12,0.05690271002435665,-0.0908181011137047,0.04361695928452569,-85.62478707023612,-84.02612286771038,2.555603608821701,0.2997,-0.6796,-0.6693,0.0223
2099560.0,376.774573,1.0,3.62,-4.08,-8.14,6.06,21.5,46.19,-1.31,-1.25,-0.25,0.223571327959442,0.03638836809992446,0.010778841803730899,-85.62478707023612,-84.02612286771038,2.544141615361497,0.2994,-0.6796,-0.6693,0.0222
2099595.0,376.80549,1.0,3.72,-4.15,-8.21,6.06,21.56,47.25,1.69,0.31,-0.12,0.20263862010769862,-0.02558160691622159,-0.11420092978563368,-85.62478707023612,-84.02612286771038,2.555603608821701,0.2994,-0.6796,-0.6693,0.0223
