acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
5.55,-1.13,-7.91,-67.84900332343395,-100.90554181397611,-13.172643633299913
5.7,-1.37,-8.09,-67.82138560708218,-100.90554181397611,-13.230321745568984
5.59,-1.13,-8.06,-67.95951900274443,-100.81559788103888,-13.414914406298776
5.44,-0.97,-7.96,-68.08393507833871,-100.74370415119088,-13.576461659580188
5.57,-0.92,-8.11,-68.12542738094108,-100.72573922895168,-13.761120312162008
5.63,-1.05,-8.06,-68.09776471776088,-100.74370415119088,-13.830376539145911
5.67,-1.07,-8.02,-68.00098090210307,-100.77964420318249,-13.93427040697098
5.52,-1.0,-7.95,-67.91806721211006,-100.85156520381317,-14.003539375629764
5.74,-1.13,-8.18,-67.71095944217275,-100.92354086053491,-14.026630173419028
5.68,-0.94,-8.09,-67.62818664851126,-100.97755856330473,-14.01508470303339
5.9,-1.13,-8.29,-67.58681526824894,-101.15784107033816,-13.668786527863627
6.27,-1.59,-8.51,-67.72475880644298,-101.248111809917,-13.126503557539667
6.69,-2.82,-8.35,-68.70739234130575,-101.06765675595229,-11.835420883076134
6.49,-3.63,-7.7,-70.60594994922624,-100.27771483475884,-10.902639624835572
5.44,-2.52,-7.42,-74.73137747245856,-97.92848570683064,-11.19045487105573
4.24,-0.71,-7.56,-78.2478786330807,-95.53100117217964,-12.261764386292771
3.41,1.09,-7.26,-82.34069929138175,-92.2907466103262,-14.315313760812993
3.3,1.54,-7.16,-84.07240023072654,-90.42102349007357,-16.408227758317484
3.89,1.39,-7.82,-84.31949813314749,-88.8540080016114,-20.63468349632429
4.85,1.06,-8.48,-83.7488111988913,-88.02256387479584,-24.20954412674289
5.14,0.78,-7.44,-82.90516622575332,-86.94399862291918,-28.422768181257144
6.43,1.52,-7.95,-82.09735799224998,-85.48427958340939,-32.723384506373804
6.84,2.2,-7.98,-81.61201926535531,-84.35041927831398,-35.55242705989692
6.6,1.88,-7.0,-80.96262485016383,-82.99693262361099,-38.80472209856705
7.32,2.05,-7.7,-80.7067534127589,-81.86963350668476,-40.99909698527016
7.25,2.51,-7.58,-81.15862069013602,-80.0766693058582,-43.073755128260586
7.35,2.89,-7.28,-82.0669719838208,-78.64726489734781,-43.8262109221212
7.9,2.74,-8.38,-84.90830040880186,-76.64687474214496,-42.815165407712406
7.04,3.73,-8.44,-87.27605051042755,-75.41056702241764,-41.37858245579029
7.19,3.49,-9.44,-89.5944754215132,-75.09226338481456,-37.919033262141134
6.12,2.22,-7.44,-91.38478587581724,-75.67150643533657,-33.12965231611837
5.15,1.33,-7.16,-93.38784380135635,-76.44252722312795,-26.9593013980579
5.72,1.0,-9.64,-94.31067299052192,-77.5994395892969,-21.555518290408006
4.12,-0.37,-7.64,-95.02080781947748,-78.48441476201302,-16.16513427708501
2.83,-0.9,-6.44,-94.46244378855972,-80.10660713578281,-9.970582425862728
3.54,-2.42,-8.36,-93.6554852891658,-80.9927594143726,-7.430739554030821
3.13,-2.22,-7.97,-92.4562672082187,-82.23418197710798,-5.215716631990905
2.83,-2.36,-7.57,-91.05716253041412,-83.41068938154757,-4.516076369343336
3.23,-2.79,-7.73,-89.40085398971644,-84.61355507220527,-4.951896402998163
3.69,-2.44,-7.74,-88.30970809584517,-85.49988365909948,-5.984399237389447
3.79,-3.25,-6.54,-87.10200448418625,-86.4397606253599,-9.142643881088318
4.64,0.81,-9.28,-86.47121429796438,-86.72313671594557,-13.93427040697098
4.7,0.68,-8.6,-84.304040393457,-87.46620685664602,-19.04094412601985
5.05,1.08,-7.35,-81.77865358515048,-88.43755212986639,-22.372624603038307
6.04,1.29,-7.82,-77.1590095835216,-90.07995743217865,-27.466273808985672
7.43,1.2,-7.66,-73.52508685379959,-91.2044746461752,-31.233335490801053
8.0,2.05,-7.61,-69.0964930055083,-92.52254534707764,-35.46820114810156
8.51,2.4,-7.99,-65.59888072386627,-93.7392599390293,-38.306987464775865
7.88,1.99,-6.63,-63.52507692958832,-95.05474342247336,-38.67110921893018
7.88,2.24,-6.56,-61.47425600283564,-96.7830712993422,-38.343381493661
8.05,2.21,-6.87,-60.35758382043169,-98.06821663266857,-37.785778398919184
7.72,1.94,-6.47,-59.40545261479044,-99.88518184221611,-36.09435595913239
7.23,1.2,-6.16,-58.73375160745704,-101.06765675595229,-34.91520624744419
7.4,1.27,-6.89,-58.4972102111192,-101.70077262436088,-34.375043949019776
6.89,2.25,-6.75,-58.98373265502141,-101.86426876300013,-33.79973728659347
6.33,1.99,-6.16,-59.65626789743028,-102.31994097048526,-32.3294697942308
6.44,1.9,-6.95,-60.14560427540305,-102.19212653307552,-32.01938920775377
6.65,1.75,-6.96,-60.23831733096471,-102.17388174945586,-31.99554685526558
6.43,1.71,-6.76,-60.35758382043169,-102.1556405634774,-31.97170592495036
6.48,1.86,-6.91,-60.55652194040018,-101.99163135724292,-32.138622347851936
6.76,1.99,-7.16,-60.68925941563211,-101.73708031608216,-32.49653690025889
6.64,2.16,-7.03,-60.79551422894158,-101.55568290678625,-32.84283089936096
6.76,1.98,-7.07,-60.84866331035058,-101.48322239715056,-32.92646520492445
6.6,2.16,-7.01,-61.08801371359053,-101.3746366209322,-32.97426433366517
6.5,2.05,-6.82,-61.15455226396579,-101.3746366209322,-32.92646520492445
6.52,1.85,-6.72,-61.18117407576951,-101.30231586461944,-33.08183396795116
