TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1863858.0,474.245243,1.0,-0.4,3.78,-9.12,21.25,-30.37,35.19,21.25,-5.31,4.0,0.13895971031939813,0.11982966524013716,-0.0720711242263743,-126.40360438507471,-48.44736344772761,-6.7533514707706495,-0.1776,-0.8926,-0.4103,-0.0589
1863892.0,474.288276,1.0,-0.25,3.52,-9.46,21.25,-32.19,34.75,17.19,2.38,-15.88,0.04773823023231094,-0.20003763002904695,-0.28801225328746227,-126.30202625936262,-48.76169642019096,-6.4778727055513645,-0.174,-0.8922,-0.4128,-0.0565
1863927.0,474.315784,1.0,-0.05,2.87,-9.34,21.25,-32.19,35.19,21.0,8.38,-18.0,-0.16610728598555063,-0.6165426565201415,0.056404694253402,-125.89747938631322,-49.568180893926424,-6.294241112432485,-0.1674,-0.8906,-0.4192,-0.0549
1863964.0,474.3643,1.0,-0.38,3.17,-8.97,20.19,-29.25,36.5,7.19,1.88,-5.5,-0.029921653064107434,-0.05737969247709729,0.28561999975479324,-125.77163105081794,-49.85865006631149,-6.2024314124588535,-0.1647,-0.8901,-0.4215,-0.0541
1863999.0,474.410596,1.0,-0.35,3.1,-9.23,20.19,-29.25,36.5,1.12,6.13,-3.5,-0.12698936416851309,-0.15985139649371186,0.0658224564887675,-125.64605206137206,-50.04827088645171,-6.317194167065647,-0.1635,-0.8896,-0.423,-0.0551
1864034.0,474.43363,1.0,-0.34,3.5,-9.55,21.25,-30.0,36.06,3.19,4.81,0.12,0.08777634575996873,0.018847037445103187,-0.369795356916363,-125.64605206137206,-50.07356471942518,-6.443440527613203,-0.1624,-0.8896,-0.4232,-0.0562
1864071.0,474.477556,1.0,-0.16,3.29,-9.38,21.69,-30.0,36.88,6.81,-3.94,-3.13,0.13078819772766637,-0.18373959277426882,-0.13232551105657464,-125.64605206137206,-50.187419272308674,-6.282764679968378,-0.1606,-0.8896,-0.4241,-0.0548
1864105.0,474.492786,1.0,-0.36,3.4,-9.32,21.69,-30.0,36.88,4.44,0.37,-3.5,0.13098173466529112,0.06476129435539726,-0.11961061313813737,-125.62096841990898,-50.28866780725309,-6.168003805570945,-0.1592,-0.8895,-0.4249,-0.0538
1864138.0,474.541226,1.0,-0.53,3.46,-9.44,20.87,-29.56,36.88,8.44,0.37,-4.5,0.0806259477986293,0.22495093696210886,-0.2585870331006834,-125.54578154035147,-50.46595390336726,-6.04177399090254,-0.1573,-0.8892,-0.4263,-0.0527
1864175.0,474.570872,1.0,-0.39,3.38,-9.63,20.56,-29.56,38.5,12.25,-5.88,-3.94,0.13707166343450877,0.05654093859358186,-0.40566680282913303,-125.57083317422124,-50.60534083236857,-5.777862453568277,-0.1544,-0.8893,-0.4274,-0.0504
1864212.0,474.60678,1.0,-0.58,4.8,-9.33,22.06,-29.25,37.56,21.12,-10.69,-23.0,1.2874421084596446,1.0880664445553978,-0.5656161086957106,-125.3457502614118,-51.062078810532164,-5.112479412053579,-0.1519,-0.8884,-0.431,-0.0446
1864245.0,474.639963,1.0,-0.19,6.14,-9.42,22.06,-29.25,37.56,75.31,-29.12,-69.37,2.9109843348518787,1.5061766443651916,-0.9511240317509806,-124.38010760157816,-52.57811891259397,-3.656090990936744,-0.1434,-0.8845,-0.4429,-0.0319
1864284.0,474.675097,1.0,-1.12,4.38,-7.05,23.56,-27.75,37.06,124.56,-41.88,-135.88,2.2534415769899723,1.7399306986734782,1.9303601232301917,-121.26683960828639,-56.84895982984303,0.20626491763025412,-0.118,-0.8715,-0.476,0.0018
1864318.0,474.716316,1.0,-1.25,-0.05,-5.07,26.06,-22.5,40.5,142.19,-3.38,-173.5,-0.8657441434761639,0.13240368303445516,4.658557504448307,-117.3429325945059,-61.487588485604824,3.2089830530311807,-0.0906,-0.8542,-0.5112,0.028
1864353.0,474.753055,1.0,-0.45,-1.79,-4.41,26.06,-22.5,40.5,68.81,144.94,-169.38,-1.8836185876878724,-0.7314281429251699,5.474018710834744,-111.42068428698192,-68.19460380315535,3.002642435633463,-0.0496,-0.8262,-0.5606,0.0262
1864388.0,474.797144,1.0,2.11,-4.83,-6.0,29.06,-15.38,41.0,59.31,271.69,-128.0,-4.213173500539904,-3.011659114922434,3.7271698881933215,-106.24110823664704,-73.61093410103018,-3.415334078437867,0.0161,-0.7999,-0.5991,-0.0298
1864425.0,474.810956,1.0,6.16,-4.22,-10.81,23.56,-8.25,46.25,-20.81,314.5,-25.19,-3.327798080622556,-4.572039679488684,-2.052199569152391,-103.84922334055192,-74.61607730658687,-10.833574298853826,0.0635,-0.7872,-0.6061,-0.0944
1864462.0,474.873415,1.0,8.08,-5.78,-11.76,11.88,-8.25,51.19,-38.06,185.5,81.12,-5.054269870040645,-4.657844666196319,-3.9683722920467837,-103.58945826629655,-71.90296867479128,-18.901528010085144,0.1041,-0.7858,-0.5871,-0.1642
1864497.0,474.891888,1.0,7.2,-2.82,-11.61,11.88,-8.25,51.19,-131.38,-24.06,231.19,-2.2575456064945985,-3.003618817780454,-3.627123179269928,-108.68182460772248,-66.04932726333173,-20.751169149926106,0.1016,-0.8125,-0.545,-0.1801
