TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
1146331.0,375.916867,1.0,0.29,1.67,-9.35,20.0,-21.37,40.88,-14.5,-4.63,13.69,0.031069138949582298,0.07296266758364262,0.3045864789671082,-123.09201996316365,-55.88691564523484,-6.351624225020216,-0.0665,-0.8792,-0.4686,-0.0554
1146363.0,375.969748,1.0,0.39,2.06,-9.54,20.0,-21.37,40.88,-16.69,-0.31,16.69,0.2819290881985199,0.14899410664733614,0.044190435658036264,-123.57491843142249,-55.25224136431043,-6.65004244052053,-0.0711,-0.8812,-0.4637,-0.058
1146400.0,375.99211,1.0,0.31,1.93,-9.89,20.75,-22.06,41.69,-5.69,0.88,6.19,0.01814570858696618,0.0968548444995761,-0.27419271637827336,-123.81779521129647,-54.92913690533025,-6.8451863308548155,-0.0734,-0.8822,-0.4612,-0.0597
1146437.0,376.038058,1.0,0.24,1.48,-9.5,20.0,-23.56,41.69,-0.44,-3.44,3.06,-0.31391770796428053,-0.08785847932199367,0.19458796523151278,-123.96398525409832,-54.787121015133735,-6.776309776380446,-0.0742,-0.8828,-0.4601,-0.0591
1146472.0,376.065473,1.0,0.32,2.04,-9.63,20.0,-23.56,41.69,-12.25,0.56,11.06,0.12067464355231644,0.13689415223887286,-0.04056268286038289,-124.20841744814189,-54.47758400854888,-6.902585349926142,-0.076,-0.8838,-0.4577,-0.0602
1146505.0,376.099024,1.0,0.37,1.82,-9.71,20.0,-22.87,41.25,-4.94,-0.31,5.44,-0.08440585970156445,-0.057147686514474494,-0.07884491895950063,-124.40467458524145,-54.20709186156805,-7.051830951076286,-0.0781,-0.8846,-0.4556,-0.0615
1146542.0,376.151079,1.0,0.24,1.8,-9.34,20.75,-23.56,40.56,-11.13,0.5,11.13,-0.14372430501983935,0.04950833476778993,0.2929707827394612,-124.62622879876837,-53.92406916451298,-7.166643396943946,-0.0799,-0.8855,-0.4534,-0.0625
1146578.0,376.186528,1.0,0.24,2.02,-9.47,20.37,-24.0,40.88,-13.13,0.06,12.38,-0.06638932134735687,0.13339881953939153,0.12178050098471438,-125.02213252137537,-53.397563085855595,-7.419256300710718,-0.0833,-0.8871,-0.4493,-0.0647
1146611.0,376.214452,1.0,0.18,2.74,-9.78,20.37,-24.0,40.88,-17.44,-0.44,12.19,0.3291166426836625,0.540297641928021,-0.33179961982036055,-125.32079385619981,-52.97467248448692,-7.660420468145224,-0.0867,-0.8883,-0.446,-0.0668
1146648.0,376.246051,1.0,-0.11,2.24,-9.71,19.69,-24.25,40.06,-1.25,-11.0,2.19,-0.21595245073765837,0.4479704063052569,-0.14656491047466247,-125.54578154035147,-52.73154278918168,-7.5111244261256385,-0.0884,-0.8892,-0.4441,-0.0655
1146685.0,376.283847,1.0,0.01,3.0,-10.4,19.69,-24.37,40.88,-6.31,-12.69,1.31,0.3293558988783404,0.6716981612357318,-0.9915186536220872,-125.62096841990898,-52.64203317675828,-7.269980754447582,-0.0906,-0.8895,-0.4434,-0.0634
1146718.0,376.310072,1.0,0.15,3.9,-10.67,19.69,-24.37,40.88,18.31,-26.56,-13.25,1.220126463082631,0.96149488069952,-1.4480476418060206,-125.57083317422124,-52.80829290405338,-6.328670789467022,-0.0914,-0.8893,-0.4447,-0.0552
1146753.0,376.349641,1.0,0.29,4.17,-10.02,20.0,-24.69,40.56,43.94,-24.87,-45.19,2.0087062685951573,1.0147242027553613,-0.8145003105289383,-124.42925156343009,-54.32297694444977,-4.699571210920838,-0.0844,-0.8847,-0.4565,-0.041
1146791.0,376.380074,1.0,0.23,2.61,-7.47,20.37,-23.87,39.69,82.56,-1.5,-100.0,1.4104299480222466,0.485986016156178,2.0323072654775096,-122.32709422851921,-56.88805338503149,-3.3121572228147254,-0.0708,-0.876,-0.4763,-0.0289
1146826.0,376.413987,1.0,-0.95,-1.12,-2.23,20.37,-23.87,39.69,75.31,72.94,-106.37,-1.6455421550221896,0.22832957562348266,7.716229797997415,-118.38659680691794,-61.2743792336055,-3.793673550039814,-0.0381,-0.8589,-0.5096,-0.0331
1146861.0,376.471574,1.0,2.6,-2.4,-3.88,23.0,-19.75,40.06,-6.63,334.38,-80.56,-1.63439612705101,-3.0025740774035983,5.820712442839252,-114.9378688809502,-64.03793803426306,-10.292697102933527,0.0005,-0.8431,-0.5302,-0.0897
1146898.0,376.494815,1.0,7.34,-7.08,-16.12,20.75,-16.37,44.56,-9.13,264.19,16.62,-7.700891849106771,-4.48785323584607,-7.057864166197225,-110.47046523443146,-64.7556530727814,-21.532188889890495,0.0587,-0.8215,-0.5355,-0.1868
1146933.0,376.538439,1.0,5.83,-0.3,-14.14,6.88,-15.69,48.19,-117.62,3.5,107.5,-2.2558664118810903,-0.5592570583016508,-5.3134293078107415,-112.17693391272267,-61.607622397034135,-24.74892618800895,0.0552,-0.8299,-0.5121,-0.2143
1146968.0,376.562189,1.0,5.96,3.93,-13.8,6.88,-15.69,48.19,-58.88,-171.38,99.44,1.7017518342531757,0.3895344663725434,-5.632223132263372,-118.14091440496067,-56.71870005631495,-22.501130743263232,0.0206,-0.8578,-0.475,-0.1951
1147002.0,376.600073,1.0,4.96,6.43,-15.7,3.88,-19.75,46.56,15.94,-264.88,45.75,4.311911561330639,1.0828575497798902,-7.300989761642983,-123.18829850358513,-54.709696245156124,-14.08435967436596,-0.0135,-0.8796,-0.4595,-0.1226
1147041.0,376.642127,1.0,-0.44,1.74,-4.84,9.75,-20.5,45.38,96.37,-238.44,-38.13,0.5818056884400975,1.3405453692601867,4.855767224791743,-124.06164029835845,-55.407500827535024,-6.2024314124588535,-0.0293,-0.8832,-0.4649,-0.0541
1147076.0,376.67315,1.0,-1.15,-2.18,-3.84,9.75,-20.5,45.38,48.69,-93.75,-12.38,-2.625145411931955,-0.4378151799241812,6.100246158748948,-123.76914279530575,-56.09455949870071,-1.0657168616283692,-0.0316,-0.882,-0.4702,-0.0093
1147111.0,376.717002,1.0,-1.18,1.63,-3.55,19.87,-18.25,43.25,-20.25,81.31,6.19,0.42210530973041577,1.7437386140101918,6.141543896009665,-123.98838434414273,-55.75723957043542,-2.589989743099662,-0.0352,-0.8829,-0.4676,-0.0226
1147146.0,376.760916,1.0,0.37,-1.12,-2.83,22.87,-18.19,42.06,9.56,187.44,-3.75,-1.0930353614355859,-0.7723471555046955,7.048216826976737,-123.28472684734405,-56.00369069764569,-8.188805090876484,-0.006,-0.88,-0.4695,-0.0714
1147183.0,376.776005,1.0,2.98,-0.78,-2.17,16.87,-18.19,45.0,-51.56,350.81,28.0,0.46572912849854475,-2.4611404376283965,6.991763834426285,-121.99534211175566,-55.23930804894636,-16.0609738361326,0.0255,-0.8746,-0.4636,-0.1397
1147217.0,376.838486,1.0,7.15,2.87,-9.22,16.87,-18.19,45.0,-99.5,415.63,20.25,1.763732465241937,-0.2565749338333897,-2.0757410512312315,-116.66302751124852,-52.795499446887185,-31.60235240767247,0.0617,-0.8511,-0.4446,-0.2723
1147252.0,376.856433,1.0,9.05,3.1,-12.76,4.19,-19.37,47.5,-24.62,239.38,6.19,-0.2854530277991776,1.5109637390100783,-6.066774493420347,-112.19747600626745,-51.367054033500715,-39.80249219587673,0.0866,-0.83,-0.4334,-0.3404
1147289.0,376.898118,1.0,8.82,1.57,-8.05,-10.75,-22.75,46.38,-0.25,91.0,3.94,0.12639804088636009,-0.5001907743736678,-2.226372593035032,-108.99693778149953,-50.89704579606666,-44.0857117567441,0.1075,-0.8141,-0.4297,-0.3753
1147324.0,376.927069,1.0,9.4,4.05,-9.34,-10.75,-22.75,46.38,-44.81,81.94,7.19,1.0950174397445211,1.693485126407959,-3.9021480849267185,-107.76307803686579,-49.95976298028666,-46.69415285279771,0.1097,-0.8078,-0.4223,-0.3963
1147359.0,376.972448,1.0,9.41,3.87,-9.79,-15.19,-23.19,44.69,-1.25,21.87,-15.19,0.29075838798213294,2.0690447325380026,-4.15771942559795,-106.50884628399781,-49.55555952443805,-48.7113769507911,0.1104,-0.8013,-0.4191,-0.4124
1147394.0,376.986522,1.0,9.42,-1.2,-8.64,-17.69,-24.25,42.69,38.38,-11.88,-19.56,-2.854083759190031,-1.7045066633485262,-2.5939492972165734,-105.99323879892165,-50.757490780754914,-47.995403677336114,0.1146,-0.7986,-0.4286,-0.4067
1147430.0,377.045448,1.0,8.61,-1.33,-11.49,-16.56,-23.5,43.75,-56.38,-98.31,40.38,-4.475898872410042,-0.2333463940311742,-3.8985672089445966,-108.05519160220845,-50.022979659523415,-46.419710366410825,0.1046,-0.8093,-0.4228,-0.3941
1147465.0,377.061404,1.0,6.77,-0.09,-8.43,-16.56,-23.5,43.75,-74.75,-214.31,56.5,-1.6717269597917248,-1.0729416682489685,-0.8216153875616339,-114.9804996713386,-47.619376147320615,-40.840097916410194,0.0645,-0.8433,-0.4037,-0.3489
1147502.0,377.105136,1.0,4.25,4.83,-3.86,-14.25,-24.69,43.69,-75.94,-219.56,72.37,3.6001740467310026,1.7262232250825513,3.454492869510382,-121.19677615362598,-45.32473177948933,-35.25171097529378,0.0314,-0.8712,-0.3853,-0.3028
1147539.0,377.1455,1.0,4.44,4.74,-5.3,-7.5,-27.25,44.06,-2.19,-60.06,6.56,3.173040529886343,1.669648359062328,2.229362348552481,-124.92291073579179,-43.801508905676954,-31.673813768044596,0.0091,-0.8867,-0.373,-0.2729
1147574.0,377.177314,1.0,4.92,2.83,-7.99,-7.5,-27.25,44.06,-1.25,-13.25,-1.0,0.9879702323213095,0.4768246415773427,0.06745326303901145,-125.37071718924679,-43.85091508076586,-30.935983157745675,0.0065,-0.8885,-0.3734,-0.2667
1147609.0,377.197372,1.0,4.76,2.73,-8.78,-4.06,-27.19,43.75,-4.06,-40.5,-0.88,0.5522112037005606,0.5565162274464467,-0.5173149590211406,-125.92268154117137,-43.76445989390754,-30.17572764472251,0.0023,-0.8907,-0.3727,-0.2603
1147643.0,377.243452,1.0,4.0,2.93,-6.93,-3.0,-27.19,44.06,-11.94,-26.06,-2.88,1.1689358227343531,0.7206978699498601,1.3968947346799627,-126.45446035214495,-43.72741569250491,-29.357596603435574,-0.0031,-0.8928,-0.3724,-0.2534
1147680.0,377.271854,1.0,3.48,2.77,-7.52,-1.56,-27.87,43.25,24.44,17.06,-27.5,0.5111394140753258,1.0440791843710044,1.147415902451769,-125.74649376545207,-44.617815884427785,-29.286527670932475,-0.0013,-0.89,-0.3796,-0.2528
1147715.0,377.301807,1.0,4.04,1.3,-8.96,-1.56,-27.87,43.25,-0.88,14.13,-11.06,-0.8672155328175202,-0.05193795508442001,-0.06950510552875322,-124.94770072590691,-45.212993165037865,-29.724970780047894,0.0011,-0.8868,-0.3844,-0.2565
1147752.0,377.351096,1.0,4.37,2.21,-9.11,-0.88,-26.37,43.25,4.25,-9.63,-4.94,-0.09525816661770259,0.365577882906514,-0.529228225541468,-124.97250101087101,-45.33714998751985,-29.51161894955961,0.0006,-0.8869,-0.3854,-0.2547
1147787.0,377.381134,1.0,4.61,1.85,-9.12,-2.0,-27.19,43.75,8.94,-3.25,-11.94,-0.15359137895902686,-0.07165979881027187,-0.5770042007880818,-124.77438620684354,-45.7970207204561,-29.17994585204534,0.0016,-0.8861,-0.3891,-0.2519
1147822.0,377.429962,1.0,4.56,2.07,-9.69,-2.0,-27.19,43.75,-8.0,-27.75,2.19,-0.22424098410645765,0.1309041220481895,-1.0978068911925973,-125.09665734949911,-45.75970496782289,-28.682903338517615,-0.0017,-0.8874,-0.3888,-0.2477
1147856.0,377.477087,1.0,4.23,2.21,-9.77,-0.5,-26.37,44.56,-5.5,-60.56,-0.37,-0.10348911843674546,0.1857818696254605,-1.064627528390286,-126.02359896120804,-45.859225051959996,-26.86504055226497,-0.0095,-0.8911,-0.3896,-0.2323
1147891.0,377.486127,1.0,3.33,2.14,-7.3,-0.06,-27.19,42.75,0.12,-39.06,-4.88,0.5096453758192188,0.20548218811438296,1.52072587161976,-126.6838681332996,-45.98367660557063,-25.476804175852635,-0.0147,-0.8937,-0.3906,-0.2205
1147928.0,377.537728,1.0,3.23,1.91,-8.14,-0.06,-27.19,42.75,2.44,3.88,-5.75,-0.03144116907618977,0.21470740266619687,0.8459852822389653,-126.58179643384616,-46.18291852714496,-25.312354349514578,-0.0152,-0.8933,-0.3922,-0.2191
1147961.0,377.560667,1.0,3.86,1.53,-9.68,1.75,-27.25,43.56,3.75,-9.56,-2.56,-0.5373252352460633,-0.2724540489166372,-0.7090501850945063,-126.47990511760632,-46.30751972941107,-25.288865851045276,-0.015,-0.8929,-0.3932,-0.2189
