acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
0.27,0.8,-10.07,-110.4101987714497,-69.47256064706727,-2.968253297538604
0.37,0.43,-10.02,-110.2898024601052,-69.59810663742078,-2.910938660030132
0.22,0.46,-9.65,-110.3098558920654,-69.59810663742078,-2.750461504037132
-0.05,0.99,-9.4,-110.2898024601052,-69.61206209055514,-2.7619239753850606
0.06,0.0,-10.02,-110.08954448644468,-69.80756273226297,-2.922401528803221
0.05,0.11,-10.25,-110.1295559906411,-69.76565017151245,-2.9338644268256844
0.18,0.87,-10.4,-110.24971070475245,-69.63997654209203,-2.865087475133015
-0.04,1.26,-10.35,-110.26975406580355,-69.59810663742078,-2.6129139620146145
-0.16,0.71,-9.91,-110.16958750511162,-69.70978337535752,-2.1086036789736795
-0.13,0.61,-9.38,-109.90973941260324,-69.94734861219692,-1.638715147453804
-0.18,0.46,-8.48,-109.53146516582775,-70.33938584771147,-1.7877008349543104
-1.83,-0.21,-5.04,-109.03641233282303,-70.80264683442816,-2.865087475133015
1.03,0.3,-1.64,-105.51855441871272,-72.68345997623392,-13.818833482803017
7.34,-1.9,-7.46,-100.43876117788852,-73.02526419838799,-25.65305965168436
11.14,-4.29,-13.67,-97.00765780551971,-69.68185709018104,-36.29930145114271
7.52,4.97,-10.3,-99.22859240723112,-65.43536500136207,-39.99754361581977
9.25,5.55,-12.66,-104.25895173526337,-62.54380124052639,-37.277472623411406
8.02,8.7,-12.77,-111.88991732477224,-62.262463418184296,-24.690270937756782
3.0,0.3,-5.2,-113.50289343995638,-64.49803318236533,-14.338412369029564
0.29,-1.44,-5.86,-115.0658360013866,-64.20019215099853,-8.68288738926451
-0.03,3.38,-6.68,-115.472556014324,-63.78132895595851,-8.648411389524659
0.24,-1.33,-5.09,-114.55530415588284,-64.83708299106053,-7.890132207309978
-1.07,-4.66,1.29,-114.15363047105912,-64.67425982878002,-10.419264327291232
3.67,1.24,-3.5,-112.42380191368638,-61.60762239703414,-23.68241421184977
12.03,3.6,-20.87,-109.94966130041858,-58.87843997243265,-32.627853710613714
7.39,4.39,-9.3,-109.81002132963994,-58.16913315906611,-33.751834870470574
7.35,0.46,-9.52,-107.64651805195676,-60.02646555170329,-33.78776111254545
7.39,1.98,-10.75,-106.98904660999506,-60.15884633673368,-34.795101425948374
5.94,3.53,-9.64,-107.72420666963671,-60.09264488671134,-34.13522516911611
4.55,1.57,-7.45,-107.99668693087187,-61.247744610159856,-31.88827384989475
4.52,0.09,-7.81,-107.9382233400721,-62.5303947029574,-29.701259829199124
4.49,1.1,-9.0,-108.36791454974384,-62.79870690317408,-28.671075748006672
3.94,1.37,-8.14,-109.21428447215928,-63.14808734462744,-26.676574330601248
