TIME,ELAPSED_SECONDS,PSTATE,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,lin_x,lin_y,lin_z,eul_x,eul_y,eul_z,qua_w,qua_x,qua_y,qua_z
2015639.0,626.313948,1.0,8.6,0.74,-13.43,23.06,-6.38,45.69,-249.75,368.06,118.81,-0.6792112845678835,-3.4163403343167182,-5.773458817047347,-106.52800248099958,-68.22228228779733,-23.612168873737943,0.0383,-0.8014,-0.5608,-0.2046
2015676.0,626.335922,1.0,9.35,4.99,-19.33,23.06,-6.38,45.69,-204.0,86.19,83.25,-1.071240244787849,0.7395145406835806,-12.199645975971611,-107.23982794355227,-63.296099194215,-32.00746785365764,0.0223,-0.8051,-0.5247,-0.2757
2015709.0,626.391708,1.0,9.04,2.33,-13.94,2.88,-16.87,48.88,-149.94,-295.06,101.75,-0.9369908598083718,-3.754656728431796,-6.518137930637179,-113.2733386110762,-58.30030109286573,-29.23915478171118,-0.0375,-0.8352,-0.4871,-0.2524
2015746.0,626.421708,1.0,7.04,7.95,-16.11,-1.19,-24.0,44.38,-160.75,-527.44,114.25,3.787762015087374,-3.2552062680548692,-8.830750330235906,-123.21239151549197,-50.80822871779235,-16.13041264048083,-0.15,-0.8797,-0.429,-0.1403
2015782.0,626.456984,1.0,2.84,5.47,-2.35,10.25,-30.87,37.5,55.63,-524.5,-63.25,5.341026562852847,0.24100652910740106,5.943445228333356,-125.3457502614118,-48.02049166769566,-1.8793858210517667,-0.2119,-0.8884,-0.4069,-0.0164
2015817.0,626.488796,1.0,-3.8,-0.68,-0.5,10.25,-30.87,37.5,4.63,-290.81,65.62,-3.186861345264399,1.6797506895002576,8.331945830621274,-125.89747938631322,-43.529927623269934,10.189151472083806,-0.2477,-0.8906,-0.3708,0.0888
2015854.0,626.533707,1.0,-3.56,8.91,-3.29,26.69,-29.75,31.69,-83.31,-67.69,63.75,3.2411901009509316,5.440084619363963,1.8828904085145703,-125.37071718924679,-40.620080792367204,10.868106466869213,-0.2848,-0.8885,-0.3471,0.0947
2015891.0,626.566741,1.0,-2.55,6.48,-0.75,30.06,-32.75,23.87,22.06,91.75,-22.19,2.413227616447984,4.899383429095518,5.421701370207735,-125.54578154035147,-40.827870624577365,9.92457255015729,-0.283,-0.8892,-0.3488,0.0865
2015926.0,626.590845,1.0,-1.14,6.68,8.72,30.06,-32.75,23.87,72.69,319.44,-53.13,4.692736943497567,8.895233873705026,14.36882429645381,-126.55630673438098,-43.69037629572606,5.0551272004985615,-0.2485,-0.8932,-0.3721,0.0441
2015961.0,626.652302,1.0,5.52,5.04,0.87,28.56,-33.19,26.75,174.5,745.13,-128.75,7.2637285116164945,-1.4403014039008222,8.467740004723648,-123.4780360314948,-52.463117579437494,-13.51876311679545,-0.1225,-0.8808,-0.442,-0.1177
2015995.0,626.668381,1.0,13.39,0.27,-17.64,20.69,-29.75,35.88,52.19,662.56,-126.56,-3.763078527710192,-5.4978110779537435,-11.315563741590053,-109.49174968741805,-59.53742151899626,-34.24312448272413,0.0018,-0.8166,-0.4965,-0.2944
2016032.0,626.713407,1.0,10.02,1.27,-20.31,-1.37,-25.69,44.5,34.56,-69.81,17.56,-5.851324170059052,-0.07723107813522789,-12.10830929308227,-107.20119776385688,-60.15884633673368,-36.92694357562124,0.0238,-0.8049,-0.5012,-0.3167
2016067.0,626.727792,1.0,4.0,0.73,-1.63,-1.37,-25.69,44.5,97.62,-159.5,4.69,1.3541676963302782,-2.4412507518619195,6.4308057179352645,-110.45037134177934,-60.90182687258212,-30.246943306188317,0.0217,-0.8214,-0.5068,-0.2609
2016104.0,626.769488,1.0,5.28,-0.47,-8.09,-4.38,-24.56,47.25,-52.0,155.5,28.5,-2.0397115413891687,-1.6627849692381156,0.499549325031472,-109.43221295455638,-60.384097284445964,-32.73532749855365,0.0377,-0.8163,-0.5029,-0.2818
2016141.0,626.816742,1.0,3.54,2.19,-4.03,-3.88,-22.25,46.25,6.38,199.25,24.94,0.9437251431891747,0.20156324396115194,4.093738735784843,-107.14328559013717,-58.313422489419004,-39.02347987528319,0.06,-0.8046,-0.4872,-0.334
2016176.0,626.843823,1.0,7.29,2.03,-3.64,-3.88,-22.25,46.25,-41.44,346.25,6.38,1.4327311326668677,-1.8808385678274497,1.7490866100377538,-102.28340450662314,-57.005377440065516,-46.65671220880486,0.0955,-0.7787,-0.4772,-0.396
2016210.0,626.893888,1.0,10.03,2.69,-7.17,-9.88,-22.69,43.5,-16.62,326.69,-26.06,-1.2069356293225928,0.8277959647091802,-2.7274618643277986,-92.62203774366758,-54.993719820860264,-59.313125954036636,0.1384,-0.7231,-0.4617,-0.4948
2016245.0,626.92181,1.0,11.19,3.48,-4.91,-23.06,-24.56,39.75,-23.5,166.88,6.63,-0.1314043075059299,0.49368792124952976,-2.888766698335708,-87.18108511627749,-53.282151727830126,-65.99466654035382,0.1647,-0.6895,-0.4484,-0.5446
2016282.0,626.96802,1.0,10.98,3.22,-3.7,-30.75,-26.06,34.5,-2.69,100.06,-15.88,-0.042969290762131074,0.0599204014240875,-2.2188796426205126,-84.73757407583452,-52.66760381963542,-68.79069483955587,0.1731,-0.6739,-0.4436,-0.5649
2016317.0,626.996858,1.0,11.24,3.12,-3.71,-30.75,-26.06,34.5,-4.81,74.87,-8.63,-0.5704624581704563,0.37248413170689454,-2.415130891320411,-82.17335373167708,-52.29710483920903,-71.4365213550059,0.1818,-0.6572,-0.4407,-0.5838
