acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-1.9,2.26,-9.01,-146.15525518443252,30.294427058078604,12.492290914481536
-1.74,2.01,-9.5,-146.31308564363076,30.15199174363297,12.342442956629045
-1.86,1.7,-9.9,-146.31308564363076,30.116390374671145,12.377021364647929
-1.95,2.3,-8.73,-145.9981360073074,30.35378924019512,12.619102083523115
-1.8,2.11,-9.3,-145.9589661948812,30.377536447956228,12.50381856554563
-1.66,1.74,-10.16,-146.35265556905202,30.15199174363297,12.111948910357556
-1.72,2.01,-10.32,-146.2340808810036,30.187596092266823,12.330917071488786
-2.12,2.55,-8.6,-145.91984007134727,30.318170931025325,12.745928771149693
-1.79,1.8,-9.07,-146.0373496598969,30.258813745298948,12.630631138714769
-1.87,2.12,-10.16,-146.0373496598969,30.24694330618832,12.607573156584117
-2.04,1.85,-9.49,-145.76376947074462,30.36566267714048,12.965030073382623
-2.24,1.97,-8.5,-145.64716796815563,30.38941055279805,13.264930228136947
-2.0,0.56,-8.45,-145.8027223342799,30.44878609284871,12.872771138472864
-1.69,0.98,-8.83,-144.3515283507124,31.924028325694472,12.273289521851868
-1.24,1.52,-7.53,-140.61001416599206,35.35993976529708,10.419264327291232
0.42,-0.29,-6.3,-136.99450746728783,38.57397055139104,7.1781250358345785
2.23,3.77,-5.75,-127.84492955883974,44.3578252491314,-0.5958787923837214
4.88,7.78,-7.49,-120.98704033013556,46.7191162156521,-8.901253805563371
6.25,6.05,-8.4,-115.34387175567552,46.7191162156521,-19.273367657733324
6.82,7.48,-6.36,-111.88991732477224,44.952445815509726,-26.87682214392707
9.49,7.79,-7.11,-111.54282050114551,40.90124166576177,-33.524381159227765
10.26,6.66,-7.9,-113.19003713661378,33.51241368583526,-40.09511461656773
9.59,2.02,-10.43,-117.51946956763666,28.54099280947513,-40.11951210127083
8.63,-0.57,-10.06,-127.7407542896587,25.9116795113663,-33.67999263161277
5.08,-4.61,-4.13,-132.86795984370113,27.761276718209416,-27.57245336826063
4.87,-0.4,-6.37,-128.8444329155711,33.823690775726206,-23.21428107252436
5.13,4.86,-8.78,-121.99534211175566,41.64818266123672,-18.646004953165537
5.08,5.79,-7.17,-119.24220793672814,45.80946044511175,-15.216602467156427
4.79,7.49,-6.21,-117.0789616083498,48.63591649318546,-11.397725602729444
5.99,6.68,-11.19,-117.51946956763666,48.87495187277357,-8.970218312913039
5.33,7.44,-10.15,-120.26974778474064,49.06382413155704,-2.807774138332147
4.87,5.52,-11.84,-122.99589046242428,48.91271498969397,6.638563994932457
1.26,5.16,-5.38,-122.20841159701892,49.353704706731605,16.315612011260463
-0.18,4.84,-6.51,-118.99341650256764,49.164614087930325,26.97108530932781
-3.28,5.59,-4.41,-115.85999031103984,48.32173895898989,34.387038954542724
-4.5,4.08,-4.04,-113.29417835148298,46.55689626255423,41.25611615325416
-6.39,6.55,-3.09,-112.15639729539848,43.45590465390316,46.70663424071843
-6.97,4.28,-0.83,-114.02723737175656,39.254551533936265,49.31587513221956
-6.72,-4.42,1.86,-121.71235608620218,33.78776111254545,45.74726752330664
0.74,-1.92,1.88,-132.12822120462246,31.161951340157948,34.93923195845143
4.77,1.88,-20.36,-142.45363711540872,29.61828173729524,20.459995384570263
1.99,0.98,-19.05,-145.41510886588998,28.52916895270361,16.466118077182387
-1.4,7.13,-10.66,-145.06982302382067,28.292756752714663,16.97573712493423
-2.83,-2.14,-9.12,-144.80353687392875,28.16278249153404,17.972797887176398
-3.93,3.86,-6.26,-141.6082344949301,29.902844499943303,19.796614956633128
-3.37,2.17,-6.68,-140.54206620040912,30.92409351880312,20.14567756040377
-2.45,3.29,-7.85,-140.06953899210683,31.47137263789784,19.412860145181693
-1.13,3.26,-10.98,-138.68306126823978,32.914516343671416,18.48344814300676
-2.72,6.32,-7.77,-137.27675296577294,33.62013451285478,19.296614397760404
-2.69,3.44,-7.78,-138.1343678726239,33.15356371555689,19.05256341690962
-2.0,3.13,-9.91,-138.68306126823978,32.97426433366517,18.36735912324753
-2.18,4.01,-9.24,-138.68306126823978,33.11769717298479,18.042410594385764
-1.99,3.93,-8.52,-138.87838831455554,32.902567850463264,17.856791554733764
-1.75,3.37,-9.49,-139.43670037409964,32.592035674709635,17.103194349757633
-1.87,3.21,-9.42,-139.63551670559374,32.556220911511176,16.755633464025784
-1.89,3.61,-9.12,-139.5028685781741,32.627853710613714,16.616652750638245
-1.8,3.2,-8.84,-139.63551670559374,32.54428338361999,16.55875139620892
-1.92,3.37,-8.71,-139.5028685781741,32.75921457984873,16.50085429879803
