acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-3.08,-1.43,-9.1,-132.89254882292997,-42.536470906099936,19.29503368284048
-2.96,-1.23,-9.78,-133.05397108294642,-42.51059812711328,18.993780540951395
-3.11,-1.41,-8.9,-133.19650304025993,-42.24159266710113,19.230776062984745
-3.0,-0.67,-9.41,-133.4467223619861,-42.16939403945005,18.8234820712968
-2.93,-0.29,-9.34,-133.20050603264266,-42.518057954792575,18.64988175610202
-2.8,-2.37,-9.81,-132.7751044598548,-42.93737591132847,18.71602243421266
-2.9,-1.75,-9.07,-132.77199969258422,-42.82625705272133,18.9477787264462
-2.85,-1.39,-9.32,-133.11472394798034,-42.63083060032236,18.57627757773513
-2.81,-1.21,-9.57,-133.6876793980623,-42.26706356800789,18.05848071423929
-3.0,-0.84,-9.16,-133.80092748405352,-42.02324855977847,18.32570239779226
-3.11,-1.11,-9.3,-133.77594411405673,-41.91918833818164,18.601190228339966
-2.88,-1.09,-10.25,-133.98178038581594,-41.84120016312748,18.2972680212148
-2.86,-1.12,-10.07,-134.00150162316092,-41.78985533563324,18.360994491290462
-2.83,-1.06,-9.6,-133.97672786651324,-41.65736542702972,18.690607100752228
-2.9,-0.86,-9.1,-133.7524739278781,-41.452782505523615,19.57062275158201
-3.34,-0.84,-6.92,-133.21184284990787,-41.425914073633024,20.7493371018327
-3.3,-2.91,-5.04,-133.20194729572188,-41.42692151109478,20.79985333609563
-2.85,-0.18,-3.69,-136.13651846472771,-39.98717336586362,17.228745570427673
-1.5,1.61,-1.46,-139.73518967396507,-39.24888181000213,8.63203076794424
2.63,-2.21,-7.23,-139.20982449642835,-40.18169710623377,-3.347143610944963
5.04,-1.34,-9.67,-135.26466866316983,-39.54292547712931,-17.238209163991684
10.35,0.23,-19.49,-129.7556362187803,-38.57589768889992,-27.53297263653708
11.65,-1.46,-22.06,-131.72875736021024,-39.18776299540197,-23.612203091824234
8.99,0.34,-16.73,-136.2923116583212,-40.46437491436818,-12.610575116560463
3.36,3.14,-7.52,-135.86092672767157,-43.22838926468845,2.0330782191056747
-0.54,-3.64,-3.33,-130.4496038097217,-46.10443151284242,13.96252615909075
-2.15,-3.88,-8.2,-128.10962446117642,-46.925957820950536,18.98103470197924
-2.57,-2.13,-7.13,-125.4673489806256,-47.37186467989925,24.1544494786308
-4.07,-10.29,-3.49,-124.19925526562756,-47.061651352488354,26.68468490445057
-3.56,-13.29,-4.62,-129.78797581478716,-41.94184464297491,25.18436737568924
-1.04,-4.9,-11.01,-138.18612205909668,-34.47685855155848,22.413999961912847
-0.26,1.93,-9.8,-145.8911840545083,-27.06811965957089,20.10158810205392
-1.88,11.9,-6.01,-147.94108938893464,-24.58477697007844,19.30647207791544
-1.45,4.51,-8.43,-146.3247930091997,-27.67518763008273,18.620399926192675
-1.17,1.74,-7.3,-143.51987517841647,-32.006504282148306,17.043120523287982
-1.42,1.72,-8.84,-140.59946169416352,-36.2463587285921,14.725392359327165
-1.3,-2.46,-8.65,-136.2553507109347,-40.94852701316253,13.346685512838054
-0.9,-4.94,-9.93,-132.78774562217578,-44.6832805943229,11.464382066269671
