acc_x,acc_y,acc_z,eul_x,eul_y,eul_z
-5.36,-1.59,-8.04,-113.0792075799874,-55.282326666805744,33.82242743366481
-5.2,-1.51,-8.39,-113.34318236412904,-55.24874280255776,33.436104293552745
-5.2,-1.54,-8.35,-113.48946735285784,-55.32313740706446,33.115413754196666
-5.29,-1.62,-8.15,-113.3297118683137,-55.27838925716137,33.5059539848475
-5.4,-1.41,-7.97,-113.35399720060192,-55.10636054856519,33.625715280912665
-5.39,-1.55,-8.04,-113.21503469981094,-55.05808731105669,33.88468413456423
-5.31,-1.3,-8.37,-113.45263679703248,-54.99843536948474,33.53648896629238
-5.37,-1.5,-8.13,-113.58545210148182,-54.90874263937438,33.40526921834705
-5.39,-1.83,-8.18,-113.4446537194916,-54.99843213507978,33.591134960074584
-5.45,-1.6,-8.14,-113.32015575487524,-54.92574768039074,33.901223290702326
-5.37,-1.52,-8.15,-113.51215444159814,-54.92079358441343,33.558514749852826
-5.39,-1.52,-8.23,-113.6024044976844,-54.9969421409412,33.32066059742369
-5.5,-1.71,-8.04,-113.39176411362196,-54.95099747792376,33.775601780252444
-5.39,-1.59,-8.22,-113.5192566612686,-55.06895694241975,33.42853126414196
-5.39,-1.5,-8.18,-113.5826373996136,-54.88830050423027,33.50513644275811
-5.41,-1.68,-8.04,-113.3674790732576,-54.843880403643645,33.96738735842286
-5.37,-1.52,-7.99,-113.36711955797487,-54.71342076728352,34.07123148886775
-5.4,-1.44,-8.14,-113.59222900981209,-54.66349552869144,33.7627765396206
-5.43,-1.66,-8.19,-113.40727094058808,-54.80715576983521,33.943849559129625
-5.48,-1.52,-8.09,-113.28129103412073,-54.7283949147084,34.19550867881184
-5.47,-1.74,-8.12,-113.12130024070056,-54.892853752399176,34.323822758448
-5.46,-1.87,-8.13,-112.89433631519732,-55.06405246741136,34.534302985339124
-5.46,-1.71,-8.04,-112.71810814870383,-54.94193638536032,34.96361212887735
-5.39,-1.45,-7.65,-112.73914958076988,-54.775012573377104,35.07572514503169
-5.45,-1.91,-6.74,-112.52646506494524,-54.79452631528503,35.402618846654626
-5.42,-3.66,-2.74,-113.1854043810652,-54.52672832722337,34.640209268746794
-5.16,-0.71,-0.96,-116.05789734375506,-53.839171593778325,30.535736745955177
-2.14,2.08,-1.39,-120.84522246694104,-54.43798750029818,20.25390106469508
0.05,-0.91,-1.6,-123.85821776178528,-55.528062055103646,7.5118980496268435
5.9,0.49,-10.07,-123.89127072456706,-54.9147763679185,-9.493017924614756
10.82,2.87,-16.63,-119.9245617173638,-53.33406290522546,-23.39939601740386
14.29,-0.46,-20.32,-114.62376555463916,-53.96691206093629,-30.37414922444568
14.31,-2.75,-22.08,-116.85860701350488,-55.439352491825545,-24.121865514548613
9.76,-1.76,-13.18,-121.82864052642248,-55.9416229519581,-12.021193447246455
4.65,-1.83,-10.69,-125.23309862835364,-54.67106371318397,-0.7161478905481311
2.23,-0.57,-9.57,-127.14090984775622,-51.647309363746174,9.837235107963233
-2.77,4.32,-2.04,-126.3536770914574,-48.21181814137714,19.461595219687663
-5.23,3.94,-0.72,-124.78840919748112,-46.75001531453701,25.165283046774373
-5.95,0.35,-1.47,-124.29954295903023,-44.95883396719294,28.290482786887
-5.93,2.34,-1.69,-124.70716710398108,-43.501602763591386,28.76527772115585
-5.61,6.01,-0.46,-125.2586914840317,-43.06166504891868,27.91924771762211
-4.03,4.15,-2.9,-126.51032757999197,-44.57373220254785,24.68081125152376
-3.38,2.21,-2.23,-128.23466931424744,-46.811484036819685,18.41698369690237
0.63,2.93,-12.57,-127.97928607411852,-50.87115631180021,8.907243963921863
1.33,-1.34,-19.22,-124.1636693670233,-55.44878914511872,5.975361012865548
0.0,-6.03,-11.69,-122.21117565538567,-57.39403153036808,6.032126619518581
0.28,-7.14,-12.0,-123.34704545704916,-56.38990591617748,4.660466788939816
0.1,-2.28,-12.46,-126.76416405170622,-53.19864654310474,1.8403996396961328
-0.31,-2.28,-9.95,-130.28189730657323,-49.70069988559145,0.471218015195857
-0.69,-2.42,-7.92,-134.86082493478824,-45.08376633028082,-1.3756829825785948
0.95,1.38,-10.55,-140.62548902793716,-38.831911371251394,-5.229263551872537
1.55,4.03,-10.97,-145.01097458903809,-33.60722812016564,-7.957491372882424
1.75,3.73,-8.49,-148.26747752836658,-29.753040597722823,-8.865663571876818
1.8,4.79,-8.54,-150.33503548472456,-26.719286571380767,-10.489023372482464
2.59,4.21,-10.49,-150.78509888110608,-25.39592130984025,-11.896492846327629
2.36,4.6,-10.2,-150.99791814163217,-24.624868273491145,-12.471134854413457
1.43,3.22,-9.24,-150.8210752936928,-24.8646009471878,-12.304056500580671
1.6,2.42,-9.65,-150.49970278996912,-25.003887563110663,-12.41974116729158
1.62,2.08,-9.51,-150.36816659624412,-25.33902358891804,-11.956692783226272
1.45,2.2,-9.32,-150.18752615399674,-25.46746055066605,-11.762914392705712
1.22,2.4,-9.55,-150.10639396659823,-25.50306551113769,-11.39315047146367
1.03,2.46,-8.73,-149.91907781586906,-25.59674173362785,-11.206742390463264
1.49,2.19,-9.77,-149.97612354216758,-25.74325384667902,-11.024506876154623
1.38,1.71,-9.14,-150.07880471926805,-25.94749416014492,-10.718041478193715
